a	ɑː
abad	ɑː b ɑː d
abecede	ɑː b eː k eː d eː
abelgan	ɑː b e l ɡ ɑ n
abeodan	ɑː b e͜oː d ɑ n
aberan	ɑː b e r ɑ n
aberendlic	ɑː b e r e n d l iː t͡ʃ
abidan	ɑː b iː d ɑ n
abraham	ɑ b r ɑ x ɑ m
abrastlian	ɑː b r ɑ s t l i ɑ n
abrecan	ɑː b r e k ɑ n
abredwian	ɑː b r e d w i ɑ n
abreoþan	ɑː b r e͜oː θ ɑ n
abroþen	ɑː b r o θ e n
abroþennes	ɑː b r o θ e n n e s
abroþennys	ɑː b r o θ e n n y s
abufan	ɑ b uː f ɑ n
abugan	ɑː b uː ɡ ɑ n
ac	ɑ k
ac	ɑː k
acan	ɑ k ɑ n
accent	ɑ k k e n t
acennan	ɑː k e n n ɑ n
acennedlic	ɑː k e n n e d l iː t͡ʃ
acierran	ɑː t͡ʃ i͜y r r ɑ n
acnyssan	ɑː k n y s s ɑ n
acol	ɑː k o l
acsian	ɑː k s i ɑ n
acsung	ɑː k s u n ɡ
acumendlic	ɑː k u m e n d l iː t͡ʃ
acwelan	ɑː k w e l ɑ n
acwelaþ	ɑː k w e l ɑ θ
acwele	ɑː k w e l e
acwelen	ɑː k w e l e n
acweorna	ɑː k w e͜o r n ɑ
acweorran	ɑː k w e͜o r r ɑ n
acweþan	ɑː k w e θ ɑ n
acwician	ɑː k w i k i ɑ n
acwilþ	ɑː k w i l θ
acwinan	ɑː k w iː n ɑ n
acwincan	ɑː k w i n k ɑ n
acwolen	ɑː k w o l e n
acwæl	ɑː k w æ l
acwæle	ɑː k w æː l e
acwælon	ɑː k w æː l o n
acyrran	ɑː t͡ʃ y r r ɑ n
acyrrednes	ɑː t͡ʃ y r r e d n e s
ad	ɑː d
adeadian	ɑː d æ͜ɑː d i ɑ n
adeliht	ɑ d e l i x t
ademan	ɑː d eː m ɑ n
adesa	ɑ d e s ɑ
adihtan	ɑː d i x t ɑ n
adilegian	ɑː d i l e ɡ i ɑ n
adilgian	ɑː d i l ɡ i ɑ n
adl	ɑː d l
adlian	ɑː d l i ɑ n
adlieg	ɑː d l i͜yː j
adlig	ɑː d l i j
adrencan	ɑː d r e n t͡ʃ ɑ n
adreogan	ɑː d r e͜oː ɡ ɑ n
adrincan	ɑː d r i n k ɑ n
adustrian	ɑ d uː s t r i ɑ n
adælan	ɑː d æː l ɑ n
afaran	ɑː f ɑ r ɑ n
affrica	ɑ f f r i k ɑ
afigen	ɑː f i j e n
afol	ɑ f o l
afon	ɑː f oː n
afor	ɑː f o r
afremdan	ɑː f r e m d ɑ n
afremdung	ɑː f r e m d u n ɡ
afulic	ɑ f u l iː t͡ʃ
afyllan	ɑː f y l l ɑ n
agalan	ɑː ɡ ɑ l ɑ n
agan	ɑː ɡ ɑ n
agan	ɑː ɡ ɑː n
agangan	ɑː ɡ ɑ n ɡ ɑ n
agen	ɑ j eː n
agen	ɑː ɡ e n
agend	ɑː ɡ e n d
agendfrea	ɑː ɡ e n d f r æ͜ɑː
agengecyrran	ɑ j eː n j e t͡ʃ y r r ɑ n
agengehweorfan	ɑ j eː n j e x w e͜o r f ɑ n
agenslaga	ɑː ɡ e n s l ɑ ɡ ɑ
agenspræc	ɑː ɡ e n s p r æː t͡ʃ
agenung	ɑː ɡ e n u n ɡ
agiefan	ɑː j i͜y f ɑ n
agiemeleasian	ɑː j i͜yː m e l æ͜ɑː s i ɑ n
agifan	ɑː j i f ɑ n
aglæca	ɑː ɡ l æː t͡ʃ ɑ
agnettan	ɑː ɡ n e t t ɑ n
agnian	ɑː ɡ n i ɑ n
agrapian	ɑː ɡ r ɑː p i ɑ n
agrisan	ɑː ɡ r iː s ɑ n
agymeleasian	ɑː j yː m e l æ͜ɑː s i ɑ n
ah	ɑ x
ahabban	ɑː x ɑ b b ɑ n
ahatan	ɑː x ɑː t ɑ n
aheardian	ɑː x æ͜ɑ r d i ɑ n
aheardung	ɑː x æ͜ɑ r d u n ɡ
aheawan	ɑː x æ͜ɑː w ɑ n
ahebban	ɑː x e b b ɑ n
ahierdan	ɑː x i͜y r d ɑ n
ahierding	ɑː x i͜y r d i n ɡ
ahlehhan	ɑː x l e x x ɑ n
ahleoþrian	ɑː x l e͜oː θ r i ɑ n
ahliehhan	ɑː x l i͜y x x ɑ n
ahon	ɑː x oː n
ahreran	ɑː x r eː r ɑ n
ahte	ɑː h t e
ahweorfan	ɑː x w e͜o r f ɑ n
ahycgan	ɑː x y j j ɑ n
ahyrdan	ɑː x y r d ɑ n
al	ɑː l
alan	ɑ l ɑ n
ald	ɑ l d
alda	ɑ l d ɑ
aldor	ɑ l d o r
aldorleas	ɑ l d o r l æ͜ɑː s
aldwine	ɑ l d w i n e
alecgan	ɑː l e j j ɑ n
alegd	ɑː l e j d
alfæt	ɑː l f æ t
alh	ɑ l x
alibban	ɑ l i b b ɑ n
alibbend	ɑ l i b b e n d
aliefan	ɑː l i͜yː f ɑ n
aliesan	ɑː l i͜yː s ɑ n
alimpan	ɑː l i m p ɑ n
all	ɑ l l
alles	ɑ l l e s
allic	ɑ l l iː t͡ʃ
alor	ɑ l o r
alyfan	ɑː l yː f ɑ n
alysan	ɑː l yː s ɑ n
alædan	ɑː l æː d ɑ n
amarian	ɑː m ɑ r i ɑ n
amasian	ɑː m ɑ s i ɑ n
ambeaht	ɑ m b æ͜ɑ x t
ambeht	ɑ m b e x t
ambehtan	ɑ m b e x t ɑ n
amber	ɑ m b e r
ambiht	ɑ m b i x t
amearcian	ɑː m æ͜ɑ r k i ɑ n
ametan	ɑː m e t ɑ n
ametendlic	ɑː m e t e n d l iː t͡ʃ
