abaich	a p ɪ ç
abhag	a f a k
acair	aˣ k ə ɾ
acras	aʰ kʰ ɾ ə s̪
adhbhar	ɤː v ə ɾ
adhbharaich	ɤː v ə ɾ ɪ ç
adhbran	ɤː p ɾ a n
adhbrann	ɤː p ɾ ə n̪ˠ
agair	a ɡ ɪ rʲ
agairt	a ɡ ɪ rʲ dʲ
agallamh	a k ə l̪ˠ ə v
agam	a k ə m
aghaidh	ɤː ɪ
agus	a k ə s
agus	a ɣ ə s
aibhne	a i v ɲ ɪ
aig	e k
aighearach	a ɪ ə r ə x
aillse	a ɪ l ʃʲ ə
ailp	a ɫ p
ailt	a l tʲ
aimhreid	a i v ɾʲ ɪ tʲ
aimsir	ɛ m i ʃ ɪ ɾʲ
aimsir	ɛ m ɛ ʃ ɪ ɾʲ
ainbheach	ɛ n ɛ v ə x
aindeònach	a ɲ ɔ n ə x
aingeal	ã ĩ ŋʲ kʲ ə l̪ˠ
ainmich	ɛ n ɛ m j ɪ ç
ainneamh	a n̪ˠ ə v
ainneart	a ɲ ə ɾ ʃ t̪
ainneartaich	a ɲ ə ɾ ʃ t̪ ɪ ç
air	ɛ rʲ
airidh	a rʲ ɪ
aitreabh	a h tʰʲ ɾʲ ə v
alba	a ɫ̪ a p ə
albannach	a l̪ˠ a b ə n̪ˠ ə x
albàinis	a ɫ̪ p ɛː n ɪ ʃ
alcol	a ɫ̪ kʰ ɔ ɫ̪
alcolach	a ɫ̪ kʰ ɔ ɫ̪
allaidh	a ɫ i
allmharach	a l̪ˠ a v ə r ə x
an	a n
an	ə n
anabarrach	a n a p a rˠ ə x
anmhann	a n a v ə n̪ˠ
ann	a u n̪ˠ
annag	a n̪ˠ a k
aodach	ɯː t̪ ə x
aodh	ɯː ɣ
aoghaire	ɯː ɛ ɾʲ
aoibhneas	ɤ j ɲ ə s
aoigh	ɯ iʲ
aoine	ɯː ɲ ə
aon	ɯː n
aontamhach	ɯː n̪ t̪ʰ ə v ə x
aontamhachd	ɯː n̪ t̪ʰ ə v ə x ɡ
aosda	ɯ s d ə
arc	a r x k
arm	a ɾ a m
athair	a h ə ɾʲ
bacadh	p aʰ k ə ɣ
baile	p a l ɪ
bainne	p a ɲ ɪ
bainne	p ɔ ɲ ə
bainne	p ɛ ɲ ə
baintighearna	b a n t͡ʃ j a r n ə
baist	b a ʃ t ʃ
balach	p a ɫ̪ ə x
ball	p a u l̪ˠ
balla	p a ɫ̪ ə
banail	p ɑ n ə l
bann	p a u n̪ˠ
baoghalta	b ɯː ə l t ə
baoiseachd	p ɯː ʃ a x k
baoth	p ɯː
barail	b a r a l
barra	p a rˠ ə
basgaid	p a s k ɪ tʲ
beach	p ɛ x
beachan	p ɛ x a n
beag	p e k
beag	p i k
beagan	p e k a n
bealach	p j a ɫ̪ ə x
bealaruisis	b j a l̪ˠ ə r u ʃ ɪ ʃ
bealltainn	b̥ j a u ɫ̪ t̪ ɪ ɲ
bean	p ɛ n
beann	p j a u n̪ˠ
beatha	p ɛ h ə
beathag	pʲ a h a k
beathan	pʲ a h a n
beinn	b e i ɲ
beinne	b e ɲ ə
beul	p i a ɫ̪
beurla	b j ɤː rˠ l̪ˠ ə
beus	p eː s
beò	p j ɔː
bhean	v ɛ n
bheil	v e l
bhun	v u n
biastag	p i ə s t a k
bigein	p i kʲ ɪ ɲ
binn	p iː ɲ
