aga	a ɡ a
ai	a j
apresina	a p r e s i n a
asema	a s e m a
bai	b a i̯
bangi	b a ŋ i
barki	b a r k i
batra	b a t r a
batyaw	b a t͡ʃ a w
bedi	b e d i
begi	b e ɡ i
bere	b e r e
beri	b e r i
bigi	b i ɡ i
bigin	b i ɡ i n
biri	b i r i
bita	b i t a
bo	b o
bobi	b o b i
bori	b o r i
boy	b o i̯
brada	b r a d a
bradi	b r a d i
brede	b r e d e
bro	b r o
broko	b r o k o
bubu	b u b u
buku	b u k u
busi	b u s i
dagu	d a ɡ u
daki	d a k i
dalèk	d a l ɛ k
damsko	d a m s k o
dansi	d a n s i
dati	d a t i
datra	d a t r a
de	d e
dede	d e d e
dei	d e i̯
den	d e n
dia	d i a
didon	d i d o n
dipi	d i p i
disi	d i s i
dofu	d o f u
doksi	d o k s i
doti	d o t i
dri	d r i
dringi	d r i ŋ i
drungu	d r u ŋ u
duku	d u k u
dungru	d u ŋ r u
dyogo	d͡ʒ o ɡ o
dyu	d͡ʒ u
ede	e d e
eksi	e k s i
esde	e s d e
esrede	e s r e d e
fatu	f a t u
faya	f a j a
feti	f e t i
finga	f i ŋ a
fisi	f i s i
fo	f o
fosi	f o s i
foto	f o t o
futu	f u t u
gado	ɡ a d o
gi	d͡ʒ i
gi	ɡ i
go	ɡ o
gon	ɡ o n
gotro	ɡ o t r o
gridi	ɡ r i d i
kabisi	k a b i s i
kabisi	t͡ʃ a b i s i
kanari	k a n a r i
kandra	k a n d r a
kaw	k a w
kiri	k i r i
kondre	k o n d r e
kosi	k o s i
koto	k o t o
kragi	k r a ɡ i
kromanti	k r o m a n t i
lafu	l a f u
lasi	l a s i
leki	l e k i
leti	l e t i
lobi	l o b i
luku	l u k u
man	m a n
meti	m e t i
mi	m i
miri	m i r i
mofo	m o f o
moni	m o n i
moro	m o r o
mun	m u n
mus	m u s
na	n a
nai	n a i̯
nefi	n e f i
nofo	n o f o
noso	n o s o
nyun	ɲ u n
oli	o l i
olo	o l o
oni	o n i
oso	o s o
oto	o t o
pesi	p e s i
peti	p e t i
piki	p i k i
pikin	p i c i n
pikin	p i t ʃ i n
pikin	p t͡ʃ i ŋ
pisi	p i s i
poti	p o t i
prei	p r e i̯
sa	s a
sabi	s a b i
sarki	s a r k i
sipi	s i p i
skowtu	s k o u̯ t u
skrifi	s k r i f i
smara	s m a r a
smeri	s m e r i
smoko	s m o k o
sneki	s n e k i
spuku	s p u k u
spun	s p u n
stari	s t a r i
ston	s t o n
strati	s t r a t i
sukru	s u k r u
swa	s w a
sweri	s w e r i
syi	ʃ i
taki	t a k i
tapu	t a p u
te	t e
teki	t e k i
tifi	t i f i
tiki	t i k i
tongo	t o ŋ o
tranga	t r a ŋ a
tyari	t ʃ a r i
udu	u d u
uma	u m a
unu	u n u
wagi	w a ɡ i
wasi	w a s i
watra	w a t r a
wi	w i
wiki	w i k i
winti	w i n t i
wipi	w i p i
wowoyo	wː o j o
yana	j a n a
yanda	j a n d a
yu	j u
