ؠ	ʲ
آب	aː b
آزاد	aː z aː d
آسُن	aː s u n
آپراوُن	aː p r aː ʋ u n
اوٚبُر	o b u r
اَتھٕ	a tʰ ɨ
اَتھہٕ	a tʰ ɨ
اَرٕداہ	a r ɨ d aː h
اَنٛگریٖزؠ	a ŋ ɡ r iː zʲ
اَنٛگریٖزؠ	ã ɡ r iː zʲ
اَکھ	a kʰ
بوزُن	b oː z u n
بوی	b oː j
بَلُن	b a l u n
بٕہ	b ɨ
بہٕ	b ɨ
ترٛےٚ	t r e
تَرُن	t a r u n
تَگُن	t a ɡ u n
خلق	kʰ a l ɨ k
دارُن	d aː r u n
دٔہ	d aː h
دۄد	d ɔ d
روٗد	r uː d
رِوُن	r i w u n
زؠو	zʲ a w
زَبان	z a b aː n
زُر	z u r
زٕ	z ɨ
زیٛو	zʲ a w
سَتھ	s a tʰ
سَرُپھ	s a r u pʰ
شال	ʃ aː l
شمال	ʃ ɨ m aː l
شُر	ʃ u r
شُراہ	ʃ u ɾ a h
صِفَر	s i f a r
لیَو	lʲ a v
لیَوان	lʲ ɜ v aː n
ماس	m aː s
مام	m aː m
موج	m oː d͡ʒ
مول	m oː l
مَرُن	m a r u n
مَنٛگُن	m a ŋ ɡ u n
نَب	n a b
نَشُن	n a ʃ u n
نَنُن	n a n u n
نَو	n a w
نیٚچُو	n e t͡ʃ uː w
واتُن	ʋ aː t u n
ووٗنٛٹ	w ũː ʈ
وَدُن	ʋ a d u n
ٔ	ə
ٕ	ɨ
ٟ	ɨː
ٲ	əː
ٲٹھ	əː ʈʰ
ٳ	ɨː
پانٛژھ	p ãː n t͡sʰ
پوٗرُن	p uː ɾ u n
پَرُن	p a r u n
پیٔٛتٕر	p j ə t ɨ r
چھَلُن	t͡ʃʰ a l u n
چھَک	t ʃʰ a k
چھَکُن	t͡ʃʰ a k u n
چھُ	t ʃʰ u
چھُک	t͡ʃ u k
چھہ	t ʃʰ ə
ژارُن	t͡s aː r u n
ژور	t͡s oː r
ژوٗنٛٹھ	t͡s ũː ʈʰ
ژَتجی	t s a d d ʒ i h
ژٕ	t͡s ɨ
ژھانٛڈُن	t͡sʰ ãː ɖ u n
ژۄداہ	t͡s ɔ d aː h
کانٛدُر	k ãː d u r
کوه	k ɔ h
کوٗر	k uː r
کَرُن	k a r u n
کَن	k a n
کُل	k u l
کُکِل	k u k i l
کٔشیٖر	k ə ʃ iː r
کٲشُر	k əː ʃ u r
کٲم	k əː m
گام	ɡ aː m
گَرُن	ɡ a r u n
گُر	ɡ u r
ہَرُد	h a r u d
ہِہُر	h i h u r
ہیٚچھُن	h e t͡ʃʰ u n
