aa	ɑː
aada	ɑː d ɑ
aadolf	ɑː d o̞ l f
aah	ɑː h
aake	ɑː k e̞
aakkonen	ɑː kː o̞ n e̞ n
aakkosellinen	ɑː kː o̞ s̠ e̞ lː i n e̞ n
aakkosellisuuden	ɑː kː o̞ s̠ e̞ lː i s̠ uː d e̞ n
aakkosen	ɑː kː o̞ s̠ e̞ n
aakkoset	ɑː kː o̞ s̠ e̞ t̪
aakkosjärjestys	ɑː kː o̞ s̠ j æ r j e̞ s̠ t̪ y s̠
aakkoslukko	ɑː kː o̞ s̠ l u kː o̞
aakkosnimi	ɑː kː o̞ s̠ n i m i
aakkosnumeerinen	ɑː kː o̞ s̠ n u m e̞ː r i n e̞ n
aakkosta	ɑː kː o̞ s̠ t̪ ɑ
aakkosta	ɑː kː o̞ s̠ t̪ ɑ ʔ
aakkostaa	ɑː kː o̞ s̠ t̪ ɑː ʔ
aakkostaminen	ɑː kː o̞ s̠ t̪ ɑ m i n e̞ n
aakkoston	ɑː kː o̞ s̠ t̪ o̞ n
aakkostuksen	ɑː kː o̞ s̠ t̪ u k s̠ e̞ n
aalloittaisuuden	ɑː lː o̞ i̯ t̪ t̪ ɑ i̯ s̠ uː d e̞ n
aallokas	ɑː lː o̞ k ɑ s̠
aallokkoinen	ɑː lː o̞ k k o̞ i̯ n e̞ n
aallonmurtaja	ɑː lː o̞ m m u r t̪ ɑ j ɑ
aallot	ɑː lː o̞ t̪
aallota	ɑː lː o̞ t̪ ɑ ʔ
aallotar	ɑː lː o̞ t̪ ɑ r
aallottaa	ɑː lː o̞ t̪ː ɑː ʔ
aallotuskartonki	ɑː lː o̞ t̪ u s̠ k ɑ r t̪ o̞ ŋ k i
aaloe	ɑː l o̞ e̞
aalto	ɑː l t̪ o̞
aaltoa	ɑː l t̪ o̞ ɑ
aaltoa	ɑː l t̪ o̞ ɑ ʔ
aaltoaminen	ɑː l t̪ o̞ ɑ m i n e̞ n
aaltoileminen	ɑː l t̪ o̞ i̯ l e̞ m i n e̞ n
aaltoileva	ɑː l t̪ o̞ i̯ l e̞ ʋ ɑ
aaltoilla	ɑː l t̪ o̞ i̯ lː ɑ ʔ
aaltoillen	ɑː l t̪ o̞ i̯ lː e̞ n
aaltoimpedanssi	ɑː l t̪ o̞ i m p e̞ d ɑ n s̠ː i
aaltonauha	ɑː l t̪ o̞ n ɑ u̯ ɦ ɑ
aaltopaketti	ɑː l t̪ o̞ p ɑ k e̞ t̪ː i
aaltoputki	ɑː l t̪ o̞ p u t̪ k i
aaltoryhmä	ɑː l t̪ o̞ r y ç m æ
aaltosulku	ɑː l t̪ o̞ s̠ u l k u
aaltoviiva	ɑː l t̪ o̞ ʋ iː ʋ ɑ
aaltovoima	ɑː l t̪ o̞ ʋ o̞ i̯ m ɑ
aamen	ɑː m e̞ n
aami	ɑː m i
aamiainen	ɑː m i ɑ i̯ n e̞ n
aamiaismajoitus	ɑː m i ɑ i̯ s̠ m ɑ j o̞ i̯ t̪ u s̠
aamiaistaa	ɑː m i ɑ i̯ s̠ t̪ ɑː ʔ
aamu	ɑː m u
aamuhämärä	ɑː m u h æ m æ r æ
aamuinen	ɑː m u i̯ n e̞ n
aamuisin	ɑː m u i̯ s̠ i n
aamukahvi	ɑː m u k ɑ x ʋ i
aamukaksi	ɑː m u k ɑ k s̠ i
aamukaksitoista	ɑː m u k ɑ k s̠ i t̪ o̞ i̯ s̠ t̪ ɑ
aamukolme	ɑː m u k o̞ l m e̞
aamukuusi	ɑː m u k uː s̠ i
aamukymmenen	ɑː m u k y mː e̞ n e̞ n
aamulepakko	ɑː m u l e̞ p ɑ kː o̞
aamuneljä	ɑː m u n e̞ l j æ
aamupala	ɑː m u p ɑ l ɑ
aamupesu	ɑː m u p e̞ s̠ u
aamupuuro	ɑː m u p uː r o̞
aamupäivä	ɑː m u p æ i̯ ʋ æ
aamuseitsemän	ɑː m u s̠ e̞ i̯ t s̠ e̞ m æ n
aamutee	ɑː m u t̪ e̞ː
aamutuimaan	ɑː m u t̪ u i̯ m ɑː n
aamutyö	ɑː m u t̪ y ø̞̯
aamutähti	ɑː m u t̪ æ h t̪ i
aamuviisi	ɑː m u ʋ iː s̠ i
aamuvuoro	ɑː m u ʋ u o̞̯ r o̞
aamuyhdeksän	ɑː m u y ç d e̞ k s̠ æ n
aamuyksi	ɑː m u y k s̠ i
aamuyksitoista	ɑː m u y k s̠ i t̪ o̞ i̯ s̠ t̪ ɑ
aamuyö	ɑː m u y ø̞̯
aapa	ɑː p ɑ
aapasara	ɑː p ɑ s̠ ɑ r ɑ
aapasuo	ɑː p ɑ s̠ u o̞̯
