а	ɑ
адам	ɑ d ɑ m
аймақ	a j m a q
алғырлық	ɑ l ʁ ə r l ə q
ауғанстан	ɑ w ʁ ɑ n s t ɑ n
ақыл	ɑ q ɯ l
б	b
байы	b ɑ j ə
баю	b ɑ j u
бақа	b ɑ q ɑ
бірқазан	b ɘ r q ɑ z ɑ n
біту	b i t ʊ w
в	v
г	ɡ
гүлстан	ɡ ʉ l s t ɑ n
д	d
деу	d ɪ̯ e w
дәстүр	d æ s t y r
е	ʲe
ж	ʒ
жаман	d ʒ a m a n
жапония	ʒ ɑ p o n i j ɑ
жақсы	d ʒ a q s ɯ
жер	d ʒ e r
жомарт	ʒ o m ɑ r t
жоңышқа	ʒ o ŋ ə ʃ q ɑ
жүнісов	ʒ ʉ n ɪ s ɑ f
з	z
заман	z ɑ m ɑ n
зар	z a r
заң	z a ŋ
и	ə j
иық	i j ɨ q
иық	i j ɨ x
иық	ə j ə q
иық	ə j ə x
иық	ɪ j ɨ q
иық	ɪ j ɨ x
й	j
к	k
көже	k œ ʒ e
көке	k ø kʲ e
л	l
м	m
мал	m ɑ l
мемлекет	m e m l e k e t
моңғолия	m o ŋ ʁ o l i j ɑ
н	n
о	o
облыстық	o b l ə s t ə q
п	p
патшалық	p ɑ t ʃ ɑ l ə q
р	r
ресейлік	ɾʲ ɘ sʲ ɘ j l ɘ k
республикалық	ɾ e s p u b l i k a l ə q
с	s
сарбаз	s ɑ r b ɑ z
соң	s ɔ ŋ
су	s ʊ w
сүгірбаев	s ʉ ɡ ɪ r b ɑ j e f
сәбіз	s æ b ɘ z
сәуле	s æ w lʲ e
т	t
тартыншақтық	t ɑ r t ə n ʃ ɑ q t ə q
тартыншақтық	t ɑ r t ə n ʃ ɑ q t ə x
тартыншақтық	t ɑ r t ɨ n ʃ ɑ q t ɨ q
тартыншақтық	t ɑ r t ɨ n ʃ ɑ q t ɨ x
тас	t ɑ s
туған	t ʊ w ɣ ɑ n
тіл	t ɘ l
түркия	t ʉ r kʲ ɪ j ə
түсіну	t ʉ s ɘ n ʉ w
у	u w
у	w
у	y w
у	ʉ w
у	ʊ w
ф	f
х	x
ц	t͡s
ч	t͡ʃ
ш	ʃ
щ	ɕ
ы	ə
э	e
ю	j ʊ w
я	j ɑ
ё	ʲo
і	i
ішу	ɪ ʃ ʉ w
ғ	ɣ
ғашық	ʁ a ʃ ə q
қ	q
қабық	q ɑ b ə q
қазақ	q ɑ z ɑ q
қазақстан	q ɑ z ɑ q s t ɑ n
қазақстандық	q ɑ z ɑ q s t ɑ n d ə q
қазақы	q ɑ z ɑ q ə
қан	q ɑ n
қанат	q ɑ n ɑ t
қара	q ɑ ɾ ɑ
қарақ	q ɑ r ɑ q
қол	q o l
қызылша	q ə z ə l ʃ ɑ
қымыз	q ɯ m ɯ z
қытай	q ə t a j
қытайлық	q ə t a j l ə q
құс	q ʊ s
ң	ŋ
ү	ʉ
үркер	ʉ ɾ kʲ ɘ ɾ
ұ	ʊ
һ	h
ә	æ
әдебиетші	æ dʲ e b ɘ jː e t ʃ ɘ
әдет	æ dʲ e t
әнші	æ n ʃ ɘ
ө	œ
өзбекстандық	ø z bʲ ɘ k s t ɑ n d ə q
