ᄀᆞ르	k ɒ ɾ ɨ
ᄀᆞ리	k ɒ ɾ i
ᄁᆞ늘다	k ɒ n ɨ ɭ d a̠
ᄂᆞᄆᆞᆯ	n ɒ m ɒ ɭ
ᄂᆞ시	n ɒ ɕʰ i
ᄃᆞᆯ뱅이	t ɒ ɭ b æ ŋ i
ᄃᆞ람지	t ɒː ɾ a̠ m d͡ʑ i
ᄄᆞᆯ	t͈ ɒ ɭ
ᄆᆞ슬	m ɒ sʰ ɨ ɭ
ᄇᆞᆯ끈	p ɒ ɭ k͈ ɨ n
ᄉᆞ이	sʰ ɒ i
ᄉᆞ춘	sʰ ɒː t͡ɕʰ u n
ᄋᆢᆯ매	j ɒ ɭ m æ
ᄌᆞ미지다	t͡ɕ ɒ m i d͡ʑ i d a̠
ᄌᆞ심히	t͡ɕ ɒ ɕʰ i m h i
ᄌᆞ오침	t͡ɕ ɒ o̞ t͡ɕʰ i m
ᄒᆞᆨ게	h ɒ k̚ k͈ e̞
ᄒᆞᆫ펜	h ɒ n pʰ e̞ n
ᄒᆞ고	h ɒ ɡ o̞
ᄒᆞ곡	h ɒ ɡ o̞ k̚
ㅂ네다	m n e̞ d a̠
ㅅ	s
가름	k a̠ ɾ ɨ m
가리	k a̠ ɾ i
가부간	k a̠ b u ɡ a̠ n
가시아방	k a̠ ɕʰ i a̠ b a̠ ŋ
가차이	k a̠ t͡ɕʰ a̠ i
각시	k a̠ k ʃ͈ i
강생이	k a̠ ŋ sʰ æ ŋ i
거무룽ᄒᆞ다	k ə m u ɾ u ŋ h ɒ d a̠
거짓거	k əː d͡ʑ i t̚ k͈ ə
겁자	k ə p̚ t͡ɕ͈ a̠
게	k e̞
고나	k o̞ n a̠
고레사니	k o̞ ɾ e̞ sʰ a̠ n i
고와리	k o̞ sʰ a̠ ɾ i
고쩌	k o̞ t͈ ɕ ə
골히	k o̞ ɾ ɦ i
공븨ᄒᆞ다	k o̞ ŋ b i ɦ ɒ d a̠
굼부리	k u m b u ɾ i
궂다	k u t̚ t͈ a̠
권작	k w ə ɲ d͡ʑ a̠ k̚
금승	k ɨ m sʰ ɨ ŋ
기실	k i ɕʰ i ɭ
꼿	k͈ o̞ t̚
꼿밧	k͈ o̞ t̚ p͈ a̠ t̚
나	n a̠
나시다	n a̠ ɕʰ i d a̠
날씨	n a̠ ɭ ʃ͈ i
내치다	n æ t͡ɕʰ i d a̠
너내	n ə n æ
네	n e̞
노렴	n o̞ː ɾ j ə m
놀다	n o̞ː ɭ d a̠
놀이개	n o̞ ɾ i ɡ æ
늬귀	n iː ɡ w i
님금	n iː m ɡ ɨ m
다히다	t a̠ ɦ i d a̠
대국	t ɛ ɡ u k̚
도	t o̞
도왜다	t o̞ː w ɛ d a̠
동고리	t o̞ ŋ ɡ o̞ ɾ i
동모	t o̞ ŋ m o̞
두	t uː
두덥다	t ə d ə p̚ t͈ a
두리다	t u ɾ i d a̠
둘	t uː ɭ
또까또까	t͈ o̞ k͈ a̠ t͈ o̞ k͈ a̠
뜨다	t͈ ɨ d a̠
맛엇다	m a̠ d ə t̚ t͈ a̠
매비	m ɛ b i
머력	m ə ɾ j ə k
메날	m e̞ː n a̠ ɭ
메웁다	m e̞ u p̚ t͈ a̠
메치	m e̞ t͡ɕʰ i
멘헤	m e̞ n ɦ e̞
멩령	m e̞ː ŋ n j ə ŋ
몸짐	m o̞ m d͡ʑ i m
무시다	m u ɕʰ i d a̠
문세	m u n sʰ e̞
물알	m u ɾ a̠ ɭ
미	m i
미깡	m i k͈ a̠ ŋ
미녕실	m i n j ə ŋ ɕ͈ i
미리내	m i ɾ i n æ
바툼	p a̠ tʰ u m
반ᄃᆞᆯ	p a̠ n d ɒ ɭ
발강ᄒᆞ다	p͈ a ɭ ɡ a ŋ h ɒ d a
발락	p a̠ ɭ ɭ a̠ k̚
방둥이	p a̠ ŋ d u ŋ i
번짜	p ə ɲ t͡ɕ͈ a̠
베와주다	p e̞ w a̠ d͡ʑ u d a̠
벨장게	p e̞ ʎ d͡ʑ a̠ ŋ ɡ e̞
보롬날	p o̞ ɾ o̞ m n a̠ ɭ
복송	p o̞ k s͈ o̞ ŋ
불껑	p u ɭ k͈ ə ŋ
비들귀	p i d ɨ ɭ ɡ w i
빚채	p iː t̚ t͡ɕʰ æ
빨강ᄒᆞ다	p͈ a ɭ ɡ a ŋ h ɒ d a
뽕	p͈ o̞ ŋ
사과	sʰ a̠ ɡ w a̠
사농개	sʰ a̠ n o̞ ŋ ɡ æ
새각시	sʰ æ ɡ a̠ k ʃ͈ i
색깔	sʰ æ k̚ k͈ a̠ ɭ
서을	sʰ ə ɨ ɭ
선싕	sʰ ə n ʃʰ i ŋ
성	sʰ ə ŋ
성님	sʰ ə ŋ n i m
성제	sʰ ə ŋ d͡ʑ e̞
성하르방	sʰ ə ŋ h a̠ ɾ ɨ b a̠ ŋ
세파랑ᄒᆞ다	sʰ e̞ pʰ a̠ ɾ a̠ ŋ ɦ ɒ d a̠
셋	sʰ e̞ː t̚
셍ᄉᆞ	sʰ e̞ ŋ sʰ ɒ
소곱	sʰ o̞ ɡ o̞ p̚
손지	sʰ o̞ ɲ d͡ʑ i
쉬염	ɕʰ w i j ə m
식게	ɕʰ i k̚ k͈ e̞
실피	ɕʰ i ɭ pʰ i
심	ɕʰ i m
심방	ʃ i m b a̠ ŋ
십관	ɕʰ i p̚ k͈ w a̠ n
싯	ɕʰ i t̚
싸무랍다	s͈ a̠ m u ɾ a̠ p̚ t͈ a̠
씨동승	ɕ͈ʰ i d o̞ ŋ sʰ ɨ ŋ
씨아방	ɕ͈ʰ i a̠ b a̠ ŋ
씨아주방	ɕ͈ʰ i a̠ d͡ʑ u b a̠ ŋ
씨어멍	ɕ͈ʰ i ə m ə ŋ
아덜	a̠ d ɨ ɭ
아명ᄒᆞ다	a̠ m j ə ŋ ɦ ɒ d a̠
아방	a̠ b a̠ ŋ
아벰	a̠ b e̞ m
아시예	a̠ ɕʰ i j e̞
아장	a̠ d͡ʑ a̠ ŋ
아주방	a d͡ʑ u b a ŋ
아피	a̠ pʰ i
악매	a̠ ŋ m æ
알칭	a̠ ʎ t͡ɕʰ i ŋ
야단치다	j a̠ d a̠ ɲ t͡ɕ i d a̠
야칸	j a̠ː kʰ a̠ n
어멍	ə m ə ŋ
엄벙덤벙	ə m b ə ŋ d ə m b ə ŋ
에비아ᄃᆞᆯ	e̞ b i a̠ d ɒ ɭ
여시	j ə ɕʰ i
여이다	j ə i d a̠
여재	j ə d͡ʑ æ
여조케	j ə d͡ʑ o̞ kʰ e̞
연기	j ə n ɡ i
열	j ə ɭ
예숙제낄락	j e̞ sʰ u k̚ t͡ɕ͈ e̞ k͈ i ɭ ɭ a̠ k̚
예점	j e̞ d͡ʑ ə m
예점	j e̞ː d͡ʑ ə m
온앵	o̞ n æ ŋ
요왕	j o̞ w a̠ ŋ
우게	u ɡ e̞
우리나라	u ɾ i n a̠ ɾ a̠
웃드르	u t̚ t͈ ɨ ɾ ɨ
원셍이	w əː n sʰ e̞ ŋ i
웨하르방	w e̞ h a̠ ɾ ɨ b a̠ ŋ
웽이	w e̞ ŋ i
으룬	ɨ ɾ u n
으쿠다	ɨ kʰ u d a̠
음묵	ɨ m m u k̚
의염의염	ɰ i j ə m ɰ i j ə m
이디	i d i
일	i ɭ
일끔	i ɭ k͈ ɯ m
일천	i ʎ t͡ɕʰ ə n
입중	i p̚ t͡ɕ͈ u ŋ
작반	t͡ɕ a̠ k̚ p͈ a̠ n
제벱	t͡ɕ e̞ b e̞ p̚
제비생이	t͡ɕ e̞ b i sʰ æ ŋ i
제집	t͡ɕ e̞ː d͡ʑ i p̚
조쟁이	t͡ɕ o̞ d͡ʑ æ ŋ i
족은아방	t͡ɕ o̞ ɡ ɨ n a̠ b a̠ ŋ
족은어멍	t͡ɕ o̞ ɡ ɨ n ə m ə ŋ
졸바로	t͡ɕ o̞ ɭ p͈ a̠ ɾ o̞
줄ᄃᆞᆼ길락	t͡ɕ u ɭ d ɒ ŋ ɡ i ɭ ɭ a̠ k̚
줌칫	t͡ɕ u m t͡ɕʰ i t̚
지	t͡ɕ i
지집	t͡ɕ iː d͡ʑ i p̚
집	t͡ɕ i p̚
처왐	t͡ɕʰ ə w a̠ m
천지만지	t͡ɕʰ ə ɲ d͡ʑ i m a̠ ɲ d͡ʑ i
쳇	t͡ɕʰ e̞ t̚
초싱ᄃᆞᆯ	t͡ɕʰ o̞ ɕʰ i ŋ t͈ ɒ ɭ
총뽀롱이	t͡ɕʰ o̞ ŋ p͈ o̞ ɾ o̞ ŋ i
큰아방	kʰ ɨ n a̠ b a̠ ŋ
큰어멍	kʰ ɨ n ə m ə ŋ
퉤끼	tʰ w e̞ k͈ i
튼봉ᄉᆞ	tʰ ɨ n b o̞ ŋ sʰ ɒ
펜안ᄒᆞ다	pʰ e̞ n a̠ n ɦ ɒ d a̠
하르바님	h a̠ ɾ ɨ b a̠ n i m
할망	h a̠ ɭ m a̠ ŋ
할이	h a̠ ɾ i
함박눈	h a̠ m b a̠ ŋ n u n
해섬	h æː sʰ ə m
헙개미	h ə p̚ k͈ ɛ m i
헤양ᄒᆞ다	h e̞ː j a̠ ŋ h ɒ d a̠
호렝이	h o̞ ɾ e̞ ŋ i
홀아방	h o̞ ɭ ɭ a̠ b a̠ ŋ
홀어멍	h o̞ ɭ ɭ ə m ə ŋ
홍압	h o̞ ŋ a̠ p̚
훍다	h uː k̚ t͈ a̠
흑	h ɨ k̚
흑벡	h ɨ k p͈ e̞ k̚
