ং	ŋ
অ	o
অ	ɔ
অকাল	ɔ k a l
অঙ্গ	ɔ ŋ ɡ o
অঙ্গার	ɔ ŋ ɡ a r
অঞ্চল	ɔ n t ʃ ɔ l
অতিমঙ্গল্য	o t i m o ŋ ɡ o lː ɔ
অথচ	ɔ t̪ʰ ɔ t͡ʃ
অথবা	ɔ t̪ʰ ɔ b ɑ
অনুবাদক	ɔ n u b a d̪ ɔ k
অনুভব	ɔ n u bʱ ɔ b
অনুভব	ɔ n u v ɔ b
অনেক	ɔ n e k
অন্ন	ɔ nː ɔ
অভিধান	ɔ b i d a n
অভিধান	ɔ bʱ i dʱ a n
অভিধান	ɔ v i d a n
অভিধান	ɔ v i dʱ a n
অভিযোগ	ɔ bʱ i d ʒ o ɡ
অভিযোগ	ɔ v i d ʒ o ɡ
অরণ্য	ɔ ɾ o nː o
অর্থাৎ	ɔ r t̪ʰ a t̪
অশনি	ɔ ʃ o n i
অশোত	ɔ ʃ o t
অশ্বত্থ	ɔ ʃ w ɔ tːʰ ɔ
অশ্বত্থ	ɔ ʃː ɔ tʰː ɔ
অসুস্থ	ɔ ʃ u s tʰ ɔ
অসুস্থতা	ɔ ʃ u s tʰ ɔ t a
অ্যানথ্রাক্স	æ n t̪ʰ ɾ ɑ k s
আ	a
আংশিক	a ŋ ʃ i k
আইন	a i n
আওয়াজ	a w a d ʒ
আকাশ	a k a ʃ
আখ	a kʰ
আগুন	a ɡ u n
আগ্রাবাদ	a ɡ ɾ a b a d
আচরণ	a t ʃ o ɽ ɔ n
আচরণ	a t ʃ o ɾ ɔ n
আছে	a s e
আছে	a t ʃʰ e
আজ	a d ʒ
আজব	a d ʒ o b
আজান	a d ʒ a n
আজান	a z a n
আঞ্চলিক	a n t ʃ ɔ l i k
আঞ্চলিকতা	a n t ʃ ɔ l i k t̪ a
আণ্ডা	a ɳ ɖ a
আতশ	a t̪ o ʃ
আতশবাজি	a t̪ o ʃ b a d ʒ i
আতশবাজি	a t̪ o ʃ b a z i
আদা	ɑ d̪ ɑ
আদালত	a d̪ a l ɔ t̪
আদেশ	ɑ d̪ e ʃ
আন্দাজ	a n d̪ a z
আফসোস	a f s o s
আফসোস	a pʰ ʃ o ʃ
আবহাওয়া	a b o h a w a
আব্বা	a b b a
আব্বু	a b b u
আভিধানিক	a b i d a n i k
আভিধানিক	a bʱ i dʱ a n i k
আভিধানিক	a v i d a n i k
আভিধানিক	a v i dʱ a n i k
আম	ɑ m
আমড়া	a m ɽ a
আমলকী	a m l o k i
আমাদের	ɑ m ɑ d e r
আমার	ɑː m ɑ ɹ
আর	a r
আর	a ɹ
আরণ্যক	a ɾ o nː o k
আলাপ	a l a p
আলো	a l o
আশুতোষ	a ʃ u t o ʃ
আশোত	a ʃ o t
আসিফ	a s i f
ই	i
ইঁদুর	ĩ d u r
ইংরেজি	i ŋ ɽ e d z i
ইংরেজি	i ŋ ɽ e z i
ইংরেজি	i ŋ ɾ e d ʒ i
ইজ্জত	i d ʒ d ʒ o t̪
ইজ্জত	i z z o t̪
ইনশাআল্লাহ্	i n ʃ a a l l aʱ
ঈ	i
ঈগল	i ɡ ɔ l
উ	u
উট	u ʈ
উপজেলা	u p o d ʒ e l a
উপজেলা	u p o z e l a
উপত্যকা	u p ɔ t̪ː ɔ k a
উল্কি	u l k i
উষ্ণ	u ʃ n o
উৎপত্তি	u t̪ p ɔ t̪ː i
ঋ	r iː
ঋতু	ɾ i t̪ u
এ	e
এ	æ
এখন	æ kʰ ɔ n
এভাবে	e bʱ a b e
এভাবে	e v a b e
এলাকা	e l a k a
ঐ	o iː
ঐতিহাসিক	o i t̪ i ɦ ɑ s i k
ওঠা	o ʈʰ a
ওদের	ɔː ð ɛ ɹ
ওয়াদা	w a d a
ওস্তাদ	o s t̪ a d̪
ঔ	o u
ক	k ɔ
কখন	k ɒ kʰ ɒ n
কঠিন	k ɔ ʈʰ i n
কত	k ɔ t̪ o
কদম	k ɔ d ɔ m
কদু	k o d̪ u
কনকচাঁপা	k ɔ n ɔ k c ã p a
কন্ডম	k ɔ n ɖ ɔ m
কবুতর	k o b u t̪ ɔ r
কবে	k oː b ɛ
কমলা	k ɔ m l a
কমলা	k ɔ m o l a
কয়েদ	k ɔ e̯ e d̪
কয়েদখানা	k ɔ e̯ e d̪ kʰ a n a
করঞ্জ	k ɔ ɾ ɔ n ɟ ɔ
করবী	k ɔ ɾ ɔ b i
করলা	k ɔ ɾ o l a
করা	k ɔ ɹ a
করা	k ɔ ɽ a
করা	k ɔ ɾ a
কলকাতা	k o l k a t̪ a
কলম	k ɔ l o m
কাঁঠাল	k a ʈʰ a l
কাঁসা	k ã s a
কাক	k a k
কাগজ	k a ɡ o d ʒ
কাগজ	k a ɡ o z
কাটা	k ɑ ʈ ɑ
কাপড়	k a p ɔ ɹ
কাপড়	k a p ɔ ɽ
কামরাঙ্গা	k a m ɾ a ŋ ɡ a
কামুক	k a m u k
কারখানা	k a r kʰ a n a
কারিগর	k a r i ɡ ɔ r
কারিগরি	k a r i ɡ o r i
কালো	k a l o
কাল্পনিক	k a l p o n i k
কিংবা	k i ŋ b ɑ
কিচ্ছা	k i t ʃ t ʃʰ a
কিছু	k i s u
কিছু	k i t ʃʰ u
কিছুক্ষণ	k i s u kːʰ ɔ n
কিছুক্ষণ	k i t ʃʰ u kːʰ ɔ n
কিতাব	k i t a b
কিনার	k i n a r
কিন্তু	k i n t̪ u
কিভাবে	k i bʱ a b e
কিভাবে	k i v a b e
কিশমিশ	k i ʃ m i ʃ
কীভাবে	k i b a b e
কীভাবে	k i bʱ a b e
কুকুর	k u k u ɾ
কুকুরছানা	k u k u ɽ s a n a
কুকুরছানা	k u k u ɽ t ʃʰ a n a
কুকুরছানা	k u k u ɾ t ʃʰ a n a
কুঞ্জলতা	k u n ɟ ɔ l ɔ t a
কুত্তা	k u t̪ː a
কুসুম	k u ʃ u m
কুস্তি	k u s t̪ i
কেন	k ɛ n oː
কোমর	k ɔ m ɔ ɹ
ক্ষমাহীন	kʰ ɔ m a ɦ i n
কৎবেল	k ɔ t b e l
খ	kʱ ɔ
খয়ের	kʰ ɔ e ɾ
খরগোশ	kʰ ɔ r ɡ o ʃ
খরচ	kʰ ɔ ɾ o t ʃ
খাতির	kʰ a t̪ i ɾ
খান	kʰ a n
