ئا	a
ئات	ɑ t
ئاتمىش	ɑ t m i ʃ
ئادەم	ɑ d æ m
ئاسمان	ɑ s m ɑ n
ئاق	ɑ q
ئالتىنچى	ɑ l t i n t ʃ i
ئالتە	a l t æ
ئالتە	a l t ɛ
ئالتە	ɑ l t æ
ئالتە	ɑ l t ɛ
ئالما	ɑ l m ɑ
ئانا	ɑ n ɑ
ئو	o
ئوتتۇز	o t t u z
ئوغۇل	o ʁ u l
ئون	o n
ئون	ɔ n
ئونىنچى	o n i n t ʃ i
ئى	i
ئىت	i t
ئىش	i ʃ
ئىشچى	i ʃ t ʃ i
ئىككى	i kː i
ئىككىنچى	i kː i n t͡ʃ i
ئىنجىل	i n d͡ʒ i l
ئىنەك	i n æ k
ئۆ	ø
ئۆي	ø j
ئۆيلەر	ø j l æ r
ئۆيلەر	ø j l æː
ئۇ	u
ئۇرۇش	u r u ʃ
ئۇلار	u l ɑ r
ئۇنى	u n i
ئۇنىڭغا	u n i ŋ ʁ ɑ
ئۈ	y
ئۈزۈم	y z y m
ئۈچ	y t͡ʃ
ئۈچىنچى	y t ʃ i n t ʃ i
ئې	e
ئېيىق	e j i q
ئە	ɛ
ئەل	æ l
ئەللىك	æ l l i k̚
ئەللىك	ɛ l l i k̚
ئەپسۇس	æ p s u s
ئەگەر	ɛ ɡ ɛ r
ب	b
ب	b e
بازار	b ɑ z ɑː
بالا	b ɑ l ɑ
بور	b o r
بىر	b i r
بىرىنچى	b i r i n t͡ʃ i
بۇ	b u
بۇقا	b u q ɑ
بەش	b æ ʃ
بەش	b ɛ ʃ
بەشىنچى	b ɛ ʃ i n t ʃ i
ت	t
ت	t e
تاغ	t ɑ ʁ
تاماق	t ɑ m ɑ q
تاملار	tʰ a m l ɑː
تاملار	tʰ ɑ m l ɑ r
توقسان	t o q s ɑ n
توققۇز	t o q q u z
توققۇز	t ɔ q q u z
توققۇزىنچى	t o q q u z i n t ʃ i
تىيىن	t i j i n
تۆت	t ø t̚
تۆت	t œ t̚
تۆتىنچى	t ø t i n t ʃ i
تۆتىنچى	t œ t i n t ʃ i
تۆگە	t ø ɡ æ
تۆگە	t ø ɡ ɛ
تۆگە	t œ ɡ æ
تۆگە	t œ ɡ ɛ
تۈلكە	t y l k æ
تۈلكە	t y l k ɛ
تەخسە	t æ kʰ s æ
تەخسە	t æ x s æ
تەخسە	t ɛ kʰ s ɛ
تەخسە	t ɛ x s ɛ
تەرجىمە	t æ r d͡ʒ i m æ
تەرجىمە	t ɛ r d͡ʒ i m ɛ
ج	d͡ʒ
ج	d͡ʒ e
جۈمە	d͡ʒ y m æ
جۈمە	d͡ʒ y m ɛ
جەڭچى	d ʒ æ ŋ t ʃ i
جەڭچى	d ʒ ɛ ŋ t ʃ i
خ	χ
خ	χ e
خوش	x o ʃ
خوش	x ɔ ʃ
خىت	χ i t
خىزمەتچى	χ i z m ɛ t t ʃ i
د	d
د	d e
دادا	d ɑ d ɑ
دۈشەنبە	d y ʃ æ n b æ
دۈشەنبە	d y ʃ ɛ n b ɛ
دەپتەر	d æ p̚ t æ r
دەپتەر	d ɛ p̚ t ɛ r
ر	r
ر	r e
رەھمەت	r æ h m ɛ t
ز	z
ز	z e
س	s
س	s e
سائەت	s a ʔ ɛ t
ساقچى	s ɑ q t ʃ i
سۇ	s u
سۈت	s y t
سۈلھ	s y l h
سەكسەن	s ɛ k s ɛ n
سەككىز	s æ k k i z
سەككىز	s æ k̚ k i z
سەككىز	s ɛ k k i z
سەككىز	s ɛ k̚ k i z
سەككىزىنچى	s ɛ k k i z i n t ʃ i
سەيشەنبە	s æ j ʃ æ n b æ
سەيشەنبە	s ɛ j ʃ ɛ n b ɛ
ش	ʃ
ش	ʃ e
شاھ	ʃ ɑ h
شوپۇر	ʃ o p u r
شەنبە	ʃ æ n b æ
شەنبە	ʃ ɛ n b ɛ
غ	ʁ
غ	ʁ e
ف	f
ف	f e
ق	q
ق	q e
قاراچاي	t͡ʃ ɑ j
قايسى	q ɑ j s i
قىرىق	q i r i q
قىز	q ɤ z
