a	ɑ
ab	ɑ b
abb	ɑ b
algid	ɑ l ɡ i d
algõ	ɑ l ɡ ə
algõd	ɑ l ɡ ə d
algõm	ɑ l ɡ ə m
alli	ɑ lː i
allitas	ɑ lː i t ɑ s
alumīnij	ɑ l u m iː n i j
alā	ɑ l ɑː
amērik	ɑ m eː r i k
analīz	ɑ n ɑ l iː z
analōg	ɑ n ɑ l oː ɡ
analōgij	ɑ n ɑ l oː ɡ i j
and	ɑ n d
april	ɑ p r i l
atrāita	ɑ t r ɑː i t ɑ
atrāitanai	ɑ t r ɑː i t ɑ n ɑ i
austrij	ɑ u s t r i j
azūmsõnā	ɑ z uː m s ɯ n ɑː
aššõ	ɑ ʃː ə
ažāsõnā	ɑ ʒ ɑː s ɯ n ɑː
b	b
bakbord	b ɑ k b o r d
belgij	b e l ɡ i j
beļgij	b e ʎ ɡ i j
blēḑ	b l eː ɟ
bosnij	b o s n i j
boŗ	b o rʲ
brissõl	b r i sː ə l
brēḑig	b r eː ɟ i ɡ
brīõz	b r iː ə z
brūokst	b r uː o k s t̪
bulgārij	b u l ɡ ɑː r i j
bäzmõr	b æ z m ə r
bōr	b oː r
d	d̪
dattõd	d ɑ tː ə d
detsembõr	d e t s e m b ə r
drūošõ	d r uː o ʃ ə
dēņmō	d eː ɲ m ɒː
dūoņig	d uː o ɲ i ɡ
e	e
eirōp	e i r oː p
englišmō	e ŋ ɡ l i ʃ m ɒː
engõlmō	e ŋ ɡ ə l m ɒː
eļļõ	e ʎː ə
ežmi	e ʒ m i
ežžõmpǟva	e ʒː ə m p æː v ɑ
f	f
februar	f e b r u ɑ r
februār	f e b r u ɑː r
frantsij	f r ɑ n t s i j
g	ɡ
gipk	ɡ i p k
grēkõmō	ɡ r eː k ə m ɒː
grīekmō	ɡ r iː e k m ɒː
h	x
holand	h o l ɑ n d
horvātij	h o r v ɑː t i j
ibbi	i bː i
ikšlug	i k ʃ l u ɡ
ikštuoistõn	i k ʃ t u o i s t ə n
informātsij	i n f o r m ɑː t s i j
irē	i r eː
island	i s l ɑ n d
itālij	i t ɑː l i j
itāļmō	i t ɑː ʎ m ɒː
iz	i z
izrael	i z r ɑ e l
izraēl	i z r ɑ eː l
izt	i z t
izā	i z ɑː
j	j
janvār	j ɑ n v ɑː r
jeimer	j e i m e r
jellõ	j e lː ə
jelāmi	j e l ɑː m i
jemā	j e m ɑː
jo	j o
joutõmläpš	j o u t ə m l æ p ʃ
juo	j u o
jālga	j ɑː l ɡ ɑ
jālgab	j ɑː l ɡ ɑ b
jūdõmō	j uː d ə m ɒː
jūlij	j uː l i j
jūnij	j uː n i j
jūoji	j uː o j i
k	k
kakštuoistõn	k ɑ k ʃ t u o i s t ə n
kalā	k ɑ l ɑː
kalāmīez	k ɑ l ɑː m iː e z
kanā	k ɑ n ɑː
kanād	k ɑ n ɑː d
kaš	k ɑ ʃ
kež	k e ʒ
kievādkū	k i e v ɑː d k uː
kimdõ	k i m d ə
kimdõz	k i m d ə z
kinō	k i n oː
knaš	k n ɑ ʃː
krīevmō	k r iː e v m ɒː
krīevõmō	k r iː e v ə m ɒː
kuddõ	k u d̪ː ə
kuldīg	k u l d iː ɡ
kuod	k u o d
kuolm	k u o l m
kuolmtuoistõn	k u o l m t u o i s t ə n
kuolmõndpǟva	k u o l m ə n d p æː v ɑ
kuoštrõg	k u o ʃ t r ə ɡ
kuoț	k u o c
kurmō	k u r m ɒː
kurāmō	k u r ɑː m ɒː
kõzzi	k ɯ zː i
kāndab	k ɑː n d ɑ b
kēratiji	k eː r ɑ t̪ i j i
kēratēḑ	k eː r ɑ t eː ɟ
kēļ	k eː ʎ
kīlmakū	k iː l m ɑ k uː
kīnõmō	k iː n ə m ɒː
kīņtš	k iː ɲ t͡ʃ
kīņḑõļkū	k iː ɲ ɟ ə ʎ k uː
kōdõkskimdõz	k oː d ə k s k i m d ə z
kōdõkstuoistõn	k oː d ə k s t u o i s t ə n
kōrand	k ɒː r ɑ n d̪
kōŗa	k ɒː rʲ ɑ
kū	k uː
kūlõ	k uː l ə
kūolka	k uː o l k ɑ
kūora	k uː o r ɑ
kūž	k uː ʒ
kūžtuoistõn	k uː ʒ t u o i s t ə n
kȭļimkū	k ɯː ʎ i m k uː
l	l
lapsvȱidaji	l ɑ p s v ɤː i d ɑ j i
leišmō	l e i ʃ m ɒː
leišõmō	l e i ʃ ə m ɒː
lešk	l e ʃ k
lešknai	l e ʃ k n ɑ i
lețmō	l e c m ɒː
likkõ	l i kː ə
lugsõnā	l u ɡ s ɯ n ɑː
läpš	l æ p ʃ
lēḑkū	l eː ɟ k uː
līdõ	l iː d ə
līvõmō	l iː v ə m ɒː
lōja	l ɒː j ɑ
lōlami	l oː l ɑ m i
lūž	l uː ʒ
lǟdõ	l æː d ə
m	m
maij	m ɑ i j
minā	m i n ɑː
mitskimdõ	m i t s k i m d ə
moskov	m o s k o v
moskov	m o s k o w
munādkuoț	m u n ɑː d k u o c
mustānum	m u s t ɑː n u m
märts	m æ r t s
mõtlõ	m ɯ t̪ l ə
mēg	m eː ɡ
mīez	m iː e z
mō	m ɒː
mōmīez	m ɒː m iː e z
mǟdlõ	m æː d l ə
mȭka	m ɯː k ɑ
n	n
ne	n e
neitški	n e i t͡ʃ k i
neļļõndpǟva	n e ʎː ə n d p æː v ɑ
nimsõnā	n i m s ɯ n ɑː
norvēgij	n o r v eː ɡ i j
norvēgmō	n o r v eː ɡ m ɒː
novembõr	n o v e m b ə r
nädīļ	n æ d iː ʎ
nēļatuoistõn	n eː ʎ ɑ t u o i s t ə n
nēḑi	n eː ɟ i
nūoŗ	n uː o rʲ
nūoŗkazām	n uː o rʲ k ɑ z ɑː m
nūoŗkū	n uː o rʲ k uː
nūoŗmīez	n uː o rʲ m iː e z
nūoŗpōr	n uː o rʲ p ɒː r
nūoŗpōŗ	n uː o rʲ p ɒː rʲ
nǟdõ	n æː d ə
o	o
oktōbõr	o k t oː b ə r
opātiji	o p ɑː t̪ i j i
ougust	o u ɡ u s t
p	p
partikõl	p ɑ r t̪ i k ə l
pațīkmō	p ɑ c iː k m ɒː
pitrõg	p i t r ə ɡ
pivāpǟva	p i v ɑː p æː v ɑ
pizā	p i z ɑː
piņ	p i ɲ
polākõz	p o l ɑː k ə z
portugal	p o r t u ɡ ɑ l
portugāl	p o r t u ɡ ɑː l
prantsūzmō	p r ɑ n t s uː z m ɒː
prantšmō	p r ɑ n t ʃ m ɒː
prepozītsij	p r e p o z iː t s i j
