abad	ɑː b a t
abaded	a b ɑː d e t
abardaez	a b a r d a ɛ s
adarre	a d a ʁ e
aer	ɛ ʁ
aerlestr	ɛ ʁ l e s t
aerlestr	ɛ ʁ l e s t ʁ
aerlistri	ɛ ʁ l i s t ʁ i
aes	ɛ z
albaneg	a l b ãː n e k
albanek	a l b ãː n e k
all	a lː
amann	ã m ã nː
amañ	ã mː ã
aneval	ɑ̃ n e v a l
anv	ɑ̃ n o
anvioù	ɑ̃ n v i ɔ ʊ
aod	ɔː t
aon	ã w n
aon	ɔ̃ n
aour	a w ʁ
aour	ɔ w r
arall	a r a lː
aramaeg	a r a m a ɛ k
arar	a ʁ a ʁ
arc'hanti	a ʁ χ ɑ̃ n t i
arvrec'h	a ʁ v ʁ ɛ x
askell	a s k ɛ l
askorn	a s k ɔ r n
aval	ɑː v a l
avaloù	a v ɑː l u
avank	ɑː v ã ŋ k
avel	ɑː v ɛ l
avel	ɑː w ɛ l
aven	ɑː v e n
avu	ɑː v y
aze	ɑː z e
azen	ɑː z ɛ n
azenn	ɑː z ɛ n
azenned	a z ɛ nː e t
banniel	b a n j ɛ l
bara	b ɑː r a
beajiñ	b e ɑː ʒ ĩ
belo	b eː l o
bemdez	b ɛ̃ m d e
bennak	b ɛ n aː k
beterabez	b e t e ʁ ɑː b e s
bevañ	b e v ɑ̃
bezañ	b e z ɑ̃
biken	b i k ɛ̃ n
bilig	b i l i ɡ
binioù	b i n iː u
bleiz	b l ɛ j
bleiz	b l ɛ j s
bleizi	b l ɛ j z i
bleuñv	b l œ̃ w
bloaz	b l eː
bloaz	b l w ɑː
bloaz	b l w ɑː s
bloazioù	b l w a z j u
bouc'h	b uː x
boz	b oː s
bras	b ʁ a z
brec'h	b r eː x
brec'hioù	b r ɛ ɣ j u
breizh	b r ɛ j s
breizhad	b r ɛ j z a t
breizhiz	b r ɛ j z i s
bremañ	b ʁ e m ɑ̃
breudeur	b r øː d œ r
breur	b r øː r
brezhon	b ʁ e z ɔ̃ː n
brezhonek	b r e z ɔ̃ː n e k
broc'h	b ʁ oː x
bual	b yː a l
buhez	b y ɛ
buoc'h	b yː ɔ χ
buoc'h	b ɥ oː χ
buzhug	b yː z y k
buzhugenn	b y z yː ɡ ɛ n
buzhugennoù	b y z y ɡ ɛ nː u
c'hwec'h	x w ɛ x
c'hwevrer	x w e v r ɛ r
c'hwi	f i
c'hwi	χ w i
carein	k a r ə i ɲ
carein	k ɑː r ə i ɲ
dado	d a d u
daneg	d ãː n e k
daouarn	d ɔ wː a r n
daoulagad	d a ʊ l a ɡ a t
dañvad	d ãː v a t
dañvadez	d ã v ɑː d e s
debriñ	d e b ʁ ɪ̃
dec'h	d ɛː x
deiz	d eː
deiz	d ɛ j
deiz	d ɛ j s
deizioù	d ɛ j z j ɔ ʊ
del	d e l
delienn	d e l j ɛ̃ n
deliennoù	d e l j ɛ nː u
delioù	d e l j u
den	d ẽː n
denelezh	d ẽ n ɛː l ɛ s
deskein	d ə s k ə i ɲ
deskiñ	d ɛ s k ɪ̃
devezh	d eː v ɛ s
devezhioù	d e v e z j ɔ ʊ
deviñ	d eː v ĩ
digor	d i ɡ o ʁ
digwener	d i ɡ ɥ ẽː n ɛ r
dilestrañ	d i l ɛ sː t r ã
dilun	d i l ỹː n
dimerc'her	d i m ɛ r ɣ ɛ r
dimeurzh	d i m œ r s
dindan	d ɪ̃ n d ɑ̃ n
dir	d i ʁ
diriaou	d i ʁ j a ʊ
disadorn	d i s ɑː d ɔ r n
disul	d i s yː l
div	d i w
divrec'h	d i v r e x
divrod	d i w ʁ o t
divskouarn	d i v s k w a ʁ n
divyezhek	d i w j eː z ɛ k
dogan	d oː ɡ ã n
dont	d ɔ̃ n t
dorn	d ɔ r n
dornerez	d ɔ r n eː r e s
douar	d uː a r
douaroniezh	d u a ʁ ɔ̃ n iː ɛ s
douaroù	d u aː ʁ ɔ ʊ
doujañ	d u ʒ ɑ̃
doujañs	d u ʒ ɑ̃ z
dour	d uː r
douryar	d u ʁ j a ʁ
draen	d ʁ ɛː n
drein	d ʁ ɛ j n
drouk	d r uː k
du	d yː
ebet	e b ɛ d
ebeul	e b ø l
ebeulien	e b ø l j ɛ̃ n
ebrel	e b r ɛ l
elzas	ɛ l z a s
elzasad	ɛ l z a s a t
elzasadez	ɛ l z a s aː d e s
elzasadezed	ɛ l z a s a d eː z e t
elzasiz	ɛ l z a s i s
emglev	ẽ m ɡ l ɛ w
enez	ẽː n e s
enezad	e n eː z a t
enezour	e n eː z u ʁ
eo	e w
eontr	ẽ w n t ʁ
eontred	ẽ w n t ʁ ɛ t
eost	e o s d
erer	eː ʁ ɛ ʁ
eskern	ɛ s k ɛ ʁ n
eskob	ɛ s k o p
etre	e t r e
eurier	ø ʁ j ɛ ʁ
evañ	e v ɑ̃
falc'h	f a l χ
fiziañs	f i z j ɑ̃ z
fri	f r iː
frioù	f r iː u
frouezh	f ʁ w ɛ s
frouezhenn	f ʁ w e z ɛ̃ n
galian	ɡ a l j ã n
galianeg	ɡ a l j ãː n e k
gall	ɡ a lː
gallaoueg	ɡ a l ɔ wː e k
galleg	ɡ a lː e k
gant	ɡ ã n t
gar	ɡ ɑː r
genoù	ɡ ɵ̃ː n u
genver	ɡ ɛ n v ɛ r
genver	ɡ ẽ n v ɛ r
geot	ɡ ɛ w t
ger	ɡ eː r
geriadur	ɡ e r j ɑː d y r
gerioù	ɡ e ʁ j ɔ ʊ
glad	ɡ l ɑː t
glin	ɡ l iː n
goañv	ɡ w ã
goañv	ɡ w ã w
goprad	ɡ o p ʁ a t
gopraer	ɡ o p ʁ ɛ ʁ
gouel	ɡ w ɛ l
gouelan	ɡ w eː l ã n
gouere	ɡ w e ʁ e
goulenn	ɡ uː l ɛ n
goulennoù	ɡ u l ɛ nː u
gour	ɡ uː ʁ
gouzoug	ɡ u z u k
gouzougoù	ɡ u z u ɡ ɔ ʊ
gov	ɡ o w
goz	ɡ oː s
gwad	ɡ w aː t
gwadgi	ɡ w ɑ t ɡ i
gwaz	ɡ w aː
gwaz	ɡ w aː s
gwazi	ɡ w a z i
gwelout	ɡ w e l u d
gwelt	ɡ ɥ ɛ l t
gwenan	ɡ w e n ɑ̃ n
gwenanenn	ɡ ɥ ẽ n ãː n ɛ n
gwened	ɡ ɥ eː n e t
gwenedad	ɡ ɥ e n eː d a t
gwenediz	ɡ ɥ e n eː d i s
gwener	ɡ w e n ɛ ʁ
gwengolo	ɡ w ɛ n ɡ oː l o
gwern	ɡ w ɛ r n
gwernioù	ɡ w ɛ ʁ n j ɔ ʊ
gwez	ɡ w e
gwezenn	ɡ w e z ɛ̃ n
gwezh	ɡ w ɛː s
gwezhall	ɡ w e z a lː
gwin	ɡ w ɪ̃ n
gwir	ɡ w i ʁ
gwiñver	ɡ w ĩː v ɛ r
gwragez	ɡ w ʁ a ɡ e
gwragez	ɡ w ʁ a ɡ e s
gwreg	ɡ w r eː k
hadañ	h a d ɑ̃
hanter	h ɑ̃ n t ɛ ʁ
hent	h ɛ̃ n d
hep	h e p
here	h e ʁ e
heñvel	h ẽː v ɛ l
hogan	h oː ɡ ɑ̃ n
holl	ɔ l
houarn	h uː a r n
istor	i s t o ʁ
ivez	i v e
ivin	iː v i n
ivinoù	i v iː n u
iwerzhon	i w ɛ ʁ z ɔ̃ n
kalon	k a l õ n
kalon	k ɑː l ɔ̃ n
kalz	k a l s
kar	k ɑː r
karibeg	k a ʁ i b e k
karout	k ɑː r u t
kaz	k ɑː s
kazetenn	k a z e tː ɛ n
kazez	k ɑː z e s
kazh	k ɑː s
kazhez	k ɑː z e s
kazhig	k ɑː z i k
kefeleg	k e f eː l e k
