afi	a f i
aka	a k a
alu	a l u
ano	a n o
anoano	a n o a n o
ao	a o
aoaofia	a o a o f i a
ato	a t o
au	a u
fafanga	f a f a ŋ a
faka	f a k a
fala	f a l a
fale	f a l e
fana	f a n a
fangu	f a ŋ u
fanongo	f a n o ŋ o
faʻa	f a ʔ a
faʻē	f a ʔ eː
fefine	f e f i n e
feke	f e k e
fekika	f e k i k a
fili	f i l i
fitu	f i t u
fitungofulu	f i t u ŋ o f u l u
folau	f o l a u
fonu	f o n u
fua	f u a
fā	f aː
fāngofulu	f aː ŋ o f u l u
fēpueli	f eː p u e l i
haʻamoa	h a ʔ a m o a
heʻe	h e ʔ e
hiapo	h i a p o
hina	h i n a
hisitōlia	h i s i t oː l i a
hiva	h i v a
hivangofulu	h i v a ŋ o f u l u
hongofulu	h o ŋ o f u l u
huhu	h u h u
huhua	h u h u a
ifi	i f i
ika	i k a
kai	k a i
kakau	k a k a u
kalasi	k a l a s i
kava	k a v a
keli	k e l i
ki	k i
kisikisi	k i s i k i s i
kolo	k o l o
konisitūtone	k o n i s i t uː t o n e
kulupu	k u l u p u
kulī	k u l iː
kumala	k u m a l a
kumā	k u m aː
kutu	k u t u
kā	k aː
lahi	l a h i
laka	l a k a
langi	l a ŋ i
lango	l a ŋ o
lea	l e a
lelei	l e l e i
loloa	l o l o a
loto	l o t o
lupe	l u p e
mahaki	m a h a k i
mahina	m a h i n a
maka	m a k a
mana	m a n a
manu	m a n u
manupuna	m a n u p u n a
mata	m a t a
mate	m a t e
maʻasi	m a ʔ a s i
mei	m e i
moko	m o k o
motu	m o t u
motuʻa	m o t u ʔ a
māhoaʻa	m aː h o a ʔ a
mē	m eː
namu	n a m u
ngata	ŋ a t a
nifo	n i f o
nima	n i m a
nimangofulu	n i m a ŋ o f u l u
niu	n i u
noa	n o a
nonu	n o n u
nōvema	n oː v e m a
ofa	o f a
oku	o k u
ono	o n o
onongofulu	o n o ŋ o f u l u
otu	o t u
ou	o u
palemia	p a l e m i a
pehe	p e h e
peka	p e k a
pepe	p e p e
pilitānia	p i l i t aː n i a
puaka	p u a k a
puataukanave	p u a t a u k a n a v e
pule	p u l e
puleʻanga	p u l e ʔ a ŋ a
pusi	p u s i
pēpē	p eː p eː
siale	s i a l e
siaosi	s i a o s i
siulai	s i u l a i
sune	s u n e
sānuali	s aː n u a l i
sēpitema	s eː p i t e m a
sī	s iː
taha	t a h a
talo	t a l o
tamai	t a m a i
tamasiʻi	t a m a s i ʔ i
tangata	t a ŋ a t a
tapa	t a p a
tau	t a u
taʻahine	t a ʔ a h i n e
taʻovala	t a ʔ o v a l a
taʻu	t a ʔ u
te	t e
tisema	t i s e m a
tofuāʻa	t o f u aː ʔ a
tolu	t o l u
tolungofulu	t o l u ŋ o f u l u
tonga	t o ŋ a
tuitui	t u i t u i
tō	t oː
ua	u a
uo	u o
uofulu	u o f u l u
vahe	v a h e
vai	v a i
vaka	v a k a
valu	v a l u
valungofulu	v a l u ŋ o f u l u
vaotā	v a o t aː
vaʻakau	v a ʔ a k a u
ʻakau	ʔ a k a u
ʻaokosi	ʔ a o k o s i
ʻeiki	ʔ e i k i
ʻepeleli	ʔ e p e l e l i
ʻinisēkite	ʔ i n i s eː k i t e
ʻokatopa	ʔ o k a t o p a
ʻone	ʔ o n e
ʻoneʻone	ʔ o n e ʔ o n e
ʻosi	ʔ o s i
ʻuha	ʔ u h a
ʻungongo	ʔ u ŋ o ŋ o
ʻunufe	ʔ u n u f e
