अ	ə
अँ	ə̃
अँकवैया	ə ŋ k ʋ ə iː j ɑː
अँगड़ाई	ə ŋ ɡ ɽ ɑː iː
अँगरेज़	ə ŋ ɡ ɾ eː d͡ʒ
अँगरेज़	ə ŋ ɡ ɾ eː z
अँगरेज़ी	ə ŋ ɡ ɾ eː d͡ʒ iː
अँगरेज़ी	ə ŋ ɡ ɾ eː z iː
अँगहीन	ə ŋ ɡʱ iː n
अँगिया	ə ŋ ɡ iː j ɑː
अँगीठी	ə ŋ ɡ iː ʈʰ iː
अँगूठी	ə ŋ ɡ uː ʈʰ iː
अँग्रेज़	ə ŋ ɡ ɾ eː d͡ʒ
अँग्रेज़	ə ŋ ɡ ɾ eː z
अँग्रेज़ी	ə ŋ ɡ ɾ eː d͡ʒ iː
अँग्रेज़ी	ə ŋ ɡ ɾ eː z iː
अँटना	ə ɳ ʈ n ɑː
अं	ə̃
अंक	ə ŋ k
अंकगणित	ə ŋ k ɡ ə ɳ ɪ t̪
अंकन	ə ŋ k ə n
अंकल	ə ŋ k ə l
अंकित	ə ŋ k ɪ t̪
अंकुर	ə ŋ k ʊ ɾ
अंकुरित	ə ŋ k ʊ ɾ ɪ t̪
अंकुश	ə ŋ k ʊ ʃ
अंग	ə ŋ ɡ
अंगच्छेद	ə ŋ ɡ ə t͡ʃ t͡ʃʰ eː d̪
अंगड़ाई	ə ŋ ɡ ɽ ɑː iː
अंगदान	ə ŋ ɡ d̪ ɑː n
अंगना	ə ŋ ɡ ə n ɑː
अंगहीन	ə ŋ ɡʱ iː n
अंगार	ə ŋ ɡ ɑː ɾ
अंगारा	ə ŋ ɡ ɑː ɾ ɑː
अंगिया	ə ŋ ɡ iː j ɑː
अंगीकार	ə ŋ ɡ iː k ɑː ɾ
अंगुल	ə ŋ ɡ ʊ l
अंगुली	ə ŋ ɡ ʊ l iː
अंगूठा	ə ŋ ɡ uː ʈʰ ɑː
अंगूर	ə ŋ ɡ uː ɾ
अंगोछा	ə ŋ ɡ oː t͡ʃʰ ɑː
अंगोट	ə ŋ ɡ oː ʈ
अंगोला	ə ŋ ɡ oː l ɑː
अंग्रेज़	ə ŋ ɡ ɾ eː d͡ʒ
अंग्रेज़	ə ŋ ɡ ɾ eː z
अंग्रेज़ियत	ə ŋ ɡ ɾ eː d͡ʒ iː j ə t̪
अंग्रेज़ियत	ə ŋ ɡ ɾ eː z iː j ə t̪
अंग्रेज़ी	ə ŋ ɡ ɾ eː d͡ʒ iː
अंग्रेज़ी	ə ŋ ɡ ɾ eː z iː
अंग्रेजी	ə ŋ ɡ ɾ eː d͡ʒ iː
अंचल	ə ɲ t͡ʃ ə l
अंछर	ə ɲ t͡ʃʰ ə ɾ
अंजन	ə ɲ d͡ʒ ə n
अंजाम	ə ɲ d͡ʒ ɑː m
अंजीर	ə ɲ d͡ʒ iː ɾ
अंजु	ə ɲ d͡ʒ uː
अंटार्कटिका	ə ɳ ʈ ɑː ɾ k ʈ ɪ k ɑː
अंडकोष	ə ɳ ɖ k oː ʂ
अंडा	ə ɳ ɖ ɑː
अंडोरा	ə ɳ ɖ oː ɾ ɑː
अंत	ə n t̪
अंतःक्षेप	ə n t̪ əʰ k ʂ eː p
अंतड़ी	ə n t̪ ɽ iː
अंतरंगता	ə̃ t̪ ə ɾ ə ŋ ɡ t̪ ɑː
अंतरजाल	ə n t̪ ə ɾ d͡ʒ ɑː l
अंतरराष्ट्रीयता	ə n t̪ ə ɾ ɾ ɑː ʂ ʈ ɾ iː j ə t̪ ɑː
अंतरा	ə n t̪ ə ɾ ɑː
अंतरा	ə n t̪ ɾ ɑː
अंतराल	ə n t̪ ə ɾ ɑː l
अंतरिक्ष	ə n t̪ ə ɾ ɪ k ʂ
अंतरिक्ष	ə n t̪ ɾ ɪ k ʂ
अंतरिम	ə n t̪ ɾ ɪ m
अंतर्कालीन	ə n t̪ ə ɾ k ɑː l iː n
अंतर्गत	ə n t̪ ə ɾ ɡ ə t̪
अंतर्जातीय	ə n t̪ ə ɾ d͡ʒ ɑː t̪ iː jᵊ
अंतर्जाल	ə n t̪ ə ɾ d͡ʒ ɑː l
अंतर्देशीय	ə n t̪ ə ɾ d̪ eː ʃ iː jᵊ
अंतर्धान	ə n t̪ ə ɾ d̪ʱ ɑː n
अंतर्निहित	ə n t̪ ə ɾ n ɪ ɦ ɪ t̪
अंतर्राष्ट्रीय	ə n t̪ ə ɾ ɾ ɑː ʂ ʈ ɾ iː jᵊ
अंतर्वासी	ə n t̪ ə ɾ ʋ ɑː s iː
अंताक्षरी	ə n t̪ ɑː k ʂ ə ɾ iː
अंतिम	ə n t̪ ɪ m
अंत्येष्टि	ə n t̪ j eː ʂ ʈ iː
अंदर	ə n d̪ ə ɾ
अंदाज़	ə n̪ d̪ a z
अंदाज़ा	ə n d̪ ɑː d͡ʒ ɑː
अंदाज़ा	ə n d̪ ɑː z ɑː
अंधड़	ə n d̪ʱ ə ɽ
अंधविश्वास	ə n d̪ʱ ʋ ɪ ʃ ʋ ɑː s
अंधा	ə n d̪ʱ ɑː
अंधाधुंध	ə n d̪ʱ ɑː d̪ʱ ʊ n d̪ʱ
अंधेरा	ə n d̪ʱ eː ɾ ɑː
अंबर	ə m b ə ɾ
अंश	ə n ʃ
अंशकालिक	ə n ʃ k ɑː l ɪ k
अंशतः	ə n ʃ t̪ əʰ
अः	əʰ
अए	ə eː
अकड़	ə k ə ɽ
अकड़न	ə k ɽ ə n
अकड़ना	ə k ə ɽ n ɑː
अकर्म	ə k ə ɾ mᵊ
अकर्मक	ə k ə ɾ m ə k
अकर्मण्यता	ə k ə ɾ m ə ɳ j ə t̪ ɑː
अकस्मात्	ə k ə s m ɑː t̪
अक़्ल	ə k lᵊ
अक़्ल	ə k ə l
अक़्ल	ə q lᵊ
अक़्ल	ə q ə l
अक़्लमंद	ə k lᵊ m ə n d̪
अक़्लमंद	ə k ə l m ə n d̪
अक़्लमंद	ə q lᵊ m ə n d̪
अक़्लमंद	ə q ə l m ə n d̪
अकाज	ə k ɑː d͡ʒ
अकादमिक	ə k ɑː d̪ m ɪ k
अकादमी	ə k ɑː d̪ m iː
अकारण	ə k ɑː ɾ ə ɳ
अकारथ	ə k ɑː ɾ ə t̪ʰ
अकाल	ə k ɑː l
अकूत	ə k uː t̪
अकेला	ə k eː l ɑː
अकेलापन	ə k eː l ɑː p ə n
अक्खड़	ə k kʰ ə ɽ
अक्खा	ə k kʰ ɑː
अक्टूबर	ə k ʈ uː b ə ɾ
अक्तूबर	ə k t̪ uː b ə ɾ
अक्षत	ə k ʂ ə t̪
अक्षम्य	ə k ʂ ə m jᵊ
अक्षय	ə k ʃ ə j
अक्षय	ə k ʃ ɛ
अक्षरारंभ	ə k ʂ ə ɾ ɑː ɾ ə m bʱ
अक्स	ə k s
अक्सर	ə k s ə ɾ
अखंड	ə kʰ ə ɳ ɖ
अखंडता	ə kʰ ə ɳ ɖ t̪ ɑː
अखरना	ə kʰ ə ɾ n ɑː
अख़बार	ə kʰ b ɑː ɾ
अख़बार	ə x b ɑː ɾ
अख़बारवाला	ə kʰ b ɑː ɾ ʋ ɑː l ɑː
अख़बारवाला	ə x b ɑː ɾ ʋ ɑː l ɑː
अख़रोट	ə kʰ ɾ oː ʈ
अख़रोट	ə x ɾ oː ʈ
अखाड़ा	ə kʰ ɑː ɽ ɑː
अखिल	ə kʰ ɪ l
अगणित	ə ɡ ə ɳ ɪ t̪
अगर	ə ɡ ə ɾ
अगरचे	ə ɡ ə ɾ t͡ʃ eː
अगरतला	ə ɡ ə ɾ t̪ ə l ɑː
अगरबत्ती	ə ɡ ə ɾ b ə t̪ t̪ iː
अगला	ə ɡ l ɑː
अगवानी	ə ɡ ʋ ɑː n iː
अगस्त	ə ɡ ə s t̪
अगाऊ	ə ɡ ɑː uː
अगिन	ə ɡ ɪ n
अगुआ	ə ɡ ʊ ɑː
अग्नि	ə ɡ n iː
अग्निपरीक्षा	ə ɡ n ɪ p ə ɾ iː k ʂ ɑː
अग्निशस्त्र	ə ɡ n iː ʃ ə s t̪ ɾᵊ
अग्निशामक	ə ɡ n ɪ ʃ ɑː m ə k
अग्न्याशय	ə ɡ n j ɑː ʃ ə j
अग्रज	ə ɡ ɾ ə d͡ʒ
अग्रवाल	ə ɡ ɾᵊ ʋ ɑː l
अग्रिम	ə ɡ ɾ ɪ m
अग्रिमता	ə ɡ ɾ ɪ m t̪ ɑː
अचंभा	ə t͡ʃ ə m bʱ ɑː
अचकन	ə t͡ʃ k ə n
अचर	ə t͡ʃ ə ɾ
अचरज	ə t͡ʃ ɾ ə d͡ʒ
अचानक	ə t͡ʃ ɑː n ə k
अचूक	ə t͡ʃ uː k
अचेत	ə t͡ʃ eː t̪
अच्छा	ə t͡ʃ t͡ʃʰ ɑː
अच्छापन	ə t͡ʃː ɑ p ə n
अछना	ə t͡ʃʰ n ɑː
अछूत	ə t͡ʃʰ uː t̪
अछूता	ə t͡ʃʰ uː t̪ ɑː
अजगर	ə d͡ʒ ɡ ə ɾ
अजनबियत	ə d͡ʒ n ə b iː j ə t̪
अजनबी	ə d͡ʒ n ə b iː
अजब	ə d͡ʒ ə b
अजमेर	ə d͡ʒ m eː ɾ
अजमोद	ə d͡ʒ m oː d̪
अजवाइन	ə d͡ʒ ʋ ɑː ɪ n
