agaç	a ɡ a t͡ʃ
aglamak	aː ɡ l a m a k
agyr	a ɡ ɯ r
agyz	a ɡ ɯ ð
agşam	a ɡ ʃ a m
ak	aː k
akademiýa	a k a d e m i j a
akyl	a k ɯ l
altmyş	a l t m ɯ ʃ
arzuw	a r ð u β
at	a t
at	aː t
aý	aː j
b	b
balykçy	b aː l ɯ k t͡ʃ ɯ
baş	b a ʃ
baş	b aː ʃ
bit	b i t̪
bolmak	b oː ɫ m ɑ k
böri	b øː r i
böwürslen	b ø β y r θ l ø n
d	d
deňiz	d e ŋ i ð
doňuz	d o ŋ u ð
duz	d uː ð
duşenbe	d̪ uː ʃ e n b e
dyz	d̪ ɯː ð
dünýä	d̪ y n j æ
dünýäni	d̪ y n j æ n i
düýn	d̪ yː n
f	ɸ
fabrik	ɸ a b r i k
fewral	ɸ e β r a l
g	ɡ ~ ʁ
gan	ɡ aː n
garynja	ɡ a ɾ ɯ n d ʒ a
garynja	ʁ a ɾ ɯ n d ʒ a
gulak	ɡʰ u l a k
gulak	ʁʰ u l a k
gyz	ɡ ɯ ð
gyz	ɡ ɯː ð
gyz	ʁ ɯ ð
gyz	ʁ ɯː ð
göz	ɡ œ ð
gün	ɡ y n
gün	ʁ y n
h	h ~ x
harplar	h ɑ r p l ɑ r
harpy	h ɑ r p ɯ
haty	h ɑ t ɯ
islandiýaly	i s l a n d i j a l ɯ
iş	iː ʃ
j	d͡ʒ
je	d͡ʒ e
jogap	d͡ʒ o ɡ aː p
k	k ~ q
kitap	k i t aː p
l	l
m	m
muzeý	m u ð e j
müň	m y ŋ
n	n
narynç	n aː r ɯ n t͡ʃ
o	o
o	oː
ot	ɔ t
ot	ɔː t
p	p
r	r
reňk	r e ŋ k
s	s
s	θ
sekiz	θ e k i ð
suw	θ u β
t	t
u	u
u	uː
w	β
watan	β a t a n
watançylyk	β a t a n t͡ʃ ɯ l ɯ k
y	ɯ
y	ɯː
yel	j ɛ l
yşyk	ɯ ʃ ɯ k
z	z
z	ð
ä	æ
ä	æː
ç	t͡ʃ
ö	ø
ö	øː
ü	y
ü	yː
ý	j
ýa	j a
ýe	j e
ýok	j oː k
ýylan	j ɯ l aː n
ýyldyz	j ɯ l d ɯ ð
ýüz	j y ð
ýüzüň	j y ð y ŋ
ÿüzüñ	j y ð y ŋ
ň	ŋ
ş	ʃ
ž	ʒ
žiraf	ʒ i r a ɸ
žurnal	ʒ u r n a l
