က	k a̰
ကကုသန်	k a̰ k ṵ θ à ɴ
ကကုသန်ဘုရား	k a̰ k ṵ θ à ɴ pʰ ə j á
ကက်စီနို	k ɛ ʔ s ì n ò
ကက်ပတိန်	k ɛ ʔ p ə t è ɪ ɴ
ကက်သလစ်	k ɛ ʔ θ ə l ɪ ʔ
ကကြီး	k a̰ d͡ʑ í
ကချင်	k ə t͡ɕʰ ɪ̀ ɴ
ကချေသည်	k a̰ d͡ʑ è ð è
ကင်ဆာရောဂါ	k ɪ̀ ɴ sʰ à j ɔ́ ɡ à
ကင်ညာ	k ɪ̀ ɴ ɲ à
ကင်ပွန်း	k ɪ̀ ɴ b ʊ́ ɴ
ကင်မရာ	k ɪ̀ ɴ m ə ɹ à
ကင်မရွန်း	k ɪ̀ ɴ m a̰ ɹ ʊ́ ɴ
ကင်း	k ɪ́ ɴ
ကင်းခြေများ	k ɪ́ ɴ t͡ɕ ì m j á
ကင်းပုံ	k ɪ́ ɴ b ò ʊ ɴ
ကင်းမြီးကောက်	k ɪ́ ɴ m j í ɡ a ʊ ʔ
ကင်းမွန်	k ɪ́ ɴ m ʊ̀ ɴ
ကစား	ɡ ə z á
ကစားကွင်း	ɡ ə z á ɡ w ɪ́ ɴ
ကစားစရာ	ɡ ə z á z ə j à
ကစားသမား	ɡ ə s á ð ə m á
ကဆုန်	k ə sʰ ò ʊ ɴ
ကဆုန်လပြည့်နေ့	k ə sʰ ò ʊ ɴ l a̰ p j ḭ n ḛ
ကညာ	k ə ɲ à
ကညွတ်ရိုး	k ə ɲ ʊ ʔ j ó
ကဏန်း	ɡ ə n á ɴ
ကဏ္ဍ	k à n d a̰
ကတည်းက	ɡ ə d ɛ́ ɡ a̰
ကတိ	ɡ ə d ḭ
ကတော့	ɡ ə d ɔ̰
ကတော်	ɡ ə d ɔ̀
ကတ္တား	k a ʔ t á
ကတ္တီပါ	ɡ ə d ì b à
ကတ်	k a ʔ
ကတ်ကြေး	k a ʔ t͡ɕ í
ကတ်ကြေးကိုက်	k a ʔ t͡ɕ í k a ɪ ʔ
ကတ်ပြား	k a ʔ p j á
ကတ်သလိတ်	k a ʔ θ ə l e ɪ ʔ
ကတွတ်ယို	k ə d ʊ ʔ j ò
ကထိန်	k ə tʰ è ɪ ɴ
ကဒ်	k à d
ကနခို	k ə n ə kʰ ò
ကနစိုး	k ə n ə z ó
ကနား	k ə n á
ကနုကမာ	k ə n ṵ k ə m à
ကနုတ်	k ə n o ʊ ʔ
ကနေဒါ	k a̰ n è d à
ကန့်	k a̰ ɴ
ကန့်လန့်ကာ	k ə l ə ɡ à
ကန္တာရ	k à ɴ t à j a̰
ကန်	k à ɴ
ကန်စွန်း	ɡ ə z ʊ́ ɴ
ကန်စွန်းဥ	ɡ ə z ʊ́ ɴ ʔ ṵ
ကန်တော့	ɡ ə d ɔ̰
ကန်ထရိုက်	k à ɴ tʰ ə ɹ a ɪ ʔ
ကပ္ပလီ	k a ʔ p ə l ì
ကပ္ပလီပင်လယ်	k a ʔ p ə l ì p ɪ̀ ɴ l ɛ̀
ကပ်	k a ʔ
ကပ်ကြီးသုံးပါး	k a ʔ d͡ʑ í θ ó ʊ ɴ b á
ကပ်နာ	k a ʔ n à
ကပ်ပယ်	k a ʔ p ɛ̀
