آٹا	ɑː ʈ ɑː
اَمل	ə m ə lᵊ
بولݨا	b ō l ɳ ɑː
بوہا	b uː ɑː
بھائی	p ɑː iː
ت	t a
ت	t
جاࣇ	d͡ʒ ɑː ɭᵊ
دشمݨ	d̪ ʊ ʃᵊ m ə ɳᵊ
دند	d̪ ə n d̪ᵊ
رب	r ə bːᵊ
ربا	ɾ ə bː ɑː
رت	ɾ ʊ t̪ːᵊ
روࣇا	ɾ ɔː ɭ ɑː
ساوا	s ɑː ʋ ɑː
سلام	s ə l aː m ə
سٹ	s ə ʈːᵊ
ص	s ə
صاحب	s ɑː ˦ ɦ ə bᵊ
طوفان	t̪ ʊ f ɑː nᵊ
فجر	f ə d͡ʒ ə ɾᵊ
فجر	f ə d͡ʒː ə ɾᵊ
لداخ	l ə d̪ː ɑː xᵊ
لوڑ	l ō ɽᵊ
لینا	l ɛː ɳ ɑː
مسیت	m ə s iː t̪ᵊ
منٹ	m ɪ ɳ ʈᵊ , m ɪ n ə ʈ ʈᵊ
نواں	n ə ʋ ɑ̃ː
نکما	n ɪ k ə mː ɑː
نکما	n ə k ə mː ɑː
نہیں	n ə iː ˦
نہیں	n ə ˦ ɦ iː
وئست	ʋ j ə s t̪ᵊ
وئست	ʋ ɪ j ə s t̪ᵊ
واہگرو	ʋ ɑː ǽ ɡ ʊ r uː
ور	v a rᵊ
وشاݨو	ʋ ɪ ʃ ɑː ɳ uː
وہوٹی	ʋ ɔ ʈ iː
ٹ	ʈ a
ٹ	ʈ
پر	p ə r
پربھو	p ɾ ə́ b uː
پنجابی	p ə̃ d͡ʒ ɑː b iː
پیݨا	p iː ɳ ɑː
چپیڑ	t͡ʃ ə p eː ɽᵊ
کم	k ə mːᵊ
کُوڑ	k uː ɽᵊ
کُہیر	k ʊ ɦ iː ɾᵊ
گاݨا	ɡ aː ɳ a
گن٘جھࣇدار	ɡ ũ d͡ʒ ɘ ɭ d ɑː ɾᵊ
گُن٘جھࣇدار	ɡ ũ d͡ʒ ɘ ɭ d ɑː ɾᵊ
ݨ	ɳ
ࣇ	ɭ ə
ࣇ	ɭ aː m ə
ࣇ	ɭ ə
ਅ	ə
ਅ	ə
ਅਮਲ	ə m ə lᵊ
ਅੈ	ɛ
ਅੈ	ɛ
ਅੱਖ	ə kːʰ
ਅੱਜ	ə d͡ʒːᵊ
ਆ	äː
ਆ	äː
ਇ	ɪ
ਇ	ɪ
ਇਹਦਾ	eː ˦ d̪ ɑː
ਈ	iː
ਈ	iː
ਉ	ʊ
ਉ	ʊ
ਊ	uː
ਊ	uː
ਏ	e
ਏ	e
ਐ	ɛ
ਐ	ɛ
ਓ	o
ਓ	o
ਔ	ɔ
ਔ	ɔ
ਕ	k ə
ਕ	k ə
ਕ਼	q
ਕ਼	q
ਕੁਹੀਰ	k ʊ ɦ iː ɾᵊ
ਕੂੜ	k uː ɽᵊ
ਕੰਨ	k ə nː
ਖ	kʰ ə
ਖ	kʰ ə
ਖ਼	x ə
ਖ਼	x ə
ਗ	ɡ ə
ਗ	ɡ ə
ਗ਼	ɣ ə
ਗ਼	ɣ ə
ਗਾਜਰ	ɡ ɑː d͡ʒ ə ɾ
ਗੁੰਝਲ਼ਦਾਰ	ɡ ʊ̃ d͡ʒ ɘ ɭ d ɑː ɾ ɘ
ਘ	k ə̀
ਘ	k ə̀
ਘਰ	k ə ɾ ˩˨
ਘੋੜਾ	k oː ˨ ɽ ɑː ˨
ਘੋੜੀ	ɡ òː ɽ i
ਙ	ŋ ə
ਚ	t͡ʃ ə
ਚਪੇੜ	t͡ʃ ə p eː ɽᵊ
ਛ	t͡ʃʰ ə
ਜ	d͡ʒ ə
ਜਗ੍ਹਾ	ɟ ə́ ɡ aː
ਜਵਾਬ	d ʒ ə ʋ aː b
ਜ਼‌‍	z ə
ਜ਼‌‍	z ə
ਜਾਲ਼	d͡ʒ ɑː ɭᵊ
ਝ	t͡ʃ ə̀
ਞ	ɲ ə
ਟ	ʈ ə
ਠ	ʈʰ ə
ਡ	ɖ ə
ਢ	ʈ ə̀
ਢਿੱਡ	ʈ ɪ᷆ ɖː
ਣ	ɳ ə
ਤ	t̪ ə
ਤਰੀਕ਼ਾ	t̪ ə r iː q aː
ਤਾਂ	t̪ ɑ̃ː
ਤੁਹਾਡਾ	t̪ ʊ ɦ ɑː ˨ ɖ ɑː
ਤੂਫ਼ਾਨ	t̪ ʊ f ɑː nᵊ
ਥ	t̪ʰ ə
ਦ	d̪ ə
ਦਿਲ	d̪ ɪ l
ਦੁਬਿੰਦੀ	d̪ ʊ b ɪ n d̪ iː
ਦੁਸ਼ਮਣ	d̪ ʊ ʃᵊ m ə ɳᵊ
ਦੋਸਤ	d̪ oː s t̪
ਦੋਸਤ	d̪ oː s ə t̪
ਦੰਦ	d̪ ə n d̪
ਦੱਸਣਾ	d̪ ə sː ɳ ɑː
ਧ	t̪ ə̀
ਧੋਬੀ	t̪ oː ˨ b iː
ਧੰਨਵਾਦ	t̪ ə̀ n̪ː ʋ ɑː d̪
ਨ	n ə
ਨਮਸਕਾਰ	n ə m ə s k ɑː ɾ
ਨਵਾਂ	n ə ʋ ɑ̃ː
ਨਹੀਂ	n ə iː ˦
ਨਹੀਂ	n ə ˦ ɦ iː
ਨਿਕੱਮਾ	n ɪ k əː m ɑː
ਨਿਕੱਮਾ	n ə k ə mː ɑː
ਪ	p ə
ਪਤਲਾ	p ə t̪ l ɑː
ਪਰ	p ə r
ਪਾਣੀ	p ɑː ɳ iː
