'ch	χ
'i	iː
'i	i̯
'ma	m a
'ma	m ə
'n	n
'na	n a
'na	n ə
'r	r
'th	θ
'y	ə
ab	a b
abad	a b a d
abad	aː b a d
abadaeth	a b a d a i̯ θ
abadaeth	a b aː d a i̯ θ
abadaeth	a b aː d ɛ θ
abadaethau	a b a d e i̯ θ a i̯
abadaethau	a b a d e i̯ θ ɛ
abadau	a b a d a i̯
abadau	a b a d ɛ
abadau	a b aː d a i̯
abadau	a b aː d ɛ
abades	a b a d ɛ s
abades	a b aː d ɛ s
abadesau	a b a d ɛ s a i̯
abadesau	a b a d ɛ s ɛ
abatai	a b a t a i̯
abathocroalaidd	a b a θ ɔ k r ɔ a l a i̯ ð
abathocroalaidd	a b a θ ɔ k r ɔ aː l a i̯ ð
abatir	a b a t ɪ r
abatiroedd	a b a t iː r ɔ i̯ ð
abatiroedd	a b a t ɪ r ɔ i̯ ð
abaty	a b a t i
aber	a b ɛ r
aber	aː b ɛ r
aberaeron	a b ɛ r e i̯ r ɔ n
aberafan	a b ɛ r a v a n
aberafan	a b ɛ r aː v a n
aberdaugleddau	a b ɛ r d a i̯ ɡ l eː ð a i̯
aberdaugleddau	a b ɛ r d a i̯ ɡ l eː ð ɛ
aberdaugleddau	a b ɛ r d a i̯ ɡ l ɛ ð a i̯
aberdaugleddau	a b ɛ r d a i̯ ɡ l ɛ ð ɛ
aberdâr	a b ɛ r d aː r
abergofiant	a b ɛ r ɡ ɔ v j a n t
abergwaun	a b ɛ r ɡ w a i̯ n
aberhonddu	a b ɛ r h ɔ n ð i
abermaw	a b ɛ r m a u̯
abertawe	a b ɛ r t a u̯ ɛ
aberteifi	a b ɛ r t e i̯ v i
aberteifi	a b ɛ r t iː v i
aberth	a b ɛ r θ
aberth	aː b ɛ r θ
aberthged	a b ɛ r θ ɡ ɛ d
aberthu	a b ɛ r θ i
aberystwyth	a b ɛ r ə s t w ɪ θ
aberystwyth	a b ɛ r ə s t ʊ i̯ θ
abl	a b a l
abl	a b l
abl	aː b a l
abladol	a b l a d ɔ l
abladol	a b l aː d ɔ l
absen	a b s ɛ n
absennol	a b s ɛ n ɔ l
absennu	a b s ɛ n i
absenoldeb	a b s ɛ n ɔ l d ɛ b
abwyd	a b ʊ i̯ d
abwyd	aː b ʊ i̯ d
abwydyn	a b ʊ i̯ d ɪ n
ac	a k
academaidd	a k a d ɛ m a i̯ ð
academaidd	a k a d ɛ m ɛ ð
academi	a k a d ɛ m i
academydd	a k a d ɛ m ɪ ð
academyddion	a k a d ɛ m ə ð j ɔ n
academïau	a k a d ɛ m iː a i̯
academïau	a k a d ɛ m iː ɛ
acen	a k ɛ n
acen ddisgynedig	a k ɛ n ð ɪ s ɡ ə n eː d ɪ ɡ
acen ddisgynedig	a k ɛ n ð ɪ s ɡ ə n ɛ d ɪ ɡ
acen ddyrchafedig	a k ɛ n ð ə r χ a v eː d ɪ ɡ
acen ddyrchafedig	a k ɛ n ð ə r χ a v ɛ d ɪ ɡ
acen grom	a k ɛ n ɡ r ɔ m
aceniad	a k ɛ n j a d
acennu	a k ɛ n i
acer	a k ɛ r
ach	a χ
ach	aː χ
acha	a χ a
achan	a χ a n
achan	aː χ a n
achles	a χ l ɛ s
achlesu	a χ l ɛ s i
achlod	a χ l ɔ d
achlysur	a χ l ə s ɪ r
achlysurol	a χ l ə s iː r ɔ l
achlysurol	a χ l ə s ɪ r ɔ l
