־טום	t ʊ m
־ניש	n ɪ ʃ
אַ	a
אַ סך	a s a x
אַזיע	a z j ə
אַלע	a l ə
אַמעריקע	a m ɛ r i k ə
אַנדערע	a n d ə r ə
אַפֿריקע	a f r i k ə
אַקסל	a k s ə l
אַרגענטינע	a r ɡ ɛ n t i n ə
אָנרירן	ɔ n ʁ ɪ ʁ n
אָפּלייקענונג	u p l a ɪ k ə n i ŋ k
אָפּלייקענונג	ɔ p l ɛ ɪ k ə n ʊ ŋ ɡ
אויך	ɔ j x
אויס־	o ʊ̯ s
אויס־	oː s
אויס־	ɔ ɪ̯ s
אויסטראַליע	ɔ j s t r a l j ə
אויער	e ɪ v ə ʁ
אויער	e ɪ ə ʁ
אויער	ɛ v ə ʁ
אויער	ɛ ʊ̯ ə ʁ
אויף	a f
אויף	ɔ f
אויף	ɔ j f
אויקען	ɔ ɪ̯ k ŋ̩
אומעטום	ɨ m ə t ɨ m
אומעטום	ɪ m ə t ɪ m
אומעטום	ʊ m ə t ʊ m
און	ɨ n
און	ɪ n
און	ʊ n
אונדז	ɨ n d z
אונדז	ɪ n d z
אונדז	ʊ n d z
איבער	i b ə r
איבער	j i b ə r
איז	ɪ
אייראָפּע	ɛ j r ɔ p ə
אין	i n
באַר	b a ʁ
בויך	b ɔ ɪ χ
בוך	b i χ
בוך	b iː χ
בוך	b ʊ χ
ביאַלי	b j a l ɪ
ביבל	b ɪ b ə l
בייגל	b a ɪ ɡ ə l
בייגל	b ɛ ɪ ɡ ə l
ביר	b ɪ ʁ
בלאַט	b l a t
בלוט	b l iː t
בלוט	b l ʊ t
בלוי	b l o ʊ
בלוי	b l oː
בלוי	b l ɔ
בלוי	b l ɔ ɪ
בליץ	b l ɪ t s
בלעטל	b l ɛ t ə l
בעט	b ɛ t
בער	b ɛ ʁ
ברויט	b r e ɪ̯ t
ברויט	b r ɔ u t
ברויט	b r ɔ ɪ̯ t
בריוו	b ʁ i v
בריוו	b ʁ iː v
בריוו	b ʁ ɪ v
גאונים	ɡ ɔ ɪ n ə m
גאונים	ɡ ɛ ɪ n ə m
גוט	ɡ ɪ t
גוט	ɡ ʊ t
גוטע	ɡ ʊ t ə
גוף	ɡ ɪ f
גוף	ɡ ʊ f
גנבֿ	ɡ a n ə f
גנבֿה	ɡ n ɛ ɪ v ə
גנבֿיש	ɡ a n ɛ ɪ v ɪ ʃ
געבן	ɡ e ɪ̯ b m̩
געבן	ɡ ɛ b m̩
געזאָגט	ɡ ə z ɔ k t
געזונט	ɡ ə z ɪ n t
געזונט	ɡ ə z ʊ n t
געלינקט	ɡ ɛ l i ŋ k t
געפֿרעגט	ɡ ə f ʁ ɛ k t
גערויש	ɡ ə ʁ e ɪ ʃ
גערויש	ɡ ə ʁ ɔː ʃ
גערעדט	ɡ ə r ɛ t
גערעדט	ɡ ə ʁ ɛ t
גראָז	ɡ ʁ uː s
גראָז	ɡ ʁ ɔ z
גרויס	ɡ r e ɪ̯ s
גרויס	ɡ r ɔ u s
גריבענעס	ɡ ʁ ɪ b ə n ə s
גרענעץ	ɡ ʀ ɛ n ə t͡s
גרײַז	ɡ ʁ a z
גרײַז	ɡ ʁ a ɪ z
גרײַז	ɡ ʁ aː z
גײַסט	ɡ a ɪ s t
גײַסטיק	ɡ a ɪ s t ɪ k
גײַסטיק	ɡ aː s t ɪ k
דאָס	d ɔ s
די	d i
דעם	d ɛ m
דער	d ɛ r
דרײַצן	d r a j t s n̩
דײַן	d a ɪ n
האַלדז	h a l d z
האַנט	h a n t
האָבן	h ɔ b m̩
האָבן	h ɔ b n̩
האָר	h ɔ ʁ
האָר	h ʊ ʁ
הויז	h o ʊ̯ z
הויז	h oː z
הויז	h ɔ ɪ̯ z
הויט	h e ɪ t
הויט	h ɔː t
הינטעלע	h ɪ n t ə l ə
העלפֿט	h ɛ l f t
הענט	h ɛ n t
הקדמה	h a ɡ d ɔ m ə
הײַנט	h a j n t
וואָס	v ɔ s
וואָס	v ʊ s
וואָסער	v ɔ s ə r
וואָסערע	v ɔ s ə r ə
וווּ	v u
וווּרשט	v ɪ ʁ ʃ t
וווּרשט	v ʊ ʁ ʃ t
וווּרשטל	v ɪ ʁ ʃ t ə l
וווּרשטל	v ʊ ʁ ʃ t ə l
ווילד	v ɪ l d
וויסן	v ɪ s n̩
וויפֿל	v i f l̩
ווערב	v ɛ ʁ b
ווײַן	v a j n
זאַנג	z a ŋ ɡ
זאָגט	z u k t
זאָגט	z uː k t
