abl	a b l̩
acen ddisgynedig	a k ɛ n ð ɪ s k ə n ɛ d ɪ ɡ
addysg	a ð ɨ̞ s k
addysgu	a ð ə s k ɨ̞
adwaenost	a d w e ɨ̯ n ɔ s t
aethost	e ɨ̯ θ ɔ s t
aillt	a i̯ ɬ t
allt	aː ɬ t
alltud	a ɬ t ɨ̞ d
amethyst	a m ɛ θ ɨ̞ s t
amobr	a m ɔ b r̩
anabl	a n a b l̩
anawsterau	a n a u̯ s t ɛ r a
anawsterau	a n a u̯ s t ɛ r a ɨ̯
anawsterau	a n a u̯ s t ɛ r ɛ
anghofuster	a ŋ h ɔ v ɨ̞ s t ɛ r
anhawster	a n h a u̯ s t a r
anhawster	a n h a u̯ s t ɛ r
aradr	a r a d r̩
asgell	a s k a ɬ
asgell	a s k ɛ ɬ
asgell fraith	a s k ɛ ɬ v r a i̯ θ
asgellog	a s k ɛ ɬ ɔ ɡ
asgwrn	a s k ʊ r n
astrus	a s t r ɨ̞ s
astrusi	a s t r ɨ̞ s i
awdl	a u̯ d l̩
awst	a u̯ s t
awstralia	a u̯ s t r a l j a
awtistiaeth	a u̯ tʰ ɪ s t j a ɨ̯ θ
awtistiaeth	a u̯ tʰ ɪ s t j ɛ θ
awtistig	a u̯ tʰ ɪ s t ɪ ɡ
basged	b a s k a d
basged	b a s k ɛ d
basta	b a s t a
bastai	b a s t a i̯
bathdai	b a θ t a i̯
bathdy	b a θ t ɨ̞
bedr	b ɛ d r̩
beidr	b e i̯ d r̩
belffast	b ɛ l f a s t
bobl	b ɔ b l̩ˠ
braster	b r a s d ɛ r
brasterog	b r a s t ɛ r ɔ ɡ
brwmstan	b r ʊ m s t a n
brwydr	b r ʊ ɨ̯ d r̩
cachgi bwm	kʰ a χ k ɪ b ʊ m
cachgwn bwm	kʰ a χ k ʊ m b ʊ m
caerwysg	kʰ a ɨ̯ r uː ɨ̯ s k
caerwysg	kʰ a ɨ̯ r w ɨ̯ː s k
carest	kʰ a r ɛ s t
casgen	kʰ a s k ɛ n
casglu	kʰ a s k l ɨ
castanwydd	kʰ a s t a n w ɨ̞ ð
castanwydden	k a s t a n w ɨ̞ ð a n
castanwydden	k a s t a n w ɨ̞ ð ɛ n
castell	kʰ a s t a ɬ
castell	kʰ a s t ɛ ɬ
cenedl	kʰ ɛ n ɛ d l̩ˠ
cenhinen bedr	kʰ ɛ n h ɪ n a m b ɛ d r̩
cenhinen bedr	kʰ ɛ n h ɪ n ɛ m b ɛ d r̩
cennin pedr	kʰ ɛ n ɪ m pʰ ɛ d r̩
cest	kʰ ɛ s t
cestyll	kʰ ɛ s t ɨ̞ ɬ
chastell	χ a s t a ɬ
chastell	χ a s t ɛ ɬ
chdi	χ t iː
chestyll	χ ɛ s t ɨ̞ ɬ
chwedl	χ w ɛ d l̩ˠ
chwestiwn	χ w̥ʰ ɛ s t j ʊ n
cic gosb	kʰ ɪ kʰ ɡ oː s p
ciciau cosb	kʰ ɪ k j̊ʰ a kʰ oː s p
ciciau cosb	kʰ ɪ k j̊ʰ a ɨ̯ kʰ oː s p
ciciau cosb	kʰ ɪ k j̊ʰ ɛ kʰ oː s p
cist	kʰ iː s t
ciwcymbr	kʰ ɪ u̯ kʰ ə m b r̩
cledr	k lˠʰ ɛ d r̩
clustdlws	k lʰ ɨ̞ s t l ʊ s
cod post	kʰ oː d pʰ oː s t
cosb	kʰ oː s p
cosbau	kʰ ɔ s p a
cosbau	kʰ ɔ s p a ɨ̯
cosbau	kʰ ɔ s p ɛ
cristion	k r̥ʰ ɪ s t j ɔ n
cristionogion	k r̥ʰ ɪ s t j ɔ n ɔ ɡ j ɔ n
cristnogaeth	k r̥ʰ ɪ s t n ɔ ɡ a ɨ̯ θ
cristnogaeth	k r̥ʰ ɪ s t n ɔ ɡ ɛ θ
cristnogion	k r̥ʰ ɪ s t n ɔ ɡ j ɔ n
cristnogol	k r̥ʰ ɪ s t n ɔ ɡ ɔ lˠ
croesgad	k r ɔ ɨ̯ s k a d
croestorri	k r ɔ ɨ̯ s t ɔ r ɪ
crwst	k rʰ ʊ s t
crwydr	k rʰ ʊ ɨ̯ d r̩
cwbl	kʰ ʊ b l̩
cwblhau	kʰ ʊ b l̩ h a ɨ̯
cwest	k w̥ʰ eː s t
cwestau	k w̥ʰ ɛ s t a
cwestau	k w̥ʰ ɛ s t a ɨ̯
cwestau	k w̥ʰ ɛ s t ɛ
cwestiwn	k w̥ʰ ɛ s t j ʊ n
cwestiynau	k w̥ʰ ɛ s t j ə n a
cwestiynau	k w̥ʰ ɛ s t j ə n a ɨ̯
cwestiynau	k w̥ʰ ɛ s t j ə n ɛ
cwsg	kʰ uː s k
cwstard	kʰ ʊ s t a r d
cwstardiau	kʰ ʊ s t a r d j a
cwstardiau	kʰ ʊ s t a r d j a ɨ̯
cwstardiau	kʰ ʊ s t a r d j ɛ
cyfrwngddarostyngedigaeth	kʰ ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ a ɨ̯ θ
cyfrwngddarostyngedigaeth	kʰ ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ ɛ θ
cymedr	kʰ ə m ɛ d r̩
cymhleth	k ə m ɬʰ ɛ θ
cymhlethdod	kʰ ə m l̥ʰ ɛ θ t ɔ d
cymhlethdodau	kʰ ə m h l̥ˠʰ ɛ θ t ɔ d a ɨ̯
cymhlethdodau	kʰ ə m l̥ˠ ɛ θ t ɔ d a
cymhlethdodau	kʰ ə m l̥ˠ ɛ θ t ɔ d ɛ
cymhlethdodau	kʰ ə m l̥ˠʰ ɛ θ t ɔ d a
cymhlethdodau	kʰ ə m l̥ˠʰ ɛ θ t ɔ d ɛ
cymysg	kʰ ə m ɨ̞ s k
cymysgedd	kʰ ə m ə s k a ð
cymysgedd	kʰ ə m ə s k ɛ ð
cymysglyd	kʰ ə m ə s k lˠ ɨ̞ d
cysgu	kʰ ə s k ɨ
cysgu fel clawdd	kʰ ə s k ɨ̞ v ɛ lˠ k lˠʰ a u̯ ð
cystadlaethau	kʰ ə s t a d l e ɨ̯ θ a
cystadlaethau	kʰ ə s t a d l e ɨ̯ θ a ɨ̯
cystadlaethau	kʰ ə s t a d l e ɨ̯ θ ɛ
cystadleuaeth	kʰ ə s t a d lˠ e ɨ̯ a i̯ θ
cystadleuaeth	kʰ ə s t a d lˠ e ɨ̯ ɛ θ
cystadleuol	kʰ ə s t a d lˠ e ɨ̯ ɔ lˠ
cystadleuwr	kʰ ə s t a d lˠ e ɨ̯ ʊ r
cystadleuwyr	kʰ ə s t a d lˠ e ɨ̯ w ɨ̞ r
cystadleuydd	kʰ ə s t a d lˠ e ɨ̯ ɨ̞ ð
cystadlu	kʰ ə s t a d lˠ ɨ
cystal	kʰ ə s t a l
cyswllt	kʰ ə s ʊ ɬ t
cysylltair	kʰ ə s ə ɬ t a i̯ r
cysylltiad	kʰ ə s ə ɬ t j a d
cysylltnod	kʰ ə s ə ɬ t n ɔ d
cysylltu	kʰ ə s ə ɬ t ɨ
dadl	d a d l̩
ddysgu	ð ə s k ɨ̞
deigr	d e i̯ ɡ r̩
delysg	d ɛ lˠ ɨ̞ s k
dest	d ɛ s t
dinistrio	d ɪ n ɪ s t r j o
disgwyl	d ɪ s k ʊ ɨ̯ lˠ
disgybl	d ɪ s k ɨ̞ b l̩ˠ
disgybl	d ɪ s k ɪ b l̩ˠ
disgyblion	d ɪ s k ə b l j ɔ n
disgyn	d ɪ s k ɪ n
diweithdra	d ɪ w e i̯ θ t r a
dosbarthiad	d ɔ s p a r θ j a d
dosbarthiadau	d ɔ s p a r θ j a d a
dosbarthiadau	d ɔ s p a r θ j a d a ɨ̯
dosbarthiadau	d ɔ s p a r θ j a d ɛ
dosbarthol	d ɔ s p a r θ ɔ lˠ
dosbarthu	d ɔ s p a r θ ɨ
dosbarthwr	d ɔ s p a r θ ʊ r
dosbarthwyr	d ɔ s p a r θ w ɨ̞ r
dreidl	d r e i̯ d l̩
drysgoed	d r ə s k ɔ ɨ̯ d
dwfn	d ɨ̞ v n̩
dwfn	d ʊ v n̩
dyrysgoed	d ə r ə s k ɔ ɨ̯ d
dysg	d ɨː s k
dysglaid	d ɨ̞ s k lˠ a i̯ d
dysglaid	d ɨ̞ s k lˠ ɛ d
dysgleidiau	d ɨ̞ s k lˠ e i̯ d j a
dysgleidiau	d ɨ̞ s k lˠ e i̯ d j a ɨ̯
dysgleidiau	d ɨ̞ s k lˠ e i̯ d j ɛ
dysgu	d ə s k ɨ̞
dysgwr	d ə s k ʊ r
edn	ɛ d n̩
eirin ysgaw	e i̯ r ɪ n ə s k a u̯
eirinen ysgaw	e i̯ r ɪ n a n ə s k a u̯
eirinen ysgaw	e i̯ r ɪ n ɛ n ə s k a u̯
eistedd	e i̯ s t ɛ ð
eistedd	ɪ s t a
eistedd	ɪ s t ɛ
eisteddfodau	e i̯ s t ɛ ð v ɔ d a ɨ̯
eisteddfodau	s t ɛ ð v ɔ d a
eisteddfodau	s t ɛ ð v ɔ d ɛ
eisteddle	e i̯ s t ɛ ð l ɛ
elltydd	ɛ ɬ t ɨ̞ ð
emrallt	ɛ m r a ɬ t
enghraifft	ɛ ŋ̊ r a i̯ f t
enghraifft	ɛ ŋ̊ r ɛ f t
erthygl	ɛ r θ ɨ̞ ɡ l̩ˠ
esgaladur	ɛ s k a l a d ɨ̞ r
esgid	ɛ s k ɪ d
esgidiau	s k ɪ d j a
esgidiau	s k ɪ d j ɛ
esgidiau	ɛ s k ɪ d j a ɨ̯
esgob	ɛ s k ɔ b
esgobion	ɛ s k ɔ b j ɔ n
esgyll	ɛ s k ɨ̯ ɬ
esgyn	ɛ s k ɨ̞ n
esgyrn	ɛ s k ɨ̞ r n
est	ɛ s t
estron	ɛ s t r ɔ n
estrys	ɛ s t r ɨ̞ s
ewythr	ɛ u̯ ɨ̞ θ r̩
facebook	f eː s p ʊ kʰ
finegr	v ɪ n ɛ ɡ r̩
finegr	v ɪ n ɛ ɡ ɛ r
finegr balsamig	v ɪ n ɛ ɡ r̩ b a l s a m i ɡ
gaeafgysgu	ɡ e ɨ̯ a v ɡ ə s k ɨ
gafr	ɡ a v r
gafr	ɡ a v r̩
gastell	ɡ a s t a ɬ
gastell	ɡ a s t ɛ ɬ
geifr	ɡ e i̯ v r
geifr	ɡ e i̯ v r̩
gestyll	ɡ ɛ s t ɨ̞ ɬ
glasgoch	ɡ l a s k ɔ χ
glaswellt	ɡ l a s w ɛ ɬ t
golosg	ɡ ɔ l ɔ s k
gorasgellu	ɡ ɔ r a s k ɛ ɬ ɨ
gornest	ɡ ɔ r n ɛ s t
gornestau	ɡ ɔ r n ɛ s t a ɨ̯
gornestau	ɡ ɔ r n ɛ s t ɛ
gornestu	ɡ ɔ r n ɛ s t ɨ̯
gornestwr	ɡ ɔ r n ɛ s t ʊ r
gornestwyr	ɡ ɔ r n ɛ s t w ɨ̞ r
gosteg	ɡ ɔ s t ɛ ɡ
gostwng	ɡ ɔ s t ʊ ŋ
gostyngaidd	ɡ ɔ s t ə ŋ a i̯ ð
gwalch y pysgod	ɡ w a l χ ə pʰ ə s k ɔ d
gwallt	ɡ w aː ɬ t
gwasgaru	ɡ w a s k a r ɨ
gwastraff	ɡ w a s t r a f
gwellt	ɡ w eː ɬ t
gwellta	ɡ w ɛ ɬ t a
gwenyn gwyllt	ɡ w ɛ n ɨ̞ ŋ ɡ w ɨː ɬ t
gwenynen wyllt	ɡ w e n ə n a ŋ w ɨː ɬ t
gwenynen wyllt	ɡ w e n ə n ɛ ŋ w ɨː ɬ t
gwesgyr	ɡ w ɛ s k ɨ̞ r
gwestai	ɡ w ɛ s t a i̯
gwesteion	ɡ w ɛ s t e i̯ ɔ n
gwestiwn	ɡ w̥ʰ ɛ s t j ʊ n
gwesty	ɡ w ɛ s t ɨ̞
gwialen bysgota	ɡ w i a lˠ ɛ n b ə s k ɔ tʰ a
gwialen bysgota	ɡ w j a lˠ a m b ə s k ɔ tʰ a
gwialen bysgota	ɡ w j a lˠ ɛ m b ə s k ɔ tʰ a
gwisg	ɡ w iː s k
gwisgo	ɡ w ɪ s k ɔ
gwobr	ɡ w ɔ b r̩
gwsberen	ɡ ʊ s p ɛ r a n
gwsberen	ɡ ʊ s p ɛ r ɛ n
gwsberis	ɡ ʊ s p ɛ r ɪ s
gwyllt	ɡ w ɨː ɬ t
gwystl	ɡ w ɨ̞ s t l̩ˠ
heisteddfod	h e i̯ s t ɛ ð v ɔ d
heisteddfodau	h e i̯ s t ɛ ð v ɔ d a
heisteddfodau	h e i̯ s t ɛ ð v ɔ d a ɨ̯
heisteddfodau	h e i̯ s t ɛ ð v ɔ d ɛ
henghraifft	h ɛ ŋ̊ r a i̯ f t
henghraifft	h ɛ ŋ̊ r ɛ f t
hesg	h eː s k
hesgen	h ɛ s k ɛ n
hirsgwar	h ɪ r s k w a r
hoffest	h ɔ f ɛ s t
hollti	h ɔ ɬ t i
holocost	h ɔ l ɔ kʰ ɔ s t
hosbis	h ɔ s p ɪ s
hosbisau	h ɔ s p ɪ s a
hosbisau	h ɔ s p ɪ s a ɨ̯
hosbisau	h ɔ s p ɪ s ɛ
huawdl	h ɨː a u̯ d l̩
huddygl	h ɨ̞ ð ɨ̞ ɡ l̩
hyllt	h ɨː ɬ t
hysbys	h ə s p ɨ̞ s
hysgi	h ə s k i
hystafell	h ə s t a v ɛ ɬ
iselder ysbryd	ɪ s ɛ lˠ d a r ə s p r ɨ̞ d
iselder ysbryd	ɪ s ɛ lˠ d ɛ r ə s p r ɨ̞ d
isteitl	iː s t e i̯ tʰ l̩
isteitlau	iː s t e i̯ t l̥ˠʰ a
isteitlau	iː s t e i̯ t l̥ˠʰ a ɨ̯
isteitlau	iː s t e i̯ t l̥ˠʰ ɛ
isteitlo	iː s t e i̯ t l̥ʰ ɔ
jyngl	d͡ʒ ə ŋ ɡ l̩
lanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	l a n v a i̯ r p ʊ ɬ ɡ w ɨ̞ n ɡ ɨ̞ ɬ ɡ ɔ ɡ ɛ r ə χ w ɨ̞ r n d r ɔ b ʊ ɬ ɬ a n t ə s ɪ l j ɔ ɡ ɔ ɡ ɔ ɡ oː χ
leidr	l e i̯ d r̩
lestr	l ɛ s t r̩
lifft	l ɪ f t
lifftiau	l ɪ f t j a
lifftiau	l ɪ f t j a ɨ̯
lifftiau	l ɪ f t j ɛ
llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	ɬ a n v a i̯ r p ʊ ɬ ɡ w ɨ̞ n ɡ ɨ̞ ɬ ɡ ɔ ɡ ɛ r ə χ w ɨ̞ r n d r ɔ b ʊ ɬ ɬ a n t ə s ɪ l j ɔ ɡ ɔ ɡ ɔ ɡ oː χ
llawysgrif	ɬ a u̯ ə s k r ɪ v
lle chwech	ɬ eː χ w eː χ
lledr	ɬ ɛ d r̩
lleidr	ɬ e i̯ d r̩
llestair	ɬ ɛ s t a i̯ r
llesteiriannau	ɬ ɛ s t e i̯ r j a n a
llesteiriannau	ɬ ɛ s t e i̯ r j a n a ɨ̯
llesteiriannau	ɬ ɛ s t e i̯ r j a n ɛ
llesteiriant	ɬ ɛ s t e i̯ r j a n t
llesteiriau	ɬ ɛ s t e i̯ r j a
llesteiriau	ɬ ɛ s t e i̯ r j a ɨ̯
llesteiriau	ɬ ɛ s t e i̯ r j ɛ
llesteirio	ɬ ɛ s t e i̯ r j ɔ
llestr	ɬ ɛ s t r̩
lloegr	ɬ ɔ ɨ̯ ɡ r̩
lloegr newydd	ɬˠ ɔ ɨ̯ ɡ r̩ n ɛ u̯ ɨ̞ ð
llosg	ɬ ɔ s k
llosgi	ɬ ɔ s k i
llost	ɬ ɔ s t
llusg	ɬ ɨː s k
llusgo	ɬ ɨ̞ s k ɔ
llwybr	ɬ ʊ ɨ̯ b r̩
llwybr llaethog	ə ɬ ʊ ɨ̯ b r̩ ɬ e ɨ̯ θ ɔ ɡ
llyfr	ɬ ɨ̞ v r
llysg	ɬ ɨː s k
loegr	lˠ ɔ ɨ̯ ɡ r̩
loegr newydd	lˠ ɔ ɨ̯ ɡ r̩ n ɛ u̯ ɨ̞ ð
lyfr	lˠ ɨ̞ v r
maestref	m e ɨ s t r ɛ v
marchgacwn	m a r χ k a k ʊ n
marchgacynen	m a r χ k a k ə n a n
marchgacynen	m a r χ k a k ə n ɛ n
masg	m a s k
masgau	m a s k a
masgau	m a s k a ɨ̯
masgau	m a s k ɛ
masgiau	m a s k j a
masgiau	m a s k j a ɨ̯
masgiau	m a s k j ɛ
masgio	m a s k j ɔ
masnachdy	m a s n a χ t ɨ
mellt	m eː ɬ t
mellten	m ɛ ɬ t a n
mellten	m ɛ ɬ t ɛ n
melltith	m ɛ ɬ t ɪ θ
melltithio	m ɛ ɬ t ɪ θ j ɔ
melltithion	m ɛ ɬ t ɪ θ j ɔ n
melyster	m ɛ l ə s t ɛ r
mhasta	m̥ʰ a s t a
mhastai	m̥ʰ a s t a i̯
mhobl	m̥ʰ ɔ b l̩ˠ
microsgopau	m e i̯ k r̥ʰ ɔ s k ɔ pʰ a
microsgopau	m e i̯ k r̥ʰ ɔ s k ɔ pʰ ɛ
microsgopau	m ɪ k r̥ʰ ɔ s k ɔ pʰ a ɨ̯
mollt	m oː ɬ t
moresg	m ɔ r ɛ s k
mwst	m ʊ s t
mynachdai	m ə n a χ t a i̯
mynachdy	m ə n a χ t ɨ
mynededig	m ə n ɛ d ɛ d ɪ ɡ
nabl	n a b l̩
neidr	n e i̯ d r̩
nest	n ɛ s t
nghastell	ŋ̊ʰ a s t a ɬ
nghastell	ŋ̊ʰ a s t ɛ ɬ
nghestyll	ŋ̊ʰ ɛ s t ɨ̞ ɬ
nghwestiwn	ŋ̊ w̥ʰ ɛ s t j ʊ n
ngwystl	ŋ w ɨ̞ s t l̩ˠ
