ա	ɑ
աա	ɑ ɑ
աաակ	ɑ ɑ ɑ k
աաբ	ɑ ɑ b ə
աագ	ɑ ɑ ɡ ə
աագխ	ɑ ɑ ɡ ə χ ə
աաի	ɑ ɑ i
աախ	ɑ ɑ χ ə
աած	ɑ ɑ t͡s ə
աակ	ɑ ɑ k ə
աահ	ɑ ɑ h ə
աահհի	ɑ ɑ h ə h ə i
աան	ɑ ɑ n ə
աապ	ɑ ɑ p ə
աապբ	ɑ ɑ p ə b ə
աապվ	ɑ ɑ p ə v ə
աառ	ɑ ɑ r ə
աբա	ɑ b ɑ
աբադան	ɑ b ɑ d ɑ n
աբալովկա	ɑ b ɑ l ɔ f k ɑ
աբական	ɑ b ɑ k ɑ n
աբայ	ɑ b ɑ j
աբանոս	ɑ b ɑ n ɔ s
աբաջյան	ɑ b ɑ d͡ʒ j ɑ n
աբաս	ɑ b ɑ s
աբասանոց	ɑ b ɑ s ɑ n ɔ t͡sʰ
աբասթուման	ɑ b ɑ s tʰ u m ɑ n
աբասի	ɑ b ɑ s i
աբարան	ɑ b ɑ ɾ ɑ n
աբարանցի	ɑ b ɑ ɾ ɑ n t͡sʰ i
աբբա	ɑ bː ɑ
աբբահայր	ɑ bː ɑ h ɑ j ɾ
աբբայական	ɑ bː ɑ j ɑ k ɑ n
աբբայարան	ɑ bː ɑ j ɑ ɾ ɑ n
աբբայություն	ɑ bː ɑ j u tʰ j u n
աբբայուհի	ɑ bː ɑ j u h i
աբգար	ɑ b ɡ ɑ ɾ
աբեթ	ɑ b ɛ tʰ
աբեթասունկ	ɑ b ɛ tʰ ɑ s u ŋ k
աբեթենի	ɑ b ɛ tʰ ɛ n i
աբել	ɑ b ɛ l
աբեղա	ɑ b ɛ ʁ ɑ
աբեղաթող	ɑ b ɛ ʁ ɑ tʰ ɔ ʁ
աբեղախոտ	ɑ b ɛ ʁ ɑ χ ɔ t
աբեղաձագ	ɑ b ɛ ʁ ɑ d͡z ɑ kʰ
աբեղայական	ɑ b ɛ ʁ ɑ j ɑ k ɑ n
աբեղայակերպ	ɑ b ɛ ʁ ɑ j ɑ k ɛ ɾ p
աբեղայություն	ɑ b ɛ ʁ ɑ j u tʰ j u n
աբեղացու	ɑ b ɛ ʁ ɑ t͡sʰ u
աբեղուկ	ɑ b ɛ ʁ u k
աբերդին	ɑ b ɛ ɾ d i n
աբիջան	ɑ b i d͡ʒ ɑ n
աբիսողոմ	ɑ b i s ɔ ʁ ɔ m
աբխազ	ɑ pʰ χ ɑ z
աբխազական	ɑ pʰ χ ɑ z ɑ k ɑ n
աբխազերեն	ɑ pʰ χ ɑ z ɛ ɾ ɛ n
աբխազիա	ɑ pʰ χ ɑ z j ɑ
աբո	ɑ b ɔ
աբոլիցիոնիզմ	ɑ b ɔ l i t͡sʰ i ɔ n i z m
աբոնեմենտ	ɑ b ɔ n ɛ m ɛ n t
աբոնեմենտային	ɑ b ɔ n ɛ m ɛ n t ɑ j i n
աբոնենտ	ɑ b ɔ n ɛ n t
աբովյան	ɑ b ɔ v j ɑ n
աբորտ	ɑ b ɔ ɾ t
աբուջա	ɑ b u d͡ʒ ɑ
աբուռ	ɑ b u r
աբսոլյուտ	ɑ pʰ s ɔ l j u t
աբսոլյուտիզմ	ɑ b s ɔ l j u t i z m
աբսորբել	ɑ pʰ s ɔ ɾ b ɛ l
աբսուրդ	ɑ pʰ s u ɾ d
աբստրակտ	ɑ pʰ s t ɾ ɑ k t
աբստրակցիա	ɑ pʰ s t ɾ ɑ k t͡sʰ j ɑ
աբստրահել	ɑ pʰ s t ɾ ɑ h ɛ l
աբստրահում	ɑ pʰ s t ɾ ɑ h u m
աբստրահվել	ɑ pʰ s t ɾ ɑ h v ɛ l
աբրա	ɑ b ɾ ɑ
աբրահամ	ɑ b ɾ ɑ h ɑ m
աբրահամյան	ɑ b ɾ ɑ h ɑ m j ɑ n
աբրամ	ɑ b ɾ ɑ m
աբրեշում	ɑ b ɾ ɛ ʃ u m
աբրեշումե	ɑ b ɾ ɛ ʃ u m ɛ
աբրուցցո	ɑ b ɾ u t͡sʰː ɔ
աբքայք	ɑ pʰ kʰ ɑ j kʰ
ագա	ɑ ɡ ɑ
ագաթ	ɑ ɡ ɑ tʰ
ագահ	ɑ ɡ ɑ h
ագահաբար	ɑ ɡ ɑ h ɑ b ɑ ɾ
ագահանալ	ɑ ɡ ɑ h ɑ n ɑ l
ագահել	ɑ ɡ ɑ h ɛ l
ագահորեն	ɑ ɡ ɑ h ɔ ɾ ɛ n
ագահություն	ɑ ɡ ɑ h u tʰ j u n
ագամեմնոն	ɑ ɡ ɑ m ɛ m n ɔ n
ագանյա	ɑ ɡ ɑ n j ɑ
ագատ	ɑ ɡ ɑ t
ագարակ	ɑ ɡ ɑ ɾ ɑ k
ագարականալ	ɑ ɡ ɑ ɾ ɑ k ɑ n ɑ l
ագարակացնել	ɑ ɡ ɑ ɾ ɑ k ɑ t͡sʰ n ɛ l
ագարտալա	ɑ ɡ ɑ ɾ t ɑ l ɑ
ագեվազ	ɑ ɡ ɛ v ɑ z
ագի	ɑ ɡ i
ագինսկոյե	ɑ ɡ i n s k ɔ j ɛ
ագն	ɑ ɡ ə n ə
ագնոստիկ	ɑ ɡ n ɔ s t i k
ագնոստիցիզմ	ɑ ɡ n ɔ s t i t͡sʰ i z m
ագոն	ɑ ɡ ɔ n
ագույց	ɑ ɡ u j t͡sʰ
ագուռ	ɑ ɡ u r
ագուցահանել	ɑ ɡ u t͡sʰ ɑ h ɑ n ɛ l
ագուցանել	ɑ ɡ u t͡sʰ ɑ n ɛ l
ագուցավորել	ɑ ɡ u t͡sʰ ɑ v ɔ ɾ ɛ l
ագուցել	ɑ ɡ u t͡sʰ ɛ l
ագուցվել	ɑ ɡ u t͡sʰ v ɛ l
ագռավ	ɑ ɡ r ɑ v
ագռավանալ	ɑ ɡ r ɑ v ɑ n ɑ l
ագրեգատավորել	ɑ ɡ ɾ ɛ ɡ ɑ t ɑ v ɔ ɾ ɛ l
ագրեսիա	ɑ ɡ ɾ ɛ s j ɑ
ագրիպպաս	ɑ ɡ ɾ i pː ɑ s
ադամ	ɑ d ɑ m
ադամաթուզ	ɑ d ɑ m ɑ tʰ u z
ադամանդ	ɑ d ɑ m ɑ n d
ադամանդագործ	ɑ d ɑ m ɑ n d ɑ ɡ ɔ ɾ t͡s
ադամանդագործական	ɑ d ɑ m ɑ n d ɑ ɡ ɔ ɾ t͡s ɑ k ɑ n
ադամանդագործություն	ɑ d ɑ m ɑ n d ɑ ɡ ɔ ɾ t͡s u tʰ j u n
ադամանդել	ɑ d ɑ m ɑ n d ɛ l
ադամանդվել	ɑ d ɑ m ɑ n d v ɛ l
ադանա	ɑ d ɑ n ɑ
ադլեր	ɑ d l ɛ ɾ
ադոնց	ɑ d ɔ n t͡sʰ
ադրբեջան	ɑ d ə ɾ b ɛ d͡ʒ ɑ n
ադրբեջանական	ɑ d ə ɾ b ɛ d͡ʒ ɑ n ɑ k ɑ n
ադրբեջաներեն	ɑ d ə ɾ b ɛ d͡ʒ ɑ n ɛ ɾ ɛ n
ադրբեջանցի	ɑ d ə ɾ b ɛ d͡ʒ ɑ n t͡sʰ i
ադրիանապոլիս	ɑ d ɾ i j ɑ n ɑ p ɔ l i s
ադրիանոս	ɑ d ɾ i j ɑ n ɔ s
ազաբանալ	ɑ z ɑ b ɑ n ɑ l
ազաբացնել	ɑ z ɑ b ɑ t͡sʰ n ɛ l
ազազանալ	ɑ z ɑ z ɑ n ɑ l
ազազել	ɑ z ɑ z ɛ l
ազատ	ɑ z ɑ t
ազատագնել	ɑ z ɑ t ɑ ɡ ə n ɛ l
ազատագնվել	ɑ z ɑ t ɑ ɡ ə n v ɛ l
ազատագրել	ɑ z ɑ t ɑ ɡ ɾ ɛ l
ազատագրում	ɑ z ɑ t ɑ ɡ ɾ u m
ազատագրվել	ɑ z ɑ t ɑ ɡ ə ɾ v ɛ l
ազատազրկել	ɑ z ɑ t ɑ z ə ɾ k ɛ l
ազատականացնել	ɑ z ɑ t ɑ k ɑ n ɑ t͡sʰ n ɛ l
ազատանի	ɑ z ɑ t ɑ n i
ազատել	ɑ z ɑ t ɛ l
ազատություն	ɑ z ɑ t u tʰ j u n
ազատքեղ	ɑ z ɑ t kʰ ɛ ʁ
ազբ	ɑ z b
ազբ	ɑ z ə b ə
ազբեստ	ɑ z b ɛ s t
ազգ	ɑ z ɡ
ազգագրական	ɑ z ɡ ɑ ɡ ə ɾ ɑ k ɑ n
ազգական	ɑ z ɡ ɑ k ɑ n
ազգային	ɑ z ɡ ɑ j i n
ազգայնականություն	ɑ z ɡ ɑ j n ɑ k ɑ n u tʰ j u n
ազգայնացում	ɑ z ɡ ɑ j n ɑ t͡sʰ u m
ազգանուն	ɑ z ɡ ɑ n u n
ազգասեր	ɑ z ɡ ɑ s ɛ ɾ
ազգեր	ɑ z ɡ ɛ ɾ
ազգերի	ɑ z ɡ ɛ ɾ i
ազգություն	ɑ z ɡ u tʰ j u n
