अ	ɐ
अंश	ɐ̃ ɕ ɐ
अंश	ɐ̃́ ɕ ɐ
अंशकरण	ɐ̃ ɕ ɐ k ɐ ɾ ɐ ɳ ɐ
अंशु	ɐ̃ ɕ u
अंशु	ɐ̃ ɕ ú
अंशुक	ɐ̃ ɕ u k ɐ
अंस	ɐ̃ s̪ ɐ
अंस	ɐ̃́ s̪ ɐ
अंसकूट	ɐ̃ s̪ ɐ k uː ʈ ɐ
अंसकूट	ɐ̃́ s̪ ɐ k uː ʈ ɐ
अंसत्र	ɐ̃ s̪ ɐ t̪ ɾ ɐ
अंसत्र	ɐ̃́ s̪ ɐ t̪ ɾ ɐ
अंसपृष्ठ	ɐ̃ s̪ ɐ p r̩ ʂ ʈʰ ɐ
अंसपृष्ठ	ɐ̃́ s̪ ɐ p r̩ ʂ ʈʰ ɐ
अंसफलक	ɐ̃ s̪ ɐ pʰ ɐ l̪ ɐ k ɐ
अंसफलक	ɐ̃ s̪ ɐ pʰ ɐ l̪ ɐ k ɐ́
अंहस्	ɐ̃ ɦ ɐ s̪
अंहस्	ɐ̃́ ɦ ɐ s̪
अंहु	ɐ̃ ɦ u
अंहु	ɐ̃́ ɦ u
अऋणिन्	ɐ r̩ ɳ i n̪
अक	ɐ k ɐ
अक	ɐ́ k ɐ
अकन्या	ɐ k ɐ n̪ j ɑː
अकन्या	ɐ́ k ɐ n̪ j ɑː
अकरोत्	ɐ k ɐ ɾ oː t̪
अकरोत्	ɐ́ k ɐ ɾ ɐ w t̪
अकर्	ɐ k ɐ ɾ
अकर्	ɐ́ k ɐ ɾ
अकर्तिष्यताम्	ɐ k ɐ ɾ t̪ i ʂ j ɐ t̪ ɑː m
अकर्तिष्यत्	ɐ k ɐ ɾ t̪ i ʂ j ɐ t̪
अकर्त्स्यताम्	ɐ k ɐ ɾ t̪ s̪ j ɐ t̪ ɑː m
अकर्त्स्यत्	ɐ k ɐ ɾ t̪ s̪ j ɐ t̪
अकार	ɐ k ɑː ɾ ɐ
अकाल	ɐ k ɑː l̪ ɐ
अकिञ्चन	ɐ k i ɲ t͡ɕ ɐ n̪ ɐ
अक्तु	ɐ k t̪ u
अक्तु	ɐ k t̪ ú
अक्ष	ɐ k ʂ ɐ
अक्ष	ɐ́ k ʂ ɐ
अक्षत	ɐ k ʂ ɐ t̪ ɐ
अक्षत	ɐ́ k ʂ ɐ t̪ ɐ
अक्षय	ɐ k ʂ ɐ j ɐ
अक्षय्य	ɐ k ʂ eː j ɐ
अक्षय्य	ɐ k ʂ ɐ j j ɐ́
अक्षर	ɐ k ʂ ɐ ɾ ɐ
अक्षर	ɐ k ʂ ɐ́ ɾ ɐ
अक्षि	ɐ k ʂ i
अक्षि	ɐ́ k ʂ i
अक्षित	ɐ k ʂ i t̪ ɐ
अक्षित	ɐ́ k ʂ i t̪ ɐ
अखिल	ɐ kʰ i l̪ ɐ
अगच्छः	ɐ ɡ ɐ t t͡ɕʰ ɐ h
अगच्छत	ɐ ɡ ɐ t t͡ɕʰ ɐ t̪ ɐ
अगच्छतम्	ɐ ɡ ɐ t t͡ɕʰ ɐ t̪ ɐ m
अगच्छताम्	ɐ ɡ ɐ t t͡ɕʰ ɐ t̪ ɑː m
अगच्छत्	ɐ ɡ ɐ t t͡ɕʰ ɐ t̪
अगच्छत्	ɐ́ ɡ ɐ t t͡ɕʰ ɐ t̪
अगच्छन्	ɐ ɡ ɐ t t͡ɕʰ ɐ n̪
अगच्छम्	ɐ ɡ ɐ t t͡ɕʰ ɐ m
अगच्छाम	ɐ ɡ ɐ t t͡ɕʰ ɑː m ɐ
अगच्छाव	ɐ ɡ ɐ t t͡ɕʰ ɑː ʋ ɐ
अगच्छे	ɐ ɡ ɐ t t͡ɕʰ eː
अगच्छे	ɐ ɡ ɐ t t͡ɕʰ ɐ j
अगन्	ɐ ɡ ɐ n̪
अगन्	ɐ́ ɡ ɐ n̪
अगमत्	ɐ ɡ ɐ m ɐ t̪
अगम्यत	ɐ ɡ ɐ m j ɐ t̪ ɐ
अगम्ये	ɐ ɡ ɐ m j eː
अगम्ये	ɐ ɡ ɐ m j ɐ j
अगरु	ɐ ɡ ɐ ɾ u
अगार	ɐ ɡ ɑː ɾ ɐ
अग्नि	ɐ ɡ n̪ i
अग्नि	ɐ ɡ n̪ í
अघ	ɐ ɡʱ ɐ
अघ	ɐ ɡʱ ɐ́
अघ्न्या	ɐ ɡʱ n̪ j ɑː
अघ्न्या	ɐ ɡʱ n̪ j ɑ́ː
अघ्न्या	ɐ́ ɡʱ n̪ j ɑː
अङ्कनी	ɐ ŋ k ɐ n̪ iː
अङ्कयति	ɐ ŋ k ɐ j ɐ t̪ i
अङ्कस्	ɐ ŋ k ɐ s̪
अङ्कस्	ɐ́ ŋ k ɐ s̪
अङ्कित	ɐ ŋ k i t̪ ɐ
अङ्खयति	ɐ ŋ kʰ ɐ j ɐ t̪ i
अङ्ग	ɐ ŋ ɡ ɐ
अङ्ग	ɐ́ ŋ ɡ ɐ
अङ्गन	ɐ ŋ ɡ ɐ n̪ ɐ
