't	t
a	a
aacht	aː χ t
aachtel	aː χ t e l
aalbes	aː l b e s
aangel	aː ŋ e l
aarbecht	aː ʀ b e χ t
aarbechter	aː ʀ b e χ t e ʀ
aarbechtsamt	aː ʀ b e ɕ t s a m t
aarbechtslos	aː ʀ b e χ t s l oː s
aarm	aː ʀ m
aarmséileg	aː ʀ m z e i̯ l e χ
aarmut	aː ʀ m u t
aart	aː ʀ t
aartlech	aː ʀ t l e χ
aasch	aː ʃ
aaschbak	aː ʃ b aː k
aascht	aː ʃ t
aaxt	aː k s t
aaxten	aː k s t ə n
aband	aː b ɑ n t
abeezen	a b eː t s e n
abenteuerlech	aː b e n t o i̯ e ʀ l e χ
aberuffen	a b e ʀ u f e n
aberuffung	a b e ʀ u f u ŋ
abezuelen	a b e t s u e̯ l e n
abgascht	aː p ɡ a ʃ t
abilden	a b i l d e n
abiméieren	a b i m e i̯ ʀ e n
abiméiert	ɑ b i m ɜ ɪ̯ ɐ t
abléck	aː b l e k
ablécklech	ɑ p l e k l e χ
abonnement	a b o n e m ã
abonnéieren	ɑ b o n ɜ ɪ̯ ə ʀ ə n
abroch	aː b ʀ o χ
abréch	aː b ʀ ə ɕ
abrëll	a b ʀ e l
abseits	a p z a i̯ t s
absence	a p s ã s
absichtlech	ɑ p z i χ t l e χ
abstrakt	ɑ p s t ʀ ɑ k t
absurd	a p z u ʀ t
abt	ɑ p t
abuddelen	a b u d e l e n
abus	a b y
abänn	aː b æ n
abéissen	a b e i̯ s e n
accabléiert	a k a b l e i̯ e ʀ t
acceleratioun	a k s e l e ʀ a t s j e u̯ n
achs	a k s
achzeg	a χ t s e χ
adder	a d e ʀ
adjektiv	a d ʒ æ k t iː f
adler	aː d l e ʀ
administrativ	a d m i n i s t ʀ a t iː f
adoptéieren	ɑ d o p t ɜ ɪ̯ ə ʀ ə n
adresse	a d ʀ æ s
advent	a t v æ n t
adverb	a t v æ ʀ p
aen	a e n
aendeckel	a e n d æ k ə l
aenzeien	a e n t s a i̯ e n
af	aː f
afaassen	a f aː s e n
afalen	a f aː l e n
afen	aː f e n
afennoss	aː f e n n o s
afetten	a f æ t e n
affekot	a f e k oː t
affer	a f e ʀ
afferen	a f e ʀ e n
afferstack	a f e ʀ ʃ t a k
affiche	a f i ʃ
affront	a f ʀ õ
afloss	a f l o s
agang	a ɡ a ŋ
agank	a ɡ a ŋ k
agemaachtes	a ɡ e m aː χ t e s
ageriicht	a ɡ e ʀ iː χ t
aggressiv	a ɡ ʀ æ s iː f
agreabel	ɑ ɡ ʁ e aː b ə l
agresséieren	ɑ ɡ ʀ æ s ɜ ɪ̯ ə ʀ ə n
agäng	aː ɡ æ n ɡ
ahnen	aː n e n
akadeemesch	ɑ k ɑ d eː m ə ʃ
akademie	a k a d e m i
akaul	aː k a u̯ l
aker	aː k e ʀ
akerbau	aː k e ʀ b a u̯
akribesch	ɑ k ʀ iː b e ʃ
akrobatik	a k ʀ o b aː t i k
akt	a k t
aktivéieren	ɑ k t i v ɜ ɪ̯ ə ʀ ə n
aktuell	a k t u æ l
akupunktur	a k u p u ŋ k t uː ʀ
al	aː l
albanien	a l b aː n j e n
aleeën	a l e e n
alertéieren	ɑ l æ ʀ t ɜ ɪ̯ ə ʀ ə n
alg	ɑ l k
alignéieren	ɑ l i n j ɜ ɪ̯ ə ʀ ə n
alkohol	a l k o h oː l
alkoholismus	a l k o h o l i s m u s
all	a l
alldag	a l d aː χ
allee	a l e
allefalls	ɑ l ə f ɑ l s
allenenn	ɑ l ə n æ n
allerdéngs	ɑ l ɐ d e ŋ s
allerhellegen	a l e ʀ h æ l e ʁ e n
allerséilen	a l e ʀ z e i̯ l e n
alleréischt	ɑ l ə ʁ ɜ ɪ̯ ʃ t
alles	a l e s
allmächteg	a l m æ χ t e χ
aloggen	a l o ɡ e n
alpdram	a l p d ʀ aː m
alphabet	ɑ l f ɑ b eː t
als	a l s
also	a l z o
alstad	aː l ʃ t aː t
alt	a l t
alter	a l t e ʀ
alzem	a l t s e m
ambulanz	ɑ m b u l ɑ n t͡s
ameis	aː m a i̯ s
amplaz	a m p l aː t s
an	a n
ananas	a n a n a s
anchecken	a n t ʃ æ k e n
anchois	ã ʃ v aː
andecken	a n d æ k e n
andeelen	a n d eː l e n
andeelung	a n d eː l u ŋ
andeems	a n d eː m s
andreiwen	a n d ʀ a i̯ v e n
androen	a n d ʀ o e n
andéif	a n d e i̯ f
aner	aː n e ʀ
anescht	aː n e ʃ t
angscht	a ŋ ʃ t
animatioun	a n i m a t s j e u̯ n
antigel	a n t i ʒ æ l
apaart	a p aː ʀ t
apdikt	a p d i k t
apel	aː p e l
apelbatz	aː p e l b a t s
aper	aː p e ʀ
aperhoer	aː p e ʀ h o e ʀ
aplaz	a p l aː t s
apostroph	a p o s t ʀ o f
appartement	a p a ʀ t e m ã
appartement	a p aː ʀ t e m ã
appell	a p æ l
aprikos	a p ʀ i k oː s
ar	aː ʀ
arithmetik	a ʀ i t m eː t i k
arroganz	a ʀ o ɡ a n s
arterie	ɑ ʁ t eː ʁ i ə̯
artichaut	a ʀ t i ʃ o
artillerie	a ʀ t i l e ʀ i
aschléissen	a ʃ l e i̯ s e n
aschätzen	a ʃ æ t s e n
asetzen	a z æ t s e n
assurance	a s y ʀ ã s
astrologie	a s t ʀ o l o ʒ i
aubergine	o b e ʀ ʒ i n
aubergine	o b æ ʀ ʒ i n
auder	a u̯ d e ʀ
auer	a u̯ e ʀ
auermécher	a u̯ e ʀ m e x e ʀ
august	a u̯ ɡ u s t
aus	æ u̯ s
ausbriechen	æ u̯ s b ʀ i e̯ χ e n
ausdoen	æ u̯ s d o e n
ausdroen	æ u̯ s d ʀ o e n
auserneen	æː ʊ̯ z ɐ n eː n
ausgab	æ u̯ s ɡ aː p
ausginn	æ u̯ s ɡ i n
auskommen	æ u̯ s k o m e n
ausleeën	æ u̯ s l e e n
ausloggen	æ u̯ s l o ɡ e n
ausmaachen	æ u̯ s m aː χ e n
ausruffzeechen	æ u̯ s ʀ u f t s eː χ e n
ausschléissen	æ u̯ s ʃ l e i̯ s e n
ausschwätzen	æ u̯ s ʃ v æ t s e n
aussetzen	æ u̯ s z æ t s e n
auteur	o t øː e ʀ
auteursrecht	oː t œː ʁ z ʁ æ ɕ t
auto	a u̯ t o
autogramm	ɑ ʊ̯ t o ɡ ʁ ɑ m
autorisatioun	o t o ʀ i z a t s j e u̯ n
autoscourse	a u̯ t o s k u ʀ s
aviatioun	a v j a t s j e u̯ n
avion	a v j õ
awanderen	a v a n d e ʀ e n
awanderung	a v a n d e ʀ u ŋ
awar	a v aː ʀ
awer	aː v e ʀ
awunner	a v u n e ʀ
baach	b aː χ
baachfrell	b aː χ f ʀ æ l
baachnénga	b aː χ n e ŋ aː
baang	b aː ŋ
baarf	b aː ʀ f
baarmhäerzegkeet	b aː ʀ m h eː ʀ t s e χ k eː t
baart	b aː ʀ t
baatsch	b aː t ʃ
bad	b aː t
badminton	b æ t m i n t e n
bak	b aː k
baken	b aː k e n
bal	b aː l
ball	b a l
bam	b aː m
bampiipsert	b aː m p iː p s e ʀ t
banann	b a n a n
band	b a n t
band	b æ n t
bandscheif	b a n t ʃ a i̯ f
bank	b a ŋ k
bankrott	b a ŋ k ʀ o t
bann	b a n
bannen	b a n e n
bascht	b a ʃ t
basketball	b aː s k e t b a l
bass	b a s
batter	b a t e ʀ
batteralzem	b ɑ t ə ʀ ɑ l t͡s ə m
batz	b a t s
bau	b æ u̯
bauch	b æ u̯ χ
bauchspeicheldrüs	b æ u̯ χ ʃ p a i̯ χ e l d ʀ yː s
bauen	b a u̯ e n
bauer	b a u̯ e ʀ
bauerenhaff	b a u̯ ʀ e n h a f
baussen	b æ u̯ s e n
baussent	b æ u̯ s e n t
beamten	b e a m t e n
becher	b æ χ e ʀ
bedeckt	b e d æ k t
bedeelegung	b e d eː l e ʁ u ŋ
bedeiten	b e d a i̯ t e n
bedeitung	b e d a i̯ t u ŋ
bedruch	b e d ʀ u χ
bedrécken	b e d ʀ e k e n
beel	b eː l
been	b eː n
bees	b eː s
beezen	b eː t s e n
befielen	b e f i e̯ l e n
begieren	b e ɡ i e̯ ʀ e n
begierlech	b e ɡ iː ʀ l e χ
begierlechkeet	b e ɡ iː ʀ l e χ k eː t
begleeden	b e ɡ l eː d e n
begräifen	b e ɡ ʀ æ i̯ f e n
begréissen	b e ɡ ʀ e i̯ s e n
begrëff	b e ɡ ʀ e f
begrënnen	b e ɡ ʀ e n e n
begéinen	b e ɡ e i̯ n e n
behaapten	b e h aː p t e n
behandlung	b ə h ɑ n d l u ŋ
behuelen	b e h u e̯ l e n
behälter	b e h æ l t e ʀ
bei	b a i̯
beicht	b a i̯ χ t
beichtstull	b a i̯ χ t ʃ t u l
beidel	b a i̯ d e l
beige	b eː ʃ
beim	b a i̯ m
beispill	b a i̯ ʃ p i l
bekassinn	b e k a s i n
beleedegen	b e l eː d e ʁ e n
beleeën	b e l e e n
beleidegen	b e l a i̯ d e ʁ e n
belsch	b æ l ʃ
belschen	b æ l ʃ e n
beléift	b e l e i̯ f t
bemierken	b e m i e̯ k e n
bemierkung	b e m i e̯ k u ŋ
bensin	b æ n z iː n
beobachten	b e oː b a χ t e n
bereien	b e ʀ a i̯ e n
beriichten	b e ʀ iː χ t e n
beruff	b e ʀ u f
beréieren	b e ʀ e i̯ ʀ e n
beréierung	b e ʀ e i̯ ʀ u ŋ
beschléissen	b e ʃ l e i̯ s e n
beschreiwen	b e ʃ ʀ a i̯ v e n
beschränken	b e ʃ ʀ æ ŋ k e n
beschwéiert	b e ʃ v e ɪ̯ e ʀ t
besetzen	b e z æ t s e n
besonnesch	b e z o n e ʃ
bespriechen	b e ʃ p ʀ i e̯ χ e n
besserung	b æ s e ʀ u ŋ
bestanddeel	b e ʃ t a n t d eː l
bestellen	b e ʃ t æ l e n
bestiits	b e ʃ t iː t s
bestit	b e ʃ t iː t
bestrofen	b e ʃ t ʀ oː f e n
bestueden	b e ʃ t u e̯ d e n
bestuet	b e ʃ t u e̯ t
besuch	b e z u χ
betounen	b e t e u̯ n e n
betounung	b ə t ə ʊ n u ŋ
betrag	b ə t ʀ aː χ
beträg	b ə t ʀ ɛː ɕ
bett	b æ t
bettseechesch	b æ t z eː χ e ʃ
beuechten	b e u e̯ χ t e n
bevëlkerung	b e f e l k e ʀ u ŋ
bewonnerung	b e v o n e ʀ u ŋ
bewäis	b e v æ i̯ s
bezeechnen	b e t s eː χ n e n
bezeechnung	b e t s eː χ n u ŋ
bezeien	b e t s a i̯ e n
bezuch	b e t s u χ
bezuelen	b e t s u e̯ l e n
bezweiwelen	b e t s v a i̯ v e l e n
bezwéngen	b ə t͡s w e ŋ ə n
bibel	b iː b e l
biber	b iː b e ʀ
bibliothecaire	b i b l j o t e k ɛː ʁ
bic	b i k
bich	b i χ
bichelchen	b i χ e l χ e n
bichenholz	b i ɕ ə n h o l t͡s
bicherbuttek	b i χ e ʀ b u t e k
bicherwuerm	b i χ e ʀ v u e̯ m
bidden	b i d e n
bidet	b i d e
bieden	b i e̯ d e n
bier	b iː ʀ
bierg	b i ə̯ χ
biergen	b i e̯ ʁ e n
bierger	b i e̯ ʁ e ʀ
biergof	b iː ʀ χ oː f
biergop	b i ə̯ ʀ χ o p
bierk	b i e̯ k
biesem	b i e̯ z e m
biewen	b i e̯ v e n
bifdeck	b i f d æ k
bigel	b i ʁ e l
biichten	b iː χ t e n
biischt	b iː ʃ t
biischten	b iː ʃ t ə n
bijoutier	b i ʒ u t j e
bild	b i l t
bilden	b i l d e n
bildschierm	b i l t ʃ i e̯ m
billard	b i l j aː ʀ
billen	b i l e n
bindestréch	b i n d e ʃ t ʀ e χ
biologie	b i o l o ʒ i
bir	b iː ʀ
bis	b i s
bitzen	b i t s e n
biz	b iː t s
blann	b l a n
blat	b l aː t
blatlaus	b l aː t l æ u̯ s
blatz	b l a t s
blatzeg	b l ɑ t s e χ
bleech	b l eː χ
bleechen	b l eː χ e n
bleiwen	b l a i̯ v e n
blennen	b l æ n e n
blessur	b l æ s yː ʀ
blesséieren	b l æ s e i̯ ʀ e n
blietchen	b l i e̯ t χ e n
blitt	b l i t
blitts	b l i t s
blo	b l o
blobrëschtchen	b l oː b ʁ e ʃ t χ e n
bloder	b l oː d e ʀ
blomees	b l oː m eː s
bloost	b l oː s t
blos	b l oː s
blosen	b l oː z e n
blouss	b l e u̯ s
bludden	b l u d e n
blumm	b l u m
blus	b l uː s
blutt	b l u t
bluttdrock	b l u t d ʀ o k
bluttjonk	b l u t j o ŋ k
bluttrout	b l u t ʀ e u̯ t
bläi	b l æ i̯
bläien	b l æ i̯ e n
bläifräi	b l æː ɪ̯ f ʀ æː ɪ̯
bläistëft	b l æ i̯ ʃ t e f t
bléck	b l e k
bléi	b l e i̯
bléien	b l e i̯ e n
bléis	b l e i̯ s
bléist	b l e i̯ s t
bléit	b l e i̯ t
blénken	b l e ŋ k e n
blëtz	b l e t s
blëtzen	b l e t s e n
bock	b o k
boll	b o l
boma	b oː m a
bomm	b o m
bommel	b o m e l
bond	b o n t
bong	b o ŋ
bord	b oː e ʀ
botanesch	b oː t aː n e ʃ
botanik	b o t aː n i k
bott	b o t
botte	b o t
bottel	b o t e l
botter	b o t e ʀ
bottermëllech	b o t e ʀ m e l e χ
botzen	b o t s e n
bou	b o u̯
bouf	b e u̯ f
bougie	b u ʒ i
bouillon	b u j õ
boulette	b u l æ t
boun	b e u̯ n
bouneschlupp	b e u̯ n e ʃ l u p
bourse	b u ʀ s
bouss	b e u̯ s
box	b o k s
brach	b ʀ a χ
braconnéieren	b ʀ a k o n e i̯ ʀ e n
brak	b ʀ aː k
brand	b ʀ a n t
branntewäin	b ʀ a n t e v æ i̯ n
brauchen	b ʀ æ u̯ χ e n
brauen	b ʀ a u̯ e n
braut	b ʀ æ u̯ t
brautrank	b ʀ æ u̯ t ʀ a ŋ k
breet	b ʀ eː t
bremsspur	b ʀ æ m s ʃ p uː ʀ
brennen	b ʀ æ n e n
brennes	b ʀ æ n e s
bretzeg	b ʀ æ t s ə ɕ
bretzel	b ʀ æ t s e l
bretzen	b ʀ æ t s e n
bridder	b ʀ i d e ʀ
briech	b ʀ i e̯ χ
briecheisen	b ʀ i e̯ χ a i̯ z e n
briechen	b ʀ i e̯ χ e n
briecht	b ʀ i e̯ χ t
briet	b ʀ i e̯ t
brigang	b ʀ i ɡ a ŋ
britt	b ʀ i t
brittesch	b ʀ i t e ʃ
broch	b ʀ o χ
broden	b ʀ oː d e n
brodéieren	b ʀ o d e i̯ ʀ e n
bromee	b ʀ o m eː
brong	b ʀ o ŋ
brongbrëschtchen	b ʀ o ŋ b ʀ e ʃ t χ e n
bronkeg	b ʀ o ŋ k e χ
brooch	b ʀ oː χ
brosch	b ʀ o ʃ
broscht	b ʀ o ʃ t
brot	b ʀ oː t
brout	b ʀ e u̯ t
bruck	b ʀ u k
brudder	b ʀ u d e ʀ
bräi	b ʀ æ i̯
bräit	b ʀ æ i̯ t
bréch	b ʀ e χ
bréchs	b ʀ e χ s
brécht	b ʀ e χ t
bréck	b ʀ e k
bréien	b ʀ e i̯ e n
bréif	b ʀ e i̯ f
bréifdréier	b ʁ ɜ ɪ̯ v d ʁ ɜ ɪ̯ ɐ
bréifkëscht	b ʀ e i̯ f k e ʃ t
bréissel	b ʀ e i̯ s e l
bréit	b ʀ e i̯ t
bréits	b ʀ e i̯ t s
bréngen	b ʀ e ŋ e n
brëll	b ʀ e l
brëllen	b ʀ e l e n
brëscht	b ʀ ə ʃ t
brëtsch	b ʀ e t ʃ
buch	b u χ
buchen	b u χ e n
buddelen	b u d e l e n
buedduch	b u e̯ t d u χ
buedem	b u e̯ d e m
bueden	b u e̯ d e n
buedzëmmer	b u e̯ t t s e m e ʀ
buer	b uː ʀ
bueren	b u e̯ ʀ e n
buerg	b u e̯ χ
buet	b u e̯ t
bugger	b u ɡ e ʀ
bull	b u l
bulli	b u l i
bunn	b u n
bus	b u s
buschauffeur	b uː s ʃ oː f ɐ
buschtaf	b u ʃ t aː f
busgare	b u s ɡ aː ʀ
buttek	b u t e k
buuscht	b uː ʃ t
bäcker	b æ k e ʀ
bäckeschdosen	b æ k e ʃ d oː z e n
bäikommen	b æ i̯ k o m e n
bäileed	b æ i̯ l eː t
bäileeën	b æ i̯ l e e n
bäisetzen	b æ i̯ z æ t s e n
bäiss	b æ i̯ s
bäissen	b æ i̯ s e n
bäisst	b æ i̯ s t
bäll	b æ l
bänk	b æ ŋ k
béchs	b e k s
bécken	b e k e n
béi	b e i̯
béid	b e i̯ t
béiden	b e i̯ d e n
béien	b e i̯ e n
béier	b e i̯ e ʀ
béifchen	b e i̯ f χ e n
béis	b e i̯ s
béissen	b e i̯ s e n
bëbee	b e b eː
bëlleg	b e l e χ
bënns	b e n s
bënnt	b e n t
bësch	b e ʃ
bëschof	b e ʃ oː f
bëselen	b e z e l e n
bëss	b e s
bëtong	b e t o ŋ
cabillaud	k a b i j o
cale	k a l
capabel	k a p aː b e l
capellen	k ɑ p æ l ə n
capot	k a p o
case	k aː s
catchen	k a t ʃ e n
chamber	ʃ ã b e ʀ
champignon	ʃ ã p i n j õ
chancëgläichheet	ʃ ã s e ɡ l æ i̯ ɕ h eː t
changéieren	ʃ ã ʒ e i̯ ʀ e n
chantage	ʃ ã t aː ʃ
charakter	k a ʀ a k t e ʀ
chauffer	ʃ oː f e ʀ
chauffersflucht	ʃ oː f e ʀ s f l u χ t
chauffeur	ʃ oː f øː e ʀ
chaufféieren	ʃ o f e i̯ ʀ e n
chef	ʃ æ f
chimie	ʃ i m i
choufleur	ʃ uː f l øː e ʀ
christus	k ʀ i s t u s
chrëscht	k ʀ e ʃ t
chrëschtbeemchen	k ʀ e ʃ t b eː m χ e n
chrëschtdag	k ʀ e ʃ t d aː χ
chrëschtentum	k ʀ e ʃ t e n t uː m
chrëschtlech	k ʀ e ʃ t l e χ
chômage	ʃ oː m aː ʃ
coachen	k oː t͡ʃ ə n
collaboratioun	k o l a b o ʀ a t s j e u̯ n
comptoir	k õ t v aː ʀ
computer	k o m p j uː t e ʀ
confirméieren	k o n f i ʁ m e i̯ ʀ e n
constitutioun	k o n s t i t u t s j e u̯ n
couragéiert	k u ʀ aː ʒ e ɪ̯ e ʀ t
cousine	k u z i n
cricket	k ʀ i k e t
d'	d
d'	t
da	d a
daach	d aː χ
daachdecker	d aː x d æ k e ʀ
daachen	d aː χ e n
daachliicht	d aː χ l iː χ t
daachzill	d aː χ t͡s i l
daarm	d aː ʀ m
dach	d a χ
dachs	d a k s
dacks	d a k s
daf	d aː f
dafheet	d aː f h eː t
dafstomm	d aː f ʃ t o m
dag	d aː χ
daimchen	d a i̯ m χ e n
dall	d a l
damm	d a m
damp	d a m p
dangen	d a ŋ e n
danken	d a ŋ k e n
dann	d a n
danz	d a n s
danzen	d a n t s e n
daper	d aː p e ʀ
dapp	d a p
dar	d aː ʀ
dass	d a s
dat	d a t
dat	d aː t
datt	d a t
dattel	d a t e l
datz	d a t s
dauchen	d æ u̯ χ e n
dauer	d a u̯ e ʀ
daueren	d a u̯ ʀ e n
dauf	d a u̯ f
daum	d a u̯ m
dausend	d a u̯ z e n t
dech	d e χ
deckel	d æ k e l
deckelsmouk	d æ k e l s m e u̯ k
decken	d æ k e n
deefen	d eː f e n
deeg	d eː χ
deeglech	d eː χ l e χ
deel	d eː l
deelen	d eː l e n
deem	d eː m
deemno	d eː m n o
deemools	d eː m oː l s
deen	d eː n
dees	d eː s
deet	d eː t
degustéieren	d eː ɡ y s t e i̯ ʀ e n
dehnen	d eː n e n
deier	d a i̯ e ʀ
deiten	d a i̯ t e n
dekorateur	d e k o ʁ ɑ t øː ɐ̯
dem	d e m
den	d e n
deng	d e ŋ
dengem	d e ŋ e m
dengen	d e ŋ e n
denger	d e ŋ e ʀ
denken	d æ ŋ k e n
denn	d æ n
der	d e ʀ
derhanner	d e ʀ h a n e ʀ
dezember	d e t s æ m b e ʀ
diamant	d i a m a n t
dicher	d i ɕ ɐ
dicht	d i χ t
dichteg	d i χ t e χ
dichter	d i χ t e ʀ
dictionnaire	d i k s j o n eː ʀ
diddeleng	d i d e l e ŋ
dier	d iː ʀ
digel	d i ʁ e l
dikrech	d i k ʀ e χ
diktéieren	d i k t e i̯ ʀ e n
dill	d i l
dillen	d i l e n
dimmer	d i m e ʀ
dinn	d i n
dir	d iː ʀ
diskutéieren	d i s k u t e i̯ ʀ e n
distanz	d i s t ɑ n t͡s
ditzen	d i t s e n
diwwi	d i v i
do	d o
dobannen	d o b a n e n
dobaussen	d o b æ u̯ s e n
dobäi	d o b æ i̯
doduerch	d o d u e̯ χ
doen	d o e n
dofir	d o f iː ʀ
doft	d o f t
doften	d o f t e n
dogéint	d o ɡ e i̯ n t
dohannen	d o h a n e n
dohanner	d o h a n e ʀ
doheem	d o h eː m
dohin	d o h i n
dohinner	d o h i n e ʀ
dokter	d o k t e ʀ
dolmetscher	d o l m æ t͡ʃ ɐ
doléiner	d oː l e i̯ n e ʀ
domat	d oː m a t
domm	d o m
dommheet	d o m h eː t
donkel	d o ŋ k e l
donkelheet	d o ŋ k e l h eː t
donner	d o n e ʀ
donneren	d o n e ʀ e n
donneschdeg	d o n e ʃ d e χ
dono	d o n o
dono	d oː n o
donst	d o n s t
doran	d o ʀ a n
doran	d oː ʀ a n
doraus	d o ʀ æ u̯ s
doraus	d oː ʀ æ u̯ s
doriwwer	d o ʀ i v e ʀ
doriwwer	d oː ʀ i v e ʀ
doropshin	d o ʀ o p s h i n
dorun	d o ʀ u n
dorun	d oː ʀ u n
dosen	d oː z e n
dossier	d o s j e
dot	d oː t
dott	d o t
doud	d e u̯ t
doudegriewer	d ə ʊ̯ d ə ɡ ʁ i ə̯ v ɐ
doudesaffer	d e u̯ d e s a f e ʀ
doudewon	d e u̯ d e v oː n
doum	d e u̯ m
dout	d e u̯ t
doutmaachen	d e u̯ t m aː χ e n
dovun	d o f u n
dovun	d oː f u n
dovunner	d o f u n e ʀ
dovunner	d oː f u n e ʀ
dozou	d o t s e u̯
dozou	d oː t s e u̯
draach	d ʀ aː χ
draleeën	d ʀ a l e e n
dram	d ʀ aː m
dran	d ʀ a n
drauf	d ʀ a u̯ f
drauwejus	d ʀ a u̯ v e ʒ y
dreck	d ʀ æ k
dreemen	d ʀ eː m e n
dreeën	d ʀ e e n
dreif	d ʀ a i̯ f
dreifs	d ʀ a i̯ f s
dreift	d ʀ a i̯ f t
dreiwen	d ʀ a i̯ v e n
dreschen	d ʀ æ ʃ e n
dreschmaschinn	d ʁ æ ʃ m ɑ ʃ i n
drill	d ʀ i l
drilling	d ʀ i l i ŋ
driwwer	d ʀ i v e ʀ
dro	d ʀ o
droen	d ʀ o e n
drog	d ʀ oː k
drog	d ʀ oː χ
droit	d ʀ v a
droleg	d ʀ oː l e χ
drot	d ʀ oː t
drun	d ʀ u n
dräi	d ʀ æ i̯
