అ	a
అంగజాల	ã ŋ ɡ a d͡ʒ aː l a
అక్క	a kː a
అగు	a ɡ u
అట	a ʈ a
అట్టు	a ʈː u
అడ్డ	a ɖː a
అడ్డు	a ɖː u
అతనిది	a t a n i d i
అత్త	a tː a
అత్రి	a t r i
అదృశ్యత	a d r ɨ ɕ j a t a
అదృష్టము	a d r ɨ ʂ ʈ a m u
అనుపానము	a n u p aː n a m u
అన్ను	a n̪ː u
అప్ప	a pː a
అప్పు	a pː u
అబ్బ	a bː a
అబ్బబ్బ	a bː a bː a
అల	a l a
అల్లు	a lː u
అవని	a ʋ a n i
అవనిగడ్డ	a ʋ a n i ɡ a ɖː a
ఆ	aː
ఆకు	aː k u
ఆడుబిడ్డ	aː ɖ u b i ɖː a
ఆణి	aː ɳ i
ఆన	aː n̪ a
ఆనకట్ట	aː n a k a ʈː a
ఆపద	aː p a d̪ a
ఆమెది	aː m e d i
ఆరు	aː r̪ u
ఆర్పు	aː r p u
ఆలి	aː l̪ i
ఆవ	aː ʋ a
ఆవాలు	aː ʋ aː l̪ u
ఆశావాది	aː ɕ aː ʋ aː d i
ఇట	i ʈ a
ఇతి	i t i
ఇల	i l a
ఇల్లు	i lː u
ఈ	iː
ఈక	iː k a
ఈగ	iː ɡ a
ఈదు	iː d̪ u
ఉక్కు	u kː u
ఉగ్గు	u ɡː u
ఉత్త	u tː a
ఉలి	u l̪ i
ఉల్లి	u l̪ː i
ఊట	uː ʈ a
ఊడు	uː ɖ u
ఊపిరి	uː p i r i
ఊపిరితిత్తి	uː p i r i t i tː i
ఊపిరిలేని	uː p i r i l eː n i
ఋ	r̥
ఎగ్గు	e ɡː u
ఎన్ను	e n̪ː u
ఎముకలేని	e m u k a l eː n i
ఏ	eː
ఏట	eː ʈ a
ఏడవ	eː ɖ a ʋ a
ఏడు	eː ɖ u
ఐ	a i
ఐదు	a i d̪ u
ఒకటి	o k a ʈ i
ఒగ్గు	o ɡː u
ఒట్టు	o ʈː u
ఒడ్డు	o ɖː u
ఒప్పు	o pː u
ఔ	a w
కక్క	k a kː a
కక్కు	k a kː u
కట్టు	k a ʈː u
కను	k a n̪ u
కన్ను	k a n̪ː u
కప్ప	k a pː a
కప్పు	k a pː u
కర్ర	k a rː a
కల	k a l a
కలప	k a l̪ a p a
కల్ల	k a l̪ː a
కల్లు	k a lː u
కాటా	k aː ʈ aː
కాడి	k aː ɖ i
కాన	k aː n̪ a
కామాకు	k aː m aː k u
కారము	k aː r a m u
కాలు	k aː l u
కీరవాణి	k iː r a ʋ aː ɳ i
కు	k u
కుక్క	k u kː a
కుక్కపిల్ల	k u kː a p i l̪ː a
కుడి	k u ɖ i
కుప్ప	k u pː a
కురుపు	k u r u p u
కూడు	k uː ɖ u
కూన	k uː n̪ a
కూర	k uː r̪ a
కేదారము	k eː d aː r a m u
కొక్కు	k o kː u
కొట్టు	k o ʈː u
కొత్త	k o tː a
కొన	k o n̪ a
కొప్పు	k o pː u
