aire	a j ɾ e
aluminiu	a l u m i n j u
anatomía	a n a t o m i a
aragonesa	a ɾ a ɣ o n e s a
aragoneses	a ɾ a ɣ o n e s e s
aragoneso	a ɾ a ɣ o n e s o
aragonés	a ɾ a ɣ o n e s
asientos	a s i e ŋ n t o s
asientu	a s i e ŋ n t u
asturiana	a s t u ɾ j a n a
asturianes	a s t u ɾ j a n e s
asturiano	a s t u ɾ j a n o
asturianos	a s t u ɾ j a n o s
asturianu	a s t u ɾ j a n u
asturies	a s t u ɾ j e s
axetivos	a ʃ e t i b o s
axetivu	a ʃ e t i b u
añu	a ɲ u
beriliu	b e r i l j u
bisgüela	b i z ɣ w e l a
bisgüeles	b i z ɣ w e l e s
bisgüelos	b i z ɣ w e l o s
bisgüelu	b i z ɣ w e l u
bisnieta	b i z n j e t a
bisnietes	b i z n j e t e s
bisnietos	b i z n j e t o s
bisnietu	b i z n j e t u
bisñeta	b i z ɲ e t a
bisñetes	b i z ɲ e t e s
bisñetos	b i z ɲ e t o s
bisñetu	b i z ɲ e t u
cabeces	k a β e θ e s
cabeza	k a β e θ a
calciu	k a l θ j u
cara	k a ɾ a
cares	k a ɾ e s
cerebrales	θ e ɾ e β ɾ a l e s
cerebros	θ e ɾ e β ɾ o s
cerebru	θ e ɾ e β ɾ u
ciudá	θ j u ð a
cloru	k l o ɾ u
coldu	k o l ð u
conocer	k o n o θ e ɾ
conxugación	k o n ʃ u ɡ a θ j o n
cosadiella	k o s a d j e ʎ a
costín	k o s t i ŋ
cranial	k ɾ a n j a l
craniales	k ɾ a n j a l e s
cranios	k ɾ a n j o s
craniu	k ɾ a n j u
cuerpos	k w e ɾ p o s
cuerpu	k w e ɾ p u
cusu	k u s u
deu	d e u
dialectal	d j a l e k t a l
dialeutal	d j a l e w t a l
enllaz	ɪ ɲ ʎ a θ
enseñar	e n s e ɲ a ɾ
eusquera	œ w s k e ɾ a
eusquérica	œ w s k e ɾ i k a
eusquérico	œ w s k e ɾ i k o
eusquéricos	œ w s k e ɾ i k o s
eusquéricu	œ w s k e ɾ i k u
eusquériques	œ w s k e ɾ i k e s
falar	f a l a ɾ
flúor	f l u o ɾ
güela	ɣ w e l a
güeles	ɣ w e l e s
güelos	ɣ w e l o s
güelu	ɣ w e l u
islla	i s ʎ a
litiu	l i t j u
llamber	ʎ a m b e ɾ
lleche	ʎ e t ʃ e
madrina	m a ð ɾ i n a
madrines	m a ð ɾ i n e s
magnesiu	m a ɡ n e s j u
mano	m a n o
mercáu	m e r k a u
mesa	m e s a
mitoloxía	m i t o l o ʃ ɪ a
monte	m o n t e
nacimientu	n a θ i m j e n t u
neón	n e o ŋ
nieta	n j e t a
nietes	n j e t e s
nietos	n j e t o s
nietu	n j e t u
nitróxenu	n i t ɾ o ʃ e n u
oreya	o ɾ e ɟ a
oveya	o b e ɟ a
padrinos	p a ð ɾ i n o s
padrín	p a ð ɾ i ŋ
pelleyu	p e ʎ e ɟ u
prima	p ɾ i m a
primes	p ɾ i m e s
primos	p ɾ i m o s
primu	p ɾ i m u
rapaz	r a p a θ
rostros	r o s t ɾ o s
rostru	r o s t ɾ u
sodiu	s o ð j u
soñar	s o ɲ a ɾ
suañar	s u a ɲ a ɾ
tenllera	t e ŋ ɲ ʎ e ɾ a
tenlleres	t e ŋ ɲ ʎ e ɾ e s
tiesta	t j e s t a
tiestes	t j e s t e s
tía	t i a
tíes	t i e s
tíos	t i o s
tíu	t i u
vasca	b a s k a
vasco	b a s k o
vascos	b a s k o s
vascu	b a s k u
vascuencia	b a s k w e ŋ n θ j a
vascuencies	b a s k w e ŋ n θ j e s
vascuencio	b a s k w e ŋ n θ j o
vascuencios	b a s k w e ŋ n θ j o s
vascuenciu	b a s k w e ŋ n θ j u
vasques	b a s k e s
vela	b e l a
verde	b e ɾ ð e
vidaya	b i ð a ʝ a
vidayes	b i ð a ʝ e s
ximir	ʃ i m i ɾ
ñata	ɲ a t a
ñeta	ɲ e t a
ñetes	ɲ e t e s
ñetos	ɲ e t o s
ñetu	ɲ e t u
ñeve	ɲ e β e
