achtu	a t͡ʃ t u
ajku	a h k u
ajsi	a h s i
ajwiak	a h w i j a k
akuyut	aː k u j uː t
akuyut	aː ɣ u j uː t
amat	aː m a t
anmejemet	a n m e h e m e t
apan	aː p a ŋ
ashan	a ʃ a ŋ
ashan	aː ʃ aː ŋ
ashnuj	a ʃ n u h
at	aː t
awakat	a w a k a t
awakat	aː w a k a t
awakat	aː w a ɣ a t
ayutuch	aː j uː t u t͡ʃ
ayutzin	aː j uː t͡s i ŋ
cha	t͡ʃ a
chan	t͡ʃ a ŋ
chiknawi	t͡ʃ i k n aː w i
chikume	t͡ʃ i k uː m e
chikwasen	t͡ʃ i kʷ a s eː ŋ
chikwey	t͡ʃ i kʷ eː j
chil	t͡ʃ i l
chil	t͡ʃ i ɬ
chil	t͡ʃ iː l
chiltik	t͡ʃ i l t i k
chiltik	t͡ʃ iː l t i k
chiltik	t͡ʃ iː ɬ t i k
chiwa	t͡ʃ i w a
ejekat	a h a k a t
ejekat	e h e k a t
ejekat	e h e ɣ a t
ejekat	e h eː k a t
elut	e l u t
elut	e lʲ u t
elut	e ɬ u t
elut	eː l u t
epat	e p a t
et	e t
et	eː t
ijpak	i h p a k
ilwia	i l w i j a
ina	iː n a
inte	i n t eː
ipan	i p a ŋ
ish	i ʃ
ish	iː ʃ
ishpan	iː ʃ p a ŋ
ita	i t a
ita	i ð a
itan	i t a ŋ
kakawani	k a k a w a n i
kakawani	ɡ a ɣ a w a n i
kal	k a l
kal	k a ɬ
kal	k a ɬʲ
kal	k aː l
kal	ɡ a l
kalat	k aː l a t
kaltapach	k a l t a p a t͡ʃ
kaltapach	ɡ a l t a p a t͡ʃ
kanawti	k a n a w t i
kashtul	k a ʃ t u l
kastiaj	k a s t i j a h
kawayu	k aː w a j u h
ketza	k e t͡s a
ketza	ɣ e t͡s a
kimichin	k i m i t͡ʃ i ŋ
kimichin	ɡ i m i t͡ʃ i ŋ
kinia	k i n i j a h
kinia	ɡ i n i j a h
kuat	k u w a t
kuat	k uː w a t
kuat	kʷ a t
kuat	ɡ uː w a t
kuke	k u k e
kuke	k uː k e
kuke	ɡ uː ɣ e
kuketzpal	k uː k e t͡s p a l
kuketzpal	k uː ɣ e t͡s p a ɬ
kulut	k uː l u t
kulut	ɡ uː l u t
kumit	k u m i t
kumit	k uː m i t
kumit	ɡ uː m i t
kunet	k u n eː t
kunet	ɡ u n eː t
kuskatan	k uː s k a t a ŋ
kuskatan	ɡ uː s k a t a ŋ
kuyamet	k u j a m e t
kuyamet	ɡ u j a m e t
kuyut	k u j uː t
kuyut	ɡ u j uː t
kwa	kʷ a
kwajtemalan	kʷ a h t eː m a l a ŋ
kwawit	kʷ a w i t
kwawti	kʷ aː w t i
kwechwaj	kʷ e t͡ʃ w a h
kwi	kʷ i
kwilin	kʷ i l i ŋ
kwishti	kʷ i ʃ t i
kwitaululujtzin	kʷ i t a w u l u l u h t͡s i ŋ
ma	m aː
machtia	m a t͡ʃ t i j a
machtia	m a t͡ʃ t j a
majtakti	m a h t a k t i
maka	m a k a
maka	m a ɣ a
makwil	m a kʷ i ɬ
makwil	m aː kʷ i l
mapachin	m aː p a t͡ʃ i ŋ
masat	m a s aː t
mati	m a t i
mekat	m e k a t
mekat	m e ɣ a t
meshijku	m eː ʃ i h k u
metzti	m eː t͡s t i
mey	m e j
mey	m eː j
michin	m i t͡ʃ i ŋ
miki	m i k i
miki	m i ɣ i
miktia	m i k t i j a
miktia	m i k t j a
mishti	m i ʃ t i
mistun	m i s t uː ŋ
mistun	m i ʃ t uː ŋ
mulkit	m u l k i t
mulkit	m u l k iː t
musta	m u s t a
musta	m uː s t a
mututzin	m u t u h t͡s i ŋ
mututzin	m u t u t s i ŋ
mututzin	m u t u t͡s i ŋ
muyut	m uː j u t
muyut	m uː j uː t
naja	n a h a
napitz	n aː p i t͡s
napitz	n aː p i t͡ʃ
nawat	n aː w a t
nawi	n aː w i
nawpual	n aː w p u w a l
neki	n e k i
neki	n e ɣ i
nemi	n e m i
paki	p aː k i
paki	p aː ɣ i
pal	p a l
panpa	p aː m p a
panu	p a n u
papalut	p aː p aː l u t
papalut	p aː p aː l uː t
pelu	p e l u
pelu	p e lʲ u
pelu	p e ɬ u
pelu	p eː l u
pelua	p eː l u w a
petzut	p e s u t
petzut	p eː t͡s u t
pewa	p eː w a
pia	p i j a
pia	p j a
pula	p u l a
se	s eː
senpual	s eː m p u w a l
seujti	s i j u h t i
seujti	s j u h t i
shilut	ʃ i l u t
shilut	ʃ i lʲ u t
shilut	ʃ iː l u t
shuchit	ʃ uː t͡ʃ i t
sinti	s i n t i
sipakti	s i p a k t i
sital	s iː t a l
siwat	s i w aː t
siwatket	s i w aː t k e t
sulin	s uː l i ŋ
taja	t a h a
tajku	t a h k u
takamet	t aː ɣ a m e t
takat	t a k a t
takat	t a ɣ a t
takat	t aː k a t
takat	t aː ɣ a t
taketza	t a k e t͡s a
taketza	t a ɣ e t͡s a
takwal	t a kʷ a l
takwatzin	t a kʷ a t͡s i ŋ
tal	t a l
tal	t a ɬʲ
