अं	ə̃
अंगः	ə ŋ ɡ əː
अंग्रेजी	ə ŋ ɡ r e d͡ʑ iː
अउल	ə u l
अजा	ə d͡ʑ a
अजि	ə d͡ʑ i
अपा	ə p a
अबु	ə b u
अम्पि	ə m p i
अम्बः	ə m b əː
अय्‌लाः	ə j l aː
अर्थपूर्ण	ə r tʰ ə p uː r ɳ
अलःमा	ə l əː m a
अल्याख	ə l j a kʰ
अहङ्कार	ə h ə ŋ k a r
आइतबाः	a i t ə b aː
आखः	a kʰ əː
आन्ध्रप्रदेश	a n dʱ r ə p r ə d e ɕ
आफ्वः	a pʰ w əː
आम्पां	a m p ã
आलु	a l u
आलुपहः	a l u p ə h əː
इखुं	i kʰ ũ
इमा	i m a
इमू	i m uː
इसि	i s i
इस्लाम	i s l a m
इहिपा	i h i p a
ईं	ĩː
ईलचं	iː l ə t͡ɕ ə̃
उंथ	u n tʰ ə
उसाँय्‌	u s ã j
एला	e l a
ओहायो	o h a j o
कँय्	k ə̃ j
कःनि	k əː n i
कताँमरी	k ə t ã m ə r iː
कथु	k ə tʰ u
कपा	k ə p a
कपाय्‌	k ə p a j
कय्‌मि	k ə j m i
कल	k ə l
कलाः	k ə l aː
कल्किझंगः	k ə l k i d͡ʑʱ ə ŋ ɡ əː
कवं	k ə w ə̃
कस्ति	k ə s t i
कस्तिहा	k ə s t i h a
कापः	k a p əː
काय	k a j ə
कासा	k a s a
कि	k i
किं	k ĩ
किचः	k i t͡ɕ əː
किपू	k i p uː
किसि	k i s i
की	k iː
कुँ	k ũ
कुँइँ	k ũ ĩ
कुं	k ũ
कुचाखापा	k u t͡ɕ a kʰ a p a
कुलांझंगः	k u l a ɲ d͡ʑʱ ə ŋ ɡ əː
केब	k e b
क्वँय्	k w ə̃ j
क्वँलःखा	k w ə̃ l əː kʰ a
क्वः	k w əː
क्वतः	k w ə t əː
क्वपुझ्याः	k w ə p u d͡ʑʱ j aː
क्वब्वाःलः	k w ə b w aː l əː
क्वासि	k w a s i
क्षितिज	k ʂ i t i d͡ʑ
खँग्वः	kʰ ə̃ ɡ w əː
