ae	ʔ a i ˨˦
aek	ʔ a k ˥
aemq	ʔ a m ˧˥
aen	ʔ a n ˨˦
aennou	ʔ a n ˨˦ n o u ˨˦
aenvih	ʔ a n ˨˦ β i ˧
aep	ʔ a p ˥
aeuroengz	ʔ a u ˨˦ ɣ o ŋ ˧˩
aj	ʔ a ˥
ajaeu	ʔ a ˥ ʔ a u ˨˦
ajcaeuz	ʔ a ˥ ɕ a u ˧˩
alungz	ʔ a ˨˦ l u ŋ ˧˩
anax	ʔ a ˨˦ n a ˦˨
ancienz	ʔ aː n ˨˦ ɕ iː n ˧˩
angq	ʔ aː ŋ ˧˥
anhveih	ʔ aː n ˧ β e i ˧
asoi	ʔ a ˨˦ θ oː i ˨˦
aucouh	ʔ aː u ˧˥ ɕ o u ˧
audaliya	ʔ aː u ˧˥ t a ˧˥ l i ˧˥ j a ˧˥
aumwnz	ʔ aː u ˧˥ m ɯ n ˧˩
aux ma dox haeb	ʔ aː u ˦˨ m a ˨˦ t o ˦˨ h a p ˧
ayuzvuengz	ʔ a ˨˦ j u ˧˩ β uː ŋ ˧˩
bae	p a i ˨˦
baed	p a t ˧
baeg	p a k ˧
baek	p a k ˥
baekging	p a k ˥ k i ŋ ˨˦
baengzyoux	p a ŋ ˧˩ j o u ˦˨
baeu	p a u ˨˦
bahgihswhdanj	p a ˧ k i ˧ θ ɯ ˧ t aː n ˥
baicuzsoj	p aː i ˧˥ ɕ u ˧˩ θ o ˥
baih	p aː i ˧
bak	p aː k ˧˥
baksaek	p aː k ˧˥ θ a k ˥
banh	p aː n ˧
banhfap	p aː n ˧ f aː p ˧˥
banjgienz	p aː n ˥ k iː n ˧˩
banringz	p aː n ˨˦ ɣ i ŋ ˧˩
bat	p aː t ˧˥
baujciz	p aː u ˥ ɕ i ˧˩
bauqceij	p aː u ˧˥ ɕ e i ˥
baux	p aː u ˦˨
beg	p eː k ˧
beghag	p eː k ˧ h aː k ˧
beix	p e i ˦˨
beixnuengx	p e i ˦˨ n uː ŋ ˦˨
beixsau	p e i ˦˨ θ aː u ˨˦
beng	p eː ŋ ˨˦
bengcag	p eː ŋ ˨˦ ɕ aː k ˧
bengz	p eː ŋ ˧˩
bet	p eː t ˧˥
bet nyied cibngux	p eː t ˧˥ ɲ iː t ˧ ɕ i p ˧ ŋ u ˦˨
beuq	p eː u ˧˥
beuzgeng	p eː u ˧˩ k eː ŋ ˨˦
bi	p i ˨˦
bid	p i t ˧
biek	p iː k ˧˥
biengzbeih	p iː ŋ ˧˩ p e i ˧
bienzngeiz	p iː n ˧˩ ŋ e i ˧˩
bing	p i ŋ ˨˦
binghdoeg	p i ŋ ˧ t o k ˧
binghsiengh	p i ŋ ˧ θ iː ŋ ˧
bingz	p i ŋ ˧˩
bingzdaengj	p i ŋ ˧˩ t a ŋ ˥
biqrengh	p i ˧˥ ɣ eː ŋ ˧
bit	p i t ˥
biuj	p i u ˥
biz	p i ˧˩
bo	p o ˨˦
boemx	p o m ˦˨
boh	p o ˧
bohloz	p o ˧ l o ˧˩
bohmeh	p o ˧ m e ˧
boi	p oː i ˨˦
boux	p o u ˦˨
boux boux	p o u ˦˨ p o u ˦˨
bouxboux	p o u ˦˨ p o u ˦˨
bouxcuengh	p o u ˦˨ ɕ uː ŋ ˧
bouxganqbingh	p o u ˦˨ k aː n ˧˥ p i ŋ ˧
bouxguhnaz	p o u ˦˨ k u ˧ n a ˧˩
bouxgun	p o u ˦˨ k u n ˨˦
bouxlawz	p o u ˦˨ l a ɯ ˧˩
