あか	a k a
あぐ	a ɡ u
あさむぬ	a s a m u n u
あっつぁ	a t͡s t͡s a
あつぁ	a t͡s a
あつぁぬしゃーか	a t͡s a n u ɕ aː k a
あつっつぁ	a t͡s u t͡s t͡s a
あどぅ	a d u
あら	a ɾ a
あらり	a ɾ a ɾ i
あんちーかんちー	a n t͡ɕ iː k a n t͡ɕ iː
あんな	a nː a
いす	i s s̩
うきぃなー	u kˢ ɨ n aː
かたむす	k a t a m u s u
くい	k u i
くまかま	k u m a k a m a
すざ	s u z a
すざ	s ɨ z a
すだ	s s̩ d a
たたきぃ	t a t a kˢ ɨ
たや	t a j a
たゔきゃー	t a v̩ kʲ aː
っゔぁ	v̩ v a
つぃきぃ	t͡s ɨ k ɨ
つぃきぃ	t͡s ɨ kˢ ɨ
つぅうつぅう	t͡s uː t͡s uː
てぃー	t iː
どぅー	d uː
なま	n a m a
ぬ	n u
ぬぃじゅー	n u ɨ d͡z j uː
ぬぶい	n u b u i
ぬーま	n uː m a
ぱなす	p a n a s s̩
ぱーんとぅ	p aː n t u
ぶがり	b u ɡ a ɾ i
ぶばま	b u b a m a
べー	b e̞ː
みなか	m i n a k a
やまとぅ	j a m a t u
ん	n
んかい	ŋ k a i
