asas	a s a s
boboso	b o b o s o
cactli	ɡ a k t i
cajli	k a h l i
camoj	k a m o h
chacalin	t ʃ a k a l i n
chocho	t͡ʃ o t͡ʃ o
chochopi	t͡ʃ o t͡ʃ o p i
cochtamánal	k o t͡ʃ t a m a n a l
cuahuiꞌ	kʷ a w i ʔ
cuajcamoj	kʷ a h k a m o h
cuananaca	kʷ a n a n a k a
cuatetere	kʷ a t e t e ɾ e
cuayoj	kʷ a j o h
cuitaocuilin	kʷ i t a o kʷ i l i n
esmiqui	e s m i k i
esti	e s t i
gacti	ɡ a k t i
huejcho	w e h t ʃ o
huetzi	w e t s i
huexi	w e ʃ i
icxi	i k ʃ i
ilamaj	i l a m a h
jecxohua	h e k ʃ o w a
jejjejpa	h e h h e h p a
jocox	h o k o ʃ
lejlejpa	l e h l e h p a
metza	m e t s a
mimílchil	m i m i l t͡ʃ iː l
májpil	m a h p i l
nacaꞌ	n a k a ʔ
nanaca	n a n a k a
necti	n e k t i
ocoꞌ	o k o ʔ
ohuaꞌ	o w a ʔ
ojmáxal	o h m a ʃ a l
omiꞌ	o m i ʔ
oquich	o k i t͡ʃ
pacha	p a t͡ʃ a
pionacaꞌ	p j o n a k a ʔ
piotecsis	p j o t e k s i s
piotzojmiꞌ	p j o t͡s o h m i ʔ
piyo	p i j o
pocoyoꞌ	p o k o j o ʔ
soquiꞌ	s o k i ʔ
tajocox	t a h o k o ʃ
tamatilis	t a m a t i l i s
taquétzal	t a k e t͡s a l
tatziꞌtziꞌpatoꞌ	t a t͡s i ʔ t͡s i ʔ p a t o ʔ
ticuahuiꞌ	t i kʷ a w i ʔ
tiocuahuiꞌ	t j o kʷ a w i ʔ
tziꞌtziꞌpa	t͡s i ʔ t͡s i ʔ p a
tzojmiꞌ	t͡s o h m i ʔ
tzoncalhuihuitani	t͡s o n k a l w i w i t a n i
tzóncal	t͡s o n k a l
tépol	t e p o l
xeque	ʃ e k e
xopilin	ʃ o p i l i n
xote	ʃ o t e
yancuiꞌ	j a n kʷ i ʔ
yoꞌchi	j o ʔ t͡ʃ i
ñócoro	ɲ o k o ɾ o
