aaleniano	aleˈnjano
ababillarse	ababiˈʎarse
ababillarse	ababiˈɟ͡ʝarse
abacá	abaˈka
abacalero	abakaˈleɾo
abacial	abaˈθjal
abacial	abaˈsjal
abacorada	abakoˈɾada
abacorar	abakoˈɾaɾ
Abadán	abaˈdan
abadengo	abaˈdenɡo
abadernadas	abaderˈnadas
abadernar	abaderˈnaɾ
abadí	abaˈdi
abadía	abaˈdia
abaja	aˈbaxa
abajeño	abaˈxeɲo
abaldonada	abaldoˈnada
abaleo	abaˈleo
abaluartar	abalwarˈtaɾ
abañada	abaˈɲada
abanadas	abaˈnadas
abanamos	abaˈnamos
abanáramos	abaˈnaɾamos
abanderado	abandeˈɾado
abanderamiento	abandeɾaˈmjento
abanderizada	abandeɾiˈθada
abanderizada	abandeɾiˈsada
abanderizar	abandeɾiˈθaɾ
abanderizar	abandeɾiˈsaɾ
abandonamos	abandoˈnamos
abandonaríamos	abandonaˈɾiamos
abandonista	abandoˈnista
abandono	abanˈdono
abanicada	abaniˈkada
abanicadas	abaniˈkadas
Abanto	aˈbanto
abaratados	abaɾaˈtados
abarcado	abarˈkado
abarcador	abarkaˈdoɾ
abarcáramos	abarˈkaɾamos
abarcaríamos	abarkaˈɾiamos
abarracada	abaraˈkada
abarracados	abaraˈkados
abarrados	abaˈrados
abasta	aˈbasta
abastado	abasˈtado
abastamos	abasˈtamos
abastara	abasˈtaɾa
abastáramos	abasˈtaɾamos
abastardáramos	abastarˈdaɾamos
abastardareis	abastarˈdaɾeis
abastardaremos	abastardaˈɾemos
abastardáremos	abastarˈdaɾemos
abastardás	abastarˈdas
abastardes	abasˈtardes
abastionar	abastjoˈnaɾ
abatanadas	abataˈnadas
abatatadas	abataˈtadas
abate	aˈbate
abates	aˈbates
abatida	abaˈtida
abatidos	abaˈtidos
abaxial	abaɡˈsjal
abazón	abaˈθon
abazón	abaˈson
abdicado	abdiˈkado
abdomen	abˈdomen
abdominal	abdomiˈnal
abdominales	abdomiˈnales
abducida	abduˈθida
abducida	abduˈsida
abducidas	abduˈθidas
abducidas	abduˈsidas
abductor	abduɡˈtoɾ
abeja	aˈbexa
abejar	abeˈxaɾ
