ady_cyrl_phonetic.tsv	ady	Adygei; Adyghe	Adyghe	Cyrillic		False	Phonetic	True	5123
ady_cyrl_phonetic_filtered.tsv	ady	Adygei; Adyghe	Adyghe	Cyrillic		True	Phonetic	True	4895
aar_latn_phonemic.tsv	aar	Afar	Afar	Latin		False	Phonemic	True	715
afr_latn_phonemic_filtered.tsv	afr	Afrikaans	Afrikaans	Latin		True	Phonemic	True	1659
afr_latn_phonemic.tsv	afr	Afrikaans	Afrikaans	Latin		False	Phonemic	True	1685
afr_latn_phonetic.tsv	afr	Afrikaans	Afrikaans	Latin		False	Phonetic	True	121
alb_latn_phonemic.tsv	alb	Albanian	Albanian	Latin		False	Phonemic	True	1450
alb_latn_phonetic.tsv	alb	Albanian	Albanian	Latin		False	Phonetic	True	823
gsw_latn_phonemic.tsv	gsw	Swiss German	Alemannic German	Latin		False	Phonemic	True	307
ale_latn_phonemic.tsv	ale	Aleut	Aleut	Latin		False	Phonemic	True	104
grc_grek_phonemic.tsv	grc	Ancient Greek (to 1453)	Ancient Greek	Greek		False	Phonemic	True	90222
ara_arab_phonemic.tsv	ara	Arabic	Arabic	Arabic		False	Phonemic	False	7279
arc_hebr_phonemic.tsv	arc	Imperial Aramaic (700-300 BCE); Official Aramaic (700-300 BCE)	Aramaic	Hebrew		False	Phonemic	False	1156
arm_armn_w_phonetic_filtered.tsv	arm	Armenian	Armenian	Armenian	Western Armenian, standard	True	Phonetic	True	14040
arm_armn_e_phonetic.tsv	arm	Armenian	Armenian	Armenian	Eastern Armenian, standard	False	Phonetic	True	14182
arm_armn_e_phonetic_filtered.tsv	arm	Armenian	Armenian	Armenian	Eastern Armenian, standard	True	Phonetic	True	14177
arm_armn_w_phonetic.tsv	arm	Armenian	Armenian	Armenian	Western Armenian, standard	False	Phonetic	True	14065
rup_latn_phonetic.tsv	rup	Macedo-Romanian	Aromanian	Latin		False	Phonetic	True	149
asm_beng_phonemic.tsv	asm	Assamese	Assamese	Bengali		False	Phonemic	False	2350
