afe	a ɸ e
afi	a ɸ i
agāga	a ŋ aː ŋ a
aho	a hʲ o
ai	a i
aiha	a i hʲ a
aihā	a i hʲ aː
aitu	a i t u
aitua	a i t u a
aka	a k a
akalava	a k a l a v a
aku	a k u
ala	a l a
alo	a l o
alofa	a l o h a
Amelika	a m e l i k a
amene	a m e n e
ana	a n a
ao	a o
Apelila	a p e l i l a
apohetolo	a p o h e t o l o
apu	a p u
ata	a t a
Atafu	a t a hᵝ u
atu	a t u
atua	a t u a
Atua	a t u a
au	a u
aua	a u a
Auhitalia	a u h i t a l i a
Aukilani	a u k i l a n i
Aukuho	a u k u hʲ o
aulua	a u l u a
aunehe	a u n e h e
autou	a u t o u
auā	a u aː
e	e
Egelani	e ŋ e l a n i
Eleni	e l e n i
fafine	h a ɸ i n e
faga	h a ŋ a
fai	h a i
Fakaafu	h a k a a hᵝ u
fakailoga	h a k a i l o ŋ a
fakamanuia	h a k a m a n u i a
Fakaofo	h a k a o hᵝ o
fakaofo	h a k a o hᵝ o
fakapele	h a k a p e l e
fakapelepele	h a k a p e l e p e l e
fakatahi	h a k a t a h i
fakavae	h a k a v a e
Falani	h a l a n i
fale	h a l e
fano	h a n o
fenua	ɸ e n u a
Fepuali	ɸ e p u a l i
fifiti	ɸ i ɸ i t i
fiti	ɸ i t i
Fiti	ɸ i t i
fitu	ɸ i t u
fofotu	hᵝ o hᵝ o t u
fotu	hᵝ o t u
fā	h aː
fālanu	h aː l a n u
fānau	h aː n a u
fīlēmū	ɸ iː l eː m uː
gagako	ŋ a ŋ a k o
gagana	ŋ a ŋ a n a
gako	ŋ a k o
gali	ŋ a l i
galo	ŋ a l o
galue	ŋ a l u e
gata	ŋ a t a
gāluega	ŋ aː l u e ŋ a
gāuta	ŋ aː u t a
hahalu	hʲ a hʲ a l u
hahama	hʲ a hʲ a m a
Haina	hʲ a i n a
haku	hʲ a k u
halu	hʲ a l u
hama	hʲ a m a
Hami	hʲ a m i
hana	hʲ a n a
hata	hʲ a t a
hau	hʲ a u
haulua	hʲ a u l u a
hautou	hʲ a u t o u
he	h e
hefulu	h e hᵝ u l u
hega	h e ŋ a
hehega	h e h e ŋ a
helo	h e l o
hetahi	h e t a h i
Hetema	h e t e m a
heā	h e aː
hihi	h i h i
hili	h i l i
hiva	h i v a
hoku	hʲ o k u
hona	hʲ o n a
hota	hʲ o t a
houlua	hʲ o u l u a
houtou	hʲ o u t o u
hā	hʲ aː
Hāmoa	hʲ aː m o a
hē	h eː
hēai	h eː a i
hēhēmū	h eː h eː m uː
hēki	h eː k i
hō	hʲ oː
ia	i a
Ianuali	i a n u a l i
Iehu	i e hʲ u
Ieova	i e o v a
ika	i k a
ilo	i l o
iloa	i l o a
iloga	i l o ŋ a
Ioa	i o a
Iulai	i u l a i
Iuni	i u n i
Iunivehite	i u n i v e h i t e
iva	i v a
iē	i eː
iēia	i eː i a
iēnei	i eː n e i
iēnā	i eː n aː
kai	k a i
kaiga	k a i ŋ a
kakā	k a k aː
kalapu	k a l a p u
kaufakatahi	k a u h a k a t a h i
Kaununu	k a u n u n u
kave	k a v e
kavega	k a v e ŋ a
kekena	k e k e n a
kekē	k e k eː
ki	k i
kimoa	k i m o a
kita	k i t a
ko	k o
koe	k o e
kofu	k o hᵝ u
koloa	k o l o a
kolokotaila	k o l o k o t a i l a
kolone	k o l o n e
kopiti	k o p i t i
koulua	k o u l u a
koutou	k o u t o u
kua	k u a
kuka	k u k a
kukula	k u k u l a
kulī	k u l iː
kupu	k u p u
kāfai	k aː h a i
kāgalū	k aː ŋ a l uː
kāiga	k aː i ŋ a
kāloā	k aː l o aː
kāvega	k aː v e ŋ a
kē	k eː
kō	k oː
kūmā	k uː m aː
lagi	l a ŋ i
lahi	l a h i
lanu	l a n u
lava	l a v a
lele	l e l e
lelei	l e l e i
leo	l e o
leona	l e o n a
lima	l i m a
logo	l o ŋ o
loha	l o hʲ a
loi	l o i
loimata	l o i m a t a
loto	l o t o
lua	l u a
luko	l u k o
lā	l aː
lākau	l aː k a u
lātou	l aː t o u
lāua	l aː u a
ma	m a
mai	m a i
maile	m a i l e
mala	m a l a
maligi	m a l i ŋ i
malini	m a l i n i
manava	m a n a v a
manavā	m a n a v aː
manu	m a n u
manuia	m a n u i a
mata	m a t a
mate	m a t e
matea	m a t e a
matua	m a t u a
mauga	m a u ŋ a
maui	m a u i
Me	m e
mea	m e a
miha	m i hʲ a
moa	m o a
moana	m o a n a
moko	m o k o
Mulifā	m u l i h aː
mā	m aː
māhaga	m aː hʲ a ŋ a
māhina	m aː h i n a
mālie	m aː l i e
mālō	m aː l oː
māmoe	m aː m o e
mānava	m aː n a v a
Māti	m aː t i
mātou	m aː t o u
mātua	m aː t u a
mātuā	m aː t u aː
māua	m aː u a
māvā	m aː v aː
mō	m oː
namo	n a m o
namu	n a m u
nei	n e i
ni	n i
noa	n o a
nofo	n o hᵝ o
nonofo	n o n o hᵝ o
Novema	n o v e m a
nuku	n u k u
nā	n aː
o	o
ofo	o hᵝ o
oho	o hʲ o
Oketopa	o k e t o p a
oku	o k u
Olohega	o l o h e ŋ a
ona	o n a
one	o n e
ono	o n o
ota	o t a
oti	o t i
oulua	o u l u a
outou	o u t o u
paia	p a i a
palataiho	p a l a t a i hʲ o
palatiho	p a l a t i hʲ o
Palolomua	p a l o l o m u a
papa	p a p a
pele	p e l e
Peletānia	p e l e t aː n i a
tafolā	t a hᵝ o l aː
tafu	t a hᵝ u
tagata	t a ŋ a t a
Tahemānia	t a h e m aː n i a
tahi	t a h i
takalo	t a k a l o
Takaoga	t a k a o ŋ a
taku	t a k u
tala	t a l a
talu	t a l u
tama	t a m a
tamana	t a m a n a
tamā	t a m aː
tana	t a n a
tane	t a n e
tapu	t a p u
tapu	t a p u
tata	t a t a
tau	t a u
taulua	t a u l u a
tautai	t a u t a i
tautala	t a u t a l a
tautou	t a u t o u
te	t e
teine	t e i n e
tili	t i l i
tino	t i n o
tipi	t i p i
tipiga	t i p i ŋ a
toe	t o e
Toga	t o ŋ a
Tokelau	t o k e l a u
tokelau	t o k e l a u
toki	t o k i
toku	t o k u
tolu	t o l u
Toma	t o m a
tomua	t o m u a
tona	t o n a
tone	t o n e
tota	t o t a
toulua	t o u l u a
toutou	t o u t o u
Tui	t u i
tuku	t u k u
tulimanu	t u l i m a n u
tulivae	t u l i v a e
tuātina	t u aː t i n a
tā	t aː
tākaga	t aː k a ŋ a
tālā	t aː l aː
tāne	t aː n e
tātou	t aː t o u
tāua	t aː u a
tē	t eː
Tēhema	t eː h e m a
tēia	t eː i a
tēnei	t eː n e i
tēnā	t eː n aː
tētahi	t eː t a h i
tīpiga	t iː p i ŋ a
tō	t oː
tū	t uː
tūlāfono	t uː l aː hᵝ o n o
tūmau	t uː m a u
uaua	u a u a
Ueligitone	u e l i ŋ i t o n e
uho	u hʲ o
uli	u l i
umu	u m u
vae	v a e
vai	v a i
Vainoa	v a i n o a
vaioleti	v a i o l e t i
vaiolē	v a i o l eː
vaka	v a k a
vakālele	v a k aː l e l e
vali	v a l i
valivali	v a l i v a l i
valu	v a l u
vave	v a v e
vili	v i l i
violē	v i o l eː
vivini	v i v i n i
vā	v aː
āeto	aː e t o
āiā	aː i aː
ālio	aː l i o
ālope	aː l o p e
āu	aː u
ō	oː
ōu	oː u
