'da	d a
't	t
'wan	w a n
a'n	ʔ ɐ n
aan	ʔ ɐ ɐ n
abagat	ʔ ɐ b a ɡ a t
abaka	ʔ ɐ b ɐ k a
Abril	ʔ ɐ b ɾ i l
abutra	ʔ ɐ b u t ɾ a
Acosta	ʔ ɐ k o s t a
adal	ʔ ɐ d a l
adalem	ʔ ɐ d a l e m
adalem	ʔ ɐ d a l ɯ m
adayo	ʔ ɐ d ɐ j o
adda	ɐ d d a
addayo	ɐ d d ɐ j u
adhetibo	ʔ ɐ d h e t i b o
adigi	ʔ ɐ d i ɡ i
adipen	ʔ ɐ d i p ɛ n
adipen	ʔ ɐ d i p ɯ n
adjetivo	ʔ ɐ d h e t i b o
agadal	ʔ ɐ ɡ a d a l
aganak	ʔ ɐ ɡ ɐ n a k
agarak	ʔ ɐ ɡ a ɾ a k
agarak	ʔ ɐ ɡ ɐ ɾ a k
agari	ʔ ɐ ɡ a r i
agbatok	ʔ ɐ ɡ b a t o k
Agbulos	ʔ ɐ ɡ b u l o s
Agbunag	ʔ ɐ ɡ b u n a ɡ
Agcaoili	ʔ ɐ ɡ k ɐ w i l i
Agcaoili	ʔ ɐ ɡ k ɐ w i l i
agdait	ʔ ɐ ɡ d a ʔ i t
agdan	ʔ ɐ ɡ d a n
agek	ʔ ɐ ɡ e k
aggingined	ʔ ɐ ɡ ɡ i ŋ i n e d
aggingined	ʔ ɐ ɡ ɡ i ŋ i n ɯ d
agkatawa	ʔ ɐ ɡ k ɐ t a w a
aglako	ʔ ɐ ɡ l a k o
aglangoy	ʔ ɐ ɡ l ɐ ŋ o ɪ̯
Aglipay	ʔ ɐ ɡ l i p a ɪ̯
agong	ʔ ɐ ɡ o ŋ
Agpaoa	ʔ ɐ ɡ p a w a
Agsalud	ʔ ɐ ɡ s a l u d
Agsalud	ʔ ɐ ɡ s a l u d
agsangit	ʔ ɐ ɡ s a ŋ i t
agsigarilio	ʔ ɐ ɡ s i ɡ ɐ ɾ i ʎ o
Agtarap	ʔ ɐ ɡ t ɐ ɾ a p
agtaray	ʔ ɐ ɡ t ɐ ɾ a ɪ̯
aguray	ʔ ɐ ɡ u ɾ a ɪ̯
agus	ʔ ɐ ɡ u s
aguyek	ʔ ɐ ɡ u j e k
aguyek	ʔ ɐ ɡ u j ɯ k
agyamanak	ʔ ɐ ɡ j a m ɐ n a k
akkub	ɐ k k u b
alagad	ʔ ɐ l ɐ ɡ a d
alamano	ʔ ɐ l ɐ m a n o
Alcala	ʔ ɐ l k ɐ l a
aldao	ʔ ɐ l d a o
aldaw	ʔ ɐ l d a ʊ̯
alibukay	ʔ ɐ l i b u k a ɪ̯
alikamen	ʔ ɐ l i k a m e n
alikamen	ʔ ɐ l i k a m e n
alingo	ʔ ɐ l i ŋ o
Allasitan	ʔ ɐ l l ɐ s i t a n
almidor	ʔ ɐ l m i d o ɾ
alsem	ʔ ɐ l s e m
alsem	ʔ ɐ l s ɯ m
Amami	ʔ ɐ m a m i
ambulansia	ʔ ɐ m b u l a n ʃ a
amian	ʔ ɐ m j a n
amianan	ʔ ɐ m j a n a n
amin	ʔ ɐ m i n
anak	ʔ ɐ n a k
anay	ʔ ɐ n a ɪ̯
anay	ʔ ɐ n a ɪ̯
andidit	ʔ ɐ n d i d i t
ani	ʔ ɐ n i
ania	ʔ ɐ ɲ ɐ
aniaman	ʔ ɐ n j a m a n
anibong	ʔ ɐ n i b u ŋ
animal	ʔ ɐ n i m a l
anio	ʔ ɐ ɲ o
anio	ʔ ɐ n i j o
anis	ʔ ɐ n i s
anod	ʔ a n u d
anyamet	ʔ ɐ n j a m e t
anyamet	ʔ ɐ n j a m ɯ t
angep	ʔ ɐ ŋ ɛ p
angep	ʔ ɐ ŋ ɯ p
anges	ʔ ɐ ŋ ɛ p
anges	ʔ ɐ ŋ ɯ p
anggo	ʔ ɐ ŋ ɡ u
angin	ʔ ɐ ŋ i n
angkas	ʔ ɐ ŋ k a s
angkat	ʔ ɐ ŋ k a t
angkit	ʔ ɐ ŋ k i t
angkla	ʔ ɐ ŋ k l a
angseg	ʔ ɐ ŋ s e ɡ
apaman	ʔ ɐ p a m a n
apges	ʔ ɐ p ɡ ɛ s
apges	ʔ ɐ p ɡ ɯ s
apo	ʔ ɐ p u
apog	ʔ a p u ɡ
apon	ʔ ɐ p o n
apoy	ʔ ɐ p u i̯
apro	ʔ ɐ p ɾ o
apros	ʔ a p r u s
arado	ʔ ɐ ɾ a d o
arak	ʔ ɐ ɾ a k
arak	ʔ ɐ ɾ a k
aramang	ʔ ɐ ɾ ɐ m a ŋ
aramid	ʔ ɐ ɾ ɐ m ɛ d
arban	ʔ ɐ ɾ b a n
arbis	ʔ ɐ ɾ b i s
ari	ʔ ɐ ɾ i
ariek	ʔ ɐ ɾ j ɛ k
ariek	ʔ ɐ ɾ j ɯ k
arimadeng	ʔ ɐ ɾ ɪ m ɐ d ɛ ŋ
arimadeng	ʔ ɐ ɾ ɪ m ɐ d ɯ ŋ
arimokamok	ʔ ɐ ɾ ɪ m ʊ k a m u k
Aringay	ʔ ɐ ɾ i ŋ ɡ a ɪ̯
ariring	ʔ ɐ ɾ i ɾ ɛ ŋ
aririt	ʔ ɐ ɾ ɪ ɾ ɛ t
ariwatang	ʔ ɐ ɾ ɪ w a t a ŋ
ariwekwek	ʔ ɐ ɾ ɪ w ɛ k w ɛ k
ariwekwek	ʔ ɐ ɾ ɪ w ɯ k w ɯ k
arked	ʔ ɐ ɾ k ɛ d
arked	ʔ ɐ ɾ k ɯ d
arnged	ʔ ɐ ɾ ŋ ɛ d
arnged	ʔ ɐ ɾ ŋ ɯ d
arod	ʔ ɐ ɾ o d
aroo	ʔ ɐ ɾ u ʔ o
arsobispo	ʔ ɐ ɾ s o b i s p o
artem	ʔ ɐ ɾ t ɛ m
artem	ʔ ɐ ɾ t ɯ m
arusadanan	ʔ ɐ ɾ ʊ s ɐ d a n a n
asang	ʔ ɐ s a ŋ
asar	ʔ a s a ɾ
asar	ʔ ɐ s a ɾ
asawa	ʔ ɐ s a w a
asep	ʔ ɐ s ɛ p
asep	ʔ ɐ s ɯ p
asin	ʔ ɐ s i n
Asin	ʔ ɐ s i n
aso	ʔ ɐ s o
asok	ʔ ɐ s u k
aspili	ʔ ɐ s p ɪ l i
asping	ʔ ɐ s p i ŋ
asug	ʔ ɐ s o ɡ
atab	ʔ ɐ t a b
atap	ʔ ɐ t a p
atep	ʔ ɐ t ɛ p
atep	ʔ ɐ t ɯ p
atio	ʔ ɐ tʲ u
Atok	ʔ ɐ t o k
atsuete	ɐ t͡ʃ w ɛ t ɛ
atsuete	ɐ t͡s w ɛ t ɛ
awan	ʔ ɐ w a n
ayat	ʔ ɐ j a t
ayaten	ʔ ɐ j a t e n
ayaten	ʔ ɐ j a t ɯ n
ayoan	ʔ ɐ j o ʔ a n
ayup	ʔ ɐ j u p
Azurin	ʔ ɐ s u ɾ i n
baag	b ɐ ʔ a ɡ
baak	b ɐ ʔ a k
baaw	b ɐ ʔ a ʊ̯
baba	b ɐ b a
babai	b ɐ b a ʔ i
babawi	b ɐ b a w i
badang	b ɐ d a ŋ
badang	b ɐ d a ŋ
badang	b ɐ d a ŋ
badang	b ɐ d a ŋ
bado	b ɐ d o
baen	b ɐ ʔ ɛ n
baen	b ɐ ʔ ɯ n
Bagaoisan	b ɐ ɡ ɐ w i s a n
bagas	b ɐ ɡ a s
bagay	b ɐ ɡ a ɪ̯
bagi	b ɐ ɡ i
bagi	b ɐ ɡ i
bagida	b aː ɡ i d a
bagida	b aː ɡ i d a
bagida	b ɐ ɡ iː d a
bagik	b aː ɡ i k
bagik	b ɐ ɡ i k
bagim	b aː ɡ i m
bagim	b ɐ ɡ i m
bagimi	b aː ɡ i m i
bagimi	b aː ɡ i m i
bagimi	b ɐ ɡ iː m i
bagina	b aː ɡ i n a
bagina	b aː ɡ i n a
bagina	b ɐ ɡ iː n a
bagis	b ɐ ɡ ɛ s
bagita	b aː ɡ i t a
bagita	b aː ɡ i t a
bagita	b ɐ ɡ iː t a
bagitayo	b aː ɡ i t ɐ j o
bagitayo	b aː ɡ i t ɐ j o
bagitayo	b aː ɡ i t ɐ j u
bagitayo	b aː ɡ i t ɐ j u
bagitayo	b ɐ ɡ iː t a j o
bagitayo	b ɐ ɡ iː t a j o
bagitayo	b ɐ ɡ i t a j o
bagitayo	b ɐ ɡ i t a j o
bagitayo	b ɐ ɡ iː t a j u
bagitayo	b ɐ ɡ iː t a j u
bagitayo	b ɐ ɡ i t a j u
bagitayo	b ɐ ɡ i t a j u
bagius	b ɐ ɡ j u s
bagiyo	b aː ɡ i j o
bagiyo	b aː ɡ i j o
bagiyo	b aː ɡ i j u
bagiyo	b aː ɡ i j u
bagiyo	b ɐ ɡ iː j o
bagiyo	b ɐ ɡ iː j u
bagkong	b ɐ ɡ k u ŋ
Baguio	b ɐ ɡ j o
bagyo	b ɐ ɡ j o
bain	b ɐ ʔ i n
baka	b ɐ k a
baka	b ɐ k a
bakag	b ɐ k a ɡ
Bakakeng	b ɐ k a k e ŋ
Bakakeng	b ɐ k a k ɯ ŋ
bakal	b ɐ k a l
bakia	b ɐ k j a
baknang	b ɐ k n a ŋ
bakud	b ɐ k u d
Bakun	b ɐ k u n
bakuna	b ɐ k u n a
bakwit	b ɐ k w i t
balaniog	b ɐ l ɐ ɲ o ɡ
balang	b ɐ l a ŋ
balasang	b ɐ l a s a ŋ
balatong	b ɐ l a t o ŋ
balaw	b ɐ l a ʊ̯
balay	b ɐ l a ɪ̯
balbalay	b ɐ l b ɐ l a ɪ̯
balete	b ɐ l ɛ t ɛ
baliad	b ɐ lʲ a d
balibad	b ɐ l i b a d
baligawgaw	b ɐ l ɪ ɡ a u ɡ a u
balik	b ɐ l i k
balikas	b ɐ l ɪ k a s
balinghoy	b ɐ l i ŋ h o ɪ̯
balla	b ɐ l l a
balligi	b ɐ l l i ɡ i
balo	b ɐ l o
balon	b a l o n
banag	b ɐ n a ɡ
Banaoang	b ɐ n a w a ŋ
bandera	b ɐ n d ɛ ɾ a
bandus	b ɐ n d o s
baniaga	b ɐ n j a ɡ a
banias	b ɐ nʲ a s
bannawag	b ɐ n n a w a ɡ
bannug	b ɐ n n o ɡ
bantay	b ɐ n t a ɪ̯
bantayan	b ɐ n t a j a n
bangag	b ɐ ŋ a ɡ
bangar	b ɐ ŋ a ɾ
bangir	b a ŋ ɛ ɾ
bangka	b ɐ ŋ k a
bangkay	b ɐ ŋ k a ɪ̯
bangking	b ɐ ŋ k i ŋ
banglo	b ɐ ŋ l o
Bangued	b ɐ ŋ ɡ e d
Bangued	b ɐ ŋ e d
bao	b ɐ ʔ o
baon	b ɐ o n
baot	b a ʔ o t
barato	b ɐ ɾ a t o
barbas	b ɐ ɾ b a s
barekbek	b ɐ ɾ ɛ k b ɛ k
barekbek	b ɐ ɾ ɯ k b ɯ k
Barlig	b ɐ ɾ l i ɡ
baro	b ɐ ɾ o
barot	b a ɾ o t
Barroga	b ɐ r o ɡ a
bartek	b ɐ ɾ t ɛ k
bartek	b ɐ ɾ t ɯ k
basa	b ɐ s a
baskag	b ɐ s k a ɡ
basol	b ɐ s o l
bassit	b ɐ s s i t
bassit	b ɐ t t i t
basura	b ɐ s u ɾ a
Batallones	b ɐ t ɐ ʎ o n e s
batea	b ɐ t e a
bateng	b ɐ t ɛ ŋ
bateng	b ɐ ɾ t ɯ ŋ
batikuleng	b ɐ t ɪ k ʊ l ɛ ŋ
batikuleng	b ɐ t ɪ k ʊ l ɯ ŋ
batil	b ɐ t i l
batok	b ɐ t o k
Bauang	b ɐ w a ŋ
Bauko	b ɐ ʔ u k o
Bautista	b a ʊ̯ t i s t a
bawang	b ɐ w a ŋ
bawi	b a w i
bayabas	b ɐ j a b a s
bayad	b ɐ j a d
bayada	b ɐ j a d a
bayawak	b ɐ j a w a k
Bayombong	b ɐ j o m b o ŋ
bayuot	b ɐ j u ʔ u t
Beckel	b ɯ k k ɯ l
beh	b e h
behikulo	b e h i k u l o
beinte	b e ɪ̯ n t e
beinte	b e ʔ i n t e
bendision	b e n d i ʃ o n
Bersamina	b e ɾ s ɐ m i n a
Besao	b ɯ s a ʊ̯
bibig	b i b i ɡ
biblioteka	b i b l i o t e k a
Bidduang	b i d d w ɐ ŋ
Biernes	b j e ɾ n e s
bilanggo	b i l ɐ ŋ ɡ o
birtud	b i ɾ t u d
bittaog	b i t t ɐ ʔ o ɡ
bituen	b i t w e n
bituen	b i t w ɯ n
bitwen	b i t w e n
bitwen	b i t w ɯ n
BLISTT	b l i s t
bobeda	b o b e d a
Boliney	b o l i n e ɪ̯
Boliney	b o l i n ɯ ɪ̯
Bontoc	b o n t o k
Brookside	b ɾ u k s a ɪ̯ d
buaya	b w ɐ j a
bubon	b u b o n
Bucaneg	b u k a n e ɡ
Bucaneg	b u k a n ɯ ɡ
Bucay	b u k a ɪ̯
Bucloc	b u k l o k
budo	b u d o
buelta	b w e l t a
bugaso	b u ɡ a s o
bugnay	b u ɡ n a ɪ̯
buis	b w i s
bukal	b u k a l
bukbok	b ʊ k b o k
buklaw	b u k l a ʊ̯
bulakbol	b u l ɐ k b o l
Bulalayao	b u l ɐ l ɐ j a o
bulan	b u l a n
bullo	b ʊ l l o
bulong	b u l o ŋ
Bulosan	b u l o s a n
Bumanglag	b u m a ŋ l a ɡ
Bumanglag	b u m a ŋ l a ɡ
Bumanglag	b u m ɐ ŋ l a ɡ
buok	b u ʔ o k
Burgos	b u ɾ ɡ o s
Burnham	b u ɾ n h ɐ m
buwaya	b u w a j a
Caasi	k ɐ a s i
Caasi	k ɐ a s i
Cabanatuan	k ɐ b ɐ n ɐ t w ɐ n
Cabaroan	k ɐ b ɐ ɾ o ɐ n
Cagayan	k ɐ ɡ ɐ j a n
Cagayan	k ɐ ɡ a ɪ̯ ʔ a n
calis	k ɐ l i s
Camdas	k ɐ m d a s
Cardenas	k ɐ ɾ d e n a s
Cardenas	k ɐ ɾ d e n a s
Casilagan	k ɐ s i l a ɡ a n
Castillo	k ɐ s t i l j o
Cruz	k ɾ u s
Cuyapo	k u j ɐ p o
daak	d ɐ ʔ a k
daan	d ɐ ʔ ɐ n
dado	d ɐ d o
daeg	d ɐ ʔ ɛ ɡ
daeg	d ɐ ʔ ɯ ɡ
daga	d ɐ ɡ a
daga	d ɐ ɡ a
