ꤊ	k a
ꤊꤚꤝꤤ	k r w i ˦
ꤊꤚꤝꤥ꤭	k r w o ˧
ꤊꤜꤛꤢ	k l j a ˦
ꤊꤜꤛꤢ꤬	k l j a ˨
ꤊꤜꤢꤧ꤭	k l ɛ ˧
ꤊꤢꤨ꤭ꤜꤤꤊꤟꤢꤩ	k u ˧ l i ˦ k e̤ ˦
ꤊꤢꤪ꤬ꤕꤛꤢꤨ꤬ꤒꤣ꤬	k ɔ ˨ p j u ˨ t ə ˨
ꤊꤢ꤬ꤛꤢ꤭ꤜꤟꤤ꤬	k a ˨ j a ˧ l i̤ ˨
ꤋ	kʰ
ꤋꤢꤧ꤬	kʰ ɛ ˨
ꤋꤢꤧ꤬ꤎꤣ꤬	kʰ ɛ ˨ s ə ˨
ꤋꤢꤧ꤬ꤗꤣ꤬ꤚꤢ꤬	kʰ ɛ ˨ m ə ˨ r a ˨
ꤋꤢ꤭ꤗꤟꤤ	kʰ a ˧ m i̤ ˦
ꤌ	ɡ
ꤍ	ŋ
ꤎ	s
ꤎꤤꤊꤚꤢꤧ	s i ˦ k r ɛ ˦
ꤏ	sʰ
ꤏꤛꤢꤩ	ʃ j e ˦
ꤏꤛꤢꤩ꤭	ʃ j e ˧
ꤏꤝꤥ꤬	ʃ w o ˨
ꤏꤢꤦ꤭ꤟꤢꤧ꤭	sʰ ɯ ˧ h ɛ ˧
ꤐ	z
ꤑ	ɲ
ꤑꤟꤢ꤭	ɲ a̤ ˧
ꤒ	t
ꤒꤟꤢꤧ꤬	t ɛ̤ ˨
ꤒꤢ꤬ꤊꤜꤤ	t a ˨ k l i ˦
ꤒꤢ꤬ꤏꤛꤢ꤭	t a ˨ ʃ j a ˧
ꤒꤢ꤬ꤞꤤ	t a ˨ ʂ i ˦
ꤒꤣ꤬	t ə ˨
ꤓ	tʰ
ꤓꤛꤢ	tʰ j a ˦
ꤓꤛꤢ꤬	tʰ j a ˨
ꤓꤛꤥ	tʰ w o ˦
ꤓꤝꤤ꤬	tʰ w i ˨
ꤓꤢꤧ	tʰ ɛ ˦
ꤓꤢꤧ꤬ꤜꤤ꤬ꤖꤥ꤭	tʰ ɛ ˨ l i ˨ pʰ o ˧
ꤓꤢꤧ꤭	tʰ ɛ ˧
ꤓꤢꤨ꤬	tʰ u ˨
ꤓꤤ꤬	tʰ i ˨
ꤔ	n
ꤔꤛꤢꤩ꤭	n j e ˧
ꤔꤟꤢꤧ꤬	n ɛ̤ ˨
ꤔꤢ꤬	n a ˨
ꤕ	p
ꤕꤚꤟꤢꤩꤐꤝꤤ꤬ꤊꤟꤢꤩ	p r e̤ ˦ z w i ˨ k e̤ ˦
ꤕꤟꤢꤧ꤬	p ɛ̤ ˨
ꤕꤟꤢꤪ꤬	p ɔ̤ ˨
ꤕꤢꤎꤕꤥ	p a s p o
ꤖ	pʰ
ꤖꤛꤢꤩ	pʰ j e ˦
ꤖꤢꤧ꤭	pʰ ɛ ˧
ꤖꤤ꤭	pʰ i ˧
ꤖꤥ꤭	pʰ o ˧
ꤗ	m
ꤗꤝꤟꤤ꤬	m w i̤ ˨
ꤗꤟꤌꤣ	m ɯ̤ᵊ
ꤗꤟꤛꤢ꤬ꤊꤟꤢꤩ	m j a̤ ˨ k e̤ ˦
ꤗꤤ꤬	m i ˨
ꤘ	d
ꤘꤛꤢꤩ	d j e ˦
ꤘꤟꤤ꤬ꤗꤥ꤬ꤊꤚꤢꤩ꤬ꤎꤤ꤬	d i̤ ˨ m o ˨ k r e ˨ s i ˨
ꤘꤤ꤬	d i ˨
ꤘꤤ꤬ꤓꤥ	d i ˨ tʰ o ˦
ꤙꤛꤢ꤭	b j a ˧
ꤙꤢꤧ꤬ꤓꤚꤟꤤ꤬	b ɛ ˨ tʰ r i̤ ˨
ꤙꤢꤨ꤭	b u ˧
ꤙꤤ꤬ꤛꤢ꤬	b i ˨ j a ˨
ꤚ	r
ꤚꤢꤦ꤭	r ɯ ˧
ꤚꤢ꤬ꤠꤟꤢ꤬	r a ˨ v a̤ ˨
ꤛ	j
ꤜ	l
ꤜꤝꤟꤤ꤭	l w i̤ ˧
ꤜꤟꤢꤪ	l ɔ̤ ˦
ꤜꤟꤤ	l i̤ ˦
ꤜꤟꤤ꤬	l i̤ ˨
ꤜꤢꤧ꤬	l ɛ ˨
ꤜꤢꤧ꤭	l ɛ ˧
ꤜꤤ꤬	l i ˨
ꤝ	w
ꤞ	ʂ
ꤞꤛꤢꤩ꤭	ʂ j e ˧
ꤞꤛꤣ꤭	ʂ ɯᵊ ˧
ꤞꤛꤥ	ʂ w o ˦
ꤞꤝꤤ꤬	ʂ w i ˨
ꤞꤝꤤ꤬ꤓꤛꤢꤩ꤭	ʂ w i ˨ tʰ j e ˧
ꤞꤢꤧ	ʂ ɛ ˦
ꤞꤢꤧꤐꤟꤢꤦ	ʂ ɛ ˦ z ɯ̤ ˦
ꤞꤢꤧꤑꤢꤩ꤭	ʂ ɛ ˦ ɲ e ˧
ꤞꤢꤧꤜꤝꤟꤤ꤭	ʂ ɛ ˦ l w i̤ ˧
ꤞꤢꤨ	ʂ u ˦
ꤞꤢꤨ꤬	ʂ u ˨
ꤞꤢꤨ꤭	ʂ u ˧
ꤞꤢꤪ꤬	ʂ ɔ ˨
ꤞꤢꤪ꤬ꤜꤢꤧ꤬	ʂ ɔ ˨ l ɛ ˨
ꤞꤤꤗꤟꤤ	ʂ i ˦ m i̤ ˦
ꤞꤤ꤭	ʂ i ˧
ꤟ	h
ꤟꤛꤢ꤭	h j a ˧
ꤟꤢꤩ꤭ꤊꤟꤢꤩ	h e ˧ k e̤ ˦
ꤟꤢꤪ꤬ꤒꤢꤧ꤬	h ɔ ˨ t ɛ ˨
ꤟꤤ꤬	h i ˨
ꤠ	v
ꤠꤟꤤ꤭ꤗꤟꤌꤣ	v i̤ ˧ m ɯ̤ᵊ
ꤠꤢ꤭	v a ˧
ꤡ	d͡ʒ
ꤡꤛꤢꤪꤊꤜꤢꤧ	d͡ʒ j ɔ ˦ k l ɛ ˦
ꤡꤛꤣ	d͡ʒ ɯᵊ
ꤡꤢꤧ	d͡ʒ ɛ ˦
ꤢ	a
ꤢꤦ	ɯ
ꤢꤧ	ɛ ˦
ꤢꤧ꤬	ʔ ɛ ˨
ꤢꤨ	u
ꤢꤩ	k r w i ˦
ꤢꤩ꤬	e ˨
ꤢꤩ꤬ꤓꤣ꤬ꤔꤢꤧ	ʔ e ˨ tʰ ə ˨ n ɛ ˦
ꤢꤪ	ɔ
ꤢ꤬	ʔ a ˨
ꤢ꤬ꤏꤛꤢꤊꤟꤢꤩ	ʔ a ˨ ʃ j a ˦ k e̤ ˦
ꤢ꤬ꤗꤥ꤬ꤢ꤬ꤚꤢ	ʔ a ˨ m o ˨ ʔ a ˨ r a ˦
ꤣ	ə
ꤤ	i
ꤥ	o
ꤥ꤬ꤗꤛꤢꤩ	o ˨ m j e ˧
