є	j ɛ
єва	j ɛ ʋ ɐ
євген	j e u̯ ɦ ɛ n
євгенія	j e u̯ ɦ ɛ nʲ i j ɐ
євдокія	j e u̯ d o kʲ i j ɐ
євразійський	j e u̯ r ɐ zʲ i i̯ sʲ k e i̯
євразія	j e u̯ r ɑ zʲ i j ɐ
єврей	j e u̯ r ɛ i̯
єврейка	j e u̯ r ɛ i̯ k ɐ
єврейський	j e u̯ r ɛ i̯ sʲ k e i̯
євромайдан	j e u̯ r ɔ m ɐ i̯ d ɑ n
європа	j e u̯ r ɔ p ɐ
європейський	j e u̯ r ɔ p ɛ i̯ sʲ k e i̯
єгипет	j e ɦ ɪ p e t
єгор	j e ɦ ɔ r
єдваб	j e d ʋ ɑ b
єдиний	j e d ɪ n e i̯
єдиноріг	j e d e n o rʲ i ɦ
єдність	j ɛ dʲ nʲ i sʲ tʲ
єзуч	j ɛ z ʊ t͡ʃ
ємен	j ɛ m e n
єнот	j e n ɔ t
єпископ	j e p ɪ s k ɔ p
єреван	j e r e ʋ ɑ n
єременко	j e r ɛ m e n k ɔ
і	i
ієрархічний	i j e r ɐ r xʲ i t͡ʃ n e i̯
ієрархія	i j e r ɑ r xʲ i j ɐ
іван	i ʋ ɑ n
іванна	i ʋ ɑ nː ɐ
іванов	i ʋ ɐ n ɔ u̯
іванова	i ʋ ɐ n ɔ ʋ ɐ
іванови	i ʋ ɐ n ɔ ʋ e
івасюк	i ʋ ɐ sʲ u k
іволга	i w ɔ ɫ ɦ ɐ
ігнорувати	i ɦ n ɔ r ʊ ʋ ɑ t e
іго	i ɦ ɔ
ігор	i ɦ ɔ r
ігор	i ɦ ɔ r
іграм	i ɦ r ɐ m
іграми	i ɦ r ɐ m e
іграх	i ɦ r ɐ x
іграшка	i ɦ r ɐ ʃ k ɐ
ігри	i ɦ r e
ігролад	i ɦ r ɔ ɫ ɑ d
ідіот	i dʲ i ɔ t
ідіотичний	i dʲ i ɔ t ɪ t͡ʃ n e i̯
ідіотка	i dʲ i ɔ t k ɐ
ідіотський	i dʲ i ɔ t͡sʲ k e i̯
ідеал	i d e ɑ ɫ
ідеалізація	i d e ɐ lʲ i z ɑ t͡sʲ i j ɐ
ідеалізм	i d e ɐ lʲ i z m
ідеалізувати	i d e ɐ lʲ i z ʊ ʋ ɑ t e
ідеаліст	i d e ɐ lʲ i s t
ідеалістичний	i d e ɐ lʲ i s t ɪ t͡ʃ n e i̯
ідеалістка	i d e ɐ lʲ i s t k ɐ
ідеальний	i d e ɑ lʲ n e i̯
ідентифікаційний	i d e n t e fʲ i k ɐ t͡sʲ i i̯ n e i̯
ідентифікація	i d e n t e fʲ i k ɑ t͡sʲ i j ɐ
ідентифікувати	i d e n t e fʲ i k ʊ ʋ ɑ t e
ідеологічний	i d e ɔ ɫ o ɦʲ i t͡ʃ n e i̯
ідеологія	i d e ɔ ɫ ɔ ɦʲ i j ɐ
ідея	i d ɛ j ɐ
із	i z
ізолювати	i z ɔ lʲ ʊ ʋ ɑ t e
ізраїль	i z r ɑ j i lʲ
ізраїльський	i z r ɑ j i lʲ sʲ k e i̯
ізраїльтянин	i z r ɐ j i lʲ tʲ ɑ n e n
ізраїльтянка	i z r ɐ j i lʲ tʲ ɑ n k ɐ
ізумруд	i z ʊ m r u d
ізумрудний	i z ʊ m r u d n e i̯
ізюм	i zʲ u m
ікло	i k ɫ ɔ
ікра	i k r ɑ
іллірія	i lʲː i rʲ i j ɐ
ілона	i ɫ ɔ n ɐ
ілюзія	i lʲ u zʲ i j ɐ
ім'я	i m j ɑ
ім'я	i m j ɐ
імітація	i mʲ i t ɑ t͡sʲ i j ɐ
імбир	i m b ɪ r
іменник	i m ɛ nː e k
імла	i m ɫ ɑ
імовірно	i m ɔ ʋʲ i r n ɔ
імперіє	i m p ɛ rʲ i j e
імперією	i m p ɛ rʲ i j e j ʊ
імперії	i m p ɛ rʲ i j i
імперій	i m p ɛ rʲ i i̯
імперію	i m p ɛ rʲ i j ʊ
імперія	i m p ɛ rʲ i j ɐ
імперіям	i m p ɛ rʲ i j ɐ m
імперіями	i m p ɛ rʲ i j ɐ m e
імперіях	i m p ɛ rʲ i j ɐ x
імператор	i m p e r ɑ t ɔ r
імператорський	i m p e r ɑ t ɔ r sʲ k e i̯
імператриця	i m p e r ɐ t r ɪ t͡sʲ ɐ
імперський	i m p ɛ r sʲ k e i̯
імпорт	i m p ɔ r t
імпортувати	i m p ɔ r t ʊ ʋ ɑ t e
імпотенція	i m p ɔ t ɛ nʲ t͡sʲ i j ɐ
імпровізаційний	i m p r ɔ ʋʲ i z ɐ t͡sʲ i i̯ n e i̯
імпровізація	i m p r ɔ ʋʲ i z ɑ t͡sʲ i j ɐ
імпровізувати	i m p r ɔ ʋʲ i z ʊ ʋ ɑ t e
імпульс	i m p ʊ lʲ s
імунізація	i m ʊ nʲ i z ɑ t͡sʲ i j ɐ
імунна	i m u nː ɐ
імунний	i m u nː e i̯
імунологічний	i m ʊ n ɔ ɫ o ɦʲ i t͡ʃ n e i̯
імунологія	i m ʊ n ɔ ɫ ɔ ɦʲ i j ɐ
ін'єкція	i n j ɛ k t͡sʲ i j ɐ
ініціатива	i nʲ i t͡sʲ i ɐ t ɪ ʋ ɐ
