Ё	ʲo
І	ɘ
А	ɑ
Азамат	ɑ z ɑ m ɑ t
Айгүл	ɑ j ɡ y l
Айгүл	ɑ j ɡ ʉ l
Айдай	ɑ j d ɑ j
Алматы	ɑ l m ɑ t ə
Астана	ɑ s t ɑ n ɑ
Атырау	ɑ t r ɑ w
Атырау	ɑ t ə r ɑ w
Ауғанстан	ɑ w ʁ ɑ n s t ɑ n
Ахмет	ɑ χ m e t
Ақтау	ɑ q t ɑ w
Ақтөбе	ɑ q t ɵ b e
Б	b
Байтұрсынұлы	b ɑ j t ʊ r s ə n ʊ l ə
Байқоңыр	b ɑ j q o ŋ ə r
Балқаш	b ɑ l q ɑ ʃ
Бағдат	b ɑ ʁ d ɑ t
В	v
Г	ɡ
Грекия	ɡ r e k ɪ j a
Гуаңжоу	ɡ w ɑ ŋ ʒ o w
Д	d
Е	ʲe
Екібастұз	j e k ɘ b ɑ s t ʊ z
Ерлан	e r l ɑ n
Ескендір	j e s kʲ e n d ɘ r
Ж	ʒ
Жайық	ʒ ɑ j ə q
Жапония	d͡ʒ ɑ p o n i j a
Жахан	ʒ ɑ χ ɑ n
Жаңаөзен	ʒ ɑ ŋ ɑ ɵ z e n
Жезқазған	ʒ e z q ɑ z ʁ ɑ n
Жер	ʒ e r
Жүнісов	ʒ ʉ n ɪ s ɑ f
З	z
Зевс	z ɛ f s
И	ə j
Й	j
К	k
Кентау	k e n t ɑ w
Көкшетау	k ɵ k ʃ e t ɑ w
Л	l
М	m
Матай	m ɑ t ɑ j
Медине	mʲ e dʲ i nʲ e
Мекке	mʲ e kʲ e
Моңғолия	m o ŋ ʁ o l i j ɑ
Мысыр	m ə s ə r
Мәскеу	m æ s k e w
Н	n
Нарын	n ɑ r ə n
Нұртас	n ʊ r t ɑ s
Нұртасқызы	n ʊ r t ɑ s q ə z ə
Нұртасұлы	n ʊ r t ɑ s ʊ l ə
О	o
П	p
Р	r
Ресей	r e s e j
С	s
Сүгірбаев	s ʉ ɡ ɪ r b ɑ j e f
Сәуле	s æ w l e
Т	t
Талдықорған	t ɑ ɫ d ɯ q ɔ ɾ ɣ ɑ n
Түркия	t ʉ r kʲ ɪ j ə
Түркістан	t ʉ r k s t ɑ n
Түркістан	t ʉ r k ɘ s t ɑ n
Тұрғын	t ʊ r ʁ ə n
У	u w
У	w
У	y w
У	ʉ w
У	ʊ w
Ф	f
Х	x
Ц	t͡s
Ч	t͡ʃ
Ш	ʃ
Шымкент	ʃ ə m k e n t
Шыңғыс	ʃ ə ŋ ʁ ə s
Шәуешек	ʃ æ w e ʃ e k
Щ	ɕ
Ы	ə
Э	e
Ю	j ʊ w
Юнанстан	j u n a n ɨ s t a n
Я	j ɑ
а	ɑ
абажур	ɑ b ɑ ʒ u r
абайлау	ɑ b ɑ j l ɑ w
абайтану	ɑ b ɑ j t ɑ n ʊ w
адам	ɑ d ɑ m
адамтамыр	ɑ d ɑ m t ɑ m ə r
ажал	ɑ ʒ ɑ l
азамат	ɑ z ɑ m ɑ t
азаттық	ɑ z ɑ t t ə q
азшылық	ɑ z ʃ ə l ə q
азық	ɑ z ə q
аймақ	ɑ j m ɑ q
айран	ɑ j r ɑ n
айту	ɑ j t ʊ w
айтыс	ɑ j t ə s
айыр	ɑ j ə r
айыру	ɑ j ɯ r o̙ w
айыру	ɑ j ɯ r u
ала	ɑ ɫ ɑ
алабұта	ɑ ɫ ɑ b o̙ t ɑ
аластау	ɑ l ɑ s t ɑ w
алақай	ɑ l ɑ q ɑ j
алжапқыш	ɑ l ʒ ɑ p q ə ʃ
алма	ɑ l m ɑ
алпыс	ɑ l p ə s
алпысыншы	ɑ l p ə̆ s ə n ʃ ə
алтау	ɑ l t ɑ w
алты	ɑ l t ə
алтыншы	ɑ l t ə n ʃ ə
алушы	ɑ l ʊ w ʃ ə
алғашқы	ɑ l ʁ ɑ ʃ q ə
алғырлық	ɑ l ʁ ə r l ə q
алғытөлем	ɑ l ʁ ə t ɵ l e m
ант	ɑ n t
анық	ɑ n ə q
апай	ɑ p ɑ j
аппақ	ɑ p p ɑ q
араб	ɑ r ɑ b
арамшөп	ɑ r ɑ m ʃ ɵ p
арзу	ɑ r z ʊ w
арзымайды	a r z ɨ m a j d ɨ
арзымайтын	a r z ɨ m a j t ɨ n
аруақ	æ r ʊ w ɑ q
аруақ	ɑ r ʊ w ɑ q
арыстан	ɑ r s t ɑ n
арыстан	ɑ r ə s t ɑ n
арыш	a r ə ʃ
арқа	ɑ r q ɑ
арқан	ɑ r q ɑ n
аскөк	ɑ s k ɵ k
аспан	ɑ s p ɑ n
аспап	ɑ s p ɑ p
астау	ɑ s t ɑ w
асу	ɑ s ʊ w
асхана	ɑ s q χ ɑ n ɑ
асхана	ɑ s χ ɑ n ɑ
ат	ɑ t
ата	ɑ t ɑ
атау	ɑ t ɑ w
атау	ɑ tː ɑ́ w
атқыш	ɑ t q ə ʃ
ауа	ɑ w ɑ
аудармашы	ɑ w d ɑ r m ɑ ʃ ə
ауыл	ɑ w ə l
аштық	ɑ ʃ t ə q
аяулы	ɑ j ɑ w l ə
аға	ɑ ʁ ɑ
ағай	ɑ ʁ ɑ j
ағайын	æ ʁ ɑ j ə n
ағайын	ɑ ʁ ɑ j ə n
ағаш	ɑ ʁ ɑ ʃ
ағза	ɑ ʁ z ɑ
ағу	æ ʁ ʊ w
ағу	ɑ ʁ ʊ w
ағызу	ɑ ʁ ə z ʊ w
ағылшын	ɑ ʁ ə l ʃ ə n
ақ	æ q
ақ	ɑ q
ақиқат	ɑ q ə j q ɑ t
ақпарат	ɑ q p ɑ r ɑ t
ақсақ	æ q s æ q
ақсақ	æ q s ɑ q
ақсақ	ɑ q s ɑ q
ақсаңдау	æ q s ɑ ŋ d ɑ w
ақсаңдау	ɑ q s ɑ ŋ d ɑ w
ақтару	æ q t ɑ r o̙ w
ақтару	æ q t ɑ r u
ақтару	ɑ q t ɑ r o̙ w
