ԱԱ	ɑ ɑ
ԱԱԱԿ	ɑ ɑ ɑ k
ԱԱԲ	ɑ ɑ b ə
ԱԱԳ	ɑ ɑ ɡ ə
ԱԱԳԽ	ɑ ɑ ɡ ə χ ə
ԱԱԻ	ɑ ɑ i
ԱԱԽ	ɑ ɑ χ ə
ԱԱԾ	ɑ ɑ t͡s ə
ԱԱԿ	ɑ ɑ k ə
ԱԱՀ	ɑ ɑ h ə
ԱԱՀՀԻ	ɑ ɑ h ə h ə i
ԱԱՆ	ɑ ɑ n ə
ԱԱՊ	ɑ ɑ p ə
ԱԱՊԲ	ɑ ɑ p ə b ə
ԱԱՊՎ	ɑ ɑ p ə v ə
ԱԱՌ	ɑ ɑ r ə
ԱԳՆ	ɑ ɡ ə n ə
ԱԶԲ	ɑ z ə b ə
ԱԹՍ	ɑ tʰ ə s ə
ԱԺ	ɑ ʒ ə
ԱՄԷ	ɑ m ə e
ԱՄՆ	ɑ m ə n ə
ԱՊՀ	ɑ p ə h ə
Աարե	ɑ ɑ ɾ e
Աբադան	ɑ b ɑ d ɑ n
Աբական	ɑ b ɑ k ɑ n
Աբայ	ɑ b ɑ j
Աբաջյան	ɑ b ɑ d͡ʒ j ɑ n
Աբաս	ɑ b ɑ s
Աբասթուման	ɑ b ɑ s tʰ u m ɑ n
Աբարան	ɑ b ɑ ɾ ɑ n
Աբգար	ɑ b ɡ ɑ ɾ
Աբգարյան	ɑ b ɡ ɑ ɾ j ɑ n
Աբել	ɑ b e l
Աբեղյան	ɑ b e ʁ j ɑ n
Աբերդին	ɑ b e ɾ d i n
Աբիջան	ɑ b i d͡ʒ ɑ n
Աբիսողոմ	ɑ b i s o ʁ o m
Աբխազիա	ɑ pʰ χ ɑ z i ɑ
Աբո	ɑ b o
Աբովյան	ɑ b o v j ɑ n
Աբուջա	ɑ b u d͡ʒ ɑ
Աբրահամ	ɑ b ɾ ɑ h ɑ m
Աբրահամյան	ɑ b ɾ ɑ h ɑ m j ɑ n
Աբրամ	ɑ b ɾ ɑ m
Աբրուցցո	ɑ b ɾ u t͡sʰ t͡sʰ o
Աբքայք	ɑ b kʰ ɑ j kʰ
Ագա	ɑ ɡ ɑ
Ագամեմնոն	ɑ ɡ ɑ m e m n o n
Ագանյա	ɑ ɡ ɑ n j ɑ
Ագապի	ɑ ɡ ɑ p i
Ագարակ	ɑ ɡ ɑ ɾ ɑ k
Ագարտալա	ɑ ɡ ɑ ɾ t ɑ l ɑ
Ագինսկոյե	ɑ ɡ i n s k o j e
Ագրիպպաս	ɑ ɡ ɾ i p p ɑ s
Ադամյան	ɑ d ɑ m j ɑ n
Ադանա	ɑ d ɑ n ɑ
Ադլեր	ɑ d l e ɾ
Ադոնց	ɑ d o n t͡sʰ
Ադրբեջան	ɑ d ə ɾ b e d͡ʒ ɑ n
Ադրիանապոլիս	ɑ d ɾ i j ɑ n ɑ p o l i s
Ադրիանոս	ɑ d ɾ i j ɑ n o s
Ազատ	ɑ z ɑ t
Ազնիվ	ɑ z n i v
Ազորներ	ɑ z o ɾ n e ɾ
Աթաբեկ	ɑ tʰ ɑ b e k
Աթանաս	ɑ tʰ ɑ n ɑ s
Աթենաս	ɑ tʰ e n ɑ s
Աթենք	ɑ tʰ e n kʰ
Աժդահակ	ɑ ʒ d ɑ h ɑ k
Աիդա	ɑ i d ɑ
Ալադին	ɑ l ɑ d i n
Ալազան	ɑ l ɑ z ɑ n
Ալանք	ɑ l ɑ n kʰ
Ալավերդի	ɑ l ɑ v e ɾ d i
Ալբանիա	ɑ l b ɑ n i ɑ
Ալբարյան	ɑ l b ɑ ɾ j ɑ n
Ալբերտ	ɑ l b e ɾ t
Ալբինա	ɑ l b i n ɑ
Ալեն	ɑ l e n
Ալեքսան	ɑ l e kʰ s ɑ n
Ալեքսանդր	ɑ l e kʰ s ɑ n d ə ɾ
Ալեքսանդրապոլ	ɑ l e kʰ s ɑ n d ɾ ɑ p o l
Ալեքսանդրիա	ɑ l e kʰ s ɑ n d ɾ i ɑ
Ալեքսանյան	ɑ l e kʰ s ɑ n j ɑ n
Ալեքսիյ	ɑ l e kʰ s i j
Ալթըբարմագյան	ɑ l tʰ ə b ɑ ɾ m ɑ ɡ j ɑ n
Ալթըբարմաքյան	ɑ l tʰ ə b ɑ ɾ m ɑ kʰ j ɑ n
Ալթըփարմագյան	ɑ l tʰ ə pʰ ɑ ɾ m ɑ ɡ j ɑ n
