adax̂	a ð ɑ χ
agul	a ɣ u l
ahngal	a h ŋ a l
akalux̂	a k a l u χ
alax̂	a l a χ
amxix̂	a m x i χ
anax̂	a n a χ
ayul	a j u l
azax̂	a z a χ
aĝal	a ʁ a l
chaasxix̂	t ʃ aː s x i χ
chagix̂	t ʃ a ɣ i χ
chaknax̂	t ʃ a k n a χ
chidaĝa	t ʃ i ð a ʁ a
chiidax̂	t ʃ iː ð a χ
chis	t ʃ i s
chngax̂	t ʃ ŋ a χ
chugux̂	t ʃ aː s x i χ
chuhnil	t ʃ u h n i l
chuulkix	t ʃ uː l k i x
daaxtux̂	d aː χ t u χ
daax̂tux̂	d aː χ t u χ
dax̂	d a χ
diikal	d iː k a l
dix̂	d i χ
duskax̂	d u s k a χ
gul	ɣ u l
halal	h a l a l
hangal	h a ŋ a l
hilal	h i l a l
hinus	h i n u s
hizax	h i z a x
hlax̂	h l a χ
hmachil	h m a t ʃ i l
hmiichix̂	h m iː t͡ʃ i χ
hmuqatix̂	h m u q a t i χ
hnul	h n u l
hudal	h u ð a l
hudax̂	h u d a χ
humgix̂	h u m ɣ i χ
huudal	h uː ð a l
hwaĝix̂	h w a ʁ i χ
hyal	ç a l
hyul	ç u l
inux̂	i n u χ
kaangux̂	k aː ŋ u χ
kahngil	k a h ŋ i l
kdax̂	k ð a χ
kdax̂	k θ a χ
kigil	k i ɣ i l
kiin	k iː n
kitax̂	k i t a χ
kixs	k i x s
kudux̂	k u ð u χ
kukax̂	k u k a χ
kuusxix̂	k uː s x i χ
lal	l a l
lil	l i l
lul	l u l
mal	m a l
miilax̂	m iː l a χ
mukax̂	m u k a χ
niiĝuĝis	n iː ʁ u ʁ i s
qaadas	q aː ð a s
qadux̂	q a ð u χ
qahngus	q a h ŋ u s
qalgadax̂	q a l ɣ a ð a χ
qangul	q a ŋ u l
qanul	q a n u l
qaqaĝix̂	q a q a ʁ i χ
qiigax̂	q iː ɣ a χ
qilax̂	q i l a χ
qiqix̂	q i q i χ
qiqix̂	q ɛ q ɛ χ
quhmax̂	q u h m a χ
quqdax̂	q u q ð a χ
saakux̂	s aː k u χ
saalax̂	s aː l a χ
sdax̂	s ð a χ
sdax̂	s θ a χ
siintax̂	s iː n t a χ
sisax̂	s i s a χ
susux̂	s u s u χ
suuskax̂	s uː s k a χ
taangax̂	t aː ŋ a χ
tahlidax̂	t a h l i ð a χ
tanix̂	t a n i χ
tiihnax̂	t iː h n a χ
tiistax̂	t iː s t a χ
tiĝlax̂	t i ʁ l a χ
tukux̂	t u k u χ
tulax̂	t u l a χ
tunux̂	t u n u χ
udax̂	u ð a x
umĝix̂	u m ʁ i χ
waya	w a j a
x̂	χ
x̂aayax̂	χ aː j a χ
x̂ax̂	χ a χ
yas	j a s
zaavtrikax̂	z aː v t r i k a χ
ziilitax̂	z iː l i t a χ
zuulutax̂	z uː l u t a χ
ĝ	ʁ
