aapa	ɐː p ɐ
aaṉarinyi	ɐː ɳ ɐ r ɪ ɲ ɪ
alu	ɐ l ʊ
ananyi	ɐ n ɐ ɲ ɪ
anpiṟi	ɐ n p ɪ ɻ ɪ
apu	ɐ p ʊ
awalyuru	ɐ w ɐ ʎ ʊ r ʊ
ayinkuṟa	ɐ j ɪ n k ʊ ɻ ɐ
aḻipiṟi	ɐ ɭ ɪ p ɪ ɻ ɪ
aṉangu	ɐ ɳ ɐ ŋ ʊ
ikarka	ɪ k ɐ r k ɐ
ilkaṟi	ɪ l k ɐ ɻ ɪ
ini	ɪ n ɪ
inma	ɪ n m ɐ
inuṟa	ɪ n ʊ ɻ ɐ
ipi	ɪ p ɪ
iwara	ɪ w ɐ r ɐ
iḻi	ɪ ɭ ɪ
kaaṉka	k ɐː ɳ k ɐ
kampa	k ɐ m p ɐ
kampanyi	k ɐ m p ɐ ɲ ɪ
kamuṟu	k ɐ m ʊ ɻ ʊ
kantilypa	k ɐ n t ɪ ʎ p ɐ
kapi	k ɐ p ɪ
kapuḻpa	k ɐ p ʊ ɭ p ɐ
kata	k ɐ t ɐ
katinyi	k ɐ t ɪ ɲ ɪ
katja	k ɐ c ɐ
kaḻaya	k ɐ ɭ ɐ j ɐ
kaḻi	k ɐ ɭ ɪ
kaṯiṯi	k ɐ ʈ ɪ ʈ ɪ
kililpi	k ɪ l ɪ l p ɪ
kiṉaṟa	k ɪ ɳ ɐ ɻ ɐ
kiṯi	k ɪ ʈ ɪ
kuka	k ʊ k ɐ
kulini	k ʊ l ɪ n ɪ
kuna	k ʊ n ɐ
kunaṯa	k ʊ n ɐ ʈ ɐ
kungka	k ʊ ŋ k ɐ
kura	k ʊ r ɐ
kuraringanyi	k ʊ r ɐ r ɪ ŋ ɐ ɲ ɪ
kutju	k ʊ c ʊ
kutjuparinyi	k ʊ c ʊ p ɐ r ɪ ɲ ɪ
kuḻaṯa	k ʊ ɭ ɐ ʈ ɐ
kuṉṯili	k ʊ ɳ ʈ ɪ l ɪ
kuṟu	k ʊ ɻ ʊ
kuṯuṯu	k ʊ ʈ ʊ ʈ ʊ
likara	l ɪ k ɐ r ɐ
lipi	l ɪ p ɪ
liri	l ɪ r ɪ
mai	m ɛ ɪ
mala	m ɐ l ɐ
mama	m ɐ m ɐ
mangka	m ɐ ŋ k ɐ
mani	m ɐ n ɪ
maḻu	m ɐ ɭ ʊ
maṟa	m ɐ ɻ ɐ
miita	m ɪː t ɐ
miltji	m ɪ l c ɪ
mimi	m ɪ m ɪ
mimpu	m ɪ m p ʊ
mina	m ɪ n ɐ
minyma	m ɪ ɲ m ɐ
mulya	m ʊ ʎ ɐ
munga	m ʊ ŋ ɐ
muṯi	m ʊ ʈ ɪ
ngali	ŋ ɐ l ɪ
ngalkuṉi	ŋ ɐ l k ʊ ɳ ɪ
nganaṉa	ŋ ɐ n ɐ ɳ ɐ
ngangkaḻi	ŋ ɐ ŋ k ɐ ɭ ɪ
ngayulu	ŋ ɐ j ʊ l ʊ
ngaṉkurpa	ŋ ɐ ɳ k ʊ r p ɐ
ngiṉṯaka	ŋ ɪ ɳ ʈ ɐ k ɐ
ngultju	ŋ ʊ l c ʊ
ngunytju	ŋ ʊ ɲ c ʊ
ngura	ŋ ʊ r ɐ
nyaa	ɲ ɐː
nyanga	ɲ ɐ ŋ ɐ
nyara	ɲ ɐ r ɐ
nyaḻpi	ɲ ɐ ɭ p ɪ
nyinanyi	ɲ ɪ n ɐ ɲ ɪ
nyuntu	ɲ ʊ n t ʊ
nyupali	ɲ ʊ p ɐ l ɪ
nyura	ɲ ʊ r ɐ
pala	p ɐ l ɐ
palunya	p ɐ l ʊ ɲ ɐ
paluṟu	p ɐ l ʊ ɻ ʊ
palya	p ɐ ʎ ɐ
palyaṉi	p ɐ ʎ ɐ ɳ ɪ
papa	p ɐ p ɐ
patjaṉi	p ɐ c ɐ ɳ ɪ
pika	p ɪ k ɐ
pina	p ɪ n ɐ
pitjantjatjara	p ɪ c ɐ n c ɐ c ɐ r ɐ
piḻpirpa	p ɪ ɭ p ɪ r p ɐ
piṟanpa	p ɪ ɻ ɐ n p ɐ
pula	p ʊ l ɐ
punganyi	p ʊ ŋ ɐ ɲ ɪ
puyu	p ʊ j ʊ
puḻi	p ʊ ɭ ɪ
puḻka	p ʊ ɭ k ɐ
taaṉpa	t ɐː ɳ p ɐ
tarka	t ɐ r k ɐ
taunu	t ɐ ʊ n ʊ
tjaa	c ɐː
tjakipiri	c ɐ k ɪ p ɪ r ɪ
tjalinypa	c ɐ l ɪ ɲ p ɐ
tjana	c ɐ n ɐ
tjikini	c ɪ k ɪ n ɪ
tjina	c ɪ n ɐ
tjitji	c ɪ c ɪ
tjiḻpi	c ɪ ɭ p ɪ
tjiṯutja	c ɪ ʈ ʊ c ɐ
tjukalpa	c ʊ k ɐ l p ɐ
tjuni	c ʊ n ɪ
tjuṉṯalpa	c ʊ ɳ ʈ ɐ l p ɐ
uraṉi	ʊ r ɐ ɳ ɪ
uru	ʊ r ʊ
uṉṯalpa	ʊ ɳ ʈ ɐ l p ɐ
wanangaṟa	w ɐ n ɐ ŋ ɐ ɻ ɐ
wanangaṯa	w ɐ n ɐ ŋ ɐ ʈ ɐ
wangka	w ɐ ŋ k ɐ
wati	w ɐ t ɪ
wiinpa	w ɪː n p ɐ
yuu	j ʊː
