chcya	t͡ʃ kʲ a ˥
chu	t͡ʃ ṳ ˧
icüji	i kʷ h i ˧
jndaa	hⁿ dˠ à
jndaa	hⁿ dˠ á
jndëë	hⁿ d æ ˧˥
jndëë	hⁿ d æ ˧˥
jndëë	hⁿ d æ ˩
löꞌncjö	l ɔ̤̀ ʔᵑ k h ɔ̤̂
ndaa	ⁿdˠ á
ndaatsuaꞌ	ⁿdˠ á t͜sˠ ṳ̀ à̤ ʔ
ndaatë	ⁿdˠ á tˠ ǣ̤
ndaatë	ⁿdˠ á tˠ æ̤̀
ndë	ⁿdˠ ǣ̤
ndë	ⁿdˠ æ̤̀
ndë	ⁿdˠ ǽ̤
nion	nˠ ĩ̤ õ̤ ˥˩
nnan	n̩ ˥ n ã̤ ˧
nontsco	nˠ ṍ t͜sˠ k ō̤
ntjaaꞌ	ⁿtˠ h a᷄ ʔ
ntjaaꞌ	ⁿtˠ h á ʔ
ntji	ⁿtˠ h i ˥
nton	ⁿtˠ õ̤ ˧
quichi	k í t ʃ ī̤
quichi	k í t ʃ ì̤
quisojndëë	k í sˠ ò̤ hⁿ dˠ æ̀
quitjaan	k í tˠ h ã̀
quitsu	k í t͜sˠ ú
quitsu	k ī̤ t͜sˠ ṳ̄
quitsu	k í t͜sˠ ṳ̂
quitsu	k í t͜sˠ ṳ̄
quitsꞌein	k í t͜sˠ ʔ ĩ̤̄
quityquenꞌ	k i ˥ tʲ k ẽ ʔ ˥˧
quixjuu	k í ʃ h u᷄
sndaaꞌ	sˠⁿ dˠ á ʔ
snon	sˠ nˠ õ̤̀
stꞌën	sˠ tˠ ʔ æ̤̃ ˥˩
suntjaaꞌ	sˠ ūⁿ tˠ h á ʔ
ta	tˠ a̤ ˥˩
ta	tˠ a ˥
ta	tˠ a̤ ˧
ta	tˠ a̤ ˩
ta	tˠ a̤ ˩
tein	tˠ ĩ̤ ˧
teiꞌ	tˠ i̤ ʔ ˧
toonꞌ	tˠ õ ʔ ˩
tooꞌn	tˠ õ̀ ʔ
tosu	tˠ o̤ ˧ sˠ u ˥
tsanngue	t͜sˠ ã̤̄ᵑ ɡ ṳ̀ è̤
tsui	t͜sˠ ṳ i̤ ˥˧
tsꞌoon	t͡sˠ ʔ õ ˥
tycu	tʲ k ṳ ˩
tyee	tʲ e ˧
tyosan	tʲ ō sˠ ã̀
tyotso	tʲ ō̤ t͜sˠ ò̤
tëxꞌa	t æ̤ ˩ ʃ ʔ a̤ ˩
vaaꞌtsꞌon	β a ʔ ˥ t͡sˠ õ̤ ˥˧
xua	ʃ ṳ̄ ā̤
xuee	ʃ u e ˥
yujndyee	j ú hⁿ dʲ è
ñuan	ɲ ṳ̃ ã̤ ˩
