ait	a i̯ t
aită	a i̯ t ɐ
asål	a s ɒ l
axterskă	a x t ɛ r s k ɐ
bezăt	b ɛ z ɐ t
blåxă	b l ɒ x ɐ
bobo	b ɔ b ɐ
bobo	b ɔ b ɔ
bordźă	b ɔ r d͡zʲ ɐ
bornă	b ɔ r n ɐ
borš	b ɔ r ʃ
breză	b r ɛ z ɐ
brig	b r i k
brot	b r ɔ t
brödă	b r œ d ɐ
brükoză	b r y k ɔ z ɐ
båz	b ɒ s
bör	b œ r
büg	b y ɡ
b́olĕ	bʲ ɔ l ə
caistü	t͡s a i̯ s t y
carvenĕ	t s a r v ɛ n ə
celü	t͡s ɛ l y
celă	t͡s ɛ l ɐ
clåvăk	t͡s l ɒ v ɐ k
coso	t͡s ɔ s ɔ
crevü	t͡s r ɛ v y
criv	t͡s r i f
cü	t͡s y
cĕ	t͡s ə
dară	d a r ɐ
dausă	d a ʏ̯ s ɐ
detă	d ɛ t ɐ
devă	d ɛ v ɐ
draug	d r a u̯ k
drauďĕ	d r a u̯ dʲ ə
dråvă	d r ɒ v ɐ
dånü	d ɒ n y
dåuďü	d ɒ u̯ dʲ y
dåzd	d ɒ s t
döl	d œ l
dü	d y
dübrĕ	d y b r ə
dümăs	d y m ɐ s
dǫb	d ɔ̃ p
emerikă	ɛ m ɛ r i k ɐ
farb’ă	f a r bʲ ɐ
frišă	f r i ʃ ɐ
gjozdă	ɡ j ɔ z d ɐ
glaino	ɡ l a i̯ n ɔ
glaistă	ɡ l a i̯ s t ɐ
glåd	ɡ l ɒ t
glåvă	ɡ l ɒ v ɐ
gnest	ɡ n ɛ s t
gorx	ɡ ɔ r x
graib	ɡ r a i̯ p
gramăt	ɡ r a m ɐ t
greblü	ɡ r ɛ b l y
grijot	ɡ r i j ɔ t
grönĕ	ɡ r œ n ə
gŕǫdă	ɡ rʲ ɔ̃ d ɐ
gǫs	ɡ ɔ̃ s
jadlă	j ɒ d l ɐ
jist	j i s t
jiz	j i z
jobťü	j ɔ p tʲ y
joji	j ɔ j i
jomo	j ɔ m ɔ
joťĕ	j ɔ tʲ ə
jåglă	j ɒ ɡ l ɐ
jågraićă	j ɒ ɡ r a i̯ t͡sʲ ɐ
jåkră	j ɒ k r ɐ
jåskră	j ɒ s k r ɐ
jåzbă	j ɒ z b ɐ
kjot	kʲ ɔ t
klådă	k l ɒ d ɐ
klås	k l ɒ s
komoi	k ɔ m ɔ i̯
korvo	k ɔ r v ɔ
korťĕtüc	k ɔ r tʲ ə t y t͡s
koťĕ	k ɔ tʲ ə
kremin	k r ɛ m i n
kråi	k r ɒ i̯
kåtü	k ɒ t y
kľauc	k lʲ a u̯ t͡s
laipo	l a i̯ p ɔ
lauk	l a u̯ k
laună	l a ʏ̯ n ɐ
låbü	l ɒ b y
löxtår	l œ x t ɒ r
lük	l y k
lüpotă	l y p ɔ t ɐ
lüďă	l y dʲ ɐ
maixăl	m a i̯ x ɐ l
mauxo	m a ʏ̯ x ɔ
midźă	m i d zʲ ɐ
mlåkă	m l ɒ k ɐ
moraikă	m ɔ r a i̯ k ɐ
morajă	m ɔ r a j ɐ
morz	m ɔ r z
motai	m ɔ t a i̯
mąsi	m ã s i
mǫkă	m ɔ̃ k ɐ
naivă	n a i̯ v ɐ
nebü	n ɛ b y
