Aaju	aː j ʊ
Aajunnguaq	aː j ʊ ŋ ŋ ʊ ɑ q
Aalut	aː l ʉ t
Aani	aː n ɪ
Aapalaat	aː p ə l əː t
Aappalaat	aː p p ə l əː t
Aggu	a x̟ x̟ ʊ
Ajortorsuaq	a j ɔ t t ɔ s s ʊ ɑ q
Alaakkilli	a l əː k k ɪ ɬ ɬ ɪ
Amaasa	a m əː s ə
Amaasi	a m əː s ɪ
Aminnguaq	a m ɪ ŋ ŋ ʊ ɑ q
Amma	a m m ə
Ammak	a m m ə k
Angerla	a ŋ ɜ ɬ ɬ ə
Angerlannguaq	a ŋ ɜ ɬ ɬ ə ŋ ŋ ʊ ɑ q
Angerlartoq	a ŋ ɜ ɬ ɬ ə t t ɔ q
Angerlartunnguaq	a ŋ ɜ ɬ ɬ ə t t ʊ ŋ ŋ ʊ ɑ q
Annassi	a n n ə s s ɪ
Anniita	a n n ɪː t ə
Aputsiaq	a p ʊ t t͡s ɪ ɑ q
Aqqalu	ɑ q q ə l ʊ
Arnannguaq	a n n ə ŋ ŋ ʊ ɑ q
Atangana	a t ə ŋ ə n ə
Augo	a ʊ ɣ ɔ
Avannaa	a v ə n n əː
Avannaarsua	a v ə n n əʶː s s ʊ ə
Avatannguaq	a v ə t ə ŋ ŋ ʊ ɑ q
Avataq	a v ə t ɑ q
Avgo	a v ɣ ɔ
Aviaaja	a v ɪ əː j ə
Aviaq	a v ɪ ɑ q
Biina	p ɪː n ə
Bikki	p ɪ k k ɪ
Bolatta	p ɔ l ə t t ə
Efa	ɜ f ə
Erneeraq	ɜ n n ɜː ʁ ɑ q
Fari	f ɑ ʁ ɪ
Folketingi	f ɔ l k ɜ t͡s ɪ ŋ ɪ
Iisaaq	iː s ɑː q
Ilasiaq	i l ə s ɪ ɑ q
Illoqqortoormiut	i ɬ ɬ ɔ q q ɔ t t ɔʶː m m ɪ ʊ t
Imaanu	y m əː n ʊ
Inaluk	i n ə l ʊ k
Inatsisartut	i n ə t t͡s ɪ s ə t t ʉ t
Intalik	i n t ə l ɪ k
Inuk	i n ʊ k
Inunnguaq	i n ʊ ŋ ŋ ʊ ɑ q
Inutsiaq	i n ʉ t t͡s ɪ ɑ q
Inuuteq	i n ʉː t ɜ q
Issittoq	i s s ɪ t t ɔ q
Ivalu	i v ə l ʊ
Ivik	i v ɪ k
Ivinnguaq	i v ɪ ŋ ŋ ʊ ɑ q
Jaaja	j əː j ə
Jaappili	j əː p p ɪ l ɪ
