ab	ɑ b
abad	ɑ b ɑ t
abad	ɑ b ɑ d
abadanlıq	ɑ b ɑ d ɑ nː ɯ x
abadanlıq	ɑ b ɑ d ɑ n ɫ ɯ x
abadlaşdırmaq	ɑ b ɑ t d ɑ ʃ d ɯ r m ɑ x
abadlaşdırmaq	ɑ b ɑ d ɫ ɑ ʃ d ɯ r m ɑ x
abadlıq	ɑ b ɑ t d ɯ x
abadlıq	ɑ b ɑ d ɫ ɯ x
abajur	ɑ b ɑ ʒ u r
abdal	ɑ b d ɑ l
abdəst	ɑ b d æ s t
abduq	ɑ b d u ɣ
Abxaziya	ɑ b x ɑ z i j ɑ
abır	ɑ b ɯ r
abırlı	ɑ b ɯ rː ɯ
abırlı	ɑ b ɯ ɾ ɫ ɯ
abırsız	a b ɯ r s ɯ z
abırsızcasına	ɑ b ɯ r s ɯ z d͡ʒ ɑ s ɯ n ɑ
abırsızcasına	ɑ b ɯ r s ɯ z d͡z ɑ s ɯ n ɑ
abid	ɑː b i d
abidə	ɑː b i d æ
abonent	ɑ b ɑ n e n t
absis	ɑ b s i s
ABŞ	ɑ b e ʃ e
ABŞ	a b ɯ ʃ
abunə	ɑ b u n æ
abunəçi	ɑ b u n æ t͡ʃ i
abunəçi	ɑ b u n æ t͡s i
ac	ɑ d͡ʒ
ac	ɑ d͡z
ac	ɑ ʒ
ac	a d͡z
acı	ɑ d͡ʒ ɯ
acı	ɑ d͡z ɯ
acı	ɑ ʒ ɯ
acınacaqlı	ɑ d͡ʒ ɯ n ɑ d͡ʒ ɑ x ɫ ɯ
acınacaqlı	ɑ d͡z ɯ n ɑ d͡z ɑ x ɫ ɯ
aciz	ɑː d͡ʒ i z
aciz	ɑː d͡ʒ ɯ z
aciz	ɑ d͡ʒ ɯ z
aciz	ɑː d͡z i z
aciz	ɑː d͡z ɯ z
aciz	ɑ d͡z ɯ z
acizlik	ɑː d͡ʒ i z d i ç
acizlik	ɑː d͡z i z d i ç
acizlik	ɑː d͡ʒ i z l i c
acizlik	ɑː d͡ʒ i z l i ç
aclıq	ɑ d͡ʒ ɫ ɯ χ
aclıq	ɑ d͡z ɫ ɯ χ
aclıq	ɑ ʒ ɫ ɯ χ
aclıq	ɑ ʒ d ɯ χ
açar	ɑ t͡ʃ ɑ r
açar	ɑ t͡s ɑ r
açar	h ɑ t͡s ɑ r
açıq	ɑ t͡ʃ ɯ χ
açıq	ɑ t͡s ɯ χ
açıqca	ɑ t͡ʃ ɯ ɣ d͡ʒ ɑ
açıqca	ɑ t͡s ɯ ɣ d͡z ɑ
açıqça	ɑ t͡ʃ ɯ χ t͡ʃ ɑ
açıqça	ɑ t͡ʃ ɯ ɣ d͡ʒ ɑ
açılış	ɑ t͡ʃ ɯ ɫ ɯ ʃ
açılış	ɑ t͡s ɯ ɫ ɯ ʃ
açılmaq	ɑ t͡ʃ ɯ ɫ m ɑ x
açılmaq	ɑ t͡s ɯ ɫ m ɑ x
açılmaz	ɑ t͡ʃ ɯ ɫ m ɑ z
açılmaz	ɑ t͡s ɯ ɫ m ɑ z
açmaq	ɑ t͡ʃ m ɑ χ
açmaq	ɑ t͡s m ɑ χ
açmaq	ɑ t͡s m ɑ χ
açmaq	ɑ ʃ m ɑ χ
ad	ɑ d
ada	ɑ d ɑ
adaxlı	a d ɑ x ɫ ɯ
adamaoxşamaz	ɑ d ɑ m ɑ o x ʃ ɑ m ɑ z
adamyeyən	ɑ d ɑ m j e j æ n
adamyeyən	ɑ d ɑ m j æː n
adaş	ɑ d ɑ ʃ
adət	ɑː d æ t
adına	ɑ d ɯ n ɑ
adlanmaq	ɑ d ɫ ɑ mː ɑ χ
afərin	ɑː f æ r i n
afət	ɑː f æ t
Afina	ɑ f i n ɑ
aftab	ɑ f t ɑ b
aftafa	ɑ f t ɑ f a
agahlıq	ɑ ɡ ɑ h l ɯ x
ağ	ɑ ɣ
ağac	ɑ ɣ ɑ d͡ʒ
ağac	ɑ ɣ ɑ d͡z
ağac	ɑ ɣ ɑ ʃ
ağacdələn	ɑ ɣ ɑ d ʒ d æ l æ n
ağartı	ɑ ɣ ɑ r t ɯ
ağbirçək	ɑ ɣ b i r t͡ʃ æ c
ağbirçək	ɑ ɣ b i r t͡s æ t͡ʃ
ağdərili	ɑ ɣ d æ r i l i
ağı	ɑ ɣ ɯ
ağıl	ɑ ɣ ɯ ɫ
ağılı	ɑ ɣ ɯ ɫ ɯ
ağıllı	ɑ ɣ ɯ ɫː ɯ
ağıllıdıllaq	ɑ ɣ ɯ ɫː ɯ d ɯ ɫː ɑ χ
ağır	ɑ ɣ ɯ ɾ
ağırlıq	ɑ ɣ ɯ r ɫ ɯ x
ağız	ɑ ɣ ɯ z
ağızəmməz	a ɣ ɯ z æ mː æ z
ağızlıq	ɑ ɣ ɯ z ɫ ɯ χ
ağızlıq	ɑ ɣ ɯ z d ɯ χ
ağqoval	ɑ ɣ ɡ o v ɑ ɫ
ağlabatmaz	ɑ ɣ ɫ ɑ b a ɯ t m ɑ z
ağlama	ɑ ɣ ɫ ɑ m ɑ
ağlamaq	ɑ ɣ ɫ ɑ m ɑ χ
ağlamaq	ɑ ɣ ɫ ɑ m ɑ χ
ağlamaq	ɑː ɫ ɑ m ɑ χ
ağlasığmaz	ɑ ɣ ɫ a s ɯ ɣ m ɑ z
ağrı	ɑ ɣ r ɯ
ağrımaq	ɑ ɣ r ɯ m ɑ χ
ağrısız	ɑ ɣ r ɯ s ɯ z
ağsaqqal	ɑ ɣ s ɑ k ɡ ɑ ɫ
ağuş	ɑ ɣ u ʃ
ağzıbütöv	ɑ ɣ z ɯ b y t œ v
ağzıbütöv	ɑ ɣ z ɯ p y t œ v
ağzıcırıq	ɑ ɣ z ɯ d͡ʒ ɯ ɾ ɯ x
ağzıcırıq	a ɣ z ɯ d͡z ɯ ɾ ɯ x
axça	ɑ x t͡ʃ ɑ
axça	ɑ x t͡s ɑ
axıcı	ɑ χ ɯ d͡ʒ ɯ
axıcı	ɑ χ ɯ d͡z ɯ
axın	ɑ x ɯ n
axınölçən	ɑ x ɯ n œ l t͡ʃ æ n
axınölçən	ɑ x ɯ n œ l t͡s æ n
axır	ɑ χ ɯ r
axırıncı	ɑ χ ɯ ɾ ɯ n d͡ʒ ɯ
axırıncı	ɑ χ ɾ ɯ n d͡ʒ ɯ
axmaq	ɑ χ m ɑ χ
axsamaq	ɑ χ s ɑ m ɑ χ
axşam	a χ ʃ a m
axşamüstü	ɑ x ʃ ɑ m y s d y
axta	ɑ χ t ɑ
axtaçı	ɑ χ t ɑ t͡ʃ ɯ
axtaçı	ɑ χ t ɑ t͡s ɯ
axtalamaq	ɑ x d ɑ ɫ ɑ m ɑ x
axtarış	ɑ χ t ɑ r ɯ ʃ
axtarmaq	ɑ χ t ɑ r m ɑ χ
axund	ɑ χ u n d
aidiyyət	ɑ i d i j æ t
ailə	ɑ j i l æ
aktivləşdirmək	ɑ k t i v l æ ʃ t i r m æ k
aktyor	ɑ k t j o r
aqibət	ɑ ɡ iː b æ t
aqibətsizlik	ɑː ɡ i b æ t s i z d i ç
alaf	ɑ ɫ ɑ f
alagöz	ɑ ɫ ɑ ɟ œ z
alça	ɑ ɫ t͡ʃ ɑ
alça	ɑ ɫ t͡s ɑ
alçaq	ɑ ɫ t͡ʃ ɑ χ
alçaq	ɑ ɫ t͡s ɑ χ
alçaqlıq	ɑ ɫ t͡ʃ ɑ x ɫ ɯ x
alçaqlıq	ɑ ɫ t͡s ɑ x ɫ ɯ x
aldanmaq	ɑ ɫ d ɑ n m ɑ χ
aldanmaq	ɑ ɫː ɑ n m ɑ χ
aldatmaq	ɑ ɫ d ɑ t m ɑ χ
aldatmaq	ɑ ɫː ɑ t m ɑ χ
aləm	ɑː l æ m
alət	ɑː l æ t
alınma	ɑ ɫ ɯ n m ɑ
alınma	ɑ ɫ ɯ mː ɑ
alınmaq	ɑ l ɯ n m ɑ x
alınmaq	ɑ ɫ ɯ mː ɑ x
alınmaz	ɑ ɫ ɯ n m ɑ z
alınmaz	ɑ ɫ ɯ mː ɑ z
alış	ɑ ɫ ɯ ʃ
alışmaq	ɑ ɫ ɯ ʃ m ɑ χ
alilik	ɑː l i l i ç
alim	ɑː l i m
alqış	ɑ ɫ ɡ ɯ ʃ
alqış	ɑ ɫ ɣ ɯ ʃ
alqışlamaq	ɑ ɫ ɡ ɯ ʃ ɫ ɑ m ɑ χ
alqışlamaq	ɑ ɫ ɣ ɯ ʃ ɫ ɑ m ɑ χ
alma	ɑ ɫ m ɑ
almaq	ɑ ɫ m ɑ χ
almanca	ɑ ɫ m ɑ n d͡ʒ ɑ
almandilli	ɑ ɫ m ɑ n d i lː i
almaz	ɑ ɫ m ɑ z
alov	ɑ ɫ o v
alovlu	ɑ ɫ o v ɫ u
alt	ɑ ɫ t
altıncı	ɑ ɫ t ɯ n d͡ʒ ɯ
altıncı	ɑ ɫ t ɯ n d͡z ɯ
altında	ɑ ɫ t ɯ n d ɑ
altlıq	ɑ ɫ t d ɯ x
altmış	ɑ ɫ t m ɯ ʃ
altmışıncı	ɑ l t m ɯ ʃ ɯ n d͡ʒ ɯ
altyazı	ɑ ɫ t j ɑ z ɯ
alver	ɑ l v e r
amal	ɑ m ɑ ɫ
amansız	ɑ m ɑ n s ɯ z
amcıq	ɑ m d͡ʒ ɯ χ
amcıq	ɑ m d͡z ɯ χ
amcıqgöz	ɑ m d͡ʒ ɯ x ɟ œ z
amcıqgöz	ɑ m d͡z ɯ x d͡ʒ œ z
amerikalı	ɑ m e ɾ i k ɑ ɫ ɯ
Aminə	ɑ m i n æ
amma	ɑ mː ɑ
amma	ɑ m b ɑ
ana	ɑ n ɑ
Anadolu	ɑ n ɑ d o ɫ u
analıq	ɑ n ɑ ɫ ɯ x
ananas	ɑ n ɑ n ɑ s
ancaq	ɑ n d͡ʒ ɑ χ
ancaq	ɑ n d͡z ɑ χ
and	ɑ n d
andız	ɑ n d ɯ z
anım	ɑ n ɯ m
anqırmaq	ɑ ŋ ɡ ɯ r m ɑ χ
anqut	ɑ ŋ ɡ u t
anlamaq	ɑ nː ɑ m ɑ x
anlamaq	ɑ n ɫ ɑ m ɑ x
anlamaz	ɑ n ɫ ɑ m ɑ z
anlamaz	ɑ nː ɑ m ɑ z
anlaşılmazlıq	ɑ nː ɑ ʃ ɯ ɫ m ɑ z d ɯ x
anlaşılmazlıq	ɑ n ɫ ɑ ʃ ɯ ɫ m ɑ z ɫ ɯ x
anlayış	ɑ n ɫ ɑ j ɯ ʃ
anlayış	ɑ n ɫ ɑ ɯ ʃ
anmaq	ɑ n m ɑ χ
anmaq	ɑ mː ɑ χ
anormal	ɑ n o r m ɑ ɫ
antigen	ɑ n t i ɟ e n
antigen	ɑ n t i d͡ʒ e n
aparmaq	ɑ p ɑ r m ɑ χ
aplikat	ɑ p l i k ɑ t
ara	ɑ r ɑ
araba	ɑ r ɑ b ɑ
arabir	ɑ r ɑ b i r
arada	ɑ r ɑ d ɑ
arakəsmə	ɑ r ɑ c æ s m æ
aralamaq	ɑ r ɑ ɫ ɑ m ɑ x
aralaşdırmaq	ɑ r ɑ ɫ ɑ ʃ d ɯ r m ɑ x
aram	ɑ r ɑ m
aramgah	ɑ r ɑ m ɟ ɑ h
arasında	ɑ r ɑ s ɯ n d ɑ
araşdırmaq	ɑ r ɑ ʃ d ɯ r m ɑ χ
araşdırmaq	ɑ r ɑ ʃ t ɯ r m ɑ χ
aravuran	ɑ r ɑ v u r ɑ n
aravuran	ɑ r ɑ v ɯ r ɑ n
arayış	ɑ r ɑ j ɯ ʃ
arbitraj	ɑ r b i t r ɑ ʒ
ard	ɑ r d
ardıcıl	ɑ ɾ d ɯ d͡ʒ ɯ ɫ
ardıcıl	ɑ ɾ d ɯ d͡z ɯ ɫ
arfa	ɑ r f ɑ
argentinalı	ɑ ɾ ɟ e n t i n ɑ ɫ ɯ
arğac	ɑ r ɣ ɑ d͡ʒ
arğac	ɑ r ɣ ɑ d͡z
arx	ɑ r x
arx	ɑ r ɯ x
arx	æ r x
arxac	ɑ r x ɑ d͡ʒ
arxac	ɑ r x ɑ d͡z
arxadaş	ɑ r χ ɑ d ɑ ʃ
arxaik	ɑ r χ ɑ i c
arxalanmaq	ɑ r x a ɫ ɑ n m ɑ x
arxalanmaq	ɑ r x a ɫ ɑ mː ɑ x
arxalıq	ɑ r χ ɑ ɫ ɯ χ
arxasında	ɑ r χ ɑ s ɯ n d ɑ
arxipelaq	ɑ ɾ x i p e ɫ ɑ k
arxiv	ɑ r χ i v
arxiyepiskop	ɑ r x i j e p i s k o p
arı	ɑ r ɯ
arıq	ɑ r ɯ x
arıq	ɑ r u x
arıqlamaq	ɑ r ɯ x ɫ ɑ m ɑ x
arıquşu	ɑ r ɯ ɡ u ʃ u
Arkadi	ɑ r k ɑ d i
arlanmaq	ɑ rː ɑ mː ɑ x
armudu	ɑ r m u d u
artıq	ɑ r t ɯ χ
artıq	ɑ r t u χ
artist	ɑ r t i s t
artişok	ɑ r t i ʃ o k
artmaq	ɑ r t m ɑ χ
arvad	ɑ r v ɑ d
