abad	ɐ b a̽ t̪
adabiyot	ɐ d̪ æ b i̞ j ɒ̽ t̪
adash	ɐ d̪ æ ʃ
adashmoq	ɐ d̪ æ ʃ m ɒ̝ q͡χ ˖
adolat	ɐ d̪ ɒ̽ l a t̪
Afgʻoniston	ɐ v ʁ ɒ̽ n ɪ̆ s t̪ ɒ̽ n
agar	ɐ ɡ ˖ æ r
aka	ɐ̆ k̟ʰ æ
amirlik	ɐ m ɪ̈ r l i̞ k̟
araqxoʻr	ɐ r ɑ̽ q͡χ χ o̽ r
aroq	ɐ r ɒ̽ q͡χ
arslon	ɐ ɾ s l ɒ̽ n
asosan	ɐ s ɒ̽ s ɐ n
axir	ɐ̆ χ ɯ̽ r
ayniqsa	ɐ j n ɯ̽ q͡χ s ɐ
aytmoq	æ j t̪ m ɒ̝ q
achimsiq	ɐ t͡ʃʰ ɪ m s ɯ̽ q χ
badaviy	b ɐ d̪ ɐ ʋ i j
bahor	b ɐ h ɒ̽ r
baqlajon	b ɑ̽ q͡χ l æ d͡ʒ ɒ̽ n
bek	b e k̟
besh	b e ʃ
bilan	b ɪ̽ l a n
bilan	b ɪ l ä n
bilmoq	b ɪ̈ l m ɒ̽ q
bir	b ɪ̈ r
bir	b ɘ r
bitta	b i t̪̚ t̪ æ
bizga	b ɪ̽ z ɡ ˖ æ
bola	b ɒ̽ l æ
bormoq	b ɒ̽ r m ɒ̽ q͡χ
boshqird	b ɒ̽ ʃ q ɯ̽ ɾ t̪
bu	b ʊ
bugun	b u̞ ɡ ˖ ʉ̞ n
bulut	b ʊ l ʊ t̪
butun	b ʊ t̪ʰ ʊ n
buyuk	b ʉ j ʉ k̟
boʻlmoq	b o̽ l m ɒ̽ q͡χ
boʻlmoq	b o̽ l m ɒ̽ q͡χ
boʻri	b o̽ r ɪ̽
darvoqe	d̪ æ r ʋ ɒ̽ q e
davlat	d̪ ɐ ʋ l a̽ t̪
din	d̪ i̞ n
dunyo	d̪ ʊ̈ n j ɒ̽
dunyolar	d̪ ʊ̈ n j ɒ̽ l ɐ r
doʻkon	d̪ ɵ k̟ ɒ̽ n
ellik	e l l i k̟
emas	e m a̽ s
emoq	e m ɒ q
ermoq	e r m ɒ q
Eron	e r ɒ̽ n
ertaga	e r t̪ æ ɡ ˖ æ
eshak	e ʃ æ k̟
eng	e ŋ ˖ ɡ ˖
eng	e ŋ ˖
Fargʻona	f ɐ r ʁ ɒ̽ n a̽
fil	f i̞ l
gapirmoq	ɡ ˖ ɐ p ɪ̈ r m ɒ q͡χ
gul	ɡ ˖ ʏ l
guruh	ɡ ˖ ʊ̈ r u̞ h
hashamat	h a̽ ʃ ɐ m ɐ t̪
hukumat	h ʊ̥̈ k̟ ʉ̞ m a̽ t̪
humo	h ʊ̈ m ɒ̽
hur	h ʊ̈ r
hurmat	h ʊ̈ r m a̽ t̪
ikki	i̞ k̟̚ k̟ʰ i̞
inqilob	i̞ ɴ q ɨ̞ l ɒ̽ p
inson	i̞ n s ɒ̽ n
ipak	i̞ p æ k̟
iqtisodiy	ɨ̞ q͡χ t̪ ɪ̥̈ s ɒ̽ d̪ i j
iqtisodiy	ɨ̞ q͡χ t̪ s ɒ̽ d̪ i j
