Alps	a l p s
America	a m e ɾ i k o̞
Antòni	a n t ɔ n i
Ardecha	a ɾ d e t͡ʃ o
Ardecha	a ɾ d e t͡ʃ ɔ
Argeria	a ɾ d͡ʒ e ɾ i o
Barcelona	b a ɾ s e l u n o
Bordèu	b u ɾ d ɛ w
Califòrnia	k a l i f ɔ r n j o
Califòrnia	k a l i f ɔ ɾ n j o̞
Califòrnia	k a l i f ɔ ʁ n j a
Carcassona	k a ɾ k a s u n ɔ
Charanta	t͡s a ɾ a n t o
Charanta	t͡s a ɾ a n t ɔ
Conhac	k u ɲ a k
Estève	e s t ɛ β e
França	f ʁ a n s ɒ
Frejús	f ɾ e d ʒ y s
Girona	d ʒ i ɾ u n o
Gironda	d ʒ i ɾ u n d o
Japon	d ʒ a p u
Joan	d͡ʒ u a n
Joan	d͡ʒ w a n
Lengadòc	l e ŋ ɡ o ð ɔ k
Lisbona	l i z b u n o̞
Marròc	m a r ɔ k
Marselha	m a ʀ s e j ɔ
Marselha	m a ʀ s i j ɔ
Montpelhièr	m u m p e ʎ ɛ
Navarra	n a β a r o
Navarrencs	n a β a r e ŋ t͡s
Navarrencs	n a β a ɾ e ŋ t͡s
Nòrd	n ɔ ɾ t
Occitània	u t s i t a n j ɔ
Palestina	p a l e s t i n o̞
París	p a r i s
Pau	p a w
Peitieus	p e j t j e w s
Perpinhan	p e ɾ p i ɲ a
Peró	p e ɾ u
Piemont	p j e m o n
Piemont	p j e m u n t
Pirenèus	p i r e n ɛ w s
Tolosa	t u l u z ɔ
abajon	a β a d͡ʒ u
abandonar	a b a n d u n a
abelha	a b e ʎ o
acostumar	a k u s t y m a
actitud	a t t i t y t
activitat	a t t i β i t a t
actor	a t t u
aculhir	a k y ʎ i
acusacion	a k y z a s j u
afluent	a f l y e n
afluent	a f l y ẽⁿ
afluents	a f l y e n s
afluents	a f l y ẽⁿ s
agir	a d ʒ i
agranhonièr	a ɣ r a ɲ u n j ɛ
agranhonièrs	a ɣ r a ɲ u n j ɛ s
agulha	a ɡ y ʎ o
aiga	a j ɔ
aiga	a j ɡ ɒ
