Acèh	a c ɛ h
Aleuhat	a l ɯ h a t̠
abang	a b a ŋ
adèe	a d ɛ ə̯
aleue	a l ɯ ə̯
alue	a l u ə̯
aneuk	a n ɯ ʔ
angkat	a ŋ k a t̠
angèk	a ŋ ɛ ʔ
angèn	a ŋ ɛ n
anoe	a n ɔ ə̯
apui	a p u i̯
asoe	a s ɔ ə̯
asék	a s e ʔ
atawa	a t̠ a w a
até	a t̠ e
awai	a w a i̯
awan	a w a n
babah	b a b a h
baca	b a c a
badè	b a d ɛ
badèe	b a d ɛ ə̯
bae	b a ʔ ə
bagah	b a ɡ a h
bagaih	b a ɡ a i̯ h
bagan	b a ɡ a n
bahô	b a h o
bajèe	b a ɟ ɛ ə̯
bak	b a ʔ
banda	b a nᵈ a
bang	b a ŋ
banga	b a ŋ a
bangbang	b a ŋ b a ŋ
bantai	b a n t̠ a i̯
barôh	b a r o h
basa	b a s a
basah	b a s a h
batat	b a t̠ a t̠
batèë	b a t ɛ
batèë	b a t ɛ ə
beuhe	b ɯ h ə
beukuëm	b ɯ k u ə̯ m
beuneuhe	b ɯ n ɯ h ə
beungèh	b ɯ ŋ ɛ h
beungöh	b ɯ ŋ ʌ h
beusoë	b ɯ s ɔ ə
beuö	b ɯ ʔ ʌ
bibi	b i b i
bintéh	b i n t e h
biëng	b i ə̯ ŋ
bleut	b l ɯ t
bleuët	b l ɯ ə̯ t
boh	b ɔ h
breueh	b r ɯ ə̯ h
bubari	b u b a r i
bubông	b u b o ŋ
buleuën	b u l ɯ ə n
bungong	b u ŋ ɔ ŋ
buët	b u ə̯ t
cagok	c a ɡ ɔ ʔ
cagèë	c a ɡ ɛ ə
ceubeuëh	c ɯ b ɯ ə̯ h
ceuruga	c ɯ r u ɡ a
ch’uëng	c h ũ ə̯ ŋ
cicém	c i c e m
cok	c ɔ ʔ
com	c ɔ m
cèëdara	c ɛ ə d a r a
dano	d a n ɔ
deuëk	d ɯ ə ʔ
drin	d r i n
dudôk	d u d o ʔ
duroë	d u r ɔ ə
duëk	d u ə̯ ʔ
eungkôt	ɯ ŋ k o t
gadöh	ɡ a d ʌ h
gampông	ɡ a m p o ŋ
gasiën	ɡ a s i ə̯ n
geuh’euk	ɡ ɯ h ɯ̃ ʔ
geunuë	ɡ ɯ n u ə̯
ghuën	ɡ h u ə̯ n
giri	ɡ i r i
glang	ɡ l a ŋ
glaseuë	ɡ l a s ɯ ə̯
grupheuëng	ɡ r u p h ɯ ə̯ ŋ
gui	ɡ u i̯
gunong	ɡ u n ɔ ŋ
h'uëng	h ũ ə̯ ŋ
habéh	h a b e h
hanyi	h a ɲ i
hayut	h a j u t
hiro	h i r ɔ
hu	h u
huëk	h u ə̯ ʔ
h’iëm	h ĩ ə̯ m
idông	i d o ŋ
ijo	i ɟ o
ië	i ə
jak	ɟ a ʔ
jameun	ɟ a m ɯ n
jaroë	ɟ a r ɔ ə
jeumala	ɟ ɯ m a l a
jeumeurang	j ɯ m ɯ r a ŋ
kamoë	k a m ɔ ə̯
kamuë	k a m u ə̯
kaphé	k a f e
kaphé	k a pʰ e
keueuëng	k ɯ ʔ ɯ ə ŋ
keumeuklik	k ɯ m ɯ k l i ʔ
keunyèh	k ɯ ɲ ɛ h
keuraleuëp	k ɯ r a l ɯ ə̯ p
keuë	k ɯ ə
khië	k h i ə̯
khuëng	k h u ə̯ ŋ
khém	k h e m
khôh	k h o h
kh’iëng	k h ĩ ə̯ ŋ
kleuëng	k l ɯ ə̯ ŋ
klik	k l i ʔ
kruëng	k r u ə ŋ
kuboh	k u b ɔ h
kèe	k ɛ ə̯
k’èt	k ɛ̃ t
lagang	l a ɡ a ŋ
lahé	l a h e
lakèë	l a k ɛ ə̯
lapan	l a p a n
lawök	l a w ʌ ʔ
leubië	l ɯ b i ə̯
leuhop	l ɯ h ɔ p
leuiët	l ɯ i ə̯ t
leumo	l ɯ m o
lhan	l h a n
lheuë	l h ɯ ə̯
lheuëh	lʱ ɯ ə̯ h
lhi	l h i
lhok	l h ɔ ʔ
lhèë	l h ɛ ə
lhôk	l h o ʔ
lhôn	l h o n
likôt	l i k o t
limpeuën	l i m p ɯ ə̯ n
limöng	l i m ʌ ŋ
lumpoë	l u m p ɔ ə̯
luwih	l u w i h
luëng	l u ə̯ ŋ
lôn	l o n
lôntuwan	l o n t̠ u w a n
maba	m a b a
mali	m a l i
mamplam	m a m p l a m
mamèh	m a m ɛ h
manok	m a n ɔ ʔ
masam	m a s a m
masyarakat	m a ʃ a r a k a t
masén	m a s e n
mbôn	mᵇ o n
meu'ah	m ɯ ʔ a h
meuglang	m ɯ ɡ l a ŋ
meuglaseuë	m ɯ ɡ l a s ɯ ə̯
meuh	m ɯ h
meung	m ɯ ŋ
meungnyo	m ɯ ŋ ɲ ɔ
meunyö	m ɯ ɲ ʌ
meurak	m ɯ r a ʔ
miëng	m i ə ŋ
moë	m ɔ ə
mumé	m u m e
naleuëng	n a l ɯ ə̯ ŋ
nam	n a m
neungui	n ɯ ŋ u i
ngabô	ŋ a b o
ngön	ŋ ʌ n
nyan	ɲ a n
nyanyoë	ɲ a ɲ ɔ ə
nyawöng	ɲ a w ʌ ŋ
nyhèh	ɲ h ɛ h
pacat	p a c a t̠
pajôh	p a ɟ o h
panton	p a n t ɔ n
papeuën	p a p ɯ ə n
peuglang	p ɯ ɡ l a ŋ
peunajôh	p ɯ n a ɟ o h
peuniléh	p ɯ n i l e h
peupungo	p ɯ p u ŋ ɔ
peuturi	p ɯ t u r i
peuték	p ɯ t e ʔ
peuët	p ɯ t
peuët	p ɯ ə t
phong	p h ɔ ŋ
phét	p h e t
phôn	p h o n
pijuët	p i ɟ u ə̯ t
piléh	p i l e h
pineung	p i n ɯ ŋ
pinyoë	p i ɲ ɔ ə̯
plah	p l a h
plôh	p l o h
prang	p r a ŋ
pula	p u l a
rabé	r a b e
ranup	r a n u p
ret	r ʌ t
rhah	ɾʱ a h
rhet	r h ə t
rhui	r h u i
rh’uëp	r h ũ ə̯ p
rimuëng	r i m u ə ŋ
rukok	r u k ɔ ʔ
sa	s a
sabôn	s a b o n
sagôp	s a ɡ o p
saka	s a k a
sampôh	s a m p o h
sanjak	s a ɲ ɟ a ʔ
sapai	s a p a i̯
sarah	s a r a h
seubab	s ɯ b a b
seuleuah	s ɯ l ɯ ʔ a h
seuneulheuë	s ɯ n ɯ l h ɯ ə̯
seuëp	s ɯ ə b
seuôn	s ɯ ʔ o n
sidom	s i d ɔ m
sikureuëng	s i k u r ɯ ə ŋ
singoh	s i ŋ ɔ h
siplôh	s i p l o h
sira	s i r a
siseuëk	s i s ɯ ə̯ ʔ
sië	s i ə̯
srah	s r a h
sék	s e ʔ
s’uëp	s ũ ə̯ p
tabeuë	t a b ɯ ə̯
takuë	t a k u ə̯
tamah	t a m a h
tangiroe	t a ŋ i r ɔ ə̯
teubèë	t ɯ b ɛ
teubèë	t ɯ b ɛ ə̯
teumaga	t ɯ m a ɡ a
teungeut	t ɯ ŋ ɯ t
teungöh	t ɯ ŋ ʌ h
teuntèë	t ɯ n t ɛ ə
teunuléh	t ɯ n u l e h
teuraceue	t ɯ r a c ɯ ə̯
teureubang	t ɯ r ɯ b a ŋ
thèë	t h ɛ ə̯
thô	t h o
ticak	t i c a ʔ
tiëp	t i ə̯ p
tubèë	t u b ɛ ə̯
tubé	t u b e
tujôh	t u ɟ o h
tuléh	t u l e h
tém	t e m
udeueng	u d ɯ ə ŋ
uleuë	u l ɯ ə
ulôn	u l o n
ulôntuwan	u l o n t̠ u w a n
uneun	u n ɨ n
unoë	u n o ə̯
ureueng	u r ɯ ə̯ ŋ
uroe	u r ɔ ə
uruëk	u r u ə̯ ʔ
wie	w i ə
wië	w i
wië	w i ə
yuë	j u ə
yèe	j ɛ ə
éh	e h
ôk	ʔ o ʔ
ôn	o n
’in	ĩ n
