ঁ	ɔ̃
ং	ŋ
অ	o
অ	ɔ
অঁকোল	ɔ k o l
অংকন	ɔ ŋ k ɔ n
অংগুস্তানা	ɔ ŋ ɡ u s t̪ a n a
অংশ	ɔ ŋ ʃ o
অংশক	ɔ ŋ ʃ ɔ k
অংশমান	ɔ ŋ ʃ ɔ m a n
অংশল	ɔ ŋ ʃ ɔ l
অংশাংশি	ɔ ŋ ʃ a ŋ ʃ i
অংশাবতার	ɔ ŋ ʃ a b o t̪ a ɹ
অংশু	ɔ ŋ ʃ u
অংশুক	ɔ ŋ ʃ u k
অংশুপট্ট	ɔ ŋ ʃ u p ɔ tː o
অংশুল	ɔ ŋ ʃ u l
অংশুশিরা	ɔ ŋ ʃ u ʃ i ɹ a
অংহ	ɔ ŋ h o
অই	o i̯
অওরত	ɔ o̯ ɹ ɔ t̪
অওরত	ɔ u ɹ ɔ t̪
অওরত	ɔ ʊ ɹ ɔ t̪
অওসত	ɔ o̯ ʃ ɔ t̪
অওসৎ	ɔ o̯ s ɔ t̪
অওসৎ	ɔ o̯ ʃ ɔ t̪
অকচ	ɔ k ɔ t ɕ
অকচা	ɔ k ɔ t ɕ a
অকঠোর	ɔ k ɔ tʰ o ɹ
অকথা	ɔ k ɔ t̪ʰ a
অকপটচিত্তে	ɔ k ɔ p ɔ tː ɕ i t̪ː e
অকমনীয়	ɔ k ɔ m o n i̯ o
অকম্পিত	ɔ k ɔ m p i t̪ o
অকরণ	ɔ k ɹ o n
অকরুণ	ɔ k o ɹ u n
অকর্ণ	ɔ k ɔ ɹ n o
অকর্তা	ɔ k ɔ ɹ t̪ a
অকর্মণ্য	ɔ k ɔ ɹ m ɔ nː o
অকর্মা	ɔ k ɔ ɹ m a
অকর্মিষ্ঠ	ɔ k o r m i ʃ ʈʰ o
অকর্ষিত	ɔ k ɔ ɹ ʃ i t̪ o
অকল	ɔ k ɔ l
অকলঙ্ক	ɔ k ɔ l o ŋ k o
অকলঙ্কিত	ɔ k ɔ l o ŋ k i t̪ o
অকলঙ্কিতা	ɔ k ɔ l o ŋ k i t̪ a
অকলঙ্কিনী	ɔ k ɔ l o ŋ k i n i
অকলঙ্কী	ɔ k ɔ l o ŋ k i
অকলমন্দ	ɔ k o l m ɔ n d̪
অকলমন্দ	ɔ k o l m ɔ n d̪ o
