آلھݨا	aː lʰ ɳ aː
آنا	ɑː n aː
آوݨ	aː v ə ɳ
آکھݨ	aː kʰ ə ɳ
آݨݨ	ɑ̃ː ɳ ə ɳ
ابھا	ʊ b̚ bʰ aː
ابھرݨ	ʊ bʰ ɾ ə ɳ
ارک	ə ɾ ə k
اساں	ə sː ãː
اسی	ə sː iː
اناسی	ʊ n ɑː s iː
انتالی	ʊ n t̪ ɑː l iː
انتی	ʊ n ə t̪ t̪ iː
اننجھا	ʊ n ə̃ d͡ʒʰ ɑː
انگل	ə ŋ ɡ ɪ l
انگوٹھا	ə ŋ ɡ uː ʈʰ aː
انہتر	ʊ n h ə t̪ t̪ ə ɾ
انی	ʊ nː iː
انیٹھ	ʊ n ɛː ʈʰ
او	oː
اٹھ	ə ʈʰ
اٹھارھاں	ə ʈʰ aː ɾʰ ãː
اٹھاوی	ə ʈʰ aː v iː
اٹھتالی	ə ʈʰ t̪ ɑː l iː
اٹھتر	ə ʈʰ ə t̪ t̪ ə ɾ
اٹھتی	ə ʈʰ ə t̪ t̪ iː
اٹھونجھا	ə ʈʰ ʋ ə̃ d͡ʒʰ ɑː
اٹھیٹھ	ə ʈʰ ɛː ʈʰ
اٻاسی	ʊ ɓ aː s iː
اٻالھا	ʊ ɓ ɑː lʰ ɑː
اٻاہل	ʊ ɓ ɑː h ə l
اٻاہل	ʊ ɓ ɑː lʰ
اٻتا	ʊ ɓ ə t̪ t̪ ɑː
اٻرالا	ʊ ɓ ɾ ɑː l ɑː
اٻرݨ	ʊ ɓ ɾ ə ɳ
اٻلݨ	ʊ ɓ l ə ɳ
اڄ	ə ʄ
اکانسی	ɪ k ɑ̃ː s iː
اکتالی	ɪ k t̪ ɑː l iː
اکتی	ɪ k ə t̪ t̪ iː
اکونجھا	ɪ k ʋ ə̃ d͡ʒʰ ɑː
اکہتر	ɪ k ə t̪ t̪ ə ɾ
اکہتر	ɪ k h ə t̪ t̪ ə ɾ
اکی	ɪ k k iː
اکیٹھ	ɪ k ɛː ʈʰ
اگھالݨ	ə ɡʰ ɑː l ə ɳ
اگھالݨ	ə ŋ ɡʰ ɑː l ə ɳ
اے	eː
اݙݨ	ʊ ɗ ɗ ə ɳ
بدرو	b ə d̪ ɾ uː
بدل	b ə d̪ d̪ ʊ l
بدل	b ə d̪ d̪ ə l
بکھ	b ʊ kʰ
بھاہ	bʰ aː h
بھاہ	bʰ aː
بھرݨ	bʰ ə ɾ ə ɳ
بھڄݨ	bʱ ə ʄ ʄ ə ɳ
بھڑݨ	bʰ ɪ ɽ ə ɳ
بھیݙ	bʰ eː ɗ
بھیݨ	bʱ eː ɳ
تاوݨ	t̪ aː v ə ɳ
تتا	t̪ ə t̪ t̪ aː
ترئیٹھ	t̪ ɪ ɾ ɪ j ɛː ʈʰ
ترئیٹھ	t̪ ɪ ɾ ɪ ɛː ʈʰ
ترائے	t̪ ə ɾ ɛː
ترائے	t̪ ə ɾ a eː
ترتالی	t̪ ɪ ɾ t̪ ɑː l iː
ترونجھا	t̪ ɪ ɾ ʋ ə̃ d͡ʒʰ ɑː
تروڑݨ	t̪ ə ɾ oː ɽ ə ɳ
ترکھا	t̪ ə ɾ i k kʰ aː
تریوی	t̪ ɾ eː v iː
تریہہ	t̪ ɾ iː h
تریہہ	t̪ ɾ eː h
تساں	t̪ ʊ s s ãː
تلی	t̪ ə l l iː
توں	t̪ ũː
تپ	t̪ ə p
تپاوݨ	t̪ ə p aː v ə ɳ
تکھا	t̪ i k kʰ aː
تھوں	t̪ʰ ũː
تھیوݨ	t̪ʰ iː v ə ɳ
تہاتھوں	t̪ ʊ h aː t̪ʰ ũː
تہاکوں	t̪ u h aː k ũː
تہاݙا	t̪ ʊ ɦ aː ɗ aː
تہتر	t̪ ɪ h ə t̪ t̪ ə ɾ
تیتھوں	t̪ ɛː t̪ʰ ũː
تیرھاں	t̪ eː ɾʰ ãː
تینتی	t̪ ẽ t̪ iː
تیکوں	t̪ ɛː k ũː
تیں	t̪ ɛ̃ː
تیݙا	t̪ ɛː ɗ aː
تے	t̪ eː
جتݨ	d͡ʒ ɪ t̪ t̪ ə ɳ
جندرا	d͡ʒ ə n̪ d̪ ɾ ɑː
خوراک	x uː ɾ aː k
خوش	x ʊ ʃ
خچر	x ə t͡ʃ t͡ʃ ə ɾ
دا	d̪ aː
دری	d̪ ə ɾ iː
دنی	d̪ ʊ n n iː
دھوتی	d̪ʰ oː t̪ iː
دھووݨ	d̪ʰ oː ʋ ə ɳ
دیگ	d̪ eː ɡ
دیگڑی	d̪ eː ɡ ɽ iː
رووݨ	ɾ oː v ə ɳ
ساتھوں	s aː t̪ʰ ũː
سال	s aː l
ساکوں	s aː k ũː
ساݙا	s aː ɗ aː
ست	s ə t̪
ستارھاں	s ə t̪ aː ɾʰ ãː
ستاوی	s ə t̪ aː v iː
ستتر	s ə t̪ ə t̪ t̪ ə ɾ
