=an	a n
=as	a ʃ
a=	a
anihi	áꜜ nʲ ì ç ì
anokay	à n òꜛ k á j
anutari	à n ùꜛ t á r í
aoka	à òꜛ k á
aokay	àꜛ ó̞ k á j
arawan	àꜛ ɾ á ɰᵝ á n
asinuma	à ɕ ìꜛ n ú m á
aynu	ʔ á jꜜ n ù
ci=	t͡ɕ i
ciokay	t͡ɕ ìꜛ ó̞ k á j
ciutari	t͡ɕ ì ùꜛ t á r í
coka	t͡ʃ ó̞ꜜ k à
e=	e̞
eani	èꜛ á nʲ í
eci=	è̞ꜛ t͡ɕ í
ecioka	è̞ t͡ɕ ì ò̞ꜛ k á
eciokay	è̞ t͡ɕ ì ò̞ꜛ k á j
eciutari	è t͡ɕ ì ùꜛ t á r í
en=	e̞ n
hemanta	h è̞ꜛ m á n t á
henpak	h è̞ mꜛ p á k
henpara	h è̞ mꜛ p á ɾ á
hunak	h ùꜛ n á k
hunna	h ù nꜛ n á̠
i=	i
inan	ìꜛ n á̠ n
iwan	ìꜛ ɰᵝ á n
k=	k
kam	k a̠ m
kamuy	k àꜛ m ú j
kani	k áꜜ nʲ ì
ku=	k u
kuani	k ùꜛ á nʲ í
makanak	m à̠ꜛ k á̠ n á̠ k
mosir	m ò̞ꜛ ɕ í ɾ
nea	n é̞ꜜ à
nekon	n éꜜ k o̞ n
nen	n e̞ n
nep	n e̞ p
nerok	n é̞ꜜ r ò̞ k
neya	n éꜜ j à
neyan	n éꜜ j à n
neyokay	n è̞ j ò ˕ꜛ k á j
no	n o̞
noype	n ó jꜜ p è
oka	ò̞ꜛ k á
okay	ò̞ꜛ k á j
pe	p e̞
re	ɾ e̞
sinepesan	ɕ ìꜛ n é p é s á n
sinuma	ɕ ìꜛ n ú m á
sir	ʃ i ɾ
tan	t a n
tanokay	t à n ò̞ꜛ k á j
taoka	t à ò̞ꜛ k á
toan	t ò̞ꜛ á n
tonokay	t ò n ò̞ꜛ k á j
tooka	t ò ò̞ꜛ k á
tupesan	t ùꜛ p é s á n
un=	u n
wan	ɰᵝ a n
アイヌ	ʔ á jꜜ n ù
アエㇷ゚	ʔ a ʔ e p̚
アシンル	ʔ a ʃ i n ɾ u
アトﾟイ	ʔ a t u j
アラワン	àꜛ ɾ á ɰᵝ á n
アㇷ゚ト	ʔ a p̚ t o
イサ	ʔ i s a
イセポ	ʔ i s e p o
イタㇰ	ʔ i t a k̚
イチェン	ʔ i t͡ʃ e n
イマク	ʔ i m a k̚
イワン	ìꜛ ɰᵝ á n
ウパシ	ʔ u p a ʃ
エトロ	ʔ e t o ɾ
エトﾟ	ʔ e t u
オッカイポ	ʔ o k̚ k a j p o
オッカヨ	ʔ o k̚ k a j o
カムィ	k àꜛ m ú j
カンピソシ	k a m p i s o ʃ
サッポロ	s a p̚ p o ɾ o
シネペサン	ɕ ìꜛ n é p é s á n
シノッチャ	ʃ i n o t̚ t͡ʃ a
シノッチャキ	ʃ i n o t̚ t͡ʃ a k i
セ゚	t s e
チカㇷ゚	t͡ʃ i k a p̚
ツ゚	t u̜
ツ゚ㇷ゚	t u̜ p
ト゚	t u̜
ト゚ㇷ゚	t u̜ p
トゥペサン	t ùꜛ p é s á n
フチ	ɸ ù̜ꜛ t͡ɕ í
モシㇼ	m ò̞ꜛ ɕ í ɾ
レ	ɾ e̞
レㇷ゚	ɾ e̞ p
ワン	ɰᵝ a n
ㇰ	k
ㇱ	s
ㇱ	ɕ
ㇲ	s
ㇳ	t
ㇴ	n
ㇵ	h
ㇵ	x
ㇶ	h
ㇶ	ç
ㇷ	h
ㇷ	x
ㇷ゚	p
ㇸ	h
ㇸ	x
ㇹ	h
ㇹ	x
ㇺ	m
ㇻ	ɾ
ㇼ	ɾ
ㇽ	ɾ
ㇾ	ɾ
ㇿ	ɾ
