Ellah	ɛ ɫ ɑː
Zazaki	z a z a k i
abiyayenı	ɑ b i j ɑː j ɛ n ɪ
abone	ɑː b o n ɛ
adır	ɑ d ɪ ɾ
adırge	ɑ d ɪ ɾ c e
adırgeh	ɑ d ɪ ɾ c e
adırsi	ɑ d ɪ ɾ c i
adırvaş	ɑ d ɪ ɾ v a ʃ
ageyrayış	a ɡ e j r a y ɯ ʃ
akerdış	a k e r d ɯ ʃ
akewtene	ɑ k ɛ w t ɛ n ə
akotene	ɑ k o t ɛ n ə
akutene	ɑ k u t ɛ n ə
altûn	ɑ l t ʉ n
amayene	ɑ m ɑː ɛ n ə
ameyene	ɑ m ɛː ɛ n ə
ameyış	a m e y ɯ ʃ
amnan	ɑ m n ɑ n
ardış	a r d ɯ ʃ
aresiyene	ɑ r ɛ s iː ɛ n ə
aşire	ɑ ʃ i ɾ ə
baxçıwan	b ɑ h t͡ʃ ɯ w ɑ n
bayraqı	b ɑ j ɾ ɑ q ɪ
ber	b e r
berdene	b ɛ r d ɛ n ə
berdış	b e r d ɯ ʃ
beyraqe	b ɛ j r ɑ q ə
biyayene	b i j ɑː ɛ n ə
biyayenı	b i j ɑː j ɛ n ɪ
biyene	b iː ɛ n ə
casus	d z ɑ s u s
casus	d ʒ ɑ s u s
cawıtene	d z ɑ w ɪ t ɛ n ə
cawıtene	d ʒ ɑ w ɪ t ɛ n ə
cewab	d͡z ɑ v ɑ b
cewab	d͡ʒ ɑ v ɑ b
cucek	d͡ʒ uː d͡ʒ e
cumle	d͡z y m l æ
cumle	d͡ʒ y m l æ
cutene	d z u t ɛ n ə
cutene	d ʒ u t ɛ n ə
cuwıtene	d z u w ɪ t ɛ n ə
cuwıtene	d ʒ u w ɪ t ɛ n ə
cuyene	d z uː ɛ n ə
cuyene	d ʒ uː ɛ n ə
cıgeyrayış	d z ɪ ɡ ɛ j ɾ ɑ j ɪ ʃ
cıgeyrayış	d ʒ ɪ ɡ ɛ j ɾ ɑ j ɪ ʃ
cıl	d z ɪ l
cıl	d ʒ ɪ l
dade	d ɑ d ə
dayene	d ɑː ɛ n ə
ded	d ɛ d
desmal	d ɛ s m ɑ l
desmale	d ɛ s m ɑ l ə
