abel	aː b ɛ l
aber	a b ɛ r
acowntysy	ə k o ʊ n t ɪ z i
Adam	æ d ə m
adamant	a d a m a n t
addya	a d j ə
adhelergh	ə ð ɛ l h ə ɹ x
adhelergh	ə ð ɛ l h ə ɹ
adhves	a ð v ɛ s
adhyskans	a ð ɪ s k a n s
adhyski	a ð ɪ s k i
adhyskonieth	a ð ɪ s k ɔ n i ɛ θ
adhyskoniethel	a ð ɪ s k ɔ n i ɛ θ ɛ l
adhyskonydh	a ð ɪ s k ɔ n ɪ ð
adre	ə d ɹ eː
Afganistan	a f ɡ a n i s t a n
afina	a f iː n a
Afrika	a f r ɪ k a
agan	a ɡ ə n
agas	a ɡ ə s
agas	a ɡ ə z
agensow	ə ɡ ɛ n z o ʊ
ages	a ɡ ɛ z
ahÿs	ə h iː z
ahÿs	ə h eː z
akont	a k ɔ n t
akontya	a k ɔ n t j ə
akontydh	a k ɔ n t ɪ ð
alargh	a l a ɹ x
alebma	ə l eːᵇ m ə
alemma	ə l ɛ mː ə
alhwedh	a l ʍ ɛ ð
Aljeri	a l d ʒ ɛː r i
alligator	a l i ɡ aː t ɔ r
als	ɒ l z
als	æ l z
altrewen	a l t ɹ ɛ ʊ ə n
altrow	a l t r ɔ ʊ
alwhedhow	ə l ʍ ɛ ð o ʊ
alwheth	æ l ʍ ə θ
amanyn	ə m a n ɪ n
amanyn	ə m a n ə n
amari	a m a r i
amary	æ m ə ɾ i
andhemedhys	a n ð ɛ m ɛ ð ɪ s
Andorra	a n d ɔː ɹ ə
androweyth	a n d ɹ ɔ ʊ w ɛ ɪ θ
aneller	a n ɛ l ɛ r
anes	a n ɛ z
Angola	a ŋ ɡ ɔː l a
ankevi	a n k ɛː v i
anodho	a n ɔ ð ɔ
anwos	a n w ɔː z
anyagh	a n j aː x
apoyntyans	a p ɔ ɪ n t j ə n z
app	a pː
appendicitys	a pː ɛ n d ɪ s iː t ɪ s
apposyans	a pː ɔ z j ə n z
aral	a r aː l
arbrovji	a ɹ b ɹ ɔː v d ʒ iː
ardh	a ɹ ð
argh	a ɹ x
arghanser	a r x a n z ɛ r
arghanti	a ɹ x a n t iː
arghantinek	a r x a n t i n ɛ k
argrevell	a ɹ ɡ ɹ ɛː v ɛ lː
arhwilell	a ɹ ʍ iː l ɛ lː
arhwithrans	a ɹ ʍ iː θ ɹ a n z
armadyllo	a ɹ m aː d ɪ lː ɔ ʊ
Armeni	a ɹ m ɛː n i
arta	a r t ə
arth	a ɹ θ
arthritys	a r θ r i t ɪ s
artydh	a ɹ t ɪː ð
arvethesik	a ɹ v ɛ θ ɛː z ɪ k
arvethor	a ɹ v ɛː θ ɤ ɹ
asen	a s ɛ n
askorn	a s k ɔ r n
askus	a s k yː z
aspier	a s p i ɛː ɹ
astel	a s t ɛ l
astelwolyans	a s t ɛ l w ɔː l j ə n z
aswiwer	a z w iː w ɛ ɹ
aswon	a z w ɔ n
aswonys	a z w ɔ n ɪ s
atalgist	a t a l ɡ iː s t
avel	a v ɛ l
avon	aː v ɔ n
avorow	ə v ɔ ɾ o ʊ
ayrborth	a ɪ r b ɔ r θ
Azerbayjan	a z ə ɹ b a ɪ d ʒ a n
baboun	b a b uː n
badh	b aː ð
bagas	b a ɡ a z
Baghreyn	b a x r ɛ ɪ n
bahamek	b a h a m ɛ k
bahrainek	b a r ɛ ɪ n ɛ k
balegva	b a l ɛ ɡ v ə
Bangladesh	b a ŋ ɡ l a d ɛ ʃ
bangladeshek	b a ŋ ɡ l a d ɛ ʃ ɛ k
banna	b a nː a
bara	b aː r a
bara	b æː r æ
barbakoa	b a r b a k ɔ ʊ a
barbour	b aː ɹ b ɔ ɹ
bardh	b a r ð
bardhonieth	b a r ð ɔ n j ɛː θ
barlys	b a ɹ l ɪ s
barr	b a r
barrlennell	b a r l ɛ nː ɛ lː
bas	b aː z
bay	b æ i
begel	b eː ɡ ɛ l
Belarus	b ɛ l a ɹ u s
beler	b ɛ l ɛ ɹ
bern	b ɛ r n
bilvil	b i l v ɪ l
blejen	b l ɛ d͡ʒ ə n
blejennow	b l ə d͡ʒ ɛᵈ n o ʊ
blejyow	b l ɛ d͡ʒ o ʊ
blonek	b l ɔ n ɛ k
bloodh	b l oː ð
bo	b oː
boghosek	b ɔ h ɔ z ɛ k
boks	b ɔ k s
bones	b ɔ n ə s
bones	b ɔ n ə z
bool	b oː l
bos	b ɔː z
bos	b oː z
bos	ɛ r ɐ
bos	b iː
bosti	b oː s t i
botswanek	b ɔ t s w a n ɛ k
Boutan	b u t a n
bras	b r aː z
brassa	b ɹ a s ə
brederedh	b r ɛ d ɛ r ɛ ð
breghel	b r ɛ x ɛ l
breghellik	b r ɛ x ɛ l ɪ k
brest	b r ɛ s t
Breten	b ɹ ɛ t ɛ n
