Ա	ɑ
ԱԱ	ɑ ɑ
ԱԱԱԿ	ɑ ɑ ɑ ɡ
ԱԱԲ	ɑ ɑ pʰ ə
ԱԱԳ	ɑ ɑ kʰ ə
ԱԱԳԽ	ɑ ɑ kʰ ə χ ə
ԱԱԻ	ɑ ɑ j i
ԱԱԽ	ɑ ɑ χ ə
ԱԱԾ	ɑ ɑ d͡z ə
ԱԱԿ	ɑ ɑ ɡ ə
ԱԱՀ	ɑ ɑ h ə
ԱԱՀՀԻ	ɑ ɑ h ə h ə i
ԱԱՆ	ɑ ɑ n ə
ԱԱՊ	ɑ ɑ b ə
ԱԱՊԲ	ɑ ɑ b ə pʰ ə
ԱԱՊՎ	ɑ ɑ b ə v ə
ԱԱՌ	ɑ ɑ ɾ ə
ԱԳՆ	ɑ kʰ ə n ə
ԱԶԲ	ɑ z ə pʰ ə
ԱԹՍ	ɑ tʰ ə s ə
ԱԺ	ɑ ʒ ə
ԱՄԷ	ɑ m ə e
ԱՄՆ	ɑ m ə n ə
ԱՊՀ	ɑ b ə h ə
Աարե	ɑ ɑ ɾ e
Աբադան	ɑ pʰ ɑ tʰ ɑ n
Աբայ	ɑ pʰ ɑ j
Աբաջյան	ɑ pʰ ɑ t͡ʃʰ j ɑ n
Աբաս	ɑ pʰ ɑ s
Աբասթուման	ɑ pʰ ɑ s tʰ u m ɑ n
Աբարան	ɑ pʰ ɑ ɾ ɑ n
Աբգար	ɑ pʰ kʰ ɑ ɾ
Աբգարյան	ɑ pʰ kʰ ɑ ɾ j ɑ n
Աբել	ɑ pʰ e l
Աբեղյան	ɑ pʰ e ʁ j ɑ n
Աբերդին	ɑ pʰ e ɾ tʰ i n
Աբիջան	ɑ pʰ i t͡ʃʰ ɑ n
Աբիսողոմ	ɑ pʰ i s o ʁ o m
Աբխազիա	ɑ pʰ χ ɑ z i j ɑ
Աբո	ɑ pʰ o
Աբովյան	ɑ pʰ o v j ɑ n
Աբուջա	ɑ pʰ u t͡ʃʰ ɑ
Աբրահամ	ɑ pʰ ɾ ɑ h ɑ m
Աբրահամյան	ɑ pʰ ɾ ɑ h ɑ m j ɑ n
Աբրամ	ɑ pʰ ɾ ɑ m
Աբրուցցո	ɑ pʰ ɾ u t͡sʰː o
Աբքայք	ɑ pʰ kʰ ɑ j kʰ
Ագա	ɑ kʰ ɑ
Ագամեմնոն	ɑ kʰ ɑ m e m n o n
Ագանյա	ɑ kʰ ɑ n j ɑ
Ագապի	ɑ kʰ ɑ b i
