ё	j o
ёӄоӈ	j o q o ŋ
ў	w
а	a
А	a
авғс	a v ɣ s
авғур̌	a v ɣ u r̥
авсӄ	a v s q
аг	a ɡ
ағд	a ɣ d
ағр̌	a ɣ r̥
аӻаӄм	a ʁ a q m
азмыть	a z m ɤ c
азмытьэӻлӈ	a z m ɤ c ‿ e ʁ l ŋ
айзӈ	a j z ŋ
айм	a j m
айс	a j s
айфтиӈ	a j f c i ŋ
акан	a k a n
аки	a k i
алр̌	a l r̥
алс	a l s
алхтур̌	a l x t u r̥
амӈирӈ	a m ŋ i r ŋ
амра	a m r a
амх	a m x
анғи	a n ɣ i
антӽ	a n t χ
ань	a ɲ
аньӽ	a ɲ χ
аӈ	a ŋ
аӈӿагин	a ŋ ‿ h a ɡ i n
арак	a r a k
арфэӄ	a r ‿ f e q
ар̌	a r̥
асӄ	a s q
асӄа	a s q a
ат	a t
атак	a t a k
атат	a t a t
атик	a c i k
атика	a c i k a
атим	a c i m
атк	a t k
ау	a u
аф	a f
ая	a j a
б	b
бос	b o s
в	v
вавд	v a v d
ваӻс	v a ʁ s
вадуд	v a d u d
вазаӽ	v a z a χ
вазӽ	v a z χ
вайд	v a j d
ваӄи	v a q i
вал	v a l
вандудь	v a n d u ɟ
вань	v a ɲ
ват	v a t
вед	v e d
вердь	v e r ɟ
вес	v e s
вид	v i d
видь	v i ɟ
вить	v i c
вих	v i x
во	v o
вонӈ	v o n ŋ
восӄ	v o s q
вукр̌	v u k r̥
вукс	v u k s
вывдь	v ɤ v ɟ
вығдь	v ɤ ɣ ɟ
вызғалр̌	v ɤ z ɣ a l r̥
выскть	v ɤ s k c
выскф	v ɤ s k f
выть	v ɤ c
выч	v ɤ cʰ
г	ɡ
гылмр	ɡ ɤ l m r
ғ	ɣ
ғукудь	ɣ u k u ɟ
ғулдь	ɣ u l ɟ
ғымдь	ɣ ɤ m ɟ
ғырудь	ɣ ɤ r u ɟ
ӻ	ʁ
Ӻ	ʁ
ӻавд	ʁ a v d
ӻорӄорид	ʁ o r q o r i d
ӻорӄорудь	ʁ o r q o r u ɟ
ӻотькудь	ʁ o c k u ɟ
ӻотьт	ʁ o c t
ӻотьть	ʁ o c c
д	d
диф	ɟ i f
дыф	d ɤ f
дяӄо	ɟ a q o
дяӄо	ɟ a q o
е	j e
ед	j e d
едь	j e ɟ
енд	j e n d
ераӄ	j e r a q
еф	j e f
з	z
заӄ	z a q
зозудь	z o z u ɟ
зом	z o m
зосӄть	z o s q c
и	i
иў	i w
ивд	i v d
ивдь	i v ɟ
иғлуладь	i ɣ l u l a ɟ
иғӈа	i ɣ ŋ a
иғрӈамх	i ɣ r ŋ a m x
илғд	i l ɣ d
имӈ	i m ŋ
ин	i n
инаў	i n a w
иньғудь	i ɲ ɣ u ɟ
иньд	i ɲ d
иньдь	i ɲ ɟ
ирмыд	i r m ɤ d
ирпф	i r p f
итть	i t c
иу	i u
иус	i u s
иф	i f
й	j
йиф	j i f
йыскымдь	j ɤ s k ɤ m ɟ
йытӈудь	j ɤ t ŋ u ɟ
йытӈунивх	j ɤ t ŋ u ɲ i v x
к	k
кай	k a j
кеӈ	k e ŋ
кеоз	k e o z
кер̌ӄ	k e r̥ q
кер̌ӄӈ	k e r̥ q ŋ
кехӈ	k e x ŋ
кеӽ	k e χ
кикун	k i k u n
кинр̌	k i n r̥
кнык	k n ɤ k
куйӈи	k u j ŋ i
кулудь	k u l u ɟ
кур	k u r
курӈ	k u r ŋ
курӈай	k u r ŋ a j
кывғыв	k ɤ v ɣ ɤ v
кыд	k ɤ d
кыдр	k ɤ d r
кый	k ɤ j
кыкык	k ɤ k ɤ k
кылаӈа	k ɤ l a ŋ a
кылдь	k ɤ l ɟ
кылмр	k ɤ l m r
кыхкых	k ɤ x k ɤ x
кʼ	kʰ
Кʼ	kʰ
кʼвыр̌	kʰ v ɤ r̥
кʼе	kʰ e
кʼеӄ	kʰ e q
