ཀ	k ɑ
ཀི་ཏབ	k i ˥ t ɑ p ˥
ཀླད་ཀོར	l e ˥ k o ˥
ཁ	kʰ ɑ ˥
ཁ་ཆེ	kʰ ɑ ˥ t͡ɕʰ e ˥
ཁ་ཆེའི་ལྷ	kʰ ɑ ˥ t͡ɕʰ e j ˥ ɬ ɑ ˥
ཁོ	kʰ o ˥
ཁོང	kʰ o ŋ ˥
ཁྱེས	t͡ɕʰ ɛː ˥
ཁྱོད	t͡ɕʰ øː ˥
ཁྱོད་ཅ་ང་ཅ་ཁ	t͡ɕʰ øː ˥ t͡ɕ ɑ ˥ ŋ ɑ ˩ t͡ɕ ɑ ˥ kʰ ɑ ˥
ག	kʰ ɑ ˥
གཅིག	t͡ɕ i k̚ ˥
གཉིས	n j iː ˥
གདོང	t o ŋ ˩
གནགཔོ	n ɑ p ˥
གཞུང	ʑ u ŋ ˩
གཞོནམ	ʑ øː m ˩
གཟི	z i ˩
གཟུགས	z uː ˩
གཡུས	yː ˥
གསུམ	s u m ˥
གསེར	s eː ˥
གོན	kʰ øː n ˩
གླུ	l u ˥
ང	ŋ ɑ ˥
ང	ŋ ɑ ˩
ང་བཅས	ŋ ɑ ˩ t͡ɕ e ˥
ངའི	ŋ i ˩
ཅ	t͡ɕ ɑ
ཅི	t͡ɕ i ˥
ཅིག	t͡ɕ i k̚ ˥
ཆ	t͡ɕʰ ɑ ˥
ཆ་རོགས	t͡ɕʰ ɑː ˥ r o k̚ ˩
ཆརཔ	t͡ɕʰ ɑː p ˥
ཆི་རི་ལི་ཚ	t͡ɕʰ i ˥ r i ˩ l i ˩ t͡sʰ ɑ ˥
ཆུ	t͡ɕʰ u ˥
ཆུང་ཀུ	t͡ɕʰ u ŋ ˥ k u ˩
ཇ	t͡ɕ ɑ
ཇ་ཆང	t͡ɕʰ ɑ ˩ t͡ɕʰ ɑ ŋ ˥
ཉ	ɲ ɑ
ཉི་མ	n j i ˩ m ɑ ˩
ཉིམ	n j i m ˩
ཏ	t ɑ ˥
ཏིང	t i ŋ ˥
ཐ	tʰ ɑ ˥
ཐིག	tʰ i k̚ ˥
ཐིམ་ཕུ	tʰ i m ˥ pʰ u ˥
ཐོཝ	tʰ o w ˥
ད	t ɑ ˥
དང	tʰ ɑ ˩
དངུལ	ŋ yː ˥
དངུལ་ཀྲམ	ŋ yː ˥ ʈ ɑ m ˥
དཔེ་ཆ	p e ˥ t͡ɕʰ ɑ ˥
དཔྱལཝ	p t͡ɕ ɛː w ˥
དམརཔོ	m ɑː p ˥
དྲུག	ʈʰ u k̚ ˩
ན	n ɑ ˥
ནང	n ɑ ˩
ནད	n eː ˩
ནདཔ	n e p ˩
ནཱ	n ɑː ˩
པ	p ɑ ˥
པ་ནིར	p ɑ ˥ n iː r ˩
པགས་ཀོ	p ɑ k̚ ˥ k o ˥
ཕ	pʰ ɑ
ཕད་ཅུང	pʰ e ˥ t͡ɕ u ˥
ཕར	pʰ ɑː ˥
ཕོ་ཅུངམ	pʰ o ˥ t͡ɕ u m ˥
ཕྱི་རྒྱལ	p t͡ɕʰ i ˥ k ɛː ˩
ཕྱུགཔོ	p t͡ɕʰ u p ˥
ཕྱོ	p t͡ɕʰ o ˥
བ	p ɑ ˥
བཀའ་དྲིན་ཆེ	k ɑ ˥ ʈʰ i ˩ t͡ɕʰ e ˥
བཏོན	t øː n ˥
བདུན	t yː n ˩
བཞི	p t͡ɕ i ˩
བཞི	ʑ i ˩
