Bias	b j aː s
Dublin	d y b l iː
Dublin	d y b l ĩː ŋ
Gjapon	d ʒ a p o n
Milan	m i l aː
Milan	m i l aː n
Milan	m i r aː n
abecedari	a b e t ʃ e d aː r i
abecee	a b e t ʃ e e
acetà	a t͡ʃ e t a
acqua	a k k w a
agn	a ɲ
agost	a ɡ o s t
agust	a ɡ u z t
agust	a ɡ u ʃ t
aj	a j
alga	a l ɡ a
altar	a l t ɑː r
altezza	a l t ɛ s a
amis	a m iː z
an'	a ŋ
anc	a ŋ k
anca	a n k a
anca	a ŋ k a
ann	a nː
arzella	a r z ɛ l a
asee	a s eː
asee	a z eː
assa	a s a
autor	a w t uː r
ava	a v a
avost	a v o s t
avost	v o s t
bambó	b a m b u
bandì	b ãː d i
bombon	b ũː b ũː
botanica	b u t a n i c a
brusà	b r y z a
brut	b r y t
bröö	b r øː
bus	b yː s
büseca	b y z ɛ k a
büsecch	b y z ɛ kː
cadrega	k a d r eː ɡ a
cadregh	k a d r eː k
calendari	k a l ẽː d ɒː r i
calepin	k a l e p iː ŋ
calà	k a l a
candila	k ãː d i l a
canp	k a m p o
canp	k a n p
canp	k e n p
canp	t ʃ a n p
cantant	k ãː t ãː t
cantarà	k ãː t a r a
cantà	k ãː t a
capacità	k a p a t͡ʃ i t a
carna	k a r n a
categoria	k a t e ɡ u r i a
cavall	k a a l
cavall	k a v a l
cazzoeula	k a s øː l a
cazzoeull	k a s ø l
cazzoeull	k a s œ l
cazzoeura	k a t s øː r a
celebrà	t͡ʃ e l e b r a
chest	k e s t
chesta	k e s t a
cheste	k e s t e
chestj	k e s t ʃ
ciapà	t͡ʃ a p a
citâ	t ʃ i t aː
cià	t ʃ a
cjapa	t ʃ a p a
cjape	t ʃ a p e
client	k l i ɛ n t
cliente	k l i ɛ n t
cliente	k l i ɛ n t e
cliente	k l i ɛ n t i
clientj	k l i ɛ n t
clientj	k l i ɛ n t ʃ
colomb	k o l o m b
colomba	k o l o m b a
cond	k o n d e
cond	k o n d̥
confessà	k ũː f e s a
confortà	k ũː f u r t a
confrontà	k ũː f r ũː t a
consens	k ũː s ẽː s
controllà	c o n t r o l a
corall	k u r a l
corda	k ɔ r d a
creà	k r e a
criticà	k r i t i k a
cros	k r uː s
crosta	k r u s t a
cuatro	k w a t r o
cudega	k u d e ɡ a
cuest	kʷ e s t
cuesta	kʷ e s t a
cueste	kʷ e s t e
cuestj	kʷ e s t ʃ
cui	k yː i
cul	k yː l
culata	k y l a t a
culaton	k y l a t oː n
cuàter	k w a t e r
còrp	k ɔː r p
còrp	k ɔː r p o
cœur	k ø r
cœur	k ɔ r
d'acòrdi	d a k o r d e
d'acòrdi	d a k o r d i
dea	d ɛ a
decision	d e t͡ʃ i s j ũː
dee	d eː
definì	d e f i n i
deja	d ɛ j a
deje	d ɛ i
des	d e s
destin	d e s t ĩː
dia	d i a
distanza	d i s t a n t s a
dizionari	d i t s j o n aː r i
document	d o k y m ẽː t
documentà	d o k y m ẽː t a
doman	d o m a
doman	d u m a ŋ
dotor	d u t uː r
dotora	d u t uː r a
dotà	d u t a
dur	d yː r
dura	d yː r a
eclesiastich	e k l e s j a s t i k
elefant	e l e f ãː t
elf	ɛ l f
elfa	ɛ l f a
elfe	ɛ l f
elfe	ɛ l f e
esili	e z iː l i
estiv	e s t iː f
euv	øː v
fagott	f a ɡ ɔ tː
feura	f øː r a
feura	f ɔː r a
fidegh	f i d e k
fomen	f ɔ m ə n
fomna	f o m n a
fomna	f ɔ m n a
fomne	f o m n e
fonsg	f ũː ʒ
formai	f u r m a i
formenton	f u r m e n t u n
fradell	f r a d e l
fradell	f r a d eː l
fradèi	f r a d e j
fradèi	f r a d eː j
fregg	f r ɛ t͡ʃ
freggia	f r ɛ d͡ʒ a
frut	f r y t
frut	f r ø t
fèr	f ɛ r
fèr	f ɛː r
gasà	ɡ a z a
gat	ɡ a t
gatj	ɡ a t
gatt	ɡ a t
gay	ɡ e i
gema	d͡ʒ ɛ m a
gera	d͡ʒ e r a
gera	d͡ʒ ɛ r a
giambon	ʒ a m b u ŋː
gioven	d͡ʒ u e n
gioven	d͡ʒ u i n
gioven	z u e n
giovena	d͡ʒ u e n a
giovena	d͡ʒ u i n a
giovena	z u e n a
gnan'	ɲ a ŋ
gnanc	ɲ a ŋ k
gnanca	ɲ a ŋ k a
goma	ɡ o m a
gombet	ɡ o m b e t
gombet	ɡ o m b e t ʃ
gombet	ɡ o m b i
gombet	ɡ o m e t
gombet	ɡ o m i
gombet	ɡ y m b e t
gome	ɡ o m
gome	ɡ o m e
governà	ɡ u v e r n a
grass	ɡ r a s
gómbet	ɡ o m b e t
gómbet	ɡ o m b e t ʃ
gómbet	ɡ u m b e t
gómbet	ɡ y m b e t
imperador	ĩː p e r a d uː r
in	e n
in	i n
in	i ŋ
incoeu	i ŋ k øː
incoronà	ĩː k u r u n a
ind	e n d e
ind	i n d̥
ind	i ŋ d̥
indicà	ĩː d i k a
indù	ĩː d u
informà	ĩː f u r m a
ingles	a ŋ ɡ l eː s
ingles	i ŋ ɡ l eː s
italian	i t a l j ãː
jald	d͡ʒ a l d
jald	z a l d
jalda	d͡ʒ a l d ɐ
jalda	z a l d ɐ
jalde	d͡ʒ a l d
jalde	d͡ʒ a l d e
jalde	z a l d e
jer	d ʒ eː ɾ
