A	a
AIDS	â j t s
Albānija	a l b āː n i j a
Amerika	a m ɛ ɾ i k a
Andora	a n d oː ɾ a
Anglija	ā ŋ ɡ l i j a
Auns	à w n s
B	b
Brazīlija	b ɾ a z īː l i j a
C	t s
Cēsis	t s ēː s i s
D	d
Daugava	d à w ɡ a v a
Daugavpils	d à w ɡ à w p i l s
E	æ
E	ɛ
Engure	ǣ ŋ ɡ u ɾ ɛ
F	f
G	ɡ
I	i
J	j
Jānis	j āː n i s
Jūrmala	j ūː ɾ m a l a
K	k
L	l
Latvija	l a t v i j a
Lauva	l ā w v a
Liepāja	l ì e p ā j a
Lietuva	l ī ɛ̄ t u v a
M	m
Mežāzis	m ɛ ʒ âː z i s
Monako	m o n a k oː
Monako	m o n aː k oː
N	n
Nīla	n īː l a
O	o
O	oː
P	p
R	ɾ
Rēzekne	ɾ ɛ̄ː z ɛ k n ɛ
Rīga	ɾ īː ɡ a
S	s
T	t
U	u
Ungurs	ū ŋ ɡ u ɾ s
V	v
Valmiera	v à l m ī ɛ̄ ɾ a
Venta	v ǣ n t a
Ventspils	v æ̀ n t s p i l s
Vidzeme	v i d z e m e
Vērsis	v ɛ̀ː r s i s
Vēzis	v ɛ̂ː z i s
Z	z
Zeme	z ɛ m ɛ
abi	a b i
abinieks	a b i n i ɛ k s
ablatīvs	a b l a t iː v s
abstrakts	a b s t ɾ a k t s
abstraktums	a b s t ɾ a k t u m s
acs	a t s
acīgais	a t s iː ɡ a i s
acīgs	a t s iː ɡ s
acīgākais	a t s iː ɡ aː k a i s
acīgāks	a t s iː ɡ aː k s
adenīns	a d ɛ n iː n s
administratore	a d m i n i s t r a t oː ɾ ɛ
administratore	a d m i n i s t r aː t oː ɾ ɛ
administrators	a d m i n i s t ɾ a t o ɾ s
admirālis	a d m i ɾ aː l i s
adīt	a d îː t
adīšana	a d îː ʃ a n a
afrikānietis	a f r i k āː n i ɛ t i s
afrikānietis	āː f r i k āː n i ɛ t i s
afrikānis	a f ɾ i k āː n i s
afrikānis	āː f ɾ i k āː n i s
afrikānisks	a f r i k āː n i s k s
afrikānisks	āː f r i k āː n i s k s
agrs	a ɡ ɾ s
agrums	a ɡ ɾ u m s
aicināt	a î t s i n âː t
aicināt	ā ī t s i n âː t
airis	ā ī ɾ i s
aisbergs	a i s b æ ɾ ɡ s
aita	à j t a
aiz	à j s
aizdusa	à j z d u s a
aizgalds	à j z ɡ â l t s
aizmirst	à j z m ì ɾ s t
aizmārša	à i z m àː ɾ ʃ a
aizparīt	à j z p a ɾ îː t
aizspriedums	à j s p ɾ i ɛ̂ d u m s
aizstāvēt	a j s t āː v ɛ̂ː t
aizvakar	à j z v a k a r
aizvakardiena	à j z v a k a ɾ d ì ɛ n a
akcents	a k t s ɛ n t s
akls	a k l s
aklums	a k l u m s
akmens	a k m ɛ n s
aknas	a k n a s
akrotērijs	a k ɾ o t æː ɾ i j s
akts	a k t s
aktīnijs	a k t īː n i j s
akustika	a k u s t i k a
akustisks	a k u s t i s k s
akustiķe	a k u s t i c e
akvedukts	a k v ɛ d u k t s
akvārijs	a k v aː ɾ i j s
ala	a l a
albāniete	a l b āː n i ɛ t ɛ
albānis	a l b āː n i s
alfabēts	ā l f a b ɛ̄ː t͡s
algebra	a l ɡ ɛ b ɾ a
