A	ʔ aː ˧˧
a còng	ʔ aː ˧˧ k a w ŋ͡m ˨˩
A Di Đà	ʔ aː ˧˧ z i ˧˧ ʔ ɗ aː ˨˩
A Di Đà Phật	ʔ aː ˧˧ z i ˧˧ ʔ ɗ aː ˨˩ f ə t̚ ˧˨ ʔ
a dua	ʔ aː ˧˧ z u ə ˧˧
a giao	ʔ aː ˧˧ z aː w ˧˧
a ha	ʔ aː ˧˧ h aː ˧˧
a hoàn	ʔ aː ˧˧ h w aː n ˨˩
a la xô	ʔ aː ˧˧ l aː ˧˧ s o ˧˧
A Lịch Sơn	ʔ aː ˧˧ l ï k̟̚ ˧˨ ʔ s əː n ˧˧
A Lịch Sơn Đắc Lộ	ʔ aː ˧˧ l ï k̟̚ ˧˨ ʔ s əː n ˧˧ ʔ ɗ a k̚ ˧˦ l o ˧˨ ʔ
A Lưới	ʔ aː ˧˧ l ɨ ə j ˧˦
a men	ʔ aː ˧˧ m ɛ n ˧˧
a móc	ʔ aː ˧˧ m a w k͡p̚ ˧˦
a phiến	ʔ aː ˧˧ f i ə n ˧˦
A Phú Hãn	ʔ aː ˧˧ f u ˧˦ h aː n ˦ˀ˥
A Q	ʔ aː ˧˧ k w i ˧˧
A Sào	ʔ aː ˧˧ s aː w ˨˩
a tòng	ʔ aː ˧˧ t a w ŋ͡m ˨˩
A Tu La	ʔ aː ˧˧ t u ˧˧ l aː ˧˧
A Tư Đà	ʔ aː ˧˧ t ɨ ˧˧ ʔ ɗ aː ˨˩
à	ʔ aː ˨˩
À	ʔ aː ˨˩
à thế à	ʔ aː ˨˩ tʰ e ˧˦ ʔ aː ˨˩
à uôm	ʔ aː ˨˩ ʔ u ə m ˧˧
Ả	ʔ aː ˧˩
ả	ʔ aː ˧˩
ả đào	ʔ aː ˧˩ ʔ ɗ aː w ˨˩
ả đầu	ʔ aː ˧˩ ʔ ɗ ə w ˨˩
Ả Rập	ʔ aː ˧˩ ɹ ə p̚ ˧˨ ʔ
Ả Rập	ʔ aː ˧˩ z ə p̚ ˧˨ ʔ
Ả Rập Xê Út	ʔ aː ˧˩ z ə p̚ ˧˨ ʔ s e ˧˧ ʔ u t̚ ˧˦
Ã	ʔ aː ˦ˀ˥
ã	ʔ aː ˦ˀ˥
á	ʔ aː ˧˦
Á	ʔ aː ˧˦
á à	ʔ aː ˧˦ ʔ aː ˨˩
Á Căn Đình	ʔ aː ˧˦ k a n ˧˧ ʔ ɗ ï ŋ ˨˩
Á châu	ʔ aː ˧˦ t͡ɕ ə w ˧˧
Á Đông	ʔ aː ˧˦ ʔ ɗ ə w ŋ͡m ˧˧
á đù	ʔ aː ˧˦ ʔ ɗ u ˨˩
á hậu	ʔ aː ˧˦ h ə w ˧˨ ʔ
á hoá thạch	ʔ aː ˧˦ h w aː ˧˦ tʰ a j k̟̚ ˧˨ ʔ
á khẩu	ʔ aː ˧˦ x ə w ˧˩
á khoa	ʔ aː ˧˦ x w aː ˧˧
á khôi	ʔ aː ˧˦ x o j ˧˧
á kim	ʔ aː ˧˦ k i m ˧˧
á nhiệt đới	ʔ aː ˧˦ ɲ i ə t̚ ˧˨ ʔ ʔ ɗ əː j ˧˦
á phiện	ʔ aː ˧˦ f i ə n ˧˨ ʔ
á quân	ʔ aː ˧˦ k w ə n ˧˧
Á rập	ʔ aː ˧˦ z ə p̚ ˧˨ ʔ
á sừng	ʔ aː ˧˦ s ɨ ŋ ˨˩
Á Tế Á	ʔ aː ˧˦ t e ˧˦ ʔ aː ˧˦
á thánh	ʔ aː ˧˦ tʰ a j ŋ̟ ˧˦
á thần	ʔ aː ˧˦ tʰ ə n ˨˩
Á Vận Hội	ʔ aː ˧˦ v ə n ˧˨ ʔ h o j ˧˨ ʔ
Ạ	ʔ aː ˧˨ ʔ
ạ	ʔ aː ˧˨ ʔ
ác	ʔ aː k̚ ˧˦
ác bá	ʔ aː k̚ ˧˦ ʔ ɓ aː ˧˦
ác cái là	ʔ aː k̚ ˧˦ k aː j ˧˦ l aː ˨˩
ác cảm	ʔ aː k̚ ˧˦ k aː m ˧˩
ác chiến	ʔ aː k̚ ˧˦ t͡ɕ i ə n ˧˦
ác đấu	ʔ aː k̚ ˧˦ ʔ ɗ ə w ˧˦
ác độc	ʔ aː k̚ ˧˦ ʔ ɗ ə w k͡p̚ ˧˨ ʔ
ác đức	ʔ aː k̚ ˧˦ ʔ ɗ ɨ k̚ ˧˦
ác giả ác báo	ʔ aː k̚ ˧˦ z aː ˧˩ ʔ aː k̚ ˧˦ ʔ ɓ aː w ˧˦
ác hại	ʔ aː k̚ ˧˦ h aː j ˧˨ ʔ
ác hiểm	ʔ aː k̚ ˧˦ h i ə m ˧˩
ác khẩu	ʔ aː k̚ ˧˦ x ə w ˧˩
ác là	ʔ aː k̚ ˧˦ l aː ˨˩
ác liệt	ʔ aː k̚ ˧˦ l i ə t̚ ˧˨ ʔ
ác miệng	ʔ aː k̚ ˧˦ m i ə ŋ ˧˨ ʔ
ác mộng	ʔ aː k̚ ˧˦ m ə w ŋ͡m ˧˨ ʔ
ác một cái là	ʔ aː k̚ ˧˦ m o t̚ ˧˨ ʔ k aː j ˧˦ l aː ˨˩
ác nghiệt	ʔ aː k̚ ˧˦ ŋ i ə t̚ ˧˨ ʔ
ác nhân	ʔ aː k̚ ˧˦ ɲ ə n ˧˧
ác nhân sát đức	ʔ aː k̚ ˧˦ ɲ ə n ˧˧ s aː t̚ ˧˦ ʔ ɗ ɨ k̚ ˧˦
ác như hùm	ʔ aː k̚ ˧˦ ɲ ɨ ˧˧ h u m ˨˩
ác ôn	ʔ aː k̚ ˧˦ ʔ o n ˧˧
ác quả	ʔ aː k̚ ˧˦ k w aː ˧˩
ác quỷ	ʔ aː k̚ ˧˦ k w i ˧˩
ác tà	ʔ aː k̚ ˧˦ t aː ˨˩
ác tăng	ʔ aː k̚ ˧˦ t a ŋ ˧˧
ác tâm	ʔ aː k̚ ˧˦ t ə m ˧˧
ác tật	ʔ aː k̚ ˧˦ t ə t̚ ˧˨ ʔ
ác thú	ʔ aː k̚ ˧˦ tʰ u ˧˦
ác tính	ʔ aː k̚ ˧˦ t ï ŋ ˧˦
ác vàng	ʔ aː k̚ ˧˦ v aː ŋ ˨˩
ác ý	ʔ aː k̚ ˧˦ ʔ i ˧˦
acc	ʔ a k̚ ˧˨ ʔ
ACE	ʔ a j ŋ̟ ˧˧ t͡ɕ i ˧˨ ʔ ʔ ɛ m ˧˧
ách	ʔ a j k̟̚ ˧˦
ách nạn	ʔ a j k̟̚ ˧˦ n aː n ˧˨ ʔ
ách nô lệ	ʔ a j k̟̚ ˧˦ n o ˧˧ l e ˧˨ ʔ
ách tắc	ʔ a j k̟̚ ˧˦ t a k̚ ˧˦
ách vận	ʔ a j k̟̚ ˧˦ v ə n ˧˨ ʔ
ạch	ʔ a j k̟̚ ˧˨ ʔ
actini	ʔ aː k̚ ˧˦ t i ˧˧ n i ˧˧
ad	ʔ aː t̚ ˧˦
ADN	ʔ aː ˧˧ ʔ ɗ e ˧˧ ʔ ɛ n ˧˧
adrenalin	ʔ aː ˧˧ ʔ ɗ ɹ e ˧˧ n aː ˧˧ l i n ˧˧
ađênôzin	ʔ aː ˧˧ ʔ ɗ e ˧˧ n o ˧˧ z i n ˧˧
ađênôzin triphotphat	ʔ aː ˧˧ ʔ ɗ e ˧˧ n o ˧˧ z i n ˧˧ t ɹ i ˧˧ f o t̚ ˧˦ f aː t̚ ˧˦
agon	ʔ aː ˧˧ ɣ ə w ŋ͡m ˧˧
agon	ʔ aː k̚ ˧˦ ɣ ə w ŋ͡m ˧˧
agon	ʔ aː k̚ ˧˨ ʔ ɣ ə w ŋ͡m ˧˧
ai	ʔ aː j ˧˧
AI	ʔ ə j ˧˧ ʔ aː j ˧˧
ai ai	ʔ aː j ˧˧ ʔ aː j ˧˧
ai bảo	ʔ aː j ˧˧ ʔ ɓ aː w ˧˩
Ai Ca	ʔ aː j ˧˧ k aː ˧˧
Ai Cập	ʔ aː j ˧˧ k ə p̚ ˧˨ ʔ
Ai Cập cổ đại	ʔ aː j ˧˧ k ə p̚ ˧˨ ʔ k o ˧˩ ʔ ɗ aː j ˧˨ ʔ
ai dè	ʔ aː j ˧˧ z ɛ ˨˩
ai điếu	ʔ aː j ˧˧ ʔ ɗ i ə w ˧˦
ai đó	ʔ aː j ˧˧ ʔ ɗ ɔ ˧˦
ai đời	ʔ aː j ˧˧ ʔ ɗ əː j ˨˩
ai khảo mà xưng	ʔ aː j ˧˧ x aː w ˧˩ m aː ˨˩ s ɨ ŋ ˧˧
Ai Lao	ʔ aː j ˧˧ l aː w ˧˧
ai mượn	ʔ aː j ˧˧ m ɨ ə n ˧˨ ʔ
ai nấy	ʔ aː j ˧˧ n ə j ˧˦
ai ngờ	ʔ aː j ˧˧ ŋ əː ˨˩
ai oán	ʔ aː j ˧˧ ʔ w aː n ˧˦
AI tạo sinh	ʔ ə j ˧˧ ʔ aː j ˧˧ t aː w ˧˨ ʔ s ï ŋ ˧˧
ải	ʔ aː j ˧˩
ải quan	ʔ aː j ˧˩ k w aː n ˧˧
ải thâm	ʔ aː j ˧˩ tʰ ə m ˧˧
ái	ʔ aː j ˧˦
ái ân	ʔ aː j ˧˦ ʔ ə n ˧˧
ái chà	ʔ aː j ˧˦ t͡ɕ aː ˨˩
ái dà	ʔ aː j ˧˦ z aː ˨˩
ái hữu	ʔ aː j ˧˦ h i w ˦ˀ˥
ái khanh	ʔ aː j ˧˦ x a j ŋ̟ ˧˧
ái lực	ʔ aː j ˧˦ l ɨ k̚ ˧˨ ʔ
ái mộ	ʔ aː j ˧˦ m o ˧˨ ʔ
ái nam ái nữ	ʔ aː j ˧˦ n aː m ˧˧ ʔ aː j ˧˦ n ɨ ˦ˀ˥
ái ngại	ʔ aː j ˧˦ ŋ aː j ˧˨ ʔ
Ái Nghĩa	ʔ aː j ˧˦ ŋ i ə ˦ˀ˥
ái ngữ	ʔ aː j ˧˦ ŋ ɨ ˦ˀ˥
Ái Nhĩ Lan	ʔ aː j ˧˦ ɲ i ˦ˀ˥ l aː n ˧˧
ái nữ	ʔ aː j ˧˦ n ɨ ˦ˀ˥
ái phi	ʔ aː j ˧˦ f i ˧˧
ái quần	ʔ aː j ˧˦ k w ə n ˨˩
ái quốc	ʔ aː j ˧˦ k u ə k̚ ˧˦
Ái quốc ca	ʔ aː j ˧˦ k u ə k̚ ˧˦ k aː ˧˧
Ái Tân Giác La	ʔ aː j ˧˦ t ə n ˧˧ z aː k̚ ˧˦ l aː ˧˧
ái tình	ʔ aː j ˧˦ t ï ŋ ˨˩
album	ʔ aː n ˧˧ ʔ ɓ ɔ m ˧˧
album	ʔ aː n ˧˧ ʔ ɓ u m ˧˧
Alexanđê	ʔ aː ˧˧ l ɛ k̚ ˧˦ s aː n ˧˧ ʔ ɗ e ˧˧
alô	ʔ aː ˧˧ l o ˧˧
alpha	ʔ aː n ˧˧ f aː ˧˧
am	ʔ aː m ˧˧
am hiểu	ʔ aː m ˧˧ h i ə w ˧˩
am thanh cảnh vắng	ʔ aː m ˧˧ tʰ a j ŋ̟ ˧˧ k a j ŋ̟ ˧˩ v a ŋ ˧˦
am tường	ʔ aː m ˧˧ t ɨ ə ŋ ˨˩
ảm	ʔ aː m ˧˩
ảm đạm	ʔ aː m ˧˩ ʔ ɗ aː m ˧˨ ʔ
ám	ʔ aː m ˧˦
ám ảnh	ʔ aː m ˧˦ ʔ a j ŋ̟ ˧˩
ám chỉ	ʔ aː m ˧˦ t͡ɕ i ˧˩
ám hại	ʔ aː m ˧˦ h aː j ˧˨ ʔ
ám hiệu	ʔ aː m ˧˦ h i ə w ˧˨ ʔ
ám khí	ʔ aː m ˧˦ x i ˧˦
ám muội	ʔ aː m ˧˦ m u ə j ˧˨ ʔ
ám quẻ	ʔ aː m ˧˦ k w ɛ ˧˩
ám sát	ʔ aː m ˧˦ s aː t̚ ˧˦
ám tả	ʔ aː m ˧˦ t aː ˧˩
ám thị	ʔ aː m ˧˦ tʰ i ˧˨ ʔ
ám tiêu	ʔ aː m ˧˦ t i ə w ˧˧
Ambrôsiô	ʔ aː m ˧˧ ʔ ɓ ɹ o ˧˧ s i ˧˧ ʔ o ˧˧
amen	ʔ aː ˧˧ m ɛ n ˧˧
amerixi	ʔ aː ˧˧ m e ˧˧ ɹ i ˧˧ s i ˧˧
amerixi	ʔ aː ˧˧ m e ˧˧ z i ˧˧ s i ˧˧
amidan	ʔ aː ˧˧ m i ˧˧ ʔ ɗ aː n ˧˧
amoni	ʔ aː ˧˧ m o ˧˧ n i ˧˧
amoniac	ʔ aː ˧˧ m o ˧˧ n i ˧˧ ʔ a k̚ ˧˦
ampe	ʔ aː m ˧˧ p ɛ ˧˧
ampe kế	ʔ aː m ˧˧ p ɛ ˧˧ k e ˧˦
ampli	ʔ aː m ˧˧ p l i ˧˧
amply	ʔ ə m ˧˧ l i ˧˧
an	ʔ aː n ˧˧
An	ʔ aː n ˧˧
an bài	ʔ aː n ˧˧ ʔ ɓ aː j ˨˩
an bần lạc đạo	ʔ aː n ˧˧ ʔ ɓ ə n ˨˩ l aː k̚ ˧˨ ʔ ʔ ɗ aː w ˧˨ ʔ
an cư lạc nghiệp	ʔ aː n ˧˧ k ɨ ˧˧ l aː k̚ ˧˨ ʔ ŋ i ə p̚ ˧˨ ʔ
