ё	j ɵ
ёнарˮ	j ɵ n ʌ rˀ
ёря	j ɵ rʲ ɐ
ёхось	j ɵ ɣ o sʲ ə̥
ёхось	j ɵ ɣ o sʲ
автобус	ŋ ʌ w t o b u s ə̥
автобус	ŋ ʌ w t o b u s
автобус	ʌ w t o b u s ə̥
автобус	ʌ w t o b u s
акула	ŋ ʌ k u ɫ ʌ
акула	ʌ k u ɫ ʌ
ваˮ	w ʌ ʔ
ваˮав	w ʌ ʔ ə w ə̥
ваˮав	w ʌ ʔ ə w
ваˮавондась	w ʌ ʔ ə w o n d ə sʲ ə̥
ваˮавондась	w ʌ ʔ ə w o n d ə sʲ
вабтась	w ʌ b t ʌ sʲ ə̥
вабтась	w ʌ b t ʌ sʲ
вабц	w ʌ b t͡s ə̥
вабц	w ʌ b t͡s
вада	w ʌ d ʌ
вада	w ə d ə
вадако	w ʌ d ʌ k o
вадари	w ʌ d ʌ rʲ i
вадисей	w ʌ dʲ i sʲ e j ə̥
вадисей	w ʌ dʲ i sʲ e j
ванё	w ə nʲ ɵ
ванга	w ʌ ŋ ɡ ʌ
вандако	w ʌ n d ʌ k o
ванебтесь	w ə nʲ e b tʲ e sʲ ə̥
ванебтесь	w ə nʲ e b tʲ e sʲ
ванесь	w ʌ nʲ e sʲ ə̥
ванесь	w ʌ nʲ e sʲ
ванз	w ə n z ə̥
ванз	w ə n z
вано	w ʌ n o
ваноёнзь	w ʌ n o j ɵ n zʲ ə̥
ваноёнзь	w ʌ n o j ɵ n zʲ
вар	w ʌ r ə̥
вар	w ʌ r
варˮ	w ə rˀ
варав	w ə r ʌ w ə̥
варав	w ə r ʌ w
варась	w ə r ʌ sʲ ə̥
варась	w ə r ʌ sʲ
вардесь	w ə r dʲ e sʲ ə̥
вардесь	w ə r dʲ e sʲ
варибтесь	w ə rʲ i b tʲ e sʲ ə̥
варибтесь	w ə rʲ i b tʲ e sʲ
варилибтесь	w ə rʲ i lʲ i b tʲ e sʲ ə̥
варилибтесь	w ə rʲ i lʲ i b tʲ e sʲ
варк	w ə r k ə̥
варк	w ə r k
варкабтась	w ə r k ʌ b t ʌ sʲ ə̥
варкабтась	w ə r k ʌ b t ʌ sʲ
варкатёсь	w ʌ r k ʌ tʲ ɵ sʲ ə̥
варкатёсь	w ʌ r k ʌ tʲ ɵ sʲ
варомзь	w ə r o m zʲ ə̥
варомзь	w ə r o m zʲ
варты	w ʌ r t ɨ
вархы	w ʌ r x ɨ
варцавэй	w ə r t͡s ʌ w æ j ə̥
варцавэй	w ə r t͡s ʌ w æ j
варцяда	w ə r t͡sʲ ə d ʌ
варцяламзь	w ə r t͡sʲ ɐ ɫ ə m zʲ ə̥
варцяламзь	w ə r t͡sʲ ɐ ɫ ə m zʲ
варцялмдесь	w ə r t͡sʲ ɐ ɫ m dʲ e sʲ ə̥
варцялмдесь	w ə r t͡sʲ ɐ ɫ m dʲ e sʲ
вары	w ʌ r ɨ
варӈэ	w ʌ r ŋ æ
васадась	w ə s ʌ d ʌ sʲ ə̥
васадась	w ə s ʌ d ʌ sʲ
васаруй	w ə s ə r u j ə̥
васаруй	w ə s ə r u j
васкуй	w ə s k u j ə̥
васкуй	w ə s k u j
вата	w ə t ʌ
вато	w ʌ t o
ваторась	w ʌ t o r ə sʲ ə̥
