Aagos	aː ɡ o s
aal	aː l
aatagrafi	aː t a ɡ ɹ a f ɪ
abeng	æ b ɛ ŋ
abeng	æ b ɛ ŋ
Accompong	a k ʌ m p ʌ ŋ
ackee	a k ɪ
affi	a f ɪ
afi	a f ɪ
aks	ɑː k s
aks	ɔː k s
Aktuoba	a k t ʊ̯ o b a
alaiv	a l a ɪ v
Anansi	a n a n s i
andastan	a n d a s t a n
anedda	a n ɛ d a
anuh	a n ʌ
apm	a p m̩
arself	a ɹ s e l f
baal	b aː l
baan	b aː n
Babylon	b a b ɪ l a n
bada	b a d a
badi	b a d i
bak	b a k
bakra	b a k r a
bammy	b a m i
bandwagonist	b a n w a ɡ a n ɪ s
bankra	b a ŋ k r a
banton	b a n t a n
baptaiz	b a p t a ɪ̯ z
bara	b ɑː r a
baro	b ɑː r ʌ
baro	b ɑː r a
bat	b a t
batty	b a t ɪ
beks	b e k s
bex	v ɛ k s
biesik	b ɪ ɛ s ɪ k
bifuo	b ɪ f u o
big	b ɪ ɡ
biliiv	b i l iː v
bills	b ɪ l z
bloodclaat	b l ʌ d k l ɑː t
bobi	b o b i
bomboclaat	b ʌ m b ʌ k l ɑː t
boops	b ʊ p s
boots	b uː t s
bot	b o t
bowcat	b ɔ ʊ̯ kʲ a t
bredda	b r ɛ d a
brinks	b ɹ ɪ ŋ k s
browning	b ɹ ɔ ʊ̯ n ɪ n
bruck	b ɹ ʌ k
buguyaga	b u ɡ u j a ɡ a
buk	b ʊ k
bumbo	b ʌ m b ʌ
butu	b ʊ t ʊ
bwoy	b w a ɪ
calaban	k a l a b a n
canna	k a n ə
carochies	k a ɹʷ oː t͡ʃ ɪ z
carochies	k ʌ ɹʷ oː t͡ʃ ɪ z
cerasee	s ʌ ɹ s ɪ
cerasee	s ɜ ɹ s ɪ
cerfiticket	s ʌ ɹ f ɪ t ɪ k ɛ t
cerfiticket	s ɝ f ɪ t ɪ k ɛ t
chargie	t͡ʃ ɑː d͡ʒ ɪ
chat	t͡ʃ a t
choch	t͡ʃ o t͡ʃ
chos	t͡ʃ o s
chrai	t͡ʃ ɹ a ɪ̯
chrang	t͡ʃ ɹ a ŋ
chrezha	t͡ʃ r e ʒ a
chrii	t͡ʃ ɹ iː
chrii	t͡ʃ iː
chriit	t͡ʃ r iː t
