က	k a̰
ကကုသန်	k a̰ k ṵ θ à ɴ
ကကုသန်ဘုရား	k a̰ k ṵ θ à ɴ pʰ ə j á
ကက်စီနို	k ɛ ʔ s ì n ò
ကက်ဆက်	k ɛ ʔ sʰ ɛ ʔ
ကက်တလောက်	k ɛ ʔ t ə l a ʊ ʔ
ကက်ပတိန်	k ɛ ʔ p ə t è ɪ ɴ
ကက်ဗိနက်	k ɛ ʔ b ḭ n ɛ ʔ
ကက်သလစ်	k ɛ ʔ θ ə l ɪ ʔ
ကကြီး	k a̰ d͡ʑ í
ကချင်	k ə t͡ɕʰ ɪ̀ ɴ
ကချလာ	k ə t͡ɕʰ ə l à
ကချေသည်	k a̰ d͡ʑ è ð è
ကင်	k ɪ̀ ɴ
ကင်ဆာ	k ɪ̀ ɴ sʰ à
ကင်ဆာရောဂါ	k ɪ̀ ɴ sʰ à j ɔ́ ɡ à
ကင်ညာ	k ɪ̀ ɴ ɲ à
ကင်ပွန်း	k ɪ̀ ɴ b ʊ́ ɴ
ကင်ပွန်းချဉ်	k ɪ̀ ɴ b ʊ́ ɴ d͡ʑ ɪ̀ ɴ
ကင်ဘာရာ	k ɪ̀ ɴ b à ɹ à
ကင်မရာ	k ɪ̀ ɴ m ə ɹ à
ကင်မရွန်း	k ɪ̀ ɴ m a̰ ɹ ʊ́ ɴ
ကင်း	k ɪ́ ɴ
ကင်းခြေများ	k ɪ́ ɴ t͡ɕ ì m j á
ကင်းစီး	k ɪ́ ɴ s í
ကင်းထောက်လေယာဉ်	k ɪ́ ɴ d a ʊ ʔ l è j ɪ̀ ɴ
ကင်းပုံ	k ɪ́ ɴ b ò ʊ ɴ
ကင်းမြီးကောက်	k ɪ́ ɴ m j í ɡ a ʊ ʔ
ကင်းမွန်	k ɪ́ ɴ m ʊ̀ ɴ
ကစား	ɡ ə z á
ကစားကွင်း	ɡ ə z á ɡ w ɪ́ ɴ
ကစားစရာ	ɡ ə z á z ə j à
ကစားသမား	ɡ ə s á ð ə m á
ကစီ	ɡ ə z ì
ကစီဓာတ်	ɡ ə z ì d a ʔ
ကစ္ဆပနဒီ	k ɪ ʔ sʰ a̰ p ə n ə d ì
ကဆုန်	k ə sʰ ò ʊ ɴ
ကဆုန်လပြည့်နေ့	k ə sʰ ò ʊ ɴ l a̰ p j ḭ n ḛ
ကညာ	k ə ɲ à
ကညွတ်	k ə ɲ ʊ ʔ
ကညွတ်ရိုး	k ə ɲ ʊ ʔ j ó
ကဏန်း	ɡ ə n á ɴ
ကဏ္ဍ	k à n d a̰
ကတညုတ	k ə t ɪ̀ ɴ ɲ ṵ t a̰
ကတည်းက	ɡ ə d ɛ́ ɡ a̰
ကတိ	ɡ ə d ḭ
ကတုတ်	ɡ ə d o ʊ ʔ
ကတုတ်ကျင်း	ɡ ə d o ʊ ʔ t͡ɕ ɪ́ ɴ
ကတော့	ɡ ə d ɔ̰
ကတော်	ɡ ə d ɔ̀
ကတ္တား	k a ʔ t á
ကတ္တီပါ	ɡ ə d ì b à
ကတ်	k a ʔ
ကတ်ကြေး	k a ʔ t͡ɕ í
ကတ်ကြေးကိုက်	k a ʔ t͡ɕ í k a ɪ ʔ
ကတ်ပြား	k a ʔ p j á
ကတ်သလိတ်	k a ʔ θ ə l e ɪ ʔ
