'a	ʔ a
'e	ʔ e
'u	ʔ u
Amérika	a m e ɾ i k a
Apeika	a p e i k a
Arahentína	a ɾ a h eⁿ t i n a
Chíle	ɕ i l e
Epáña	e p a ɲ ã
Jasy	d͡ʒ a s ɨ
Ka'aguasu	k a ʔ a w a s u
Kolómbia	k o l oᵐ b j a
Méhiko	m e h i k o
Paraguay	p a ɾ a w a ɨ
Paraguái	p a ɾ a w a i
Pindoráma	p iⁿ d o ɾ a m a
Tupã	t u p ã
Uruguái	u ɾ u w a i
Venesuéla	ʋ e n e s w e l a
Vikipetã	ʋ i k i p e t ã
Vikiñe'ẽndy	ʋ ĩ k ĩ ɲ ẽ ʔ ẽⁿ d ɨ̃
ae	a e
ahy'o	a h ɨ ʔ o
akã	a k ã
akãrague	ã k̃ ã ɾ̃ ã ɰ e
ama	a m ã
anana	a n a n ã
apu'a	a p u ʔ a
aramboha	a ɾ a m o h a
aramirõ	a ɾ a m i ɾ õ
aranduka	a ɾ aⁿ d u k a
arandukakuéra	a ɾ aⁿ d u k a kʷ e ɾ a
arapy	a ɾ a p ɨ
ary	a ɾ ɨ
arykuéra	a ɾ ɨ kʷ e ɾ a
asuka	a s u k a
ava	a ʋ a
avakuaaty	a ʋ a k w a a t ɨ
avati	a ʋ a t i
avañe'ẽ	ʔ ã ʋ ã ɲ ẽ ʔ ẽ
che	ɕ ɛ
che	ʃ e
chendive	ʃ e n d i ʋ e
chiri	ʃ i ɾ i
chupe	ʃ u p e
chéve	ʃ e ʋ e
ehérsito	e h e ɾ s i t o
guarani	ɡ w a ɾ a n i
guasu	w a s u
guata	ɰʷ a t a
guyrakuaaty	ɡ w ɨ ɾ a k w a a t ɨ
hague	h a ɰʷ e
haku	h a k u
hape	h a p e
hatã	h a t ã
hayhu	h a ɨ h u
he'ẽ	h e ʔ ẽ
hecha	h e ʃ a
heka	h e k a
hendu	h e n u
hesakã	h e s a k ã
hetãvore	h̃ ẽ t̃ ã ʋ̃ õ ɾ e
heẽ	h e ẽ
hikuái	h i k w a j
ho	h o
hovyngy	h o v ɨᵑ ɡ ɨ
héra	h e ɾ a
ichupe	i ʃ u p e
ikatu	i k a t u
ikatúne	i k a t u n e
ime	i m ẽ
irundy	i r u n ɨ
irũmoheñoihára	i ɾ ũ m o h e ɲ o j h a ɾ a
itasy	i t a s ɨ
jagua	d͡ʒ a ɰʷ a
jaguakuéra	d͡ʒ a w a kʷ e ɾ a
jaguarete	ʝ a ɰʷ a ɾ e t e
jaguaru	ᵈj a ɰʷ a ɾ u
jaguarundi	d ʒ a ɡ w a ɾ uⁿ d i
jakare	ʝ a k a ɾ e
japo	ʝ a p o
japu	j a p u
jarara	ʝ a ɾ a ɾ a
jasy	j a s ɨ
jerovia	ᵈj e ɾ o ʋ i a
juka	d͡ʒ u k a
juru	d͡ʒ u ɾ u
jurukuéra	d͡ʒ u ɾ u kʷ e ɾ a
juvy	j u ʋ ɨ
jyva	d͡ʒ ɨ ʋ a
jyvakuéra	d͡ʒ ɨ ʋ a kʷ e ɾ a
ka'a	k a ʔ a
ka'aguasu	k a ʔ a w a s u
ka'api	k a ʔ a p i
ka'i	k a ʔ i
kakuaa	k a k u a a
kamba	k a m a
kamby	k a m b ɨ
kambyrypy'a	k a m ɨ ɾ ɨ p ɨ ʔ a
kane'õ	k a n e ʔ õ
kangue	k a ŋ w e
karape	k a ɾ a p e
karu	k a r u
kasõ	k a s õ
kavaju	k a ʋ a d͡ʒ u
kavajukuéra	k a ʋ a d͡ʒ u kʷ e ɾ a
keha	k e x a
kichiha	k i ʃ i h a
ko'ã	k o ʔ ã
ko'ẽ	k o ʔ ẽ
ko'ẽrõ	k o ʔ ẽ ɾ̃ õ
korasõ	k o ɾ a s õ
koty	k o t ɨ
kotykuéra	k o t ɨ kʷ e ɾ a
kuaa	k w a a
kuarahy	kʷ a ɾ a x ɨ
kuarahy'ã	k w a ɾ a h ɨ ʔ ã
kuarasy	kʷ a ɾ a s ɨ
kuimba'ekuéra	kʷ iᵐ b a ʔ e kʷ e ɾ a
kuimbe	kʷ iᵐ b e
kuimbekuéra	kʷ iᵐ b e kʷ e ɾ a
kumanda	k u m a n a
kundaha	k u n a h a
kupyju	k u p ɨᵈ j u
kurekuéra	k u ɾ e kʷ e ɾ a
kurepi	k u ɾ e p i
kuña	k u ʝ ã
kuñakarai	k u ɲ a k a ɾ a i
kuñanguéra	k ũ ɲ ã ŋʷ e ɾ a
kuñataĩ	k ũ ɲ ã t a ĩ
kuñataĩnguéra	k ũ ɲ ã t a ĩ ŋʷ e ɾ a
kyha	k ɨ x a
kyre'ỹ	k ɨ ɾ e ʔ ɨ̃
kyrýu	k ɨ ɾ ɨ u
kytĩ	k ɨ t ĩ
káma	k a m a
leõ	l e õ
limõ	l i m õ
luisõ	l u i s õ
ma'ẽ	m a ʔ ẽ
mainumby	m a i n u m ɨ
mandu'a	m a n u ʔ a
mandyju	m aⁿ d ɨᵈ j u
mano	m a n õ
marandukuaaty	m a ɾ aⁿ d u k w a a t ɨ
mayma	m a ɨ m a
mba'apo	m a ʔ a p o
mba'e	m a ʔ e
mba'épa	ᵐb a ʔ e p a
mbarakaja	ᵐb a ɾ a k a d͡ʒ a
mbarakajakuéra	ᵐb a ɾ a k a d͡ʒ a kʷ e ɾ a
mbo'e	m o ʔ e
mbo'ehao	ᵐb o ʔ e h a o
mbo'ehaokuéra	ᵐb o ʔ e h a o kʷ e ɾ a
mbo'eharakuéra	ᵐb o ʔ e h a ɾ a kʷ e ɾ a
mbohapy	m o h a p ɨ
mbohéra	m o h e ɾ a
mboka	m o k a
mbopu	m o p u
mboty	m o t ɨ
mboy	m o ɨ
mbujape	ᵐb u d ʒ a p e
mburukuja	ᵐb u ɾ u k u d͡ʒ a
mbyja	ᵐb ɨ ʝ a
mbyjakuaa	ᵐb ɨ ʝ a k w a a
mbyky	m ɨ k ɨ
me	m ẽ
me'ẽ	m e ʔ ẽ
menda	m e n a
merõ	m e ɾ õ
michĩ	m ĩ ɕ̃ ĩ
mitã	m i t ã
mitãkuña	m i t ã k u ɲ a
mokõi	m o k õ j
mombyry	m o m ɨ ɾ ɨ
mombyñe'ẽporu	m ɔᵐ b ɨ ɲ ɛ ʔ ɛ̃ p ɔ ɾ u
monda	m o n a
monde	m o n e
mondo	m o n o
mopu'ã	m o p u ʔ ã
mymba	m ɨ m a
ména	m e n a
nahániri	n a h a n i ɾ i
nambi	n a m i
narã	n a ɾ ã
ndaje	ⁿd aᵈ j e
nde	n d e
okambúva	o k aᵐ b u ʋ a
okẽ	o k ẽ
opy	o p ɨ
ore	o ɾ e
oréve	o ɾ e ʋ e
pakova	p a k o ʋ a
pakovakuéra	p a k o ʋ a kʷ e ɾ a
panambi	p a n a m i
papapykuaa	p a p a p ɨ kʷ a a
pepo'atã	p e p o ʔ a t ã
peteĩ	p e t e ĩ
petỹ	p e t ɨ̃
peẽ	p e ẽ
peẽme	p e ẽ m e
pindo	p i n o
pirakuaaty	p i ɾ a k w a a t ɨ
pirakuéra	p i ɾ a kʷ e ɾ a
pirapire	p i ɾ a p i ɾ e
piro	p i ɾ o
pita	p i t a
po	p o
po'o	p o ʔ o
poapy	p o a p ɨ
pokuéra	p o kʷ e ɾ a
pokõi	p o k õ j
porundy	p o r u n ɨ
porã	p õ ɾ ã
poteĩ	p o t e ĩ
poyvi	p o ɨ ʋ i
pu	p u
puku	p u k u
pukuéra	p u kʷ e ɾ a
pumbyry	p u m b ɨ ɾ ɨ
purahéi	p u ɾ a h e i
puru'ã	p u ɾ u ʔ ã
puso	p u s o
py	p ɨ
pyahu	p ɨ a h u
pykuéra	p ɨ kʷ e ɾ a
pyru'ã	p ɨ ɾ u ʔ ã
pysã	p ɨ s ã
pyta	p ɨ t a
pytyvõ	p̃ ɨ̃ t̃ ɨ̃ ʋ̃ õ
pytã	p ɨ t ã
rague	ɾ a ɰʷ e
rambosa	ɾ a m o s a
rape	ɾ a p e
retãvore	ɾ̃ ẽ t̃ ã ʋ̃ õ ɾ e
ro'y	ɾ o ʔ ɨ
ryguasukuéra	ɾ ɨ w a s u kʷ e ɾ a
réra	ɾ e ɾ a
sa'y	s a ʔ ɨ
sa'yju	s a ʔ ɨ d ʒ u
sa'ykuéra	s a ʔ ɨ kʷ e ɾ a
saraki	s a ɾ a k i
sevo'i	s e ʋ o ʔ i
sevoikuéra	s e ʋ o i kʷ e ɾ a
sevói	s e ʋ o i
soro	s o ɾ o
su	s u
sy	s ɨ
sã	s ã
sãmbyhy	s a m ɨ h ɨ
sãmbyhyhára	s ã m b ɨ h ɨ h a ɾ a
sãso	s ã s o
sỹi	s ɨ̃ ĩ
ta'anga	t a ʔ a ŋ a
ta'ýra	t a ʔ ɨ ɾ a
tague	t a ɰʷ e
takamby	t a k aᵐ b ɨ
tape	t a p e
tapiti	t a p i t i
tapitikuéra	t a p i t i kʷ e ɾ a
tapo	t a p o
tatu	t a t u
tavakuéra	t a ʋ a kʷ e ɾ a
tañykatĩ	t a ɲ ɨ k a t ĩ
tañykã	t a ɲ ɨ k ã
tañykãng	t a ɲ ɨ k ã ŋ
teko	t e k o
tembe'y	t e m e ʔ ɨ
tembi'u	t e m i ʔ u
tembijepapa	t ɛ m b i d ʒ ɛ p a p a
tembikuaa	t e m b i k w a a
tembivytu	t ɛ m b i ʋ ɨ t u
tembo	t e m o
temimbo'e	t e m i m o ʔ e
temimo'ã	t e m i m o ʔ ã
tenda	t e n a
tendy	t e n ɨ
tesa	t e s a
tete	t e t e
tetyma	t e t ɨ m ã
tetã	t e t ã
tetãvore	t ẽ t̃ ã ʋ̃ õ ɾ e
timbo	t i m o
toky	t o k ɨ
tomatekuéra	t o m a t e kʷ e ɾ a
tomáte	t o m a t e
topa	t o p a
tova	t o v a
tuja	t u d͡ʒ a
tykue	t ɨ kʷ e
táva	t a ʋ a
tãimbíra	t a i m i ɾ a
téra	t e ɾ a
túva	t u ʋ a
tĩnguéra	t ĩ ŋʷ e ɾ a
upévare	u p e ʋ a ɾ e
vai	v a i
vaka	ʋ a k a
veve	ʋ e ʋ e
y	ɨ
y'u	ʔ ɨ ʔ u
yga	ɨ ɰ a
ygakuéra	ɨ ɡ a k w ɛ ɾ a
yno'õ	ɨ n o ʔ õ
ysaja	ɨ s aᵈ j a
ysyry	ɨ s ɨ ɾ ɨ
ysyrykuéra	ɨ s ɨ ɾ ɨ kʷ e ɾ a
yvapytã	ɨ ʋ a p ɨ̃ t ã
yvapytãnguéra	ɨ ʋ a p ɨ̃ t ã n w e ɾ a
yvoty	ɨ ʋ o t ɨ
yvy	ɨ ʋ ɨ
yvy'a	ɨ ʋ ɨ ʔ a
yvyku'i	ɨ ʋ ɨ k u ʔ i
yvypóra	ɨ ʋ ɨ p o ɾ a
yvyra	ɨ ʋ ɨ ɾ a
yvyrakuéra	ɨ ʋ ɨ ɾ a kʷ e ɾ a
yvytu	ɨ ʋ ɨ t u
yvytu'apo	ɨ ʋ ɨ t u ʔ a p o
yvytu'apokuéra	ɨ ʋ ɨ t u ʔ a p ɔ k w ɛ ɾ a
yvága	ɨ ʋ a ɰ a
Ásia	a s j a
áho	a h o
ánga	aᵑ ɡ a
ára	a ɾ a
áva	a ʋ a
ñande	ɲ a n d e
ñandeva	ɲ a n d e ʋ a
ñandypa	ʝ a n ɨ p a
ñandéva	ɲ a n d e ʋ a
ñandéve	ɲ a n d e ʋ e
ñe'ãkuaaty	ɲ ɛ ʔ ã k w a a t ɨ
ñe'ẽ	ɲ ẽ ʔ ẽ
ñe'ẽkuaaty	ɲ ɛ ʔ ɛ̃ k w a a t ɨ
ñe'ẽmbyry	ɲ e ʔ ẽ m b ɨ ɾ ɨ
ñe'ẽpu	ɲ e ʔ ẽ p u
ñe'ẽpukuaaty	ɲ e ʔ ẽ p u k w a a t ɨ
ñe'ẽpukuaatykuéra	ɲ ɛ ʔ ɛ̃ p u k w a a t ɨ k w ɛ ɾ a
ñe'ẽpukuaatynguéra	ɲ ɛ ʔ ɛ̃ p u k w a a t ɨᵑ ɡ w ɛ ɾ a
ñe'ẽpunguéra	ɲ ɛ ʔ ɛ̃ p uᵑ ɡ w ɛ ɾ a
ñe'ẽryru	ɲ e ʔ ẽ ɾ ɨ ɾ u
ñemi	ɲ ẽ m ĩ
ñohẽjehe'a	ɲ o h ẽ d ʒ e h e ʔ a
ñohẽjehe'ahára	ɲ o h ẽ d ʒ e h e ʔ a h a ɾ a
ñohẽjehe'akuaa	ɲ o h ẽ d ʒ e h e ʔ a k w a a
ñohẽjehe'akuaaty	ɲ o h ẽ d ʒ e h e ʔ a k w a a t ɨ
óga	o ɰ a
ẽ	ẽ
Ỹ	ɨ̃
ỹ	ɨ̃
