aba	a b a
abac	a b a k
abace	a b a t͡ʃ e
abandona	a b a n d o n a
abandonabil	a b a n d o n a b i l
abaxial	a b a k s j a l
abdica	a b d i k a
abdomen	a b d o m e n
abdominal	a b d o m i n a l
aberant	a b e r a n t
aberativ	a b e r a t i v
abia	a b j a
abilita	a b i l i t a
abnegație	a b n e ɡ a t͡s i e
abominabil	a b o m i n a b i l
abordaj	a b o r d a ʒ
abreviație	a b r e v i a t͡s i e
abreviere	a b r e v i e r e
abrupt	a b r u p t
absent	a b s e n t
absent	a p s e n t
absolut	a b s o l u t
absolut	a p s o l u t
absolutist	a b s o l u t i s t
absolutiza	a b s o l u t i z a
absorbit	a b s o r b i t
abstract	a b s t r a k t
absurd	a b s u r d
abunda	a b u n d a
abundent	a b u n d e n t
abur	a b u r
aburca	a b u r k a
abătut	a b ə t u t
academic	a k a d e m i k
academică	a k a d e m i k ə
acaju	a k a ʒ u
acar	a k a r
acarinată	a k a r i n a t ə
accelera	a k t͡ʃ e l e r a
accelerasem	a k t͡ʃ e l e r a s e m
accepta	a k t͡ʃ e p t a
accesibil	a k t͡ʃ e s i b i l
accidental	a k t͡ʃ i d e n t a l
acea	a t͡ʃ e̯ a
aceasta	a t͡ʃ e̯ a s t a
această	a t͡ʃ e̯ a s t ə
aceeași	a t͡ʃ e e̯ a ʃʲ
aceeași	a t͡ʃ e j a ʃʲ
acei	a t͡ʃ e j
acel	a t ʃ e l
acela	a t͡ʃ e l a
acele	a t͡ʃ e l e
aceleași	a t͡ʃ e l e̯ a ʃʲ
acelei	a t͡ʃ e l e j
acelor	a t͡ʃ e l o r
acelui	a t͡ʃ e l u j
acera	a t͡ʃ e r a
aceră	a t͡ʃ e r ə
acest	a t͡ʃ e s t
acesta	a t͡ʃ e s t a
acestea	a t ʃ e s t e̯ a
acesteia	a t͡ʃ e s t e j a
acestora	a t͡ʃ e s t o r a
acestuia	a t͡ʃ e s t u j a
acetilsalicilic	a t͡ʃ e t i l s a l i t͡ʃ i l i k
aceștia	a t͡ʃ e ʃ t j a
achiziție	a k i z i t͡s i e
achiziționare	a k i z i t͡s i o n a r e
acira	a t͡ʃ i r a
aciua	a t͡ʃʲ u a
acolo	a k o l o
acoperit	a k o p e r i t
acorda	a k o r d a
acre	a k r e
acrea	a k r e̯ a
acri	a k r i
acrișor	a k r i ʃ o r
acru	a k r u
activ	a k t i v
activa	a k t i v a
actor	a k t o r
actuar	a k t u a r
acuma	a k u m a
acumula	a k u m u l a
acuza	a k u z a
acuzat	a k u z a t
acuzație	a k u z a t͡s i e
acvatic	a k v a t i k
acvilidă	a k v i l i d ə
acătării	a k ə t ə r i j
adaptabil	a d a p t a b i l
adenină	a d e n i n ə
adesea	a d e s e̯ a
adevărat	a d e v ə r a t
adia	a d i a
adictiv	a d i k t i v
adicție	a d i k t͜s iʲ e
adjudeca	a d ʒ u d e k a
administra	a d m i n i s t r a
administrativ	a d m i n i s t r a t i v
