'nane	n ɛː n
'sy	s ə
Aue	eː u
Baarle	b eː r l
Boaldyn	b oː l d ə n
Boaldyn	b oː l d ə nʲ
Breeshey	b r iː dʲ ə
Brooje	b r uː ʒ ə
Cargys	k a r ɡ ə s
Doolish	d̪ uː lʲ ə ʃ
Doonaght	d uː n a x
Doonaght	d uː n a x t
Gaelg	ɡ e lʲ kʲ
Gaelg	ɡ e lʲ ɡʲ
Gaelg	ɡ i lʲ kʲ
Gaelg	ɡ i lʲ ɡʲ
Gaelgagh	ɡ e lʲ kʲ a x
Gaelgagh	ɡ e lʲ ɡʲ a x
Gaelgagh	ɡ i lʲ kʲ a x
Gaelgagh	ɡ i lʲ ɡʲ a x
Jamys	d ʒ eː m ə s
Jecrean	d ʒ e k r əː nʲ
Jedoonee	d ʒ e d uː n i
Jeheiney	d ʒ e h əː nʲ ə
Jelhein	d ʒ e l əː nʲ
Jemayrt	d ʒ e m aː r t
Jerdein	d ʒ a r d əː nʲ
Jesarn	d ʒ e s aː r n
Lhein	l ɨ ə̯ n
Mannin	m a n ə nʲ
Manninagh	m a n ə n a x
Mayrt	m aː r t
Mian	m a i a n
Moirrey	m o rʲ ə
Nollick	n o d l ə kʲ
Nollick	n o l ə kʲ
Parlane	p a r l ɛː n
Sarn	s aː r n
aa	ɛː
aaght	eː a x t
aalin	ɛː l i nʲ
aane	ɛː n
aanrit	ɛː n r ə tʲ
aarey	ɛː r ə
aase	ɛː s
aash	ɛː ʃ
aashagh	ɛː ʃ a x
abb	a b
accrys	a k r ə s
aeg	ɛː ɡ
aegid	ɛː ɡʲ ə dʲ
aer	ɛː r
aggair	a ɡ ɛː rʲ
agglish	a ɡ l ə ʃ
aigh	ɛː i̯
aigh	ɛː x
aigney	a ɡʲ nʲ ə
aile	ã i l
ain	a i n
ainyn	i ŋʲ ə n
airh	ɛː rʲ
aitt	a tʲ
ammys	a m ə s
ard	aː r d
ard	əː r d
ardjyn	aː r d ʒ ə n
ardjyn	əː r d ʒ ə n
arkys	a rʲ kʲ ə s
arragh	a r a x
arrane	a r ɛː n
arree	a r i
ass	a s
att	a t
aunlyn	a u̯ n l ə n
aunlyn	oː n l ə n
aunlyn	õː l ə n
awin	a u nʲ
awin	a w ə nʲ
ayd	e d
ayd's	e d s
aym	e m
aym's	e m s
aym's	e m ə s
ayn	oː n
ayn	uː n
ayndiu	u n d e u
ayndiu	u n d u
