@	a̠ t̚ t o̞
あ	a̠
ア	a̠
亜	a̠
唖	a̠
阿	a̠
er	a̠ː
ああ	a̠ː
あー	a̠ː
アーカイバ	a̠ː k a̠ i b a̠
アーカイバー	a̠ː k a̠ i b a̠ː
アーカンソー	a̠ː k ã̠ ɰ̃ s o̞ː
アーケード	a̠ː k e̞ː d o̞
アーサー	a̠ː s a̠ː
アー写	a̠ː ɕ a̠
アーチ	a̠ː t͡ɕ i
アーチェリー	a̠ː t͡ɕ e̞ ɾʲ iː
アート	a̠ː t o̞
あーね	a̠ː n e̞
アーフェンピンシャー	a̠ː ɸ ẽ̞ m pʲ ĩ ɰ̃ ɕ a̠ː
アーヘン	a̠ː h ẽ̞ ɴ
アーメン	a̠ː m ẽ̞ ɴ
アーモンド	a̠ː m õ̞ n d o̞
アーヤ	a̠ː j a̠
あい	a̠ i
アイ	a̠ i
娃	a̠ i
愛	a̠ i
相	s a̠ ɡ a̠
藍	a̠ i
阿井	a̠ i
アイアイ	a̠ i a̠ i
相合傘	a̠ i a̠ i ɡ a̠ s a̠
アイアン	a̠ i ã̠ ɴ
相容れない	a̠ i i ɾ e̞ n a̠ i
藍色	a̠ iː ɾ o̞
愛液	a̠ i e̞ kʲ i
合縁奇縁	a̠ i ẽ̞ ŋʲ kʲ i ẽ̞ ɴ
哀歌	a̠ i k a̠
合鍵	a̠ i k a̠ ɡʲ i
鮎掛	a̠ i k a̠ k e̞
相傘	a̠ i ɡ a̠ s a̠
相方	a̠ i k a̠ t a̠
あいがと	a̠ i ɡ a̠ t o̞
間紙	a̠ i ɡ a̠ mʲ i
藍瓶	a̠ i ɡ a̠ m e̞
哀歓	a̠ i k ã̠ ɴ
哀願	a̠ i ɡ ã̠ ɴ
愛玩	a̠ i ɡ ã̠ ɴ
噫気	a̠ i kʲ i
愛器	a̠ i kʲ i
愛機	a̠ i kʲ i
合気道	a̠ i kʲ i d o̞ː
アイキャッチ	a̠ i kʲ a̠ t̚ t͡ɕ i
哀叫	a̠ i kʲ o̞ː
愛嬌	a̠ i kʲ o̞ː
愛敬	a̠ i kʲ o̞ː
愛橋	a̠ i kʲ o̞ː
愛郷	a̠ i kʲ o̞ː
相京	a̠ i kʲ o̞ː
愛郷心	a̠ i kʲ o̞ː ɕ ĩ ɴ
愛犬	a̠ i k ẽ̞ ɴ
愛犬家	a̠ i k ẽ̞ ŋ k a̠
愛顧	a̠ i k o̞
相子	a̠ i k o̞
哀誤	a̠ i ɡ o̞
愛護	a̠ i ɡ o̞
愛好	a̠ i k o̞ː
愛校	a̠ i k o̞ː
哀号	a̠ i ɡ o̞ː
愛好家	a̠ i k o̞ː k a̠
愛好者	a̠ i k o̞ː ɕ a̠
アイゴー	a̠ i ɡ o̞ː
愛国歌	a̠ i k o̞ k̚ k a̠
合言葉	a̠ i k o̞ t o̞ b a̠
アイコン	a̠ i k õ̞ ɴ
愛妻	a̠ i s a̠ i
愛妻家	a̠ i s a̠ i k a̠
愛児	a̠ i ʑ i
愛して	a̠ i ɕ i̥ t e̞
愛社	a̠ i ɕ a̠
愛車	a̠ i ɕ a̠
アイシャドウ	a̠ i ɕ a̠ d o̞ː
アイシャドー	a̠ i ɕ a̠ d o̞ː
愛書	a̠ i ɕ o̞
哀傷	a̠ i ɕ o̞ː
相性	a̠ i ɕ o̞ː
愛嬢	a̠ i ʑ o̞ː
愛情	a̠ i ʑ o̞ː
哀傷歌	a̠ i ɕ o̞ː k a̠
愛唱歌	a̠ i ɕ o̞ː k a̠
愛人	a̠ i ʑ ĩ ɴ
哀惜	a̠ i s e̞ kʲ i
相席	a̠ i s e̞ kʲ i
アイゼン	a̠ i z ẽ̞ ɴ
愛想	a̠ i s o̞
愛憎	a̠ i z o̞ː
愛蔵版	a̠ i z o̞ː b ã̠ ɴ
藍染め	a̠ i z o̞ m e̞
藍染屋	a̠ i z o̞ m e̞ j a̠
あいた	a̠ i t a̠
あいだ	a̠ i d a̠
逢田	a̠ i d a̠
間	k ã̠ ɴ
相対	a̠ i t a̠ i
靉靆	a̠ i t a̠ i
相対売買	a̠ i t a̠ i b a̠ i b a̠ i
間柄	a̠ i d a̠ ɡ a̠ ɾ a̠
藍茸	a̠ i t a̠ k e̞
アイダホ	a̠ i d a̠ h o̞
愛知	a̠ i t͡ɕ i
愛知県	a̠ i t͡ɕ i k ẽ̞ ɴ
愛聴	a̠ i t͡ɕ o̞ː
愛重	a̠ i t͡ɕ o̞ː
愛鳥	a̠ i t͡ɕ o̞ː
愛鳥家	a̠ i t͡ɕ o̞ː k a̠
相手	a̠ i t e̞
アイデア	a̠ i d e̞ a̠
相手方	a̠ i t e̞ k a̠ t a̠
愛奈	a̠ i n a̠
アイナメ	a̠ i n a̠ m e̞
間の子	a̠ i n o̞ k o̞
あいのて	a̠ i n o̞ t e̞
愛馬	a̠ i b a̠
藍原	a̠ i h a̠ ɾ a̠
逢引	a̠ i bʲ i kʲ i
愛猫	a̠ i bʲ o̞ː
愛猫家	a̠ i bʲ o̞ː k a̠
あいべや	a̠ i b e̞ j a̠
アイホ	a̠ i h o̞
愛慕	a̠ i b o̞
相棒	a̠ i b o̞ː
合間	a̠ i m a̠
曖昧	a̠ i m a̠ i
曖昧さ	a̠ i m a̠ i s a̠
曖昧模糊	a̠ i m a̠ i m o̞ k o̞
あいまって	a̠ i m a̠ t̚ t e̞
アイマラ語	a̠ i m a̠ ɾ a̠ ɡ o̞
藍屋	a̠ i j a̠
相宿	a̠ i j a̠ d o̞
あいよ	a̠ i j o̞
愛用	a̠ i j o̞ː
相嫁	a̠ i j o̞ m e̞
アイライナー	a̠ i ɾ a̠ i n a̠ː
アイライン	a̠ i ɾ a̠ ĩ ɴ
愛らしい	a̠ i ɾ a̠ ɕ iː
アイランド	a̠ i ɾ ã̠ n d o̞
隘路	a̠ i ɾ o̞
アイロニー	a̠ i ɾ o̞ ɲ̟ iː
アイロン	a̠ i ɾ õ̞ ɴ
アイロン掛け	a̠ i ɾ õ̞ ŋ ɡ a̠ k e̞
アイロン台	a̠ i ɾ õ̞ n d a̠ i
アヴィニョン	a̠ bʲ i ɲ̟ õ̞ ɴ
アヴォカド	a̠ b o̞ k a̠ d o̞
あえぎごえ	a̠ e̞ ɡʲ i ɡ o̞ e̞
敢えて	a̠ e̞ t e̞
亜鉛	a̠ ẽ̞ ɴ
亜鉛華	a̠ ẽ̞ ŋ k a̠
青	a̠ o̞
青い	a̠ o̞ i
アオイ科	a̠ o̞ i k a̠
青色	a̠ o̞ i ɾ o̞
青か	a̠ o̞ k a̠
青ヶ島	a̠ o̞ ɡ a̠ ɕ i m a̠
青姦	a̠ o̞ k ã̠ ɴ
青木	a̠ o̞ kʲ i
青木ヶ原	a̠ o̞ kʲ i ɡ a̠ h a̠ ɾ a̠
青鶏頭	a̠ o̞ ɡ e̞ː t o̞ː
石蓴	a̠ o̞ s a̠
アオザイ	a̠ o̞ z a̠ i
青鮫	a̠ o̞ z a̠ m e̞
青し	a̠ o̞ ɕ i
青写真	a̠ o̞ ʑ a̠ ɕ ĩ ɴ
青白い	a̠ o̞ ʑ i ɾ o̞ i
青信号	a̠ o̞ ɕ ĩ ŋ ɡ o̞ː
青線	a̠ o̞ s ẽ̞ ɴ
青空	a̠ o̞ z o̞ ɾ a̠
青田	a̠ o̞ t a̠
青大将	a̠ o̞ d a̠ i ɕ o̞ː
青田買い	a̠ o̞ t a̠ ɡ a̠ i
青短	a̠ o̞ t ã̠ ɴ
青天井	a̠ o̞ t ẽ̞ ɲ̟ d͡ʑ o̞ː
青菜	a̠ o̞ n a̠
青海苔	a̠ o̞ n o̞ ɾʲ i
青歯	a̠ o̞ b a̠
青葉	a̠ o̞ b a̠
あおひげ	a̠ o̞ ç i ɡ e̞
青緑	a̠ o̞ mʲ i d o̞ ɾʲ i
水綿	a̠ o̞ mʲ i d o̞ ɾ o̞
青目	a̠ o̞ m e̞
青文字	a̠ o̞ m o̞ ʑ i
青文字系	a̠ o̞ m o̞ ʑ i k e̞ː
青物	a̠ o̞ m o̞ n o̞
青森	a̠ o̞ m o̞ ɾʲ i
青森県	a̠ o̞ m o̞ ɾʲ i k ẽ̞ ɴ
青柳	a̠ o̞ j a̠ ɡʲ i
青山	a̠ o̞ j a̠ m a̠
亜科	a̠ k a̠
垢	a̠ k a̠
赤	a̠ k a̠
𫁈	a̠ k a̠
明い	a̠ k a̠ i
赤い	a̠ k a̠ i
あかいれ	a̠ k a̠ i ɾ e̞
赤色	a̠ k a̠ i ɾ o̞
赤鱏	a̠ k a̠ e̞ i
紅夷	a̠ k a̠ e̞ mʲ i ɕ i
赤か	a̠ k a̠ k a̠
赤金	a̠ k a̠ ɡ a̠ n e̞
銅色	a̠ k a̠ ɡ a̠ n e̞ i ɾ o̞
赤紙	a̠ k a̠ ɡ a̠ mʲ i
赤狩り	a̠ k a̠ ɡ a̠ ɾʲ i
足掻き	a̠ ɡ a̠ kʲ i
赤毛	a̠ k a̠ ɡ e̞
あかご	a̠ k a̠ ɡ o̞
赤子	s e̞ kʲ i ɕ i
藜	a̠ k a̠ z a̠
明石	a̠ k a̠ ɕ i
証	a̠ k a̠ ɕ i
赤字	a̠ k a̠ ʑ i
アカシア	a̠ k a̠ ɕ i a̠
赤鹿	a̠ k a̠ ɕ i̥ k a̠
赤信号	a̠ k a̠ ɕ ĩ ŋ ɡ o̞ː
赤瀬	a̠ k a̠ s e̞
赤線	a̠ k a̠ s ẽ̞ ɴ
あがた	a̠ ɡ a̠ t a̠
赤立羽	a̠ k a̠ t a̠ t e̞ h a̠
赤蛺蝶	a̠ k a̠ t a̠ t e̞ h a̠
赤短	a̠ k a̠ t ã̠ ɴ
赤ちゃん	a̠ k a̠ t͡ɕ ã̠ ɴ
アカデミー	a̠ k a̠ d e̞ mʲ iː
赤点	a̠ k a̠ t ẽ̞ ɴ
赤とんぼ	a̠ k a̠ t õ̞ m b o̞
贖い	a̠ ɡ a̠ n a̠ i
明音	a̠ k a̠ n e̞
朱音	a̠ k a̠ n e̞
紅音	a̠ k a̠ n e̞
茜	a̠ k a̠ n e̞
茜色	a̠ k a̠ n e̞ i ɾ o̞
赤牌	a̠ k a̠ h a̠ i
赤旗	a̠ k a̠ h a̠ t a̠
赤鼻	a̠ k a̠ h a̠ n a̠
赤花	a̠ k a̠ b a̠ n a̠
赤腹	a̠ k a̠ h a̠ ɾ a̠
垢BAN	a̠ k a̠ b ã̠ ɴ
赤髭	a̠ k a̠ ç i ɡ e̞
赤べこ	a̠ k a̠ b e̞ k o̞
アカペラ	a̠ k a̠ p e̞ ɾ a̠
あかぼし	a̠ k a̠ b o̞ ɕ i
赤猿子	a̠ k a̠ m a̠ ɕ i k o̞
赤豆	a̠ k a̠ m a̠ m e̞
赤身	a̠ k a̠ mʲ i
赤目	a̠ k a̠ m e̞
崇め	a̠ ɡ a̠ m e̞
崇めた	a̠ ɡ a̠ m e̞ t a̠
崇めて	a̠ ɡ a̠ m e̞ t e̞
赤文字系	a̠ k a̠ m o̞ ʑ i k e̞ː
贖物	a̠ ɡ a̠ m o̞ n o̞
あからがお	a̠ k a̠ ɾ a̠ ɡ a̠ o̞
あからさま	a̠ k a̠ ɾ a̠ s a̠ m a̠
明かり	a̠ k a̠ ɾʲ i
上がり	a̠ ɡ a̠ ɾʲ i
上下	a̠ ɡ a̠ ɾʲ i o̞ ɾʲ i
あがりさがり	a̠ ɡ a̠ ɾʲ i s a̠ ɡ a̠ ɾʲ i
あがり症	a̠ ɡ a̠ ɾʲ i ɕ o̞ː
赤煉瓦	a̠ k a̠ ɾ ẽ̞ ŋ ɡ a̠
あかん	a̠ k ã̠ ɴ
あがん	a̠ ɡ ã̠ ɴ
亜寒帯	a̠ k ã̠ n t a̠ i
あかんべえ	a̠ k ã̠ m b e̞ː
赤ん坊	a̠ k ã̠ m b o̞ː
厭	a̠ kʲ i
秋	a̠ kʲ i
空き	a̠ kʲ i
飽き	a̠ kʲ i
秋茜	a̠ kʲ i a̠ k a̠ n e̞
飽き飽き	a̠ kʲ i a̠ kʲ i
アキー	a̠ kʲ iː
アキーダ	a̠ kʲ iː d a̠
亮夫	a̠ kʲ i o̞
彬夫	a̠ kʲ i o̞
秋風	a̠ kʲ i k a̠ z e̞
空き缶	a̠ kʲ i k ã̠ ɴ
秋桐	a̠ kʲ i ɡʲ i ɾʲ i
秋雨	a̠ kʲ i s a̠ m e̞
秋空	a̠ kʲ i z o̞ ɾ a̠
秋田	a̠ kʲ i t a̠
秋田県	a̠ kʲ i t a̠ k ẽ̞ ɴ
空き地	a̠ kʲ i t͡ɕ i
商い	a̠ kʲ i n a̠ i
秋葉原	a̠ kʲ i h a̠ b a̠ ɾ a̠
亮彦	a̠ kʲ i ç i k o̞
明彦	a̠ kʲ i ç i k o̞
空き瓶	a̠ kʲ i bʲ ĩ ɴ
空き部屋	a̠ kʲ i b e̞ j a̠
亜季歩	a̠ kʲ i h o̞
空き間	a̠ kʲ i m a̠
あぎゃん	a̠ ɡʲ ã̠ ɴ
空き家	a̠ kʲ i j a̠
秋山	a̠ kʲ i j a̠ m a̠
あ行	a̠ ɡʲ o̞ː
彬	a̠ kʲ i ɾ a̠
晶	a̠ kʲ i ɾ a̠
明らか	a̠ kʲ i ɾ a̠ k a̠
呆れ顔	a̠ kʲ i ɾ e̞ ɡ a̠ o̞
欠伸	k ẽ̞ ɰ̃ ɕ ĩ ɴ
明け	a̠ k e̞
揚げ	a̠ ɡ e̞
あげあげ	a̠ ɡ e̞ a̠ ɡ e̞
あけおめ	a̠ k e̞ o̞ m e̞
あけおめことよろ	a̠ k e̞ o̞ m e̞ k o̞ t o̞ j o̞ ɾ o̞
明け方	a̠ k e̞ ɡ a̠ t a̠
明智	m e̞ː t͡ɕ i
あけっぱ	a̠ k e̞ p̚ p a̠
あけっぱなし	a̠ k e̞ p̚ p a̠ n a̠ ɕ i
揚げ鶏	a̠ ɡ e̞ d o̞ ɾʲ i
開けない	a̠ k e̞ n a̠ i
揚羽	a̠ ɡ e̞ h a̠
揚羽蝶	a̠ ɡ e̞ h a̠ t͡ɕ o̞ː
あけび	a̠ k e̞ bʲ i
曙	a̠ k e̞ b o̞ n o̞
曙草	a̠ k e̞ b o̞ n o̞ s o̞ː
あげぽよ	a̠ ɡ e̞ p o̞ j o̞
揚巻	a̠ ɡ e̞ m a̠ kʲ i
あげまん	a̠ ɡ e̞ m ã̠ ɴ
